未読でも問題ありませんが、小鳥,ある休日の風景
Ｐ,すみません、さっきから俺が催促する感じになってしまって
高木,まぁ、君もこういうバーに慣れる必要が、今後ますます出てくるだろうからね。ある意味これも仕事だよ
Ｐ,そうですね……そういう機会も増えてきますよね
高木,アイドル諸君もどんどん成長していっているからね。うかうかしていると君が置いて行かれる事になるかも知れないな
Ｐ,えぇ。全員トップアイドルに、なんて言っておいて、俺が足引っ張っちゃ元も子もありませんからね
高木,ま、今日は普段の君の激務をねぎらいたいという気持ちからここに連れてきたんだ。気楽に楽しみたまえ
Ｐ,さっきある意味これも仕事だよって言ったような……
高木,まぁまぁ。お、レーズンバターが来たようだな
バーテンダー,お待たせしました。レーズンバターです。クラッカーと一緒にどうぞ
高木,さ、君も食べてみたまえ。……あぁ、久しぶりに食べると、また一段と美味いなぁ
Ｐ,いただきます……思ったよりしつこさがないですね。レーズンも普通に食べられるし、ウィスキーにも合いそうだ
高木,ほぅ、キミにも好き嫌いがあったとはね
Ｐ,食べられなくはないんですが、好んでは食べませんね。でも、これなら次から頼んでしまいそうですね
高木,カロリー、塩分ともに高いから、食べ過ぎには注意したまえ
Ｐ,確かに……バターですからね
高木,仕事上の付き合いで来ると、こうやって酒や食べ物の話もあまり出来なくてね
Ｐ,確かに、付き合いで飲むとこういう店じゃなくてもそうですよね
高木,仕事で知り合ったばかりの方と飲む機会が、君にもあるだろう？
Ｐ,はい。ＴＶ局の方とが多いですね
高木,そういう時、ボトルの響という名前から765プロのアイドルの話に持っていく、というのも、とっかかりとしては便利な手口なんだよ
Ｐ,手口って……いや、それはともかく勉強になります
高木,バーテンダーの彼からすれば邪道極まりない話なのかもしれないがね
バーテンダー,邪道だなんてそんな。定期的にいらしてお酒を楽しんで頂ければ、何も文句はございませんよ
高木,はっはっは、そうかね？それはそうと、キミも最近はまた忙しそうだね
Ｐ,えぇ。最近は、というより最近も引き続き、といった感じですが
高木,そうだね。キミには大変な思いをさせて申し訳ない
Ｐ,いえいえ、仕事があるのは良い事ですから。暇を持て余したアイドルを見るよりはよっぽどいいですよ
高木,そうだな……今となっては、あの頃がもう懐かしく感じるよ
Ｐ,そうですね……竜宮小町結成前なんて、だれ一人オーディションに受からないのが普通でしたからね
高木,それが今となってはスケジュール表がまっ黒になる位忙しいときたものだ
Ｐ,えぇ。みんなよく成長してくれました
高木,そうだな。いろいろな困難もあったが、よく乗り越えてくれたものだよ
Ｐ,はい。俺自身が原因の困難も何個かありましたが……
高木,まぁ、それも含めよく乗り越えてくれたと思うよ。だが、妨害もこれで終わりではないだろう
Ｐ,えぇ、黒井……いえ、そうですよね
高木,ん？どうしたんだね？あぁ、彼なら気にしなくても大丈夫だ。他言無用というルールを破ったりはしないよ
バーテンダー,大切なお話をされるお客様が多くいらっしゃいますから。ここで聞いたことは絶対に他のお客様にはお話しませんよ
Ｐ,すみません、疑うつもりはなかったんですが
バーテンダー,いえいえ、お気になさらず。それに、聴いてはいけないお話は耳を通り抜ける便利な体質でして
高木,そういう事だ。で、言いかけた続きは？
Ｐ,黒井社長も諦めてはいないでしょう。ことごとく妨害を乗り越えられたとなれば、今後ますます過激な妨害工作に出る可能性もあります
高木,そうだな。それに、961プロだけではなくなってくるだろう
Ｐ,黒井社長が他のプロダクションにも手をまわしていると？
高木,もちろんそれもあるだろうが、961プロとは無関係な所だって、我が765プロを快く思っていない所はあるだろう、という事さ
Ｐ,……961プロ以外にも厄介者扱いされる所まで来てしまった、という事ですか？
高木,あぁ。運動会の時は空気が読めない弱小プロダクションという扱いで終わってくれたが、今後はそうはいかないだろう
Ｐ,売れてはきたものの、影響力がある大きな後ろ盾がある訳でも……す、すみません！失言でした！
高木,なぁに、気にすることはないさ。事実、そういう風にあえて立ち回ってきたのはこの私だからね
Ｐ,吉澤さんとの関係を見ても、パイプがなくて一人ぼっち、という訳ではないんだろうなとは思っていましたが
高木,事実、吉澤君以外にも旧知の仲の人間は何人かいるし、作ろうと思えばもっと……と、これではただの強がりだな、ははは
Ｐ,いえ、”横やり”とか”ごり押し”が入らないからこそ、765プロの良さがそのまま出せている訳ですから
高木,そうだな。だが、同時にそれが最大の弱点でもある。黒井でなくとも、出ている杭は叩きたくもなるだろう
Ｐ,叩かれそうな要素には気を使ってはいるつもりなんですが
高木,今後相手が攻めて来そうな弱点、キミはどこだと思うかね？
Ｐ,そうですね……雪歩に関しては、家の事で根も葉もないうわさが広まっています。もっとも、これはネットの一部でだけですが
高木,なるほど。如月君の件があるから、アイドル諸君の家庭事情については積極的に公表はしていなかったからね
Ｐ,伊織は例外、ですね
高木,あぁ。彼女に関しては、隠せば逆に水瀬グループ全体に迷惑が掛かってしまう
Ｐ,家庭の事情であれば、攻められて一番痛いのは、やよいでしょうね
高木,やよい君の件については、私の方でも気にかけてはいるよ。やましい事は何一つないがね
Ｐ,えぇ、それは分かっています。でも、飛ばしだろうが何だろうが、記事になってやよいの目に触れてしまえば大ダメージですからね
高木,如月君の時のように、だな
Ｐ,はい。ですから、誰とも知らない相手にほじくられるよりは、こっちからオープンにしていこうかと思っていまして
高木,ほぅ
Ｐ,露骨にはやりませんけどね。アイドル全員、トーク中にちょこちょこ混ぜて行く感じで。貴音は……そのままですけど
高木,彼女に関しては、私預かりとさせてくれたまえ
Ｐ,貴音はそれが売りでもありますからね
高木,律子君とはこういう話はしているのかね？
Ｐ,そうですね、何度か。律子もほぼ同意見のようでした。竜宮小町は、ソロとはまた違った事も考える必要があるみたいで
高木,竜宮小町の場合、ユニットの不仲説、なんていうのも気にする必要はあるだろうなぁ
Ｐ,無表情な３人が一緒に写ってる写真が１枚と”自称関係者”の証言があれば、どうとでもでっち上げられますからね
高木,もっとも、水瀬君を叩くとなれば、水無瀬グループを敵に回す事になる。そんなことはまずしないだろうがね
Ｐ,えぇ。ＴＶ，雑誌、インターネット関連、あらゆる分野で大スポンサーですからね
高木,そういった意味では、水瀬財閥が結果的に我が765プロの大きな後ろ盾になってくれている、という事になるな
Ｐ,伊織の気持ちを考えると、あまり喜ばしい事ではありませんけどね
高木,そうだな……
Ｐ,それに、伊織以外に対してはその限りではありませんからね。なにより、律子自身がステージに立ったりもしますし
高木,ほぅ。中々シビアだな
Ｐ,これは本人が言っていた事です。ステージに立つ以上、そういう事は想定しないといけない、って
高木,なるほどな。律子君らしい。おっと、グラスが空のようだね。遠慮せずに頼みたまえ。同じものがいいかな？
Ｐ,いえ、次はせめてロックでお願いします……
高木,そうかね？では私も同じものを
バーテンダー,響のオン・ザ・ロックをお二つですね。かしこまりました
高木,君や律子君の想定ももっともだと思うよ。だが、私の考えは少々違っていてね
Ｐ,ずばり、どこが弱点なんでしょう
高木,君だよ
Ｐ,俺……ですか？
高木,あぁ、そうだ
バーテンダー,響のオン・ザ・ロック、お待たせいたしました
高木,ありがとう
Ｐ,ありがとうございます。それで、俺が弱点というのは……
高木,つまり、独身の若い男が複数の女性アイドルをプロデュースしている状況が弱点、という事だよ
Ｐ,……確かに、そういわれると一番のツッコミどころですよね
高木,勘違いしてほしくないが、キミの事を悪く言うつもりは毛頭ない。だが、火のない所に煙を立てやすい状況だという事は理解してほしい
Ｐ,正直、考えていなかった訳ではないんです。でも、考えれば考えるほど、”そういう立場”なんだ、って変に意識してしまって
高木,無理もない話さ。実際、キミは良くやっていると思うよ。同じ男として見てもね
Ｐ,でも、傍から見ればいくらでも勘繰られる状況にありますから
高木,キミとしての対策は、何か考えているのかね？
Ｐ,……人前でのスキンシップは極力控える、とか
高木,なるほど。その辺については、キミではなく律子君がよく注意しているのを目にするなぁ
Ｐ,すみません、自分からもっと強く言うべきなんですが、注意の強弱が難しくて
高木,すまないね、いじめるつもりはないんだよ。キミが結婚していれば、ここまで気にする必要もなかっただろうね
Ｐ,確かに、それが一番効果があると思います。でも、解決策という事で結婚する、というのも……。あくまでも一個人としての考えですが
高木,あぁ、もちろん強制するつもりなんてないさ。そんな戦略的結婚なんて、私自信させたくはない
Ｐ,分かっています。でも、プロデューサーとして考えれば、一番の対応策であることも理解していますから
高木,既婚者ならそういう話が出ない、という訳でもないがね。実際、よくない噂のある既婚のプロデューサーは何人もいる
Ｐ,色々噂は聞きますけど、実際に記事として目にすることはありませんね
高木,色々な力があるから、そういう事が可能なんだろうね。少なくとも今の765プロでは出来ない力技だよ
Ｐ,そうですね。それが出来ないなら、結婚しておしどり夫婦アピールするのが一番の予防策なんでしょうね
高木,ま、色々脅す形になってしまったが、今後は特に誤解されそうな行動には注意すべきだろうね
Ｐ,今のままなら、それしかないですよね……
高木,何か考えがありそうな顔だね。それとも、”今のまま”ではなくなる、という事かね？
Ｐ,そ、それは……
高木,ふむ、せっかくの機会だ。悩みでも愚痴でも何でも話してみたまえ
Ｐ,実は……今度、音無さんと休日が重なった日に、一緒にドライブに行こうかと思っています
高木,ほぅ？！なんだ、私が心配することなどなかったんじゃないか！はっはっは、おめでとう！
Ｐ,ちょ、ちょっと待ってください！早合点がすぎますよ！
高木,そうかね？仲人ならいつでも引き受けるつもりだよ。他でもない、キミと音無君の為だ
Ｐ,いや、だから……まだそういう関係にはなっていないんですって
高木,まだか
Ｐ,あっ……
高木,そういうつもりで誘ったんじゃないのかね？それなら後はやることは一つだ
Ｐ,そのつもりですし、思いを伝えるつもりでいます。でも、本当にこれでいいのかなと思ってしまって
高木,告白して二人の関係が気まずくなるよりは、告白せずに今のままの関係がいいなぁんて言い出すんじゃなかろうね？
Ｐ,どこの乙女ですかそれは……。そうじゃなくて、アイドル達に与える影響を、プロデューサーという立場で考えた場合の話です
高木,なるほど、な。確かに、キミに対してプロデューサーに対する以上の感情を持っているアイドルは何人かいそうだね
Ｐ,はい。自分で言うのも、自惚れているようで嫌なんですが
高木,それで、音無君への告白が彼女達には悪影響になり得る、と。二人だけの秘密にする、という手もあると思うがね
Ｐ,隠して後からバレた時の方がダメージは大きいと思います
高木,それもそうだな
Ｐ,それに、隠し通すのは無理だと思っています。断られたら……こっちから進んで話すつもりはないですけど
高木,なるほど
Ｐ,今が一番多感な時期ですし、しかもトップアイドルへ向けてさらに、という所で……正直、阻害要因としか思えなくて
高木,それで、告白するのをやめる、と？
Ｐ,告白自体をやめるという事はないです。全員をトップアイドルにしてから、という選択肢もありますから
高木,それまで音無君が待っていてくれるかな？ピアノバーで歌う彼女は男性客に大人気だよ
Ｐ,えっ？それって……いや、考えるまでもなく当然ですよね
高木,どちらにしろ、ドライブまでには結論は出す必要はあるだろう
Ｐ,はい。音無さんとの休日がなかなか合わないので、結果的に悩む時間が出来てしまっていますが
高木,一つ、私の考えを言ってもいいかね？
Ｐ,はい、ぜひ
高木,私は、悪い影響は及ぼさないと思っているんだよ
Ｐ,言い切りますか
高木,あぁ。告白が受け入れられるという前提で言うが
Ｐ,はい
高木,彼女たちは祝福してくれるだろう。もちろん、悲しむ子もいるだろうがね
Ｐ,……はい。……
高木,だが、それは彼女の人生にとってマイナスだろうか？私はそうは思わない
Ｐ,そう、なんでしょうか
高木,彼女たちなら、それを糧にして更にレベルアップしてくれると思うがね
Ｐ,レベルアップ、ですか
高木,あぁ。あまり彼女たちを見くびらないであげてくれたまえ。私たちが思っている以上に、彼女たちは強いよ
Ｐ,そうでしたね。その強さは俺自身が一番知っているはずなのに
高木,ま、そういう事だ。後はキミが思う通りにするといいよ。そして色男の苦労を存分に味わうといい
Ｐ,色男って……でも、ありがとうございます。すみません、こんな女々しい話をしてしまって
高木,プロデューサーという立場と、アイドル達の君への態度を考えれば当然の事だよ
Ｐ,そう言ってもらえると気が楽になります
高木,仕事の内容的に仕方ないさ。相談されず突然結婚、なんてされたら……
Ｐ,さすがにそれはないと思いますが
高木,そうかね？もしそうだったら、私は君に柄でもないお説教をしないといけなくなる所だったよ
Ｐ,報・連・相は社会人の基本、ですか
高木,あぁ。サラリーマンと違って、プライベートの事まで仕事に影響してくるのがこの業界の嫌な部分ではあるがね。トップアイドル、か……
Ｐ,なんですか？急に
高木,いや、ついに現実味を帯びてきたんだなぁ、と思ってね
Ｐ,そうですね……。ただの夢ではなくなりましたね
高木,私が言うのもなんだが、社長、プロデューサー２名、事務員１名、他はマネージャー等含め一切いない。それでよくここまで、と思うよ
Ｐ,改めて聞くと異常なプロダクションですよ。今より仕事が無かった頃からすでにキャパオーバー気味でしたから
高木,その点についてはすまないと思っている。だが、他のプロダクション並に人員が充実していたら、今の雰囲気はあったと思うかね？
Ｐ,ないでしょうね。おそらくもっと殺伐としていると思います
高木,私も同じ意見だ。それがあるから、人員補充にはどうしても慎重になってしまってね。一歩間違えれば、アイドルを失う事にもなりかねない
Ｐ,大げさじゃないですか？
高木,そうかね？それでは、新プロデューサーをスカウトして、美希君を担当してもらおうか。身に染みて分かると思うよ
Ｐ,すみません、考えるまでもなく結果は目に見えてました
高木,さっきのキミではないが、彼女たちにとって今が大切な時だ。特に人事については慎重になる必要がある
Ｐ,プロデューサー、マネージャーはアイドル達との信頼関係が最も重要ですからね
高木,とはいっても限界はあるだろう。そうなる前に私に相談してくれたまえ
Ｐ,分かりました
高木,社長としての仕事に専念してしまっているが、いざとなれば私もキミたちの仕事を手伝おう
Ｐ,今でさえいろいろと手伝ってもらっていますが、今後もっとお願いしたい事態になるかもしれません
高木,まさか、今日書いていた企画書の件かね？
Ｐ,まだ青写真レベルですが
高木,なるほど、思ったより気合を入れて確認する必要があるようだな
Ｐ,思いついたことが冷えないうちに形にしてしまいますので、ぜひ熱いうちに確認してください
高木,分かった、楽しみにしているよ
Ｐ,俺は、765プロは今の人員がベストなんじゃないか、って思うんですよ
高木,ん？さっきと言っていることが変わっていないかね？
Ｐ,すみません、ちょっと酔いが回ってきました。ただの戯言だと思って聞いてもらえますか？
高木,そうだね。私もほろ酔い気分になってきた所だ。話半分で聞いておこう
Ｐ,トップアイドルを目指すとなれば、人員、特に裏方をもっと増やす必要があるとは思います
高木,あぁ
Ｐ,でも、プロデューサーが増えて、アイドル一人にマネージャーが一人ついて、事務も部署が作れる位増えて
高木,そうなると、一流プロダクションだな
Ｐ,えぇ。でも、そうなったとき、765プロの良さって果たして残るんだろうか、って
高木,……他のプロダクションのようになる、という事か。良くも悪くも
Ｐ,前に、俺が舞台のセリから落ちて入院した時があったじゃないですか
高木,ニューイヤーライブ前だったな。そういえばあの時は天海君が……
Ｐ,はい。あの時春香が思ってたみんなで一緒にっていう気持ち、俺と同じなんです
高木,そうか……
Ｐ,あぁ、でも、だから春香を贔屓しているとか、そういう事はなくて
高木,うんうん、分かっているよ
Ｐ,お互い牽制しあって、蹴落とし合ってトップを目指す、っていうのも、一つの形だと思います
高木,孤独が人を強くするなんて事を言う社長も、世の中にはいるな
Ｐ,そうですね。それも含め、一般的な芸能事務所から見れば、みんなで一緒にっていうのは、くだらない考えに見えるのかもしれません
高木,実際、遠回しに言われることもあるよ。主に961プロの息がかかっている所からはね
Ｐ,やっぱり、そうなんですね
高木,まぁ本音が半分、黒井が怖いのが半分だろうがね
Ｐ,でも、俺はやっぱりこれからも765プロみんなで一緒にやっていきたい。でも、人数がどんどん増えて行った時、みんなで一緒にやっていけるのか……
高木,船頭多くして船山を登る、か
Ｐ,はい。なんていうか……すみません、もう完全に酔ってて自分が何言ってるのか分からないですけど……
高木,その辺を考えるのは私の仕事でもあるからね。言いたいことは良く分かっているつもりだよ
Ｐ,ありがとうございます。あ、すみません、水下さい
高木,すまないが私にも頼むよ
バーテンダー,かしこまりました
高木,我が765プロはみんな、同じ気持ちを持っているんだ。そうそう間違った方向には、進まないだろう
Ｐ,そうですね
高木,765プロの将来を担うキミがこうやってしっかりしているんだ。間違いないだろう
Ｐ,しゃ、社長！俺はまだそんな……それに社長だってまだ
高木,おいおい、まさか今すぐ私を蹴落として社長の座に着くつもりでいるのかね？
Ｐ,べ、別に俺はそんな！
高木,聞いてくれたまえ。おとなしそうな顔をして、私にとって代わることを考えているんだよ、この男は。酷い話だろう？
バーテンダー,ははは、若い人はそれ位野心的な方がいいみたいですよ。はい、チェイサーお待たせしました
高木,ふむ、それもそうか。では私もそれなりの対応をしないといけないかな？はっはっは
Ｐ,ひ、酷い。このオヤジ酷い
高木,オヤジと言ったな？キミだってあっという間に30、40だ。時間が経つのは早いものだよ
バーテンダー,20代はあっという間でしたねぇ
Ｐ,二人とも、将来ある若人を虐めてたのしいですか？
高木,楽しいねぇ
バーテンダー,楽しいですねぇ
Ｐ,そうですか。分かりました。後で社長のボトルを勝手に飲んでおきますから。接待なら仕方ないですよね
バーテンダー,そうですね。空になったら高木社長の名前でキープしておいてください。次は響の21年でどうですか？
高木,ちょ、ちょっと待ちたまえ。冗談、冗談だよ！はは、ははは
Ｐ,なんだ、それは残念ですね。あははは――
バーテンダー,ありがとうございました。またぜひ近いうちにお越しください
高木,あぁ、そうさせてもらうよ。ごちそうさま
Ｐ,ごちそうさまでした
高木,いやぁ、今日は久しぶりに美味い酒を呑めたよ
Ｐ,俺もです。ありがとうございました
高木,当面は忙しいだろうが、飲みたくなったら誘ってくれたまえ
Ｐ,そうですね。音無さん、あずささん、律子のいつものメンバーで
高木,あぁ、楽しみにしているよ。それじゃ、今日はこの辺で。本当に一緒にタクシーに乗らなくて大丈夫かね？
Ｐ,はい。ここからなら歩ける距離ですし。コンビニにも寄りたいですから
高木,そうか。それじゃ、お疲れ様。気を付けて帰ってくれたまえ
Ｐ,はい、お疲れ様でした。おやすみなさい
