本田未央,おっつかれさまー！……って、あ
未央,な゛ん゛で゛こう゛いうと゛こ゛でか゛っこい゛い゛セ゛リ゛フを゛言うのー！？
凛,だからなんで泣くの！？。今日の未央、なんかおかしくない……？
未央,そ、そのまま返すよ！この痴女りん！！！
凛,えっ！？な、なんて！？
未央,しぶりんずっとそんなこと考えてたんでしょ！！失望したよ！！！
凛,……！！！
未央,うう……
凛,未央……
未央,なにさ
凛,……ごめん
未央,……
凛,そうだよね。私はアイドルなんだから、そういうことを考えるのはよくないよね
未央,しぶりん……
凛,他のお仕事とか、アルバイトとか、確かに社会勉強にはなるけど、アイドルとして生きていくなら必要ないし……
未央,うん……うん？
凛,この企画書、最初はいろんなバイトを調べてみるのも面白そう！って思ったけど……未央に言われて目が覚めたよ
未央,企画……えっ、えっ
凛,仕事を取ってきてもらったのに悪いけど、”私はアイドル以外、やるつもりないから”って、言おうと思う。うん、そんなことしてる暇があったら歌とダンスを磨かなきゃね
未央,……あっ
凛,でもね未央。コンビニで働いてる娘も、工事現場で働いてる娘も、そりゃあ勉強が抜けちゃうこともあるけど、お金のために働いてるんだし、私は友達でいたいなって思う。未央はあまりいい顔しないかもだけど……
未央,……
凛,それに最近ね、未央がテレビとかでしぶりん、学校で友達が出来なくて寂しんだって～って言ってくれたおかげで、少しずつ、話しかけてくれる娘も増えてきたんだ。前までは遠慮されてたんだけどね
未央,……
凛,なんて、今さら言うのは恥ずかしいな……
未央,しぶりん……
凛,どうしたの？
未央,……
凛,？
未央,私に自我があるうちに……殺して……
凛,未央！？！？！？
未央,早く！！！私の顔が爆発する前に！！！
凛,未央、顔真っ赤だよ！？大丈夫！？今日なんだか様子が変だったし、体調悪いなら帰った方が……
未央,今日なんでしぶりんマトモなのさ！！！もっといつもみたいに支離滅裂なこと言ってよ！！！
凛,支離滅裂！？
島村卯月,大丈夫です！私は未央ちゃんがむっつりさんでも味方です！！！
未央,今日は来てほしくなかったよしまむぅぅぅぅぅ！！！
凛,あ、卯月！未央が体調悪いみたいで……
未央,ごめん、大丈夫だから……
卯月,ふふっ
凛,？
未央,ほ、ホントに大丈夫だから！
凛,それならいいけど……。あ、卯月ってアルバイトとかしたことある？
卯月,えっちなやつは
未央,含みがあるよしまむぅぅぅぅぅ……
卯月,ごめんなさい、今日の未央ちゃん、いじめたくなっちゃいます……！
未央,穴があったら入りたい……
凛,ちょっと、私だけのけもの？
卯月,むしろ凛ちゃんは功労者というか……
未央,しまむー……！！！
卯月,ひゃっ！えへへ……冗談ですよ♪
凛,さっきまで未央と、アルバイトについて話してたんだ。ね？未央？
未央,……ウン。ソウダヨ
凛,卯月なら何か、面白いバイトとかしたことあるかなって。ほら、卯月は年上だし
卯月,そうですね……カメラの被り物をして映画館で注意を呼び掛けたり……
未央,あれしまむーだったの！？
卯月,綺麗なブレスレットを付けてお札まみれのお風呂に入ったり……
未央,あれしまむーだったの！？！？
卯月,緑のブサイクの着ぐるみを着て遊園地をまわったり……
未央,あれしまむーだったの！？！？！？。……いや確かに声しまむーだったわ！！！
凛,今日の未央、元気だね
未央,吹っ切れたんだよほっといてよ！！！
卯月,でも、今の私たちはアイドルですから！
凛,……うん、そうだよね。私もそのことにさっき、気が付いたんだ。未央に教えられてね
未央,ソウダネ
卯月,はい！副業は、株で数億稼ぐくらいにしておきましょう！
未央,うん！……うん？
卯月,土地を転がすのも楽しいですけどね！島村卯月、アイドル以外も頑張ります！
未央,さっきと真逆のこと言ってるけど！？
凛,……
未央,ほら！しぶりんも言ってあげなよ！
凛,私もお金ほしい！！！
未央,ダメだこのユニット！！！
