姫川友紀,……ふっふっふ
美世,ひええ……！え、えろとらっぷだんじょん…！
友紀,無いってばぁ！変なコト言わないでよ！
茄子,まぁ、大丈夫ですよ友紀ちゃんなら
美世,行ってらっしゃい。終わるまで２人で待ってるからね♪
友紀,今の流れでよく平然と見送れるね！？
茄子,あやめかと思えば、なんだこの小娘は……我が屋敷に侵入したからには、覚悟はできているのだろうなこのスパイめ！そして服をしゅるしゅる～♪
美世,いやぁー、やめてーお代官様ー♪
友紀,な、なんか趣旨変わってきてるし……もういいや
浜口あやめ,……
友紀,２人の期待に添えることもなく、普通に枕元まで来れたよ。一般家庭に罠なんて、あるわけないじゃん…。さて、あやめちゃんには…
あやめ,何奴！
友紀,ぎゃっ？！
あやめ,ち、外しましたか
友紀,く、くないが…
あやめ,私の枕元を取るとは、なかなかの手練れ……何者です、赤装束！
友紀,待って待って、サンタさんだってば！
あやめ,さん、た？
友紀,そうそう、クリスマスの！
あやめ,く、りす…
友紀,プレゼント届けに来たんだって！
あやめ,わ、わけのわからん日本語を使うなー！
友紀,あやめちゃんこんな子だっけ！？
あやめ,なっ？名前まで把握されているとは…！。此処にたどり着いた事といい、相当の刺客と見た！仕掛けた罠を全てかわし、無傷でいるのが何よりの証拠！
友紀,罠！？本当にしかけてたの！？
あやめ,フン、何をとぼけたことを！罠に気付かぬまま、幸運にも踏まずにのこのこ歩いてきたとでも言うのかっ
友紀,や、だって罠なんて全然……ﾊｯ。た、助かったぁ～～！サンキュー茄子ちゃん、ナイス幸運パワー…っ！！
あやめ,何処の流派の者かは存じませんが、覚悟ッ！
友紀,うわー！に、逃げろー！！
あやめ,待て、逃がすか！。…ム！この箱は、もしや爆弾…っ？
友紀,そんな物騒なもの持ち込まないよ！？
あやめ,……あっしまっ、箱に気を取られて、きゃあ！。くっ、自分の罠にかかるとは、なんという不覚……。赤の者！決着はいずれ付ける！次に寝首をかくのはこのあやめです！…あれ、これどうやって外すんだっけ…
友紀,はぁ……はぁ……なんて恐ろしいことを言っているんだ…。…ていうか、走って逃げてるのに本当に罠踏まないな。茄子ちゃん、すげー…。……ただいま
美世,おかえり……どしたの？なんか疲れてない？
友紀,うん……九死に一生、スリーアウトチェンジ直前あわやビーンボールってところかな…
美世,はぁ…ってちょっと、腕怪我してる！大丈夫？！
友紀,え？あれ、ほんとだ。気付かなかった…
茄子,プレゼントの袋も、破れちゃってますね
美世,やっぱり、忍者屋敷だったんじゃ
友紀,ううん、大丈夫。ちょっとひっかけただけだと思うし、へーきだよっ
美世,ならいいけど…
友紀,多分、さっきのクナイの時だよね…？変だな、全然痛くない。血も出てるのに、気付かなかったんだなぁ
茄子,…はい、手当終わりましたよ
友紀,ありがと茄子ちゃん。……色々と
茄子,うふふ、どういたしまして
友紀,美世ちゃんも、車出してくれて本当にありがとう！
美世,なーに言ってんの、夜はこれからでしょ！
茄子,そうですね～。まだ配っていないお宅もいっぱいありますし
友紀,配ってんのあたしだけだけどね、今のところ
美世,さ、ブロロンっと行くよ？ちゃんとシートベルトしてね！
茄子,つっこむぞつかまれっ♪
友紀,家に突っ込んじゃダメだってば！
美世,え！友紀ちゃんにつっこむ！？
友紀,さっきから何なのその脳内桃色。Cuのピンク色？
茄子,つっこむのは友紀ちゃんを、ですよ？
友紀,あたしを？
茄子,煙突に
友紀,煙突に？！。……ふにゃっ。…いったたた。もう、ほんとに煙突に突き落とすんだもんなぁ……げほっけほっ。てか、イマドキ煙突のある家なんて珍しい……ここは確か…、
二宮飛鳥,…やぁ
友紀,飛鳥ちゃんのお家かぁ
飛鳥,…こんな時間に、そんなところからの来客とは。流石に想定外だな…
友紀,ご、ごめんね急に
飛鳥,構わないよ。たまにはこんな日もあるだろう、夜はまだ始まったばかりさ
友紀,うんうん、まだ回るところいっぱいあって…
飛鳥,キミも大変そうだね……はは、顔中煤だらけじゃないか。ほら、これで拭くといい
友紀,さんきゅー♪
飛鳥,あぁそうだ、先程淹れたコーヒーがまだ余ってるんだ。眠気覚ましに少し飲んでいくかい、友紀
友紀,いいの？わーい！貰っていこうかな……、。…って何普通に会話してんのあたし！。いやあのね、違うんだよ。えっと…あたしは、いわゆるサンタさんってやつでさ？飛鳥ちゃんの事務所にいる姫川さんとは関係なくってね？
飛鳥,今さら何を取り繕ってるんだい…
友紀,だって…
飛鳥,１つ。帽子が取れて、キミのいつもの髪の毛が丸見えだ
友紀,……あっ、ない！煙突に引っかかっちゃったかな…
飛鳥,２つ。煙突から侵入、なんてパッションに満ちた行動を取りそうな人物と。その長いヘアを照合すれば、当てはまる人物は自然と限られてくる
友紀,それはあのパッションなすびが…
飛鳥,そして３つ。何てことはない……キミの正体のことは前から知っていた、ただそれだけのこと
友紀,し、知ってた？なんで…？
飛鳥,フフ……ボクも同業者みたいなものだからね
友紀,まさかまた、実はサンタでしたのパターンなんじゃ
飛鳥,いいや、サンタではない。ボクは…。このセカイの言葉を使えば、"刻の漂泊者"。…さしずめ、ワンダラー・アスカといったところかな
友紀,アンダースロー？
飛鳥,流石にその聴き間違いにはムリがあるだろう…
友紀,似てない？
飛鳥,似てない
友紀,てへ
飛鳥,ワンダラーだよ。はい復唱
友紀,わんだらー
飛鳥,うむ。時の流れに叛逆し、遍く時代・時空・場所において無限に、あるいは夢幻に存在することができる特異点。人も知れず世も知れず。影となりて人々を見守り、時に交わり、時に手を差し伸べる、そんな些細でちっぽけな概念の集合体。その総称がボク、二宮飛鳥さ
友紀,なんか小難しいこと言い始めた
飛鳥,ジカンとセカイを往き来し、全ての結果・事象をこの眼で観測するのがボクの役目であり目的。干渉によってセカイにどんなバタフライ効果が起きようとも……その全てを、ね
友紀,…同業ってのは？まさかアイドルって意味じゃあないよね
飛鳥,"アイドルが仮の姿"という意味でも、キミとは近い存在である……と前置きしておこう。今からボクも、皆に配りものをするところだったということだよ
友紀,じゃあ、飛鳥ちゃんもプレゼント？
飛鳥,ああ。副業みたいなものだ。今からチョコを配りにね
友紀,チョコ！？今？！
飛鳥,何か問題でも？
友紀,バレンタインはまだ先だよ？！
飛鳥,クリスマスにチョコを配ってはいけないなんてルール、何処にもないだろう
友紀,そりゃそうだけど…
飛鳥,そういう固定観念に縛られていては良いモノなんて生まれやしない。イノベーションとして人類の歴史を先導してきたものは、いつだって常識を裏切り先駆ける一見奇抜な発想力そのものなんだから
友紀,す、スケールが大きい
飛鳥,それに…配るものがプレゼントだろうとチョコだろうと、本質は同じさ
友紀,本質？
飛鳥,では問おう。キミが配っているのはプレゼントだけなのかい、黒鼻のサンタさん
友紀,…えっと。ベタだけど……笑顔、とか夢、とかかな
飛鳥,イグザクトリィ、理解っているじゃないか。凡庸だって構わない。カタチの有る無しに関わらず、ボクらが人々のココロに何かを残せたなら…それは紛れもない、煌々と輝くプレシャスなんだ。そんな光を欲してるヤツがこの世にいて、それを与えることができるのなら、与えろと言うのならば。…上等だ、喜んでその役割を演じてみせよう。ただセカイに踊らされるだけのマリオネットで終わるつもりなんかさらさら無い。今宵街を躍らすのは、ボクの方だ。キミもボクも、今は幸せを運ぶ配達人。それ以上でも、それ以下でもない。そうだろう？
友紀,…。や、結局なんでチョコ配ってるのか分かんないままなんだけど
飛鳥,うるさい口だなっ
友紀,もごっ？！
飛鳥,ふん、それでも食べて少しは静かにしてるんだね
友紀,えぇ…逆ギレとかいうやつでは…。あ、コレおいし。ベタベタ甘くない、ちょっぴりビターな口当たり。…うん、おいしかった。ありがと
飛鳥,それは良かった。ボクからの聖夜の贈り物、ということで
友紀,あ、それじゃあたしからもこれ…。？なんか聞こえる
飛鳥,……ようやくお覚醒めか
神崎蘭子,なーっはっはっは！！我が盟友、アスカよ！祝福の刻は来た！
友紀,うわー！窓がー！？
飛鳥,フッ、待っていたよ蘭子
友紀,つ、翼？鳥？人なの？！
飛鳥,彼女もまたヒトでなはい。名は神崎蘭子……このセカイの、闇の権化。セカイに影を落とし邪悪をもたらす、暗黒を司る混沌そのもの…
友紀,……ッ
飛鳥,そう、闇の第六天魔王
友紀,急に戦国チックだね
飛鳥,の女王、黒き闇の魔王の化身なのさ！
友紀,長っ！闇とか魔王とか被ってるし！言いたかっただけなんじゃないのそれ？！
蘭子,はーっはっはっ！。少々待たせてしまったようね！
飛鳥,フフ、誰かさんのお昼寝が長いせいでね
蘭子,…連絡が遅かったせいでちょっと寝ちゃっただけだもん。セットが上手くきまらないとか言って
飛鳥,なんだと
蘭子,あぁン？
友紀,仲悪ぅ
飛鳥,だが、おかげで準備は万端さ
蘭子,当然よ。…あ、ハンカチ持った？
飛鳥,勿論。ティッシュは
蘭子,此処に！鼻が痛くならない柔らかいやつ♪
飛鳥,グッド
友紀,仲良いのか悪いのか分かんない！
蘭子,では、行きましょうか
飛鳥,ああ
友紀,ちょちょ、２人してどこ行くの？
飛鳥,だから、チョコを配りに
蘭子,我が手により漆黒の衝撃をこの世に
友紀,チョコじゃなくて瘴気とか振り撒いてない！？大丈夫？！
飛鳥,うるさいな
友紀,むぐっ！？
飛鳥,大人しく食べてなよ。さあ、往こうか蘭子！
蘭子,魂の赴くままに！
飛鳥,クハハハハ！！
蘭子,なーっはっはっは！！
友紀,……行っひゃったよ。よく分かんないや、あの２人。あ、プレゼント渡しそびれた。この辺に置いとこ。クリスマスカードもオマケしてあげようかな。チョコとコーヒーごちそうさま…っと。その後もあたしは、何とかかんとか家を回ってプレゼントを届けていった
荒木比奈,…あ、サンタさんでスか？夜分遅くにお疲れ様っス
友紀,ちょ、比奈ちゃん大丈夫？！目の下にクマできてるんだけど！
比奈,はははは、平気っスよ。入稿までちょーーっとばかし時間が足りてないだけっス
友紀,目が笑ってない！
比奈,もう当日まで１週間ないんスよねぇ。時間ってのはあっちゅーまっス。あそうだ。どうせだし、今手空いてるならちょっと手伝ってほしいんスけど
友紀,え、えー…
比奈,忙しいなら良いっスよ？元々自分でやるつもりだったんで。クリスマスに。独りで。寂しく
友紀,断りにくいんだけど！？
日野茜,おっはようございます！！
友紀,うん、おはようじゃないよね。こんばんはだね
茜,丁度よかった！今からランニングに行こうと思っていたのですが、一緒にいかがですかっ！！！
友紀,今から？！なんでみんな夜中に外出たがるの！？
若林智香,アタシも行きますよっ
友紀,うわ出たっ！何故か家に現れる謎の２人目！今度は智香ちゃんか！
智香,横で応援しながら走ってますねっ☆
友紀,そっちの方が重労働じゃない？大丈夫なのそれ
茜,うおおおぉ！！！！
智香,ファイトーっ！
友紀,せめて返事聞いてから行きなよ！！
塩見周子,すやすや～
友紀,いや周子ちゃんはこっち側じゃなかったの？！
周子,お、サンタかと思ったらゆっきーじゃん。おっつー
友紀,狸寝入りか！
周子,やだなあ、狸じゃなくて狐だよ？こんこーん
友紀,どっちでも良いよ！クリスマスに寝てるサンタさんなんて初めて見たんだけど！？
周子,うーん、行かなあかんなーとは思ったんよ？一応。でもめんどっちくなっちゃってさー。お布団入っちゃったらもうアウトだったね、あはは
友紀,あたしも寝てりゃ良かったかなぁ…
周子,え？ゆっきー、しゅーこちゃんの分も配ってくれるん？まじ、やったー
友紀,そんなこと一言も言ってないし！！
周子,ほな、おやすーん♪
友紀,うそぉ…
南条光,おおー！これ、アタシのドライバーじゃないか！
友紀,なんでみんな起きてるんだろうね
光,ありがとう、サンタさん！
友紀,どういたしまして♪
光,早速使わせてもらう！
友紀,へ
光,変身！
友紀,マジかぁ
光,ムッ！この邪気は……あっちだなッ
友紀,さっき蘭子ちゃんたちが飛んでった方角だ
光,アタシ、ちょっと行ってくる！とうっ
友紀,…行ってらっしゃい。……届けたのは、良いんだけど。…やっぱり、なんかおかしいよ
美世,そう？エンジンに不調はないけど
友紀,車の話じゃなくて
茄子,じゃあ頭ですか？病院行きます？
友紀,お？もしかして喧嘩売ってる？前振りも無しに頭おかしいとか言われちゃさすがのあたしもキレそうなんだけど
茄子,友紀ちゃんはボールでも打っててください♪
友紀,バットがあったら今すぐ頭カチ割ってホームランしてやりたいところだよ
美世,さぁ始まった！世紀の異種格闘技戦、野球VS羽根つき！勝つのはどちらだーッ！？
茄子,負けませんっ
友紀,素振りしないでよ危ないから！
茄子,ふふふ、顔中真っ黒にしてあげますからね
友紀,もうなってるんだよさっき茄子ちゃんのせいで！！羽子板でバットに勝てるとか本気で思ってんの？！
茄子,知らないんですか？相手より大きい武器を持ってる方が勝つんですよ
友紀,身の程を弁えて挑発しなよ！！美世ちゃんも変に煽らないで！
美世,ム、失礼な。煽り運転なんかしないよ
友紀,だから車の話じゃないってば！！。何ていうかさぁー……こう、ちょっとずつ変っていうか、どっかズレてるっていうか…
美世,気のせい気のせい
友紀,晴ちゃんちなのにちっちゃい子たくさんいたのが？
茄子,お泊り会をしていたのではないでしょうか
友紀,サンタなのに早苗さんも周子ちゃんも仕事してないし
茄子,あの２人ですからねぇ
友紀,羽根生えた蘭子ちゃんが窓ガラスをガッシャンパリンしたのは
美世,魔王だし、それくらいできるんじゃないの？
友紀,じゃあさっきから空の上で闘ってる、赤とか青とか黒の残像も？
美世,運転中なのでよそ見できませーんっ
茄子,最近の１４歳って、とっても強いんですねぇ♪
友紀,誤魔化さないでよ！？。何かがおかしい……この違和感は、一体…
美世,着いたよ友紀ちゃん！
友紀,あ、うん
茄子,ここが最後のダンジョン…！
友紀,急にＲＰＧっぽくするのやめて
美世,この先に、あたしたちが倒すべき宿敵がっ
茄子,長かったですね…
友紀,お、ようやく一緒に行く流れかなこれは
美世・茄子,いってらっしゃーい♪
友紀,やっぱりか！！。袋も随分軽くなったなぁ。あと１人か２人分ってところかな。ふわぁぁ……。コーヒーもらったとはいえ、いい加減眠くなってきたよ…。…。……やっぱり、なんか変だ。あれだけ家を回って歩いたのに、空が明るくなる気配がまるでない。いくら冬だからって、こんなに夜明けが遅いはずないよね…？。それに、さっきから霧が出てる。ちょっとヤな感じ。…早く終わらそっと。着いた、けど。ここって…。……学校？。なんで学校なんだろ。誰か住んでるのかな、がっこうぐらし？。なーんて。そんなまさか、誰もいるわけ……
森久保乃々,……
友紀,いた…。どしたの乃々ちゃん、こんなところで…。やっほー、乃々ちゃん。……あれ？
乃々,…友紀さん
友紀,待たせちゃった？ごめんごめん
乃々,……そんなこと、ないですけど
友紀,ちょっとヤボ用がね。…それじゃ、始めよっか。な、なんで？あたし…口が、勝手に
乃々,…美穂さんは、
友紀,うん？
乃々,お友達じゃ、なかったんですか
友紀,美穂かぁ。いい子だったけど…覚醒しちゃったならしょうがないよね
乃々,……そうですか
友紀,そうそう。他には？何か言い残すことはある？
乃々,…いいえ
友紀,おっけ。じゃあ、未央！
乃々,………凛さん
友紀,ちょちょっと待って、何が、どうなって…。……そこからのことは、よく分からなかった。突然現れた２つの人影とか、飛び交う閃光とか。見たことなんてあるわけないのに、いつかどこかで見たような激しい光景が、目の前に繰り広げられてて
乃々,り、凛さん…
友紀,自分の意思とは関係なしに手足が動いて、その度にあたしも乃々ちゃんも傷ついて。なのに痛みも感じない、妙にふわふわした感覚がひどく不気味で、気持ち悪くって。あたしは
乃々,友紀さん…？
友紀,…あたしは気付いたら、その場から走り出していた。……はっ、はぁっ…。いつの間に着替えたのか自分でもわからない、ボロボロになった普段着をはためかせて。霧の中を、無我夢中で走っている。………ハッ、はっ、。未央って何？どこから現れた？乃々ちゃん、なんでそんな怖い顔してたの？さっきから頭にチラつくこの顔は誰？名前は確か……し、き…。…わからない。いやだ。こわい。早く帰らなきゃ。帰るって、どこに？美世ちゃんたちの車？自分の家？それとも…。もう半分以上答えは出てるのに。理解するには、飲み込んで消化するための酸素は、脳に届く分では全然足りなくって。どうすることもできなくて。ただ走るしか、なかった。…………はあ、はぁっ。……げほ、。ここまで来れば大丈夫と、立ち止まって息を整える。吸い込んだ冬の空気が、温度差で喉の奥を虐める。けれどやっぱり、肺が痛いなんてことはなくて。……ふぅっ。霧はいつの間にか、晴れていた。はぁー……一生分は走った気がする
P,そんなに？
友紀,…っ！？ぷ、プロデューサー
P,おう
友紀,……もう誰が出てきても驚かないや。ねえ……なんかさっきから変なんだ、あたしの周り
P,変？
友紀,うん。今も、乃々ちゃんとか未央ちゃんとか学校で。夜なのにみんな起きてるし、羽根生えてる蘭子ちゃんとか、赤と青の光ちゃんとか、もうわけわかんない…！
P,ふーん
友紀,どうしたら良いのか分かんなくってさ？！どうしよう、あたし、このままじゃ…
P,落ち着いて。ユッキは今夜何をしてたんだっけ？
友紀,何って……みんなの家を回って…
P,それは、何の為に？
友紀,……プレゼント。そうだ。あたし、今はサンタさんで…
P,そうそう。随分露出の多いスケベなサンタさんだよね
友紀,ひにゃぁっ？！？。え、ちょ、なんで……いつの間に、またサンタの服にっ？！
P,引き締まってて良いお腹だなぁ
友紀,ひゃっ……いきなりおへそ触んないでよ！？えっち！
P,だめ？
友紀,ダメに決まってんじゃん！ふざけてないで、話を…っ
P,俺はふざけてないけど
友紀,スカートめくるなっ！
P,クリスマスだし、このまま性夜としゃれこもうかと
友紀,今漢字変じゃなかった？！
P,今日はホワイトクリスマスだな
友紀,ありきたりな上に最っ低な比喩使わないで！！
P,良いから、ほら
友紀,ちょっす、ストップストップ！嘘でしょ信じらんない…っ！こんなオチってある！？
P,せっかくシリアスだったってのに？
友紀,今ので更に台無しだよ！！
P,まあまあ
友紀,ひぁ……っ、は放してっ！変なトコ触んないでよ？！そこ、は……まだ…ひぅ。待って、待ってってば！そういうの、まだ心の準備が……。…………ふわぁぁあ？！？。……。ゆ、夢かぁ…。……はぁ。今時夢オチとか…。何て言うか、勢いのあるカオスな夢だった。なんであたしがサンタさん？貰う方じゃなくって？しかも車で移動って。そりゃま、朝起きたら枕元にプレゼント……なんて。もうとっくに卒業してるんだけどサ。そもそも、なんであたしがみんなのお家把握してんのって話だよ。寮で暮らしてる子だっているのに。何人かキャラすら違っててほんとに変な夢だった。誰だよ黒き闇の魔王の化身って。なんだか一部、夢みたいな、でも夢じゃないような、不思議なところもあったような気がしたけど……忘れちゃった。あんまり詳しく思い出せない。それに、最後の……えっと、変で……その、変、な…。………うぅ。あーもうっ！！なんでこう、最後のとこだけはしっかり覚えちゃってるのかな、あたしのばかっ。やめやめ、思い出すのやめ！。きっと疲れてたせいで変な夢見ちゃったんだよ。一晩ぐっすり寝てたんだし、もう大丈夫！元気いっぱい！やる気・元気・ゆっきー！。レッスンしてキャッチボールして、汗を流せばきっと忘れる！ていうか忘れよう！。今日も１日がんばるぞ！オー！。おはようございまーす！！
P,お、ユッキか。おはよう
友紀,げっ。い、いきなりかぁ～……まぁ事務所だし仕方ないよね
P,…げとは何だ、失礼な奴
友紀,あ、あはは。なんでもないっ
P,斬新な挨拶だな。どこの部族の言葉？
友紀,や、部族とかじゃなくて…
