モバマスより輿水幸子と小日向美穂,たぬき
フレデリカ,あ、ごめん聞いてなかった
幸子,どうしてこのタイミングで聞いていないでいられるんですか！志希さんも何か……
志希,
幸子,あっ！何も考えてない時の顔だ……！
フレデリカ,シキちゃんシキちゃーん。起きてる～？ぼんじゅ～？
志希,ジャンボアメフラシになりたい。てことでー
幸子,どういうことで？
フレデリカ,実は幸子ちゃんに、お祝いのプレゼントを用意しといたんだ～
幸子,プレゼントですか？そ、それはありがたいですねっ。一体何を……？
フレデリカ,はい、子うえきちゃん！
幸子,子うえきちゃん！？
子うえきちゃん,……
志希,子うえきちゃんはねー、母体のうえきちゃんから枝分かれしてできた個体なんだー。これも一種の単為生殖ってヤツかにゃ？
幸子,うえきちゃんってあの、事務所の隅にある得体の知れない植物ですよね？あれ、まだあったんですか……
フレデリカ,プロデューサーが毎日こまめにお水あげてくれてるんだよ～♪
志希,手乗りサイズだけど、この子も立派なうえきちゃんなんだってさー
フレデリカ,そうそう！フラメンコ流したらノリノリで踊るし
子うえきちゃん,ｸﾞﾈｸﾞﾈｸﾞﾈ
フレデリカ,褒めたら喜ぶし。子うえきちゃーん、今日もきれいだよー♪
子うえきちゃん,ﾆﾀｧ…
幸子,明らかに知性があるんですけど……。不思議なものを貰ってしまいましたね……
輝子,う、うちのトモダチとも、仲良くなれるかな……
茄子,幸子ちゃん、こっちこっち～
芳乃,共にお茶をば頂きましょうー
幸子,茄子さん、芳乃さん。それじゃあお言葉に甘えて……
茄子,あら、茶柱♪幸子ちゃん、ついてますね～
幸子,まあ幸子の幸は幸運の幸ですからね！これくらい当然です！
芳乃,ほー。茄子さんとわたくしにもー、茶柱が立っておりましてー
幸子,本当ですか？お二人もボクに負けず劣らず……。……なんか茶柱長くないですか？
茄子,そうでしょうか？
芳乃,そうでしてー？
幸子,今まさに伸びてますけど！？え、それどうなってるんですか！？
茄子,どうもこうも、ただの茶柱ですよ～？
芳乃,ふぉーすの力を信じるのでしてー
茄子,うふふっ、チャンバラごっこができそうですね～♪
芳乃,地の利を得ましてー
幸子,何か茶柱で頂上決戦が始まった！？
輝子,……こちらエージェント・マタンゴ……作戦は順調。そ、そちらは引き続き、待機されたし……
蘭子神より祝福されし戦乙女の使者,エージェント・ブリュンヒルデ
輝子,じゃあ、そろそろ次のフェイズに……
幸子,？外がなんだか騒がしいですねぇ……？
奏,ああ、そろそろ通りかかる頃ね……
幸子,桃華さん！？しかも自家用ヘリ！！。ヘリから垂れ幕が！？
みく,めたくそ目立っとるにゃ
響子,桃華ちゃーーーんっ！危ないからブンブンもほどほどにねーーーーっ！
周子,ゲームをピコピコて言うオカンみたいやな
幸子,
茄子,それじゃ新隠し芸いきますね～。新春サメショー！
幸子,どこからともなく空飛ぶサメがーッ！？
智絵里,
由愛,智絵里さん！？
藍子,高森藍子、ゆるふわお手玉をしますっ
幸子,お手玉の滞空時間がやたらと長い！？
未央,ヒュー！あーちゃんのゆるふわオーラも絶好調だぜー！
茜,元気があればお手玉も遅くなる！一つ学ばせて頂きましたっ！！
未央,原理はさっぱりわかんないんだけどね！！
菜帆,太鼓を叩きますよ～♪
幸子,太鼓はどこに！？音はどこから！？
芳乃,法螺貝も合わせましょー
イヴ,私もやりますぅ！秘技、ブリッツェン傘回し～っ！
ブリッツェン,ブモモモモモモモモモモモモモモモモ！！
幸子,重力が行方不明！！
こずえ,さちこー……
幸子,こずえさん？
こずえ,さちこはー……けもの、すきー……？
幸子,けもの……動物ですか？好きですよ？人を襲うのとか以外は！
こずえ,おー……。こずえは、いかもすきー……
幸子,イカ
こずえ,たこもすきー……
幸子,タコ
こずえ,さちこはー……？
幸子,い、いまいち謎のチョイスですが……好きですよ？偏食はカワイくありませんからね！
こずえ,おおー……。ならよしー……
幸子,な、何の話題だったんでしょうか……
凛,幸子
幸子,わっ、今度は凛さん？
凛,大丈夫。私達は普通のアイドルだから
幸子,普通じゃないアイドルがいるんですか！？
加蓮,ねえねえ聞いて聞いて、奈緒のもふもふが当社比五割増しになってる！怪現象！？
奈緒,これは湿気のせいだっ！あっちょっやめろっ、今お団子解いたら……！
加蓮,わぷっ！？
奈緒,おわーっ！？
幸子,普通とは
凛,あれくらいは普通だと思う
幸子,凛さんさては感覚がマヒしてますね？
輝子,ヒィィハァアーッ！！まだまだいくぜェーーーッ！！
幸子,どこからギターが！？
小梅,わ、私もいきま～す……死霊の盆踊り～……
周子,よっ！Ｚ級！
奏,抜群の再現度！
紗枝,千両役者～！
幸子,後ろに何かいませんか！？いますよね！？たくさん踊ってるんですけど！？
小梅,あの子も喜んでる～……♪
幸子,はぁ……はぁ……物凄いものをたくさん見た気がします……
楓,うふふ～地に足が着かんたーめん～♪
幸子,楓さんは酒瓶を持って浮いてるし。しばらく見ないうちに、皆さんはっちゃけるようになりましたねぇ……
卯月,幸子ちゃん、おかえりなさい！
蘭子,再び運命の交叉せし日に喜びを！
幸子,あ、お二人とも遅かったですね――って
美穂,狸
卯月,美穂ちゃん、大丈夫……？
蘭子,もはや賽は投げられたわ……
美穂,ぽこ。…………。………………
幸子,……ひょっとして、美穂さんですか？
美穂,！！！
卯月,あ……っ！？
蘭子,そ、それは……
美穂,
幸子,ほら、やっぱり！なんとなくカワイイオーラが美穂さんと似通っていると思ったんですよ！
卯月,カワイイオーラ？
幸子,美穂さんなんでしょう？あの事務所にいたのも！
美穂,……。ご……
幸子,ご？
美穂,ご、ごめん、本当はそうなの！
幸子,何かと思えば……もう。今まで黙ってたんですか？
美穂,うん……でも、知られたら引かれちゃうかも、とか……。今まで言わなかったことも……怒られるかなって、なかなか言い出せなくて……
幸子,確かに、思うところが無いでありません。ですが、カワイイ女性には隠し事の一つやふたつはあるものですからね！
美穂,え……っ？
幸子,ボクに隠していたのも、それなりの苦悩があってのことでしょう。それを責められたものじゃありません。むしろ、思い切って言ってくれたことを褒めてあげたい気持ちです！ナイスカワイイ！カワイイ決意です！
美穂,さ、幸子ちゃん～……
卯月・蘭子,ほ……っ
芳乃,あちらは丸く収まったようでしてー
楓,幸子ちゃん、流石です♪
美嘉,ほらほらっ、お料理まだたくさんあるよー★
幸子,だ、そうですよ。ボクらも行きましょう！
美穂,う……うん！
幸子,美穂さんって狸だったんですか！！？！！？！！！？？？！
輝子,じ、時間差からの満点リアクション……！
小梅,さすが幸子ちゃん……！
周子,いやまあそこらへんはほら、かくかくしかじかの次第でさー
幸子,カワイイ狸がカワイイ人になってアイドルに……。世界中の神秘を見てきたつもりですが、灯台下暗しとはこのことですね……！
紗枝,ちなみにうちは狐どす～
菜帆,ハーフですけど～、私も狸ですよ～♪
智絵里,う、うさぎですっ
みく,みくはネコチャンにゃ！
周子,みくちゃん人やん
みく,そこは乗らせろにゃあ！！
楓,私はうわばみで～す♪
美嘉,って、もう、楓さん！？いつの間にそんなに飲んでたの！？。――あ、それとアタシ、悪魔なんだ。アタシも今まで黙っててごめん！
イヴ,サンタとトナカイですぅ♪
こずえ,こずえはー……こずえだよー……？
幸子,もう何でもアリですね！！
周子,――って感じで、こっちは平和に終わったよ
Ｐ,電話
周子,最初からわかってたって？じゃ何でリアリティラインがーとか言ったん。……それもそうか。しかしまあ、アレやね。……あたしら普通の人間のつもりでいたけど、完全に感覚マヒしとるやん
幸子,おはようございまー……。あ
美穂,狸
幸子,…………
美穂,ﾁﾗｯ
幸子,…………
美穂,ﾁﾗﾁﾗｯ
幸子,とうっ
美穂,ぽこーっ♡
Ｐ,仲いいね君ら
美穂,えへへ、なんか嬉しくて……♪
Ｐ,事務所で狸が死んだふりしてるくらいじゃ動じないな。流石幸子だ
幸子,当然ですよっ。これくらいで驚いてちゃ――。心臓がいくつあっても足りなフギャーッ！？
美穂,幸子ちゃーんっ！？
Ｐ,増殖した子うえきちゃんの大群が幸子を飲み込んだーっ！？
周子,祭りの場所はここかーい！？
フレデリカ,プロデューサーごめーん！なんか増やしちゃった～！
志希,ホロホー！ホロホロホー！！
Ｐ,バッキャロウ！午前０時過ぎにうえきちゃんにお水あげるなってあれほど！！
美穂,ぷ、プロデューサーさん！どんどん押し寄せてきますよー！？
志希,ホロホロホー！！！
Ｐ,室内で火はやめろパイローッ！！
幸子,もみくちゃにされる中、ボクは思うのでした。世界って平和だったんだな…………と
