本田未央,おつかれ〜。11月ってこんな寒かったっけ……？
未央,周りの人間が生きて帰れる可能性
凛,卯月を何だと思ってるの？
未央,強いて言うなら神だよ
卯月,ま、まだそんな凄くないですよ！
未央,まだ
凛,こういう面接ってさ？最後に何か質問はありますか？って言われるけど、どんな質問をするのがいいのかな？
未央,うーん……あんまりお金とか休みとかを聞くのは印象よくなさそうだけど……
卯月,でも逆に、正直に聞いた方が評価が上がるかもしれません！
凛,正直に……過労死した場合は遺族にいくらお金が渡りますか？とか？
未央,ケンカ売ってるの？
卯月,逆に私を過労死させられるとお思いですか？とか！
未央,ふたりとも、何と戦ってるの？。よくあるのは入社したら最初はどんな仕事をすることになりますか？とかじゃない？
凛,入社して最初の標的は誰ですか？とか？
未央,しぶりん、殺し屋になるの？
卯月,最後には私もまとめて始末できるとお思いですか？とか！
未央,しまむーだけ何か陰謀に巻き込まれてるじゃん
凛,……なるほどね
未央,いや、このやり取りで何がわかったの……
凛,うん、私に社会人は向いてないだろうなってこと
未央,キメ顔で言われても……
卯月,お茶を汲むのもコピーもイヤですからね！
未央,その歌詞引用されると反論しにくいけど……！
凛,ねえ、ふたりとも。私がやらかしてクビになっても……一緒にいてくれる？
未央,しぶりん……
卯月,凛ちゃん……
凛,ふたりとも……
未央,へへ……もちろん……
凛,ふふ……そうだよね
未央,イヤだけど
凛,あれ！？！？。今のはずっと一緒だよ！って流れじゃないの！？
未央,いや、不当にクビになったならまだしも、やらかしたなら擁護できないし……その場合はしまむーとふたりで頑張るよ
凛,は、薄情者！私は未央がやらかしても世間の風当たりによっては一緒にいるのに！
未央,そっちだってなんかセコい前置きあるじゃん！！
卯月,大丈夫です！ふたりが何をやらかしても、なんとかなります！ぶいっ！
未央,それはめっちゃ心強いけども……！
凛,でも例えば卯月でもさ？国家レベルの陰謀が私たちを襲ったら流石にマズいでしょ？
未央,物騒な想定だなあ……
卯月,ふふ……
凛,……卯月？
未央,ﾋｯ
凛,ﾋｯ
