久川颯,うわー、アイドルになって初めてのお給料！
千鶴,そうかなあ。向こうのほうがくっきりした美少女顔でグラマーで
泰葉,グーでいい？
千鶴,冗談、冗談……でも、実際あまり似てる気がしないけどな
泰葉,容姿も性格も似てないけどね、似てる
千鶴,？
泰葉,色々できて、そつなく纏まってるけど、尖ったところがないところがね
千鶴,……
泰葉,私は子役出身だから。他の役をやったときに邪魔になる色はあまりつけないようにして――その分くっきりした私の色が無かった。何でもできて、どれもそこそこ。それが私の武器であり、弱点かな
千鶴,颯ちゃんもそう、ってこと？
泰葉,いびつでも、ひとつ尖ったとこがある子がぱっと売れることがある世界だし――――颯ちゃんは凄い伸びしろがあるけど、それが評価されるまで時間がかかると思うから、ちょっと心配
千鶴,そっか……
泰葉,うん
千鶴,そっか……
泰葉,こほん。それはそれとしてだけど
千鶴,えっ？
泰葉,さっき言ったＧＢＮＳロマンスカー計画、どう思う？
千鶴,あっ、行った覚えないこと喋ってるなあと思ったら腹案の段階だったのね
泰葉,そうそう。我ながらちょっと楽しそうじゃない？紅葉が残ってるうちになんとか行きたいなあって
千鶴,すごく行きたい！私、まだ箱根って見たことないから
泰葉,良かった。ほたるちゃんと千鶴ちゃんは私たちを差し置いてモデルアイチャレの皆ともみじ見に行ってたから、もう紅葉なんて興味ないかと……
千鶴,そそそそんなことないよ！？絶対みんなで行きたいよ！？
泰葉,あはは、解かってます。それでね……
千鶴,うんうん……
颯,――と。そういうわけなの！
凪,なるほどそういうワケだったのか
颯,ああいうお金のアドバイスって初めてだったから、ちょっとびっくりした
凪,突然埋蔵金とか言い出すから、凪はてっきりはーちゃんが秘密のあのお金に気付いたものとばかり
颯,あのお金って何!?
凪,はーちゃんが困った時のために、ゆーこちゃんがあの旅行鞄の底にお金をそっと
颯,えっ!?知らなかったそんなの!!
凪,忍ばせたという設定で凪が100円入れておこうかと。未遂です。つまり存在しない
颯,もー、なーは……でもね、泰葉さんの言うこと一理あると思うから。はーとなーも一緒に埋蔵金を
凪,いえ、それは別々にしましょう
颯,えっ
凪,一緒に埋蔵金すると、凪ははーちゃんにサプライズできません。はーちゃんも凪にサプライズできません
颯,それはそうだけど
凪,サプライズな火曜日のためにお互い秘密がよいのです。秘密の数だけ女は綺麗になると言います。やや、そうすると凪は絶世の美少女?
颯,双子だもん。一緒の顔だよ
凪,でも、サプライズしたい事も時も、一緒じゃないかも知れません。一緒かもしれないが。どっちだ
颯,……そっか
凪,メイビー
颯,……なんか今日は、みんなが大人に見えるなあ
凪,アダルトな魅力まで手に入れてしまったか。勝ったな
颯,もー。真面目な話だよ。泰葉さんも最後はぐらかしてたけど……なんか、はーが子供みたいじゃない
凪,自分でお金を稼いで、使い道を考えて。凪たちは一歩大人になりました――多分。もしかしたら
颯,そうしていつか、そのお金で別々の道に進んだり……なんだかちょっと、寂しい気もする
凪,凪はちっとも
颯,えー！薄情じゃない！？
凪,だって凪とはーちゃんは今度の日曜2人で原宿にくりだします。今度はP抜き、羽目を外すぜ
颯,えっ、決定事項!?
凪,おや、はーちゃんは行きたかったものとばかり。違ったら凪のこの原宿に行きたい気持ちはどうすればいいのか。埋蔵すべき？
颯,ううん。はーも行きたい……うん、それでいいか、今は
凪,それでいいのです、今は
颯,――ね、今日一緒に寝ない?
凪,わーお。見たか世間のはーちゃんファン。これが姉妹特典だ。了解です
颯,たまにはいいよね。いっぱい話そう！
凪,たまにはいいのです――いつだって
