善子・鞠莉・千歌,やってきましたローマ！
鞠莉,さすがマリーね！
善子,で、でも！鞠莉は話しかけても逃げられてたわね
鞠莉,そうよ！善子は絶対一発で仕留めるじゃない！何で！？
善子,鞠莉はすいません！みたいなこと聞いちゃうから逃げられるのよ。津島イングリッシュは相手に近づいていって一ユーロコイン絵誰？これだけで通じるから
千歌,だから全員立ち止まってくれたんだ！
鞠莉,ムリヤリ止めてるだけじゃない！不審者みたいで怖いわ！
善子,誰が不審者よ！
千歌,じゃあ最終問題ね！初代ローマ皇帝は誰でしょう？
善子,ヨハネ
千歌,ぶぶー！
善子,わ、わかってるわよ！。皇帝……。ベリベリビッグペンギンイコールホワァッツペンギン？
市民,Well...sorry,Idon'tknow.(う～ん……ごめんなさい、わからないわ)
善子,アイドンノー？
市民,Iunderstoodwhatyouwantedtoaskbut...(あなたが聞きたいことはわかったんだけど……)
善子,オー……。ハーイ！マイのあとにセイ！ケープペンギンケープ
市民,CapepenguinCape.
善子,フンボルトペンギンフンボルト
市民,HumboldtpenguinHumboldt.
善子,コウテイペンギンホワァッツ？
市民,KouteipenguinWhat's?
善子,ちょっwwそれただ繰り返してるだけ。ベリベリビッグペンギンネームカモン
市民,Evenifitisabigpenguin,therearemanykinds.(大きいペンギンといっても色々な種類あるわよ)
善子,ほらほらあの～世界三大ペンギンもっとどんどんどんどんセイ
市民,Emperorpenguin,Kingpenguin,andthen...(コウテイペンギン、オオサマペンギン、それから……)
善子,エンプローペンギン？本当に？
市民,Emperorpenguin.
善子,あ！エンペラーね！オッケーセンキュー！。ハーイ！ホワァッツネーム？
観光客,Jasmine.
善子,オージャスミン！ローマのエンペラーはホワァッツネーム？
Jasmine,Sorry,Idon'tknow.
善子,ドゥーユーノーエンペラー？
Jasmine,……
善子,エンペラー
Jasmine,Sorry.
善子,ふっ、エンペラーが人を一人消し去ってしまったようね……やかましいわ！。ソーリーねローマのエンペラーネイムどんどんどんどんカモン
観光客,Emperorname?Heinrich,Friedrich,Wilhelm,Joseph...(皇帝の名前？ハインリヒ、フリードリヒ、ヴィルヘルム、ヨーゼフ……)
善子,なんかいろいろ出てきたけど……正解がワカラナーイ。アベリベリ有名なエンペラーネイムはどれね？。えぇ～どれよ正解は……。……あーもういいわ！一番最初に言ってたのが多分初代ローマ皇帝よね！
千歌,あ、善子ちゃん帰ってきた！それでは答えをどうぞ！
善子,ローマの初代皇帝は……ハインリヒ？
千歌,……残念！
善子,んにゃぁー！
千歌,正解はアウグストゥスでした！
善子,な、何その名前！かっこいい……！。っていうか！そんなのわかる訳ないじゃない！
鞠莉,という訳でクイズは2問正解ね！じゃあいよいよ最後のミッションよ！
千歌,さっきと同じように60秒待ってから開けてね！
善子,はーい！。……ナイン、テン、イレブン、じゅうに、じゅうさん……。……ごじゅうはち、ごじゅうきゅう、ろくじゅう！ミッションは？
【ミケランジェロの,最後の審判
善子,ミケランジェロってあの人でしょ？あの～……。まあいいわ！簡単ね、こんなの！。審判……審判……あ！。マイからクエスチョンオーケー？
留学生,What'swrong?(どうしたの？)
善子,プレイボール！アウトー！セーフ！ピピーッ！オーケー？
留学生,OK,OK...。...Then?(……それで？)
善子,ネイムネイム！ホワァッツネイム？
留学生,Michel.
善子,ミシェル？オッケーセンキュー！。オッケーハーイ！。ドゥーユーノーミシェル？
市民,Michel?。Sorry...Idon'tknow...(わからないわ)
善子,アイドンノー？オッケーセンキューね。えー？審判ってミシェルじゃないの？。ソーリーねプレイボール！ピピーッ！アウトー！
市民1,Playboy?
善子,レッドカード！ピピー！
市民1,Redcard...?No,Idon'thavearedcard.(レッドカード……？私は持ってないわよ)
善子,ノーノーノーノー
市民2,Youareabaseballreferee?(君は野球の審判をしているの？)
善子,へ？はいはいはいはい！ワンモアワンモアもっとスローリーセイ！
市民2,Youareabaseballreferee?
善子,ベースボールでフリー？
市民1,Yeah.
善子,ベースボールでフェラーリ？。え、フェラーリでベースボール？。ストライーク！バッターアウトー！……フェラーリ？
市民1,Referee.
善子,ソーリーソーリー！もっとスローリーカモン
市民1,Referee.
善子,ベースボールでフリー？本当に？
市民2,That'scorrect.(合ってるわよ)
善子,本当かなぁ～。ヘーイ！ナイスミーチュー！
観光客,Hi!
善子,ラストフェラーリはどこね？
観光客,DoyouwanttogototheFerrarimuseum?Thatwasprettygood.(フェラーリ博物館に行きたいの？あそこはなかなかよかったよ)
善子,え、フェラーリミュージアムにあるの？
観光客,Yes.However,Maranelloisfarfromhere.(ええ、ただ、マラネロはここから遠いわよ)
善子,え？それはインローマ？
観光客,No.
善子,ノー！？え～ミケランジェロのラストフェラーリはフェア？
観光客,Michelangelo?(ミケランジェロ？)
善子,イエスイエス！マイはヨハネマンミケランジェロはホワァッツマン？
観光客,MichelangeloisamanwhomadesculpturessuchasPietaandDavid.ThenhealsopaintedtheLastJudgement.(ミケランジェロはピエタやダビデ像などの彫刻、それから最後の審判を描いた人ですよ)
善子,ピエタ？ピエタ知ってる！ピエタアーンドホワァッツ何した人？
観光客,Pieta,David,TheLastJudgement...(ピエタ、ダビデ像、最後の審判……)
善子,ラストジャッジメント？
観光客,Yes.
善子,オー！オッケーオッケー！。ハーイ！ラストジャッジメントはフェア？
市民,AreyoufromJapan?(あなたは日本から来たの？)
善子,イエス！マイはジャパニーズ！アリトルマイジャパン！。ユーはどこニーズ？
市民,TheLastJudgementisintheSistineChapel.(最後の審判はシスティーナ礼拝堂にあるわよ)
善子,え？システィンチャップリン？
市民,SistineChapel.
善子,システィンチャップル？
市民,Yeah.TakethesubwayandgetoffatOttavianostation.(そう、地下鉄に乗ってオッタヴィアーノ駅で降りるのよ)
善子,ホワァッツステーション？スローリースローリーステイ
市民,Ottavianostation.(オッタヴィアーノ駅よ)
善子,オッケーセンキュー！。駅着いた～！。ドゥーユーノーソーリーソーリー？。ドゥーユーノーシスティン……なんだっけ？
観光客,SistineChapel?OK,forrowme.(システィーナ礼拝堂？OK、ついてきて)
善子,え、案内してくれるの？
観光客,ThisistheVatican.(ここがバチカンだよ)
善子,この奥にあるのね？
観光客,Yes.
善子,す、すごい……！天井にも壁にも大きい絵があるわ！何これ……！
千歌,おーい、善子ちゃ～ん！
善子,あ、千歌！鞠莉！と……月？
月,どうもー！今日ずっと撮影係してました！
善子,へ？撮ってたの！？
鞠莉,それを映し出してずっと車の中でモニタリングしてたの！
善子,嘘でしょ！？ちょっとぉ！
千歌,善子ちゃんはもうちょっと英語勉強してwwww
善子,だーかーら！通じればいいのよ！それが津島イングるリッシュ
鞠莉,イングるリッシュってwwww
千歌,そこで噛まないでよwww
鞠莉,……じゃ！そろそろみんなのところに戻りましょ！
善子,そうね！
千歌,2問正解だから今日のホテルはそこそこいい所だよ！
善子,はじめてのおつかいinローマ！
4人,大成功～！！
元ネタは,世界の果てまでイッテQ!
