何！？ドリフェス中に２回,胃袋に
紗枝,大丈夫なん？
モバＰ,問題ない、ちょっとそこで飲み物でも飲んでて待ってろ。もしもし・・・ネズミが一匹近くでうろちょろしてるんだ。危うく齧られそうになったよ。あぁいつもの通りあまり周りに迷惑かけないように頼む・・・あとはお前らに任せる。好きにしていい。じゃあ頼んだぞドッグ１。お待たせ
クラリス,もう大丈夫なのですか？
モバＰ,あぁ後は気にすることはない。忘れようか
紗枝,プロデューサーはんがそう言うんやったら大丈夫なんやろね
こずえ,ふぁ・・・ねむー・・・
モバＰ,じゃあそろそろ出るか
こずえ,すぅー・・・すぅー・・・
モバＰ,気分は子連れ家族
紗枝,あら？せやったら奥さんは？
モバＰ,・・・クラリスかな？
クラリス,あら？でしたら旦那様ってお呼びしましょうか？ふふっ
紗枝,うちが子供っぽいちゅうこと？ﾑｽｯ
モバＰ,普段はそうでもないが今みたいなとこが
紗枝,・・・いけず
モバＰ,ははっ、さっさと帰ってこずえ起こして撮影するぞ
クラリス,いけませんいけませんわ・・・まだその・・・妻というのは・・・うふ、うふふふふふふ
幸子,ＫＢカワイイボクと！
友紀,Ｙ野球！
乃々,Ｄで、ですけどー
友紀,この番組はあたし達ＫＢＹＤが様々なお店の新メニューを試食する番組です♪
乃々,聞いてほしいんですけど！？
幸子,もしかして本当に何にも聞いてないんですか？
乃々,えっと・・・何かの手違いなら帰りたいんですけど？
幸子,変ですねぇ？別の仕事で居ない紗枝さんの代わりに乃々さんが来るってプロデューサーさんが言ってたんですけど？
友紀,あ、ごめん・・・それあたしかも・・・
幸子,？
友紀,言伝頼まれてたんだけどうっかり・・・
幸子,もー！しっかりしてくださいよ！折角全国のファンがカワイイボクを見られる時間なんですから！
乃々,え？全国放送なんですか？
友紀,そだよー
乃々,・・・もりくぼは何にも聞かなかったことにしますので後はよろしくおねｇ
幸子,さ、行きますよー
乃々,ちょ！意外と力強いんですけど！？
友紀,幸子ちゃん色々ロケ行く度に強くなってるもんね・・・
幸子,さぁ着きましたよ！ここが今日のお店です！
友紀,お店って言うより屋台だね
乃々,考えるの止めた
幸子,さぁボクに負けず劣らずのカワイイメニューは～？
マルメターノおじさん,こちらダヨ
幸子,これはまた・・・
友紀,おぉ！ホットドッグ！いいねぇ！キャッツの試合見ながら食べたい！
おじさん,ははっ！そう言ってもらえると長年ソーセージ丸めてきた甲斐があるヨ
乃々,それは関係あるんでしょうか？
幸子,それではまず乃々さんからどうぞ♪
乃々,えっ！？もりくぼがトップバッターとか荷が重いんですけど！？
友紀,らいじょうぶらいじょうぶ・・・もぐもぐ・・・セーフティバント行けるって！名将姫川にお任せあれ！
幸子,友紀さんは何もう勝手に普通に食べちゃってるんですか！じゃあせめてお手本見せてくださいよ名将さん！
友紀,ん～・・・もぐもぐ・・・ビール欲しい
幸子,味の感想を言ってくださいよ！！あとロケ中です！！
友紀,かたいこと言いっこなしだよ。紗枝ちゃんも居ないし今のあたしは怖いものなしだ！
幸子,はぁ～・・・後で紗枝さんに言っておきますか
乃々,どうでもいいんですけど・・・その・・・あの・・・。お腹減ったんですけど・・・突然連れてこられたからご飯まだですし。・・・食べても・・・良いんですよね？
おじさん,はいヨ！ビールお待たセ！
友紀,おほ～♪やっぱりビールと合うなぁ！
幸子,何が名将ですか！ただの畜生じゃないですか！
友紀,失礼だなー。タダノは畜生じゃないよ！
幸子,そっちじゃありません！あぁもう助けて紗枝さーん！って乃々さんは・・・
乃々,ﾓｯｷｭﾓｯｷｭ
幸子,あっちも勝手に食べて・・・あ、でも・・・
乃々,ﾑｸﾞﾑｸﾞ
幸子,カメラマンさーん・・・あの乃々さんそーっと撮ってください・・・絶対物音立てちゃダメですからね。カワイイボクと同じで繊細ですから逃げちゃいますからﾋｿﾋｿ
乃々,ﾑｸﾞﾑｸﾞ・・・
幸子,こ、これは・・・こんな・・・口元マスタードで汚したような顔が・・・こんな・・・。こんなボクよりもカワイイなんて！！。何なんですかあれ・・・リスみたいにいっぱい口に頬張ってるのにそれが下品に感じるどころか愛おしさすら覚えてくるなんて・・・！。ただ無言で夢中になって食べてるだけ・・・。ボクにはあの無邪気なかわいさが・・・足りなかった・・・
乃々,あ、無くなってしまったんですけど・・・
幸子,乃々さん・・・
乃々,えっ！？あ！え～っと・・・む、夢中で食べてたからすっかり忘れてたんですけど！？
幸子,次は負けませんからね！ボクの方が絶対カワイイって思わせてみせるんですから！
乃々,は？え？えぇ～？
友紀,ｚｚｚ・・・ｚｚｚ・・・
乃々,えっ？あっ、締めの挨拶ですか？・・・えっと・・・また次回も見てほしいんですけど～・・・
