光の勇者,以下、勇者
勇者,お前……邪推だったら、自分で自分の首を締めただけだぞ！？
地王,しかし、まあ……風の四天王の協力は取り付けた……な？
勇者,ああ、まあ……そうだな
地王,水の四天王は顔を合わせられず……火の四天王は保留だ
勇者,……それで、こんなにすぐ帰ってきたのか
地王,……こんな成果では、おめおめと帰れなかった。己の無力を嘆いた俺は――酒場へと赴いたのだ
勇者,……。待て
地王,久々の酒は美味かった！ああ、美味かった！
勇者,お前……飲んで、どうした！？
地王,銘酒竜殺し！スルリとした飲み口で、カパカパいけた！
勇者,酒の感想なんか聞いちゃいねえんだよ！
地王,朝起きたら見知らぬ女がベッドに居たのだ！。薄らぼんやりと、ヤっちゃった記憶があるのだ！
勇者,なんでお前はそうなんだよおおおおお！？。お前！それでどうしたんだ！？
地王,うむ！その女が寝てる間に逃げてきたぞ！
勇者,このクズ！んあああもう、このクズ！
地王,大丈夫だ！俺が、地の四天王とはバレていない！多分！。それでな？確か……。雷の――勇者だったか、女帝だったかと言っていたのだが……。光の勇者よ、どちらだと思う？
勇者,俺に聞くんじゃねえよおおおおお！！。お前って奴は……どうしてだよ！？
地王,うむ……俺も、自分で自分が恐ろしい
勇者,いっそ、全部話した方が早いんじゃねえか！？
地王,光の勇者よ、何を言っている！。和平など、有り得ぬ！。――全滅か！。――先延ばしか！。既に……和解など出来ぬ状況なのだ！
勇者,お前のせいでな！
地王,それでな？先延ばししている間に、なっ？。良い感じに、時が解決してくれると……俺は信じているのだ
勇者,クソッ……どうして、こんなにややこしくなったんだ！
地王,――光の勇者よ、すまぬな。俺が、酔ってヤっちゃったばかりに、迷惑をかけている
勇者,本当にな！？
地王,だが……そのおかげで、こうして気安く話せる仲になれた。その点に関しては、俺に感謝しても良いのではないか？
勇者,うるせえよ！……うるせえよ！！
地王,何にせよ、あまり時間は残されていない
勇者,まあ……そうだな
地王,祝福の聖女のお腹が目立つ前に、何とかせねばな！
勇者,……本当にな！
地王,さて……それでは
大地の魔女,――明日に備えて、今日はもう寝るか！
勇者,くそっ……どうしてこうなったんだ……！
祝福の聖女,以下、聖女
剣の乙女,以下、乙女
聖女,すみません……迷惑をかけちゃいますよね
乙女,何を言ってるのよ、水臭い。――赤ちゃんと、光の勇者との結婚。祝福の聖女……本当に、おめでとう
聖女,ふふっ……ありがとうございます
乙女,旅が中断している間……私達が、貴女も守るわ
聖女,剣の乙女さん……
乙女,光の勇者と、私と……大地の魔女のお姉様の三人で、ね
聖女,本当に……ありがとうございます……！
乙女,猶予は三年、でしょう？。それだけあれば……私も、お姉様との子供を授かれると思うの。だから、私も感謝してるわ
聖女,……はい？
乙女,ふふっ！きっと――奇跡が起きると思うのよね！
聖女,……。えっ！？
