・桃太郎形式なので、アイドルの呼び名が,犬
武内P,はい。心配していただき、ありがとうございました。その年配の男性の方も、私の将来を案じてくれてのことですので
茜,そうでしたか！確かに結婚は重要なことだから心配になりますよね！私も心配です！
武内P,日野さんが……ですか？日野さんの年齢で結婚の心配をするのは、正直意外です
茜,そ、それが……この前聞いたんです。結婚前にウェディングドレスを着ると、婚期が遅れるって。私、プロデューサーが担当してくれていた時に、一回着ちゃってます！！
武内P,そのことでしたか。確かにそういったジンクスはありますが、日野さんはまだまだお若いのでそこまで心配しなくても大丈夫ですよ
茜,でも私……子どもは三人欲しいって考えているんです
武内P,……なるほど。それでしたら遅くとも二十代のうちに……結婚が早いに越したことはありませんね
茜,あ！閃きました！ズッキューンッて頭を撃ち抜かれました！
武内P,何かいい案が思いつきましたか？
茜,プロデューサー！もういつ結婚するか決めておきましょう！！！
武内P,決めるといいましても……日野さんはお相手はまだ誰かわからないでしょう
茜,え？
武内P,え？
茜,プロデューサーですよ？
武内P,え？
茜,え？
武内P,あの……どういった意味でしょうか日野さん？
茜,もうプロデューサーったら。私がウェディングドレスを着た時のことを忘れたんですか？
武内P,たしか……
茜,あ、あとで知ったんですが！教会へゴールインは結婚という意味があると！！
武内P,そ、そういう意味も確かにありますが
茜,いきなり結婚は無理ですが、私が婚約者になればこれからプロデューサーがセクハラやパワハラを受けることもありませんし、万々歳です！
武内P,ちょ、ちょっと待ってください！日野さんはそれでよろしいのですか？
茜,え？
武内P,ですから、その……いくら早く結婚したいからといって、他に好きな男性や好みがあるのではないですか？
茜,え？。私、プロデューサー以外と結婚する気はありませんよ
武内P,
茜,今にして思えば、あれはまだ意識していなかった恋心の為せる技！頭ではなく心が理解し、プロデューサーに告白していたのですね！
武内P,
茜,じゃあプロデューサー、いつぐらいに結婚しましょうか！やっぱり二十歳になってた方がいいでしょうか！それとも高校を卒業してからにしましょうか！
武内P,あ、あの……日野さん
？？？,その簒奪待った！
茜,サンダツ！？サンダツって何ですか！？
？？？,ふぇっ！？え、えっと……ひ、人の物を横取りすることです！
茜,横取りですか！それはいけませんね！許せませんね！
？？？,し、然り！故に、汝は疾く去るがいい！魔人をはべらせるのは太陽で非ず、魔王なり！
茜,し、叱る！？確かに横取りは叱りませんと！ところでトーク猿ってなんですか！？ずいぶんと頭がいいお猿さんですね！
？？？,ぴぃっ！？あの……そういう意味じゃなくって……プ、プププ
茜,プロヴァンスの風ですか！？
蘭子,プロデューサーと結婚するのは私なんです！
武内P,！！？
茜,なんですと！？
蘭子,約束したもん！
茜,いつですか！？
蘭子,昨日！
武内P,昨日！？……あ
蘭子我が瞳に囚われし者をねぎらうは魔王の務め！言われるまでもない！,はーい、行ってきま～す♪
蘭子,け、“結婚”の話してる……ッ！？
武内P,誰を紹介するつもりなのでしょうか……
偉い人,た、武内君。彼女は何と言っているんだね？怒らせてしまったのはわかるんだが
武内P,……これは中難度神崎さん語です。私も完全にはわかりません
蘭子わかればよい。そして汝の娘との交わりは我も愉快であった,わかってくれたらいいんですよ。それと娘さんとのお話は私も楽しかったです
武内P,……まさかアレは、これからもプロデュースして欲しいという神崎さん独自の表現ではなく、そのままの意味だったというのですか！？
茜,本当ですかプロデューサー！？結婚前なのにもう不倫ですか！？別れませんよ私は！！！
武内P,ち、ちがっ……
蘭子,我が友の心は我にある！赤き太陽よ、日が昇る前に交わされた契約を前に退くがいい！プロデューサーと一番新しく約束したのは私です！諦めてください！
茜,この程度で諦めるものですか！プロデューサー！もう今から結婚しましょう！ドレスなら衣装部屋にすしざんまいです！
武内P,ま、待って……
蘭子,なっ……ならば我も時計の針を進めよう！我が友よ！魔王降臨の儀を行う！結婚できる年齢とか関係ありません！プロデューサー、結婚します！
茜,なんですとぉ！？蘭子ちゃん、それは無理です！
蘭子,時計の針は元には戻らない。だが、自らの手で進めることはできるなんかこう、無理矢理できる範囲です。きっと！
武内P,いったいどうすれば……ハッ！？
菜々,……
武内P,あ、安部さん？
菜々,……駿ちゃん
武内P,安部さん！？いったいどうしましたか！？
蘭子,永遠の来訪者！？汝の身に何が！？
茜,腰痛の再発ですか！？私が背負いましょうか！？
菜々,駿ちゃんが……駿ちゃんが……
武内P,安部さん……？
菜々,まだ未成年の子……それもクールじゃなくて、キュートとパッションの中でもとびっきり純情な子を……同時に二人もたぶらかして……
蘭子,え？
菜々,お姉ちゃん情けなくって……悲しくって……あんなにいい子だったのに……
茜,ンンン？菜々ちゃんは私と同い年で、プロデューサーはそろそろ三十近くて……え？え？え！？
菜々,いえ……きっと菜々が悪いんです。“大きくなったら菜々お姉ちゃんと結婚する”って言ってた駿ちゃんの初恋をキレイに終わらせないまま、菜々が東京に出てしまったせいで……幼い駿ちゃんにトラウマを与えて、歪めてしまい……
武内P,～～～～～っっっ
蘭子,な、なななっ……我が友のヴァージンラブは……既に簒奪されていた……だと！？
茜,菜々さんとも結婚の約束していたんですか！？また不倫ですか！？でも私と子どもを愛してくれるんですよね！？
武内P,日野さん、その話は後で。お姉ちゃ――じゃなくて安部さん！？社内では秘密という約束では！？
菜々,駿ちゃんが……私のせいで歪んだ大人に……ヒック……ッ……グス……かくなる上は
武・蘭・茜,かくなる上は！？
菜々,菜々が結婚して駿ちゃんを矯正しますっ！！！
神父,新郎駿ちゃん。あなたはここにいる菜々さんを、病める時も、健やかなる時も、富める時も、貧しき時も、妻として愛し、敬い、慈しむ事を誓いますか？
武内P,
神父,新婦菜々さん。あなたはここにいる駿ちゃんを病める時も、健やかなる時も、富める時も、貧しき時も、夫として愛し、敬い、慈しむ事を誓いますか？
菜々,はい、誓います！
魔王・太陽,
菜々,年上の女房は金の草鞋を履いてでも探せ、ですよね駿ちゃん♪
武内P,――はい
あと百連して菜々パイセンをお迎えしようか迷ったけど、前回ご理解してから間もないことと、近いうちに,ハロウィン
最近ガチで菜々さんとまゆの担当になりそうだけど、これ以上ご理解上等が増えると財布がちひろさんなので耐えなければ……ッ,現在９人
実は今回の話は２～３年前にダイ・アモン登場辺りを書いている時に,あれ？これ読者置いてけぼりじゃね？
