それではプレイb佐倉,待って！！！
宮前,兄ならちゃんと教育しとけよ……
若松,先輩、初球はこれで。死球は絶対避けてくださいね！！
瀬尾,オッケー。そーれ！！
若松,サインと違う球投げてる！！全然分かってないじゃないですか！！
十和,ど真ん中！！？
野崎,打てますよ剣さん！！
タヌキ,ストライーーーーク！！
宮前,……
野崎,大丈夫ですよ剣さん！！次があります！！
前野,あっはははは！！！今の見た！！？。流石運動音痴の宮前くん！！面白いなー！！。……あ！！今度は写メ撮ろ！！
宮前,……
御子柴,す、すげえ怒ってるぞ……
遼介,もしかして……ポールダンスでも踊るのか！？
佐倉,なんでそう思うんですか！！？
タヌキ,バッターアウト！！
宮前,くそ……なんで当たらないんだ
前野,あれだけ殺意剥き出ししてるのに打てないとか……あーはっはっ！！
十和,わ、笑い過ぎじゃあ……
野崎,流石剣さんです！！
宮前,！！？
佐倉,の、野崎くん！！？
野崎,俺達子どもに気を使ってわざと三振にしたんですね！！
宮前,……。……そうっすね
麗,貴方がたは……裸の関係なんですのね///
若松,は！！！？
瀬尾,若ー、何キャッチミスしてんだよー
夢子,真由くん！！兄妹のよしみで手加減して！！
真由,……
小林,！！？ちょ、何打ちごろ投げてんだよ！！？
真由,ここでチャンスボールあげないと後々色々言われてめんどくさい事になりそう
夢子,ふんっ！！
タヌキ,ストライーク！！
小林,……まぁ三振とったからいいか
夢子,……
小林,……？
夢子,転校生ですか！？
小林,は？
若松,いいですか！！次はちゃんとサイン守ってくださいよ！！
瀬尾,分かってるってー……で、次は誰？
野崎,俺だ……剣さんの仇は俺が取る！！
若松,野崎先輩か……これじゃ一筋縄じゃいかなさそうだ
野崎,……
若松,……ん？何か取り出した……。zzz……
瀬尾,若！！！？
御子柴,あいつ……ローレライのBGMを再生させて若松を眠らせやがった！！
麗,策士ですわ夢野先生！！
野崎,審判、キャッチャー交代した方がいいと思います。瀬尾は若松を失った事によりやる気をなくすはず！！
前野,じゃあ彼に代わって僕がキャッチャー！！
瀬尾,……なんかやる気でね～
堀,鹿島！！復活できそうか！？
鹿島,すいません、まだ……いたた！！
若松,zzz……
瀬尾,若も無理っぽい
堀,……くそ、なんとかして野崎の弟を止めねえと。ん？
野崎,行こう佐倉
佐倉,うん！！野崎くんのボール、全部受け止めるよ！！！
夢子,あれ！？真由くんじゃない！！
マミコ,何かあったのかしら……
真由,投げるのめんどくさくなった……
小林,柔道選手と試合したいんじゃないのかよ！！？
真由,野球してる時間があるなら柔道に使いたい……
小林,
野崎,ふん！！
夢子,わっ！！
タヌキ,バッターアウト！！
佐倉,凄い……ミットがあるところにボールが来る！！。野崎くんかっこいい！！///
野崎,妹と言えども手加減はしないぞ夢子
堀,意外とやるなあの二人……
夢子,お兄ちゃん強い……
タヌキ,バッターアウト！！
十和,すいません、僕も駄目でした……。テニスラケットを使ったのに……
堀,なんのスポーツか分かってるか？
十和,……///
鹿島,無理にボケなくてもいいからね？
鈴木,さぁ来い！！ホームランを打ってやる！！
佐倉,野崎くん！！鈴木だよ！！
都,ホームランを打たれたらサヨナラ負けね……
野崎,鈴木か……だが相手が悪かったな。原作者の権限を使って……この打席三振にさせてもらう！！
鹿島,えっ！！？
御子柴,野崎の奴、今ここで描いて展開を変える気だ！！
堀,卑怯だぞ野崎！！
宮前,最初からやれよ……
マミコ,鈴木くーーーーん！！！あんな奴に負けないでーーーーーー！！！
野崎,！！！
鈴木,……！！マミコ……。そうだ……僕には……マミコがいる！！。チームのみんなの為にも……マミコの為にも……。僕は……そんな力に屈しない！！
野崎,なっ！？描こうとしていた原稿が破けた！！？。しかも手が勝手に動いて投げてしまった！！
鈴木,はああああああああ！！！
タヌキ,ホームラーーーーーーーン！！！！！
瀬尾,鈴木すげーー！！
夢子,逆転勝ちだーーー！！！
若松,zzz……
マミコ,鈴木くーーーーん！！！
鈴木,マミコーーーーーー！！！
前野,僕が思う通りの展開になったね！！きっと僕のアイデアが鈴木くんに通じたんだね！！
野崎,……
佐倉,の、野崎くんは何も悪くないよ！！！
御子柴,気にすんなって
野崎,この負けたようで勝ったような気持ち……なんだろうな
麗,夢野先生……？
野崎,俺の描いたキャラクターが……こんなにも強くて……ちゃんと主人公してるとは……改めて気づいた。これなら今度の強豪校との試合の話は何の心配もないな！！
宮前,野球じゃなくて恋愛しろよ
