おっちゃん,おめでとーう！特賞大当たり！！
ガヴリール,いいだろう。今日はお前に夕飯を作る権利を与えよう
ヴィーネ,謹んで遠慮するわ。って冷蔵庫に何にもないじゃない。ガヴ、一緒に買い物行きましょ
ガヴリール,えー、めんどくせー
ヴィーネ,いーくーのーよ
ガヴリール,あ、ヴィーネ。こっち行く方が近道だよ
ヴィーネ,え？ふふ、近道はもうやめておきましょ
ガヴリール,こいつ、思った以上にどハマりしてんなあ……。こういうタイプは一度ハマると一直線だからなあ。大変なことにならなきゃいいけど……ま、ヴィーネだったら大丈夫だろ
ヴィーネ,さあ、ご飯も食べてお風呂も入って！
ガヴリール,Titanfall2をやるぞ！
ヴィーネ,おー！！。とはいえ、まずは何から始めたらいいのかしら。ルールもたくさんあるみたいね……
ガヴリール,とりあえず消耗戦からやるといいよ
ヴィーネ,わかったわ。武器とかタイタンとかは？
ガヴリール,武器は……そうだな、フラットラインかR-201あたりがおすすめ。タイタンは好きなの選んでいいけど、トーンが一番使いやすいかな。消耗戦は最も基本的なルールで、他のゲームで言うところのチーデスと言えばわかりやすい
ヴィーネ,あ、始まったみたい
ガヴリール,ちょっと違うのはミニオンと呼ばれるNPCを倒してもポイントになるということ
ヴィーネ,タイタンフォール！はあ！？いきなりコアで溶かされた！！
ガヴリール,このミニオンをきちんと処理しつつ、キルを取られないように相手をキルしていくのが基本的な立ち回り
ヴィーネ,もおおおおおおなんなのよこいつポンポンポンポン物陰からMGL撃ってきてぇ！！
ガヴリール,プレイ人口が最も多く、考えることも少ないので、操作に慣れるという意味でも最初はこれがおすすめです
ヴィーネ,あれ……私12点しか取れなかったけど勝っちゃったわ
ガヴリール,慣れてきたら敵の数からリスポーン位置を読んでみたり、味方のタイタンと連携したり、奥の深いルールでもある
ヴィーネ,ねえガヴ！なんか始まったわ！撤退戦ってなにすればいいの！？
ガヴリール,お前ちょっと黙ってろ
ヴィーネ,はー、面白かった。ってもう夜の三時じゃない！Titanfall2、悪魔の発明品だわ……
ガヴリール,そろそろ寝るか？ふああ、私も眠くなってきた
ヴィーネ,じゃあ電気消すわよ？ちょっと、もう少しそっち詰めてよ
ガヴリール,んー。うぐ
ヴィーネ,ふふ……ガヴ、おやすみなさい
ガヴリール,んん……おやすみ……
ヴィーネ,……ねえガヴ？
ガヴリール,ん……？
ヴィーネ,明日になったら、他のルールも教えてね
ガヴリール,うーん
ヴィーネ,私、あのスコーチっていうタイタンを使いたい
ガヴリール,………
ヴィーネ,だめかな？
ガヴリール,……スコーチは……すこーち、難しいぞ……
BT-7274,駄洒落を検知
ヴィーネ,ふふ、BTからの評価は低いみたいね……。……
ガヴリール,……
BT-7274,……
ラフィエル,おはようございます、ガヴちゃん。ヴィーネさんは……
サターニャ,ヴィネットは今日も休み。ったく、悪魔のくせにたるんでるわ！
ガヴリール,まさか……
ラフィエル,ガヴちゃん、放課後、様子を見に行ってあげてはどうでしょうか？
ガヴリール,うーん。まあ、そうだな……
サターニャ,いつも世話してもらってるんだから手土産の一つでも持って行ってあげなさい！
ガヴリール,はいはい……
ヴィーネ,はあああああ？？？？？？いま私のほうが先に格闘押しましたから！！！。チッ、まあいいわ次よ次。ちょっと、邪魔！邪魔！なんでこんな狭い通路でタイタンフォールしてるのよもおおおおおお。気を取り直して賞金稼ぎしましょ……ふふ、賞金稼ぎ民はエイムがガバだからMVPも余裕でとれるはず。ちょ、待ってよ！！600も持ってかれたんですけど！？！？！？！？。………。はぁ……………。……滅べっ！
ガヴリール,ヴィーネ……？
