美城常務,ふむ……全員、集まったようだな。ではこれより会議を始める
周子,へーい。おー、確かに、山菜のわりにしっかりしてるね。京都の天ぷらにも負けないんじゃないかな？衣を薄めにして、"食べている"感を強めてるのもいい感じ。きっと、お酒があれば飲みたいような味かもね。かるーく塩を付けた方が、アタシ、"塩"見シューコちゃん的にはおすすめかな
奈緒,おお……
凛,流石、そつなくこなすね……
加蓮,私たちとありす以外で一番まともなの、案外周子なのかも
奏,私じゃなくて！？
加蓮,そういうとこだからね
常務,次はマイタケの天ぷらだな、大槻
唯,はい！。わ！美味しい！。最初はサックサクで！でもキノコはちゃんとキノコー！って感じでいい感じ！。しょーこちゃんにも食べさせてあげたい！ちょーおいしいよ！
凛,唯らしいね
奈緒,伝わればそれが1番だもんな
唯,ひゃっはー！
ありす,それいります？
常務,メイン食材はここまでだな、次、渋谷には茶碗蒸しを食べてもらう
凛,茶碗蒸し……。出汁が利いてておいしい……。タケノコとか銀杏も秋の味覚って感じでいいね。わりと食べごたえもあるし、美味しいよ
常務,普通だな
凛,いいでしょ！？
常務,鷺沢、味噌汁
文香,うまい
常務,なるほど
凛,レポでもなんでもないじゃん！！！
常務,速水、漬物を食べてくれ
奏,ええ、わかったわ。……。あら、思ったより味が強くくるわね。ご飯が進みそう
ありす,やかましいですね
奏,漬物といえども、立派な料理だということを思い出させてくれる……
凛,こんなにﾎﾟﾘﾎﾟﾘ音が似合わないのは奏くらいかも
奏,素晴らしいﾎﾟﾘﾎﾟﾘﾎﾟﾘﾎﾟﾘ腕前ね！ﾎﾟﾘﾎﾟﾘﾎﾟﾘﾎﾟﾘ
奈緒,うるせぇ！！！！！
常務,炊き込みご飯を北条
加蓮,はいはい……。ん、ご飯にちゃんと味が乗ってるね、これだけでも十分進みそう。タケノコ、ニンジン、鶏肉もしっかり印象に残るし、彩りもきれい……。うん、美味しい。……病院の時のご飯と比べたら、本当に……。こうやって、みんなで一緒にっていう雰囲気も、ね。って、しんみりさせちゃったかな？ごめんごめん
みんな,……
加蓮,ええ！？そ、そんなに！？
奈緒,がれえぇぇぇん！！！！
加蓮,ち、ちょっと！奈緒！
常務,目にゴミが入っただけだ
奏,誰も……聞いてないわよ……
常務,すまない、取り乱してしまったな
唯,だいじょぶだいじょぶ！
ありす,今回は、しょうがないと思います
加蓮,ごめんって
常務,最後は神谷だな
奈緒,あー、忘れてた……あれ？もう一通り全部食べたんじゃないのか？
常務,水だ
奈緒,水ぅ！？
常務,ああ、飲んでくれ
奈緒,はぁ！？
常務,さあ
奈緒,わ、わかったよ！
常務,どうだ
奈緒,水だよ！！！！！
常務,以上、プロジェクト食おーね・食レポのコーナーでした
凛,そのタイトル初耳なんだけど！？
奈緒,あたしをオチに使うな！！！！！
常務,さて、素晴らしい食事だったな
フレデリカ,美味しかったー！
ありす,まあ、料理は素晴らしかったですね
奈緒,あたしも食レポしたかった……
唯,次は何をするのー？
常務,ああ、この料亭は果樹園に隣接していて、普段は食後のデザートにその果物が出される
周子,おおー
常務,だが今回は、果物狩りを兼ねて、自分でデザートを獲ってもらう
凛,ふうん、楽しそうだね
奏,どんな果物が獲れるのかしら？
常務,バナナ、パパイヤ、マンゴー、パイナップル
奈緒,亜熱帯かよ！？
ありす,この緯度で！？
常務,もちろん冗談で、ブドウ、リンゴ、ナシ、モモの4エリアに分かれている
文香,馬鹿みたいに大きいのですね……
ありす,一言余計なんですよね
常務,各地に水道や机があり、その場で食べることもできる。もちろん、みんなで持ち寄って1か所で食べるのも良いだろう。制限時間は私が飽きるまでだ
奈緒,わかんねぇよ！！！
常務,では……、散！！！
ありす,始まり方が無駄にかっこいい
奈緒,……だってさ、どうする？
加蓮,まあ、せっかくだから色々なの食べたいよね
凛,じゃあ、分かれて、後で持ち寄ろうか
加蓮,そうしよっか
奈緒,そうだな
凛,じゃあ、2年後に！
奈緒,遠いよ
加蓮,シャボンディ諸島で！
奈緒,どこだよ
ありす,さて、とりあえずはリンゴでも……。イチゴがないのは残念ですが、シーズンもズレてますしね……。あ、あのリンゴ、美味しそう……。えいっ。あ、あれ？と、届かない……。えいっ！えいっ！。……諦めましょう
フレデリカ,あ～りすちゃ～ん！
ありす,げ、……何しに来たんですか
フレデリカ,ふふふ……、あのリンゴが欲しいのかな？取ってしんぜよー！
文香,いえ、私にお任せを、ありすちゃん
ありす,ふ、文香さん！？
フレデリカ,わ！出たな！鷺沢！
文香,宮本は引っ込んでいたらどうですか？
ありす,苗字で呼ぶ距離感でしたっけ！？
フレデリカ,あのリンゴだよね！？
ありす,そ。そうですけど
文香,私でも手が届きそうです……
フレデリカ,フレちゃんが取るんだよー！。あっ……
文香,あっ……
フレデリカ,……///
文香,……///
フレデリカ,フミカ……ちゃん……///
文香,フレデリカ……さん……///
ありす,なんでそこでフラグが立つんですか！？！？！？
フレデリカ,仲良くが一番だよねー
文香,仰る通りです……
ありす,ええ……
フレデリカ,はい、あーん
ありす,え、ええ！？
フレデリカ,ほらほら～！
ありす,あ、あーん……。///
文香,……。……。……
ありす,ちょ、文香さん！無言でリンゴを近づけないで！
凛,さて、適当に取って、合流しなきゃね。どれがいいかな……
唯,あれとかおっきくって美味しそうだよ！
凛,あ、ホントだ……。って、唯！？
唯,はろはろ～！
凛,えっと、唯もブドウ？
唯,ううん！適当に歩いてたらここについちゃった！
凛,ふふ……、唯らしいね
唯,……
凛,……？どうかした？
唯,凛ちゃん、疲れてない？
凛,えっ……？
唯,っていうか、トラプリ3人！いっつも大きな声出してるから……
凛,あー、……大丈夫だよ、ちょっと大変だけど、ちゃんと楽しいからさ
唯,そっか！ならよかった！あ！アメちゃんあげるよ！他の2人にもあげといて！
凛,ん、悪いね……、何味？
唯,ジンギスカン！
凛,ごめんいらない
唯,それにしても、じょーむって面白いよねー！
凛,ブドウ、もう食べてる……
唯,はい！凛ちゃんもどーぞ！
凛,あ、ありがと……。おいしい……
唯,何の話だっけ？
凛,常務でしょ？
唯,そうそう！
凛,いや、そりゃ端からみれば愉快極まりないけどさ、実際に関わるとなると……
唯,凛ちゃんも、将来はあんな感じのくーるびゅーてぃーになるのかな？
凛,冗談じゃない！！！！！
唯,わ！ビックリした！！！。って、あ！！！
凛,ど、どうしたの？
唯,ビックリしてブドウのタネ、飲んじゃった！
凛,え？ああ、ごめんごめん
唯,ブドウになっちゃう！！！
凛,ならないよ！？
唯,ならないの！？
凛,そんなに驚くかな！？
唯,じゃあガムを飲んでもガムにならないの！？
凛,タネですらないじゃん！ガムになるって何！？
唯,え！？ガム知らないの！？
凛,ガムは知ってるよ！！！
唯,え！？ベム知らないの！？
凛,妖怪人間は関係ないでしょ！？
唯,ベムに謝ってよ！！！
凛,唯の怒りのツボはどこなの！？！？
加蓮,さて、ナシだけど……。ま、どれを取っても一緒でしょ。目についたやつを取ろっと
周子,と、思うじゃん？
加蓮,うわ！お、脅かさないでよ……
周子,あ！平気！？心臓動いてる！？
加蓮,そこまで弱くないし！
周子,よかったー、この歳で人殺しはちょっとアウトだよね
加蓮,人殺しはどの歳でもアウトだからね
周子,加蓮ちゃん、美味しいナシの見分け方、教えてほしい？
加蓮,え、そんなのあるの？
周子,ないけど？
加蓮,……
周子,あ！平気！？血圧上がりすぎてない！？
加蓮,その心配するふりして煽るのやめてよ！
周子,フンフンフフーン
加蓮,味方の持ちネタパクってるし
周子,シオデリカ～
加蓮,その場合塩見シオデリカだけどいいの？塩分2倍よ？
周子,うわめっちゃ面白い！
加蓮,うるさいな！
周子,さて、本題に入ろっか
加蓮,え……？き、急に真剣な表情に……
周子,ここどこ？
加蓮,迷子だったの！？
周子,あずきバーで加蓮ちゃんに殴られたとこまでは覚えてるんだけど
加蓮,捏造しないでくれる！？
周子,あんまり大きな声を出さない方がいいよ？
加蓮,誰のせいだと思ってるの！
周子,あたしのせいだと思う。ごめんなさい
加蓮,反省早っ
周子,常務のことは嫌いになっても、シューコちゃんのCDは買ってね☆
加蓮,身勝手極まりない！！！
周子,でも、調子悪くなったら言わなきゃダメだよ？
加蓮,……掴めないなあ
奈緒,いよっし！取るぞ！。どういうのがいいとかはわからないけど、とりあえず大きいやつを……
奏,……あら？ようこそ、このモモエリアに人が訪れるのは何年ぶりかしら
奈緒,うわあ、めんどくさそうなのに絡まれた……
奏,そんなこと言われると傷つくわ……。私だってたまには自由に振る舞ってみたいのよ
奈緒,たまには？
奏,あのメンバーに囲まれていると、どうしても個性が消えてしまいがちになるのよね
奈緒,むしろどこにいる時よりも奏は輝いて見えるけどな？
奏,あら、そんなに褒められると照れるわ
奈緒,皮肉だよ
奏,モモと言えば、こんな逸話を知ってる？
奈緒,逸話？
奏,ええ、哀しき魔女の話……
奈緒,知らないけど……、有名なのか？
奏,これは、遥か昔の、遠い国のお話なの
奈緒,あ、始まるんだ
奏,ある国の、それはそれは美しい女性が、モモを育てていたの。でも、戦火によって、自慢のモモ園は壊滅状態……。自らも傷を負い、最後に残ったモモの木の下で、最後のモモを食べたの。そう、こんな風にね。すると……
奈緒,す、すると……？
奏,なんと、その女性が……え、まって、美味しっ！このモモ、美味しい……。えっ、ちょっとまって、なにこれ、美味し……えっ。これやば……、美味し……、え、すご……、美味しい！！！。ちょっと！奈緒も食べてみて！
奈緒,逸話は！？！？！？
奏,逸話？ああ、なんやかんやで、なんかこの世を支配するだけよ
奈緒,そこを話せよ！！！気になるじゃんか！！！
奏,そんなことよりモモよ
奈緒,話し始めたのは奏だろ！？
奏,はいはい、どうぞどうぞ
奈緒,自由かよ……。……うわ！美味いな！？
奏,ね？
奈緒,そのドヤ顔は誰の目線に立てば出てくるんだ！？
常務,皆、果物狩りは楽しめたか？
奈緒,なんでリンゴ食いながら話してるんだよ
フレデリカ,楽しかったー！
唯,うんうん！
文香,常務がいなかったからですね……
ありす,敵意が明確すぎる
常務,では、みんなお馴染み、バスガイドの美城に戻らせてもらおう
奈緒,誰も求めてないけどな
凛,さっきの一回で"お馴染み"にカテゴライズするの傲慢すぎるでしょ
常務,さて……。ハイテンションプリーズ！！！
加蓮,とうとうCAだとしても間違ってるし！！！
フレ・文香・周子・奏・唯,Foooo!!!!!!
ありす,対応能力おかしくないですか！？
常務,移動中のバス内といえば何だ？北条
加蓮,え、また私！？えっと……
常務,そうだ、カラオケだな
加蓮,もう怒る気力もないんだけど
常務,しかしこのリンゴ、鮮やかな赤い色をしている……、紅葉もだが、秋のイメージカラーが赤になるわけだな
奏,そうね、赤は人の目を惹きつける色……
周子,うんうん、例えば妖艶なルージュで紅に染まった唇
フレデリカ,最初に目に入ってしまえば、その唇に心を奪われるのは仕方ないかもね～？
奏・周子・フレ,そう、唇に
ありす,え？え？？？
奈緒,こ、このイントロは……
凛,いつ打ち合わせとかしてるの！？
文香,ハイハイハイハイ！！！
加蓮,なんか厄介な人いるし！
奏,ありがとう
ありす,……いや、歌は凄かったですけど
奈緒,本来なら、生歌をバスで聴けるってホントに凄いことなのにな
凛,うわ！
加蓮,間髪入れずに次にいくの！？
ありす,というか、このイントロは……
奈緒,！？
フレデリカ,ありすちゃん！
ありす,えっ！？え！？
みんな,……
ありす,ええ……、し、しょうがないですね……
常務,やった！！！
奈緒,それが言いたいだけだろ！！！！！
常務,そうこうしている間に、次の目的地が近づいてきたな。喉も温まったようで何よりだ
加蓮,ライブするわけじゃないんだから喉とかどうでもいいでしょ
奈緒,ってかあたしたちは最初から叫びっぱなしだし
奏,次は何をするのかしら？
周子,さっき"自然公園"って見えたけど
常務,ああ、この自然公園で紅葉狩りだ
凛,へぇ……
フレデリカ,もみじがりって何をするの？狩っちゃうの？
文香,いえ、果物狩りや、動物を狩るのとは違い、この"狩り"は草花を眺める際に使われる言葉です
フレデリカ,ふむふむ！
常務,つまり、赤い葉っぱを見て赤いなーというだけのイベントだ
奈緒,楽しさが微塵も伝わらない紹介だな！？
常務,毒にも薬にもならない
ありす,なんで追い打ちをかけたんですか？
みんな,おぉ～！！！！
