モバＰ,以降Ｐ表記でごぜーますよ
幸子,ダメだこりゃ。うーん、やっぱり手強い…凛さんの演技も最初から見透かされてたみたいですし。さて、ボクはどう仕掛けるべきか…うむむむ…
ありす,何をしてるんですか？
幸子,ぎゃふんっ！？
ありす,わっ、ビックリするじゃないですか
幸子,お、驚いたのはこっちです！いきなり後ろから人をつつかないで下さい！
ありす,何度も声をかけました。夢中で私のプロデューサーさんを見つめていたから気が付かなかっただけでは？
幸子,む、夢中で見つめてなんていませんよ！人聞きの悪いことを
ありす,では何をしていたのですか？監視するならマキノさんに頼めば高性能のカメラを割安で提供してもらえますよ
幸子,ここの事務所にマトモなアイドルはボク以外いないんでしょうか！？
ちひろ,それにしてもプロデューサーさん、よくさっきの凛ちゃんの話が演技だってわかりましたね。私完全に騙されましたよ？
Ｐ,いや、俺も最初は本気でビビりましたよ。でもこっちのビックリした顔見てめっちゃ目が笑ってたのに気づきまして。そもそも幸子とよくわからない相談してましたしね
ちひろ,あ、それもそうでしたね。あ、接着剤乾きましたよ
Ｐ,どうも。じゃあ次このケンプファー持ってて下さい
ちひろ,私はプラモ制作のアシスタントじゃねーよ
幸子,かくかくしかじか
ありす,ばなばなりすりす
幸子,把握しました。皆さん状況理解力高くて助かります
ありす,要は幸子さんはプロデューサーさんにギャレンと言わせたい訳ですね
幸子,ﾅｽﾞｪ！？
ありす,お任せください。それぐらいの事、この３４６プロが誇るストロベリー・ジーニアスことクール・タチバナに掛かれば造作もありません
幸子,どっちの異名も初耳ですけど！？
ありす,プロデューサーさんとは自分で言うのも何ですが信頼関係も強いですし、ギャフンと言わせる事も４年も待てないから今から婚約だけでもしてしまおうかとか言わせてしまう事もこずえさんの手を捻るより簡単な事です
幸子,いやいや何言ってるんですかっ！こずえちゃんが可哀想でしょ！今頭の中で腕捻られていたいのー
ありす,では、早速いってまいります。５代目シンデレラガールの実力をご覧あれ
幸子,まだ決まってませんよ！５代目はボクですってフットワーク早いなぁもう！
ありす,プロデューサーさん、今少しいいですか？
Ｐ,んっ？どうした橘さん。ちょっと今手が離せないんだ
ありす,プラモ作っているようにしか見えませんが
Ｐ,フルスクラッチだよ
ちひろ,家でやれや
Ｐ,…よし。ちひろさん、ちょっとこれにエアブラシかけてきて下さい
ちひろ,だから仕事して下さいよ
Ｐ,スタドリ買いますから
ちひろ,ウェザリングはどうします？
Ｐ,足元汚しもお願いします
ちひろ,がってん
Ｐ,…俺が買うとは言ってないがな。はいよ、手が空いたぞ。どした橘さん
ありす,ありすです。頑として貴方が名前を呼んでくれないありすです
Ｐ,うん。何か用か？橘さん
ありす,ありすです
Ｐ,たちばにゃん
ありす,あり………それはそれでちょっとアリですけど、ありすです
Ｐ,たちばにゃん、良いと思うんだけどなぁ…りすりす
ありす,それは二人きりの時にお願いします、ありすです
Ｐ,え、用事って名前で呼べって話？
ありす,…
幸子,あ、駄目だこれ。勝ち目無い
Ｐ,どうしたりすにゃん。そんなハムスターがしこたま頬にエサ詰め込んだような顔して
ありす,ありすです。ありすという元の名前の原型がなくなってしまっても諦めません、ありすです
Ｐ,何かキャッチフレーズみたいになってるぞ
ありす,プロデューサーさんが何度言っても名前で呼んでくれないからでしょう！
Ｐ,いや、だってそれはりすにゃんが最初馴れ馴れしく名前で呼ぶな、橘と呼びなさいこの豚
ありす,誰かと記憶混同させていませんか！？
時子,ぷちゅんっ。…この感じ、また豚が何かやってるわね…
Ｐ,まあまあ、落ち着けりすにゃん。あ、パウンドケーキ食べるか？
ありす,ありすです。りすにゃん可愛いですけど橘さん家のありすです。頂きます
Ｐ,お茶も淹れるなー。ロイヤルミルクティーしか無いけどいいか？
ありす,至れり尽くせりです
Ｐ,ついでにネコ耳もつけておくなー
ありす,ご丁寧にどうも
Ｐ,おお、文字通りりすにゃん完成
ありす,はふはふ……あ、お茶おいしい…。…はっ！？い、いつの間にか頭にネコ耳が！？
Ｐ,おばか可愛い
幸子,おばか可愛い
Ｐ,おー、似合う似合う
ありす,ちょっ、撮らないでください！
Ｐ,ほら隠さない。はいこっちに目線下さーい
ありす,あ、はい。って、だから撮らないでください！
Ｐ,と言いつつポーズとってくれるありすマジ芸能人の鏡
ありす,シャッターがどんどん加速している気がするんですけど！
Ｐ,気のせいだよー。はい、両手を猫の手にしてー、頭の上で、はいポーズ
ありす,はいっ。って！だからっ！
Ｐ,その場で一回クルッと回ってみようか。あ、スカート気を付けてなー
ありす,はいっ。どうですか？
Ｐ,うんカワイイ
ありす,それは良かったです。喜んで貰えてなによりですって違いますよね！？
Ｐ,はい次はこの肉球グローブをつけてー
ありす,わっ、モフモフです
Ｐ,左右に交互に手招きしながら軽くステップ踏んでみようか。はいっ、１、２、１、２
ありす,ええと…こ、こんな感じですか？
Ｐ,いいよいいよー、その調子で右に左に、にゃんにゃんにゃんって
ありす,はいっ
幸子,な、なにが起こっているんですかコレ…
Ｐ,いいぞいいぞー、ノッてきたな橘さん。いや、りすにゃん！
ありす,ありすですっ絶賛にゃんにゃん中のありすですっ
Ｐ,その調子だー、ほらカメラを意識してー目線下さーい。ほらほらもっと笑顔で。あざとく、媚びるように！
ありす,はいっ。こうですかにゃ？
Ｐ,エキサイティング！
晴,うぃーっす
ありす,にゃんにゃんにゃにゃにゃんっ
Ｐ,りすにゃん！りすにゃん！
ありす,にゃーおにゃおにゃおにゃんにゃんにゃにゃにゃんっ
Ｐ,りすにゃん！りすにゃん！
晴,
ありす,りすりすにゃんにゃんりすにゃんにゃ…………？。…。……
晴,
ありす,…。……
晴,。お疲れっしたー
ありす,ぎゃふんっ！？
幸子,結局ありすさんは何がしたかったんでしょう…可愛かったですけど。…まぁボクのカワイサは殿堂入りレベルですけどね！。あ、プロデューサーさん早速さっきの映像をニコ動に上げてますね…うーむ、やはり手強い。迂闊に仕掛けると先程のポンコツ３代目さんやイチゴパスタの権化さんの二の舞になってしまいそうですし…。誰か、今度はポンコツじゃない、頼れる人が来てくれないですかね…
まゆ,入り口のドアの前で何をしてるんですか？
幸子,わっひゃい！
まゆ,わっ、驚きますよ
幸子,驚いたのはボクですよ❕－もう、どうして皆さん人を背後から突くんですかねぇ！
まゆ,そんな事言われても
幸子,…
まゆ,？
幸子,しかもまたポンコツさんですし
まゆ,あの、聞こえてますよ？。それで、ありすちゃんは何をしていたんですかぁ？。随分とまゆのプロデューサーさんに熱視線向けていたみたいですけど
幸子,ち、違いますよ誤解です！決してまゆさんが思っているような事ではありませんのでご心配なく
まゆ,心配なんてしてませんよぉ
幸子,だったらその手錠とロープとアイマスクとコアラのマーチは何なんでしょう
まゆ,うふふ
幸子,あれ、答えてもらえない？
ちひろ,プロデューサーさん、出来ましたよ
Ｐ,おお、上手上手
常務,君達は勤務中に何をしているんだ
Ｐ,あ、常務見てください。この人仕事もせずにプラモ作ってます
ちひろ,おい
幸子,かくかくしかじか
まゆ,まゆまゆうふうふ
幸子,と、言
まゆ,全てを理解しました
幸子,早い！
まゆ,つまりプロデューサーさんをビックリさせて結婚すればいいんですねぇ
幸子,そしてほとんど話が伝わっていない！
まゆ,任せてください。その程度まゆに掛かればこずえちゃんの腕をひねるより簡単ですよぉ
幸子,その例え今ブームなんですか！？やめてください可哀想ですよ！！また想像しちゃったじゃないですかー！いたいのー
まゆ,ではいってきますねぇ。幸子ちゃん見てて下さいね、まゆの手腕を
幸子,そして皆さんフットワーク軽いなぁもう！
Ｐ,ちひろさん連れていかれちゃったな…。よし、ドーベン・ウルフ完成。調子に乗って魔改造しちまったなぁ
まゆ,うふ…気づいてません気づいてません…
Ｐ,いくら何でもビーム砲４８個は付けすぎたかな。ハリネズミみたいになっちまった
まゆ,ふふ…Ｐさん、すぐ後ろにまゆがいますよぉ？
Ｐ,さて、次は何作るか……あ、駄目だ。ちくわしか残ってねぇや
まゆ,やっぱりここは定番の手でいきましょうかねぇ
Ｐ,うーん、どうしよう。気分転換に仕事でもするかな
まゆ,わっ！
Ｐ,ひゃんっ！
まゆ,うふ…ビックリしましたかぁ？まゆですよぉ
Ｐ,
まゆ,こんなに近づいても気づいてくれないなんて…まゆ傷つきますよぉ？
Ｐ,
まゆ,…Ｐさん？
Ｐ,
まゆ,Ｐさん、お返事貰えないのは寂しいですよ？…Ｐさん？
Ｐ,
まゆ,お、怒っちゃいましたか？ま、まゆそんなつもりは無かったんです。ただ…
Ｐ,
まゆ,…え？
Ｐ,
まゆ,………。え？
Ｐ,
まゆ,あ、あわわわっ！Ｐさんがっ、Ｐさんがっ！。ちくわを握りしめたまま倒れましたよぉ！？
幸子,あばばばばばば…え、えらいこっちゃ…。と、とにかく救急車、救急車…！１１９番って何番でしたっけ…！
まゆ,あわわわわ…ど、どうしましょうどうしましょう…
Ｐ,お気付きかもしれないが当然演技でございます。もちろんまゆが近づいてきたことも察知してましたよプロデューサーですもの
まゆ,えっと、えっと…た、確かこういう時はまずは呼吸の有無の確認でしたね…！
Ｐ,息止めまーす
まゆ,……っ！こ、呼吸がありませんよぉ！？。た、大変です…！ハッ、し、心臓の音は…！
Ｐ,心臓止めまーす
まゆ,………っ！心配も停止してますよぉぉ！！？
Ｐ,く…く…こ…こいつは…きついぜ……い…いかんこのまま意識を失うとマジに…い…いっちまうぜ……笑い話にもならねえこのままてめーのスタンドで心臓を止めて死…死んじまったら…
まゆ,そ、そうです！息をしていないのでしたら人工呼吸をすれば…！
Ｐ,
まゆ,Ｐさん…必ず助けますから…！
Ｐ,
まゆ,これは人命救助これは人命救助これは人命救助これは非常事態これは不可抗力駄目です舌入れちゃおうかななんて考えたらこれは人命救助まゆはガッツかない娘まゆは控えめな娘まゆはクンクンしない娘…
Ｐ,…はっ！？
まゆ,んー…
Ｐ,うわぁまゆの顔近っ！ストップストップ！まゆストーーップ！俺生き返ったから！99日のタイムリミットとか無しに生き返ったから！
まゆ,んにゅっ。…っ！Ｐさん…Ｐさぁん！
Ｐ,グェッ、ど、動脈が…
まゆ,Ｐさん、ＰさんＰさん…！あのまま死んじゃうかと思いましたよぉ…！
Ｐ,う、うん分かった、分かったから。もう大丈夫だから…。だからまゆ一旦離して…
まゆ,Ｐさぁん…Ｐしゃぁん…！
Ｐ,ま、まゆ…ギブ、ギブ…
まゆ,うう…ぐすっ、ぐすん…ぎゃふん…
Ｐ,
幸子,まゆさんも返り討ちですね…いや、あれはある意味相打ちとも言えますけど。やはり他の人では駄目ですね。ボク自らあの性悪陰険凄腕天才プロデューサーをギャフンと言わせてみせましょう！
芳乃,褒め言葉が混ざっておりますー
幸子,でもどうしましょうかね…真正面から仕掛けても背後から驚かせても失敗していましたし…。うーむ…。…。…あれ、今誰かいました？
芳乃,こちらですー
幸子,みゃんっ！？
芳乃,あやー。突然大きな声はー、びっくりしますー
幸子,ビックリしたのはボクですってば！何ですか？この事務所のアイドルは音もなく人の背後をとる訓練でも必須なんですか！？
芳乃,如何なされましたかー？随分とかの者にご執心な目を向けておいででー
幸子,そんな目してませんよ！カワイイ愛くるしいキュートでポップでラヴリーなお目めじゃないですか！
芳乃,自画自賛が凄まじきかなー
常務,ほう、最近のプラモデルはよく出来ているな
Ｐ,プラモじゃないです。ガンプラです
常務,何か違うのか？
Ｐ,別物ですよ。クイックルワイパーと前川みくぐらい違いますよ
常務,掃除用具とアイドルほどの違いがあるのか…知らなかったな
ちひろ,真に受けないでください。この人の言うことは４割デタラメで３割ハッタリで２割冗談で４割妄想ですから
Ｐ,全部足すと１０割超えますがな
幸子,かくかくしかじか
芳乃,のんのんほーほー
幸子,と、言う訳です
芳乃,ではー、行ってまいりますー
幸子,意外にも一番フットワーク軽っ！
Ｐ,いやあ、怒られるかと思ったけどガンプラ上げたら許して貰えた。意外。しかし常務にキュベレイは似合いすぎるだろ…。ん？芳乃が近くにいる気配が…
芳乃,そなたーそなたー
Ｐ,どうした芳乃。警視庁捜査一課９係は毎週水曜だぞ？
芳乃,訊ねておりませんがー。そなたー
Ｐ,ん？
芳乃,そなたの撮り溜めしていた番組をー、全て消してしまいましてー
Ｐ,
芳乃,申し訳ありませんー。ろくがよやくをー、失敗しましてー
Ｐ,……え？…マジ？。スーパーヒーロータイム、全滅？ディケイドから撮ってたんですけど…
芳乃,跡形もなくー
Ｐ,。ぎゃふん！
幸子,意外とチョロかったですね！
Ｐ,マジか…いやマジか……。ま、まあ、ＤＶＤとブルーレイも揃えてるしな…うん
芳乃,あー、そなたーそなたー
Ｐ,ど、どしたよ芳乃…
芳乃,ゲームのデータも、飛びましてー
Ｐ,ぎゃふんっ！
芳乃,ハーゲンダッツもー、頂いてしまいましたー
Ｐ,ギャフン！
芳乃,育てていた塩麹もー、カビカビにー
Ｐ,ギャフンッ！？
幸子,…何だか可哀想になってきました…
芳乃,そなたのパソコンのー、隠しフォルダの猫画像集も消してしまいましてー
Ｐ,ギャフン！
芳乃,ジャンプと間違えてー、週刊ポストを買ってきてしまいましてー
Ｐ,ギャフンッ！
芳乃,宇宙刑事ー
Ｐ,ギャバン！
芳乃,わたくしー、実は１４歳なので非合法でしてー
Ｐ,ギャフンッ！！
芳乃,この距離ならバリアは張れませんのでー
Ｐ,ギャレン！
芳乃,このガンプラはー
Ｐ,ギャプラン！
幸子,コントですよね。あれただのコントですよね！？
Ｐ,おぉぅ…うぉぉう…
幸子,膝から崩れたぁ！！
Ｐ,何故だ…何故こんな事に…
芳乃,ほー？
幸子,いやコッチに視線向けられてもっ！これでよろしいのでー？
Ｐ,何で…何でだ…何で…
芳乃,そなたー、そなたー
Ｐ,何でや…何でディアベルはん見殺しにしたんや…
芳乃,そなたー
Ｐ,わぷっ
芳乃,ご安心をー。全て嘘なのですー、よしのんじょーく、ですー
Ｐ,…嘘？
芳乃,はいー
Ｐ,…録画は？
芳乃,残っておりますー
Ｐ,セーブデータは？
芳乃,ありますー
Ｐ,ハーゲンも塩麹も猫画像もジャンプも？
芳乃,塩麹も猫画像もジャンプもー、皆ちゃんとありましてー
Ｐ,うぐっ…ぐすっ……よかった、本当によかった…。…。……ハーゲンは？
芳乃,よしよしでしてー
Ｐ,芳乃、撫で撫でめっちゃ癒されるんだけど、ハーゲンは？
芳乃,そなたの涙は見とうありませんー、皆様に笑顔で居てほしいのでー。だからー見ていてくださいー。わたくしのー
Ｐ,芳乃さん？
芳乃,ほー？
Ｐ,なぁ、目ぇ合わせようや。はぁ…まぁ食っちまったものは仕方ない
芳乃,そなたー
Ｐ,あん？
芳乃,お許しをー
Ｐ,上目遣いにそういうセリフはやめなさい。埼玉県民じゃ無かったら同人展開ですわ。仕事終わったらアイス買って録画観ながら食べような
芳乃,わーい
Ｐ,んじゃ、もうちょい待っててくれなー
芳乃,はいなー。そなたー、お膝の上はー、よろしいですかー？
Ｐ,乗りながら言いなさんな
幸子,…ブラックコーヒー飲みたくなってきましたね…プロデューサーさんのギャフンも聞けましたしボクも帰りましょうか…
ヒョウ君,次の日です
アッキー,喋った、だと…？
幸子,…と、いうわけで結局プロデューサーさんをギャフンと言わせる事は出来ませんでした
小梅,そ、そうみたいだね…
輝子,フヒ…か、賭けは無効試合だったな
あの子,助かったわー
幸子,でもボクは諦めた訳ではありません！いつか必ずボクの手でプロデューサーさんにギャフンと言わせてみせます！
Ｐ,ぎゃふん
幸子,だからそういう事じゃなくてですね！
Ｐ,人のデスクの隣で142'ｓ揃って何をワイワイガヤガヤと。まあ大方騒いでるのは幸子だけだけど。で、何さ。幸子は俺に何の恨みがあるんだよ
幸子,恨み辛みが溜りに溜まってますよ！人のことを日常生活の一部かの如く毎度毎度おちょくったりからかったりしてるじゃないですか！
Ｐ,何言ってんだ！みくや橘さんのことだって同じぐらいからかってるじゃないかよ！
幸子,尚更重罪ですよっ！
輝子,フヒッ…し、親友の罪を…
小梅,か、数えろ…だね
Ｐ,今更数え切れるかぁ！
幸子,開き直らないでください！とにかくっ、そういう訳でこの宇宙一心が広いボクもいい加減堪忍袋の緒がパーンしたってワケですよ！
小梅,あ、荒ぶってるね…
輝子,さっちー、い、椅子の上で立ち上がるのは、危ないと思うぞ…？
幸子,足持ってて下さい！
輝子,あ、はい
小梅,て、手伝う…ね
あの子,せわしねぇや
幸子,いつもいつもっ！プロデューサーさんは何なんですかっ！
Ｐ,プロデューサーですがな
幸子,だからそうじゃなくって！。ああっ、足掴んで貰ってるから地団太踏めない！
Ｐ,まぁ落ち着け幸子。プリッツ食べるか？
幸子,貰いますけども！
小梅,あ、いいなぁ…
輝子,わ、私にも…
Ｐ,はいはい
幸子,あむあむ……大体ですねぇ！曲がりなりにも自分の担当アイドルを毎日のように弄り倒して、一体どういう了見なんですかっ！
Ｐ,両手で持って食べる幸子カワイイ
小梅,カワイイ
輝子,カワイイ
あの子,あの、１本貰ってもいい？
Ｐ,はいよ、どうぞどうぞ
幸子,大体何なんですかっ！ボクのこと嫌いなんですか？気に入らないんですかっ！？それならそうとハッキリ言ってくれれば…
Ｐ,んな訳あるか
幸子,いいじゃないですか……って、…え？
Ｐ,そりゃ最初の頃は生意気な奴だなー
幸子,…っ！
小梅,…あ、涙目になっちゃった…
Ｐ,でも幸子が陰で誰よりも熱心に努力してるのも、仕事が終わった後でも毎回反省点をメモして復習してるのも全部知ってるし、幸子が努力家で真面目な娘だってのは理解してるつもりだぞ？
幸子,…っ！……っ！？
輝子,おおぅ…めっちゃ照れてる…カワイイ
Ｐ,最初の頃は随分頑固で扱いにくかったけど、今では随分丸くなったというか素直になったというか。意固地な所があるから苦労したけど、今ではちゃんと頼ってくれるようになったしなぁ
幸子,べ、別にボクは完璧ですからプロデューサーさんに頼ったりなんて事は…
Ｐ,じゃあ、明日から収録一緒にいかなくていいよな？
幸子,………え？
小梅,わっ、あっという間にこの世の終わりみたいな顔になっちゃった…
Ｐ,幸子は頑張り屋な上に優秀だから、こっちもつい多少無茶な仕事させちゃうんだよな…。ごめんな？俺も最近幸子に甘えてたのかもな
幸子,…そ、そうですよっ。プロデューサーさんはいっつもいっつも、変な仕事ばっかりもってきて…！。カワイイボクだからこなせるものを、いつも大変なんですからねっ！？
Ｐ,うん、ごめんな。あと、いつもありがとうな
幸子,あっ…
Ｐ,いつも無茶な仕事にも一生懸命頑張ってくれて
幸子,あっ、あっ…
Ｐ,幸子には凄く助けられてるよ。感謝してる。ありがとうな幸子
幸子,あっ…ふぁ…っ
輝子,あ…もう泣きそう…。て、ていうか親友……口説いてないか…？
Ｐ,幸子はリアクションが良いからついついちょっかい出したくなるんだよ。悪かったな。でも、ちゃんと幸子が頑張ってるのは分かってるから。嫌う訳無いだろ？
幸子,…うぅ～…。…すいません、一旦足離して貰えます？
小梅,う、うん
輝子,お、おぅ
あの子,はいよ
幸子,…
Ｐ,幸子？
幸子,てりゃっ！
Ｐ,ごふぇっ
幸子,～～っ！
Ｐ,ぐぇっ…さ、幸子締まってる締まってる…！
小梅,わわっ、だ、大胆…
輝子,じ、情熱的…ロック、だぜ
あの子,若いっていいね
幸子,まったくもぅ…何ですか、何なんですか…。プロデューサーさんはボクを怒らせたいんですか？喜ばせたいんですか？何がしたいんですか、もう…
Ｐ,うん、幸子ごめん悪かったってば。だから一旦離して酸素が入ってこない
幸子,もう、こんなどうしようもないプロデューサーに付き合えるのはボクみたいに心の広いカワイイ天使しかいませんよね！。しょうがないから、どうしようもないですから、仕方なくですけどこのどうしようもないプロデューサーさんに付いていってあげますよ！末代まで感謝して下さいね！
Ｐ,う、ん……とり、あえず…離してくれたら…感謝シマス…
輝子,さ、さっちーストップ…そろそろ、マジでヤバいぞ…
小梅,プロデューサーさん、どんどん生気が消えていってる…
あの子,バッチリミナー
Ｐ,げほっ、ごほっ、おぇっ…ぴにゃっ…。危うくあの子と同じ世界にレッツゴー覚悟するところだったよ…
小梅,…
Ｐ,お願い、残念がらないで
あの子,仲間が増えるかと
Ｐ,期待しないで
幸子,大丈夫ですか？もう、軟なプロデューサーさんですねぇ
Ｐ,俺も一応は人間だから。んで、幸子さんや
幸子,はい？
Ｐ,いつまでこのままなん？
幸子,…は？
輝子,フヒッ…
小梅,ば、ばっちり…
幸子,…。……。ぎゃふん！
アッキー,終わり
あの子,なの
芳乃,でしてー
