若干精神がアレなＰ(以降Ｐ表記),どうした芳乃。俺ペブシじゃなくてコカ派なんだが
Ｐ,食欲はあるみたいで何よりだ。ゆっくり食べなさいな
芳乃,ふぇひふぇー
Ｐ,あっはっは。何言ってるか全然わかんねぇ。さてと、そろそろ買い物行ってくるから、食べたらまた寝てなさい
芳乃,んぐっ…、お出掛けですのでー？
Ｐ,食料買出しにいかんとな。ゼリーとか買ってこようか？
芳乃,ではー
Ｐ,歌舞伎揚げはアホみたいにあるだろ。まずは家にあるものを消費しなさい
芳乃,むぅぅー
Ｐ,じゃあ行ってくるさね。茶碗や箸はそのまま置いといていいからな
芳乃,むぅー、わたくしもまいりますのでー
Ｐ,お前さん自分が今日なんで休んでるかお分かり？
芳乃,お家に１人ではー、心細いのですー
Ｐ,そうは言っても、買い物しないと冷蔵庫にもうバターとシフトカーしか入ってないぞ
芳乃,むむぅー、むむむぅー
Ｐ,あぁほら。ベランダにアッキーいたから。このモフモフ抱きかかえて寝てなさい
アッキー,モコモコの毛皮で人間を癒すのが飼い犬のルールだろう
芳乃,ほほー、ふわっふわですー
Ｐ,帰ったぞー。…おや、芳乃のへんじがない
芳乃,すぴぃ……
Ｐ,なんだ、ただの天照様か。起こさないように買ってきたものを冷蔵庫にしまうのでごぜーますよ
芳乃,むむぅ…？。へぷちっ！
凛,あれ、今日プロデューサー休み？
未央,うん、よしのんが風邪引いちゃったから看病するんだって
凛,ふーん、それは羨まし大変だね。早く良くなるといいよね
未央,あははー、しぶりんは欲望を隠すのがヘタクソだなぁ
凛,何言ってるのか分からない。ミツボシが何言ってるのか全然分からない
未央,後で私たちもお見舞いに行こっか。ねぇしまむー？
しまむ,ｶﾞﾝﾊﾞﾘﾏｽｯ
凛,
未央,
しまむ,ｶﾞﾝﾊﾞﾘﾏｽ？
蒼,
本田,
未央凛,ぷちになっとる！！
しまむ,ｶﾞﾝﾊﾞｰ
芳乃,うぅー…？
Ｐ,おや、起きちまったか芳乃。あーはいはい、ティッシュティッシュ
芳乃,ふあー…、おかえりなさいましてー…。うぅぅ…お鼻がむずむずいたしますー…
Ｐ,加湿器でもつけたほうがいいかな
芳乃,みゃぷしっ
Ｐ,ああ、また
楓,今日プロデューサーさんお休みらしいんですよ…芳乃ちゃんが風邪だそうで
瑞樹,だから今朝からしょんぼりしてたのね、気持ちはわかるわ
楓,あ、そうだ。お仕事終わったらお見舞いにいきましょうか
瑞樹,そう言って本当はプロデューサー君と飲みたいだけでしょ？わかるわ。…。って、図星だからって返事ぐらいしなさいよ楓ちゃ…
かえで,ﾝﾌｯ
瑞樹,
かえで,ｵﾝｾﾝｰ
瑞樹,
かえで,ｵｻｹｰ
瑞樹,わかんねぇ！！
かえで,ﾀﾞｲｷﾞﾝｼﾞｮｳｰ
Ｐ,ほれ芳乃。ちーん
芳乃,ふぁー
Ｐ,鼻ズビになっちゃってるなぁ。ヨーグルトでも食べるか？
芳乃,いただきまふのれー…。はぷちゅっ
Ｐ,さっきから何？その個性溢れるクシャミ
まゆ,Ｐさんお休みだなんて…寂しいですねぇ
輝子,フヒ…で、でも、机の下にはは、入るんだな…
まゆ,せめてＰさんの残り香…もとい温もりを感じていないとまゆはどうにかなってしまいそうで…。ああ、もう今からお見舞いという名目でお邪魔しに行っちゃいましょうかねぇ…合鍵(４２本目)もある事ですし
輝子,おぉう…ろ、ロックだぜまゆさん……。…フヒ？さっきから、お隣さんが静かですけど…？
まゆ,そう言えばそうですねぇ。乃々ちゃん、お昼寝中ですかぁ？
ぼのの,ﾃﾞｽｹﾄﾞｫｰ!
まゆ,
輝子,
ぼのの,ﾃﾞｽｹﾄﾞｰ!ﾃﾞｽｹﾄﾞｫｰ!?
まゆ,
輝子,
ぼのの,ﾑｩｰﾘｨｰ
まゆ,なにこれカワイイ！
輝子,ヒャッハァー！ミニぼののさんだぁーッ！！
ぼのの,ﾋｨｨｯ!ﾃﾞｽｹﾄﾞｰ!ﾃﾞｽｹﾄﾞｰ!!
芳乃,うう～…寒気がしますー…
Ｐ,もっと暖かくするか。暖房は…喉に悪いから毛布追加すっか
芳乃,ほー
Ｐ,ついでに半纏も着ておきなさい。念のためにもう１枚毛布かけておこう
芳乃,微動だにできなくなりましてぇー
Ｐ,暖かいもの作ってくるよ。ホットミルクとホット牛乳どっちがいい？
芳乃,ホット牛乳でー
Ｐ,ウィ。砂糖とハチミツ、どっちがいい？
芳乃,はちみつでー
Ｐ,ウィウィ
芳乃,ふぁー……ぺっぷち！
幸子,まったく！ボクをほったらかしてお休みだなんてプロデューサー失格ですね！
飛鳥,仕方ないさ、芳乃さんが風邪だそうだからね。しかしながら彼女も風邪を引くんだね…
らんこ,ﾔﾐﾉﾏｰ
幸子,仕方ないですね！ササッとお仕事終わらせて桃缶でも買ってお見舞いにいきましょうか
飛鳥,またベタベタなチョイスだね。まぁ王道というのは大衆が求めるこそ王道というものなんだろうけど
らんこ,ﾌﾟﾘｭﾝﾋﾙﾃﾞｰ
幸子,…ところで飛鳥さん
飛鳥,なんだい幸子さん
らんこ,ﾜｽﾞﾗﾜｼｲﾀｲﾖｰ
幸子,いつの間にか蘭子さんの代わりにボクたちの足元をちょこちょこ付いて来るコレは一体お幾らでしょう？
飛鳥,こらこら、どうして財布を出すのかな
らんこ,ﾊﾝﾊﾞｰｸﾞﾀﾍﾞﾀｲ
芳乃,そなたーそなたー、退屈ですー
Ｐ,こらこら病人。大人しくしてないと治るもんも治らんぞ？
芳乃,たくさん眠っておりましたのでー、おめめバッチリなのですー
Ｐ,あー、まぁ病気休みあるあるだわな
芳乃,ですー。なので遊びますー？
Ｐ,寝てなさい
芳乃,むむぅー。ではー、子守唄をー
Ｐ,世界よ踊れ！七色に狂い咲く毒の華で～
芳乃,よりにもよってー、よりにもよってー
Ｐ,…
芳乃,そなたーそなたー
Ｐ,んー？
芳乃,退屈なのですー
Ｐ,そうだろうなあ。でも寝てなさい
芳乃,そなたもー、お休みですのにお仕事しておりますー
Ｐ,俺はいいの。ほらほら寝なさい芳乃。後でパピコあげるから
芳乃,むむぅ～、いっぱい眠ったのでー
Ｐ,ラリホー！
芳乃,すぴぃ…
Ｐ,よし
芳乃,治りましたー
Ｐ,３８度。治ってないやん
体温計,俺に質問をするな
芳乃,むむむー、暇なのですー、退屈なのですー
Ｐ,体調悪い子とは遊びません。ちゃんと休んでなさい
芳乃,もう眠れませんー
Ｐ,ラリホー！
芳乃,まほかんたー
Ｐ,すぴぃ…
芳乃,うあーそなたーそなたー、わたくし１人で寂しいですー、さーみーしーいーでーすー
Ｐ,いかん、ついウトウトしてしもうた
芳乃,起きましたー
Ｐ,あ、コラ。ゲームやってるな？
芳乃,違うのですー
芳乃２,ゲームではなくてモンスターハンターなのですー
Ｐ,ゲームやん
芳乃３,少々お待ちをー、ただ今イビルジョー殿を捕獲いたしましてー
芳乃４,あー、罠置いたのにエリア移動されましたー
Ｐ,どうでもいいけどさぁ。１人協力プレイとかやめなさい？
芳乃ズ,ほー？
Ｐ,可愛い声でハモるな。モフモフするぞこの天使どもめ
芳乃５,お茶が入りましてー
Ｐ,おい今何人いるんだよ
芳乃,すぴぃ…
Ｐ,ようやく寝てくれたか…良かった、スリプルが効いてくれて
芳乃２,メンバーが減ってしまいましたー
芳乃３,むぅー、リオレウス殿を狩りにいきたいのですー
芳乃４,装備を作りたいのでしてー
Ｐ,そっちの芳乃に入ってもらいなさいな
芳乃５,ほー？
芳乃２,わたくしーわたくしー、お手伝いくださいー
芳乃５,はーい
芳乃６,そなたー、お腹が空きましたー
芳乃７,歌舞伎上げをー、取ってくださいー
Ｐ,今ホットケーキ焼くからもちっと待ってなさい。って言うか増えすぎ！ガタキリバかお前さんは
芳乃８,ホットケーキですー
芳乃９,ハチミツだぷだぷにするのでー
よしのん,ﾃﾞｼﾃｰ
Ｐ,はいはい袖を引っ張らない掴まない頭の上に上らない
蒼芳乃,ほー？そなたがわたくしのプロデューサーでしてー？悪くはないのでー
Ｐ,誰だお前
猫芳乃,わたくしは自分を曲げませぬー
Ｐ,やめてさしあげなさい
あやめ,ニンッ、Ｐ殿わたくしホットケーキにはハチミツよりメープルシロップ派なのですが
Ｐ,知らんわい！。おーい芳乃軍団ー
芳乃達,ほー？
Ｐ,おおぅ家中から芳乃の返事がするわ。収拾つかないからそろそろ元に戻りなさい。オヤツも食べただろ？…俺の分まで
芳乃２,むー
芳乃３,結局そなたはー、構ってくれませんー
蒼芳乃,悪くないですー、悪くないですー
芳乃１８,わたくし達同士で遊んでいてもー、物足りませんー
芳乃４３,遊びたいですー、構われたいですー
芳乃５５,お膝に乗せて欲しいのでー
芳乃７７,でしてー
Ｐ,収拾どころか家中芳乃で埋め尽くされて身動き取れないんですけど！。ほらっ！治ったらいっぱい遊ぶから！お煎餅も歌舞伎揚げもロックシードも買ってやるから！
芳乃ズ,むむぅー
芳乃,すやぁ…
Ｐ,けふっ…危うく芳乃で圧死するところだったわ……ある意味本望だけど
蒼芳乃,ほー？そなたがわたくしのプロデューサー？そなたがわたくしのプロデューサー？
Ｐ,お前さんも戻りなさい
芳乃,ほー……？
Ｐ,また起きたのか。もうちょいしたら夕飯にするからそのままゴロゴロしてなさいな
芳乃,むむぅー…、寝巻きがベタベタしますー
Ｐ,あー、寝汗かいたからか。今着替え持ってくるわ
芳乃,はいー
Ｐ,だから俺の目の前で脱ぐなっちゅーの
芳乃,…むー？
Ｐ,首を傾げても駄目です。芳乃はちっちゃくても立派な１６歳(？)なんだからな
芳乃,むむぅー、わたくしはー、ちっちゃくないのですー
Ｐ,ちっちゃいじゃん
芳乃,ちっちゃくないですーちっちゃくないですー。特と御覧れー。むむむーん………やぁーっ
Ｐ,うぉうっ
芳乃(８),そなたーそなたー、これでいかがでしょうー？
Ｐ,余計ちっちゃくなってどうするよ
芳乃(８),…。…おやぁ？。しっぱいしましてー。もどりますー。むむむむーん……にゃーっ
芳乃(２５),戻りましたー
Ｐ,嘘つけぇ色々盛り過ぎだろ。着替えたらコッチ来なさいな。うどん茹でるから
芳乃(２５),はいー
Ｐ,その前に元に戻りなさいね
芳乃(２５),ほー？
Ｐ,いやそんな顔しても駄目だから
芳乃(２５),むぅー
Ｐ,そもそもその体型じゃパジャマ着られないだろ
芳乃(２５),うぅー…、有望な将来性をー、お披露目しましたのにー
Ｐ,何でもアリだな芳乃。もう大概の事じゃ驚かないぞ？
芳乃,そなたー、お着替え終わりましたー
Ｐ,はいはい、じゃあテーブルで待ってなさ
芳乃(バニー),ほー？
Ｐ,何に着替えてるのかねチミィ！
芳乃(バニー),そなたがー、お着替えをくださったのでー
Ｐ,我が家にそんなマニアックな衣装はありません！
芳乃(バニー),肌寒いのでー
Ｐ,ウサ耳をピコピコ動かさない。襲っちまうぞ？埼玉県民でもそろそろ襲っちまうぞ？
芳乃(バニー),うあー、襲われますー。…お風呂に入ってきたほうが、よろしいのでー？
Ｐ,何で襲われる気満々なんだよ。うどんが出来たぞー
芳乃,ほー
Ｐ,ほら、消化がよくなるように大根おろしもたっぷりあるからな
芳乃,てんこ盛りですー
Ｐ,叩いた梅肉と味噌を混ぜた梅味噌もあるぞー
芳乃,良い匂いがしましてー
Ｐ,出汁はシンプルに鰹節と昆布に醤油をちょい入れただけだ。薄かったら醤油足しなさい、ほら
芳乃,至れり尽くせりですー、母様ー
Ｐ,だからせめてお父さんと言ってくれぃ
芳乃,ではー、頂きますのでー。はふっ。あふいのれふぃふぇー！
Ｐ,だからどうしてふーふーしないんだよ！
芳乃,ふぉおー！はふっ、ふぁぁおーっ！
Ｐ,あーもう！麦茶持ってくるからちょっと待ってろ！
芳乃,でもおいしいのでしふぇー！
Ｐ,そりゃどうも！
芳乃,ごちそうさまですー
Ｐ,お粗末
芳乃,お腹がぽんぽんですー
Ｐ,おー、体冷やさないうちに布団に戻りなさい
芳乃,今日は１日ー、ずっと眠っておりましたのでー
Ｐ,眠れなくても横になって目を閉じて羊でも数えてなさい。オヤツに買ってきたアイス後でやるから
芳乃,パピコでしてー？
Ｐ,今日はちょっぴり贅沢をしたんだぞ？
芳乃,ほー、パピコ２つですかー
Ｐ,芳乃さん貴女の贅沢ってすごく庶民的。何と、今日はハーゲンダッツを買ってきたのだよ！
芳乃,っ！？
Ｐ,しかも黒蜜きなこだ。どうだ芳乃。大人しく休んでるっていうなら後で…
芳乃,ぐー
Ｐ,早ぇ！
芳乃,治りましたー
Ｐ,復ッ。復ッ！。依田芳乃復活ッッ！依田芳乃復活ッッ！依田芳乃復活ッッ！
芳乃,お世話をー、おかけしましたー
Ｐ,元気になって何よりだ。さてと、俺も昨日１日休んじまったし、また今日から馬車馬生活だわ。おはようございまーす
芳乃,まーす
ちひろ,おはようございますのでー
凛,おはようですー
未央,よしのん風邪治ったのでー、よきかなよきかなー
卯月,頑張りましてー
Ｐ,
芳乃,ほー
ちひろ,どうなさったのですー？
幸子,ふふーん、カワイイボクが今日も出勤でしてー
時子,騒々しいのでー、このお豚さんたちめー
きらり,にょわー？
ヘレン,ヘーイ
Ｐ,
芳乃,ほほー
Ｐ,すいません、もう１日休みますね
アッキー,終わりだ
