浅利七海,肉れす。肉を持ってくるのれす
乃々,確かに。正直言って、ちょっとお邪魔虫なんですけど……
芽衣子,邪魔とかヒドいっ！
七海,乃々ちゃんが同棲してるのもおかしいれすからね～？
乃々,もりくぼは……約束でしたし、未来の嫁でもあるので……
芽衣子・七海,そんな事実はないっ(れすっ)！
乃々,むぅ……！
七海,まぁ、芽衣子さんは乃々ちゃんとＰの関係のストッパーになりそうなのれ、その点は助かっているのれすが……
芽衣子,そ、そうなの？
七海,もう一人Ｐさんのお家に常駐してる不思議お姉さんはイマイチ頼りにならなそうなのれ……
芽衣子,ああ、屋根裏部屋の……
乃々,確かに……あちらは大した障害にならないんですけど……芽衣子さんは結構あぐれっしぶで手強いので……
芽衣子,ちょ！？今小声で聞き捨てならないこと言わなかった！？
乃々,何も言ってないんですけど。ものの例えなんですけど。多用はしてないんですけど
芽衣子,言ってるじゃん！それに、たまには盛ってるのっ！？
乃々,……志希さんお墨付きなので無害ですよ？
七海,そういう問題でもないような気がするのれすが……
乃々,そういえばとても寝汚い感じでよくグースカと……
七海,賑やかれすね～。あ。来ました来ました。お料理と…
乃々,まぁ、流石に睡眠薬の件は冗談ということで……
芽衣子,ことで！？濁し方が微妙っ
店員,お待たせしました～。漢祭りスタミナ定食ご飯大盛りのお客様は……
芽衣子,あ、はい。私で…
モバP,…………
七海,Ｐ！遅かったのれす～♪
芽衣子,…すん
店員,デザートのチョコレートパフェとホットケーキ彩り苺盛りは、後ほどお持ちしますね♪
P,…………
芽衣子,…………
乃々,…………
七海,Ｐ！横に！横にっ！七海の横、あいてるのれすよ～♪
P,…………。……おう。待たせたな
芽衣子,…………。なんでいるのぉぉぉぉっ！！？
七海,急に呼び出されただけで、女子会とは聞いてなかったのれす
乃々,……だから呼んでたんですか。やっぱりおにちくです……
P,……漢祭りスタミナ定食かー。負けてられないなー
七海,七海と同じのにしますかー？
乃々,女子力高いもののイメージが貧困なんですけど……
芽衣子,もぉぉぉぉぉぉぉぉ！！
店員,ごゆっくり～
P,よーし。俺も食うぞー
七海,唐揚げ！欲しいのれす！七海のハンバーグひと切れと交換しませんか～？
P,おーう。いいぞー
芽衣子,Ｐが……Ｐが私への当てつけのように唐揚げ定食なんて普通なものを……
P,当てつけって……いやこれ一応、唐揚げが10個以上乗っててギブアップでお持ち帰り可能な商品なんだけどな。結構重いぞ？
？？,Ｐ……私……重い……？
P,いや、重くない重くない。そういう話じゃない
乃々,…………
七海,あーん。なのれす。あーん！
P,はいはい。ほれ。あーん
七海,んー！うまー。唐揚げもなかなか悪くないのれす～
？？,Ｐ……私も……
P,おう。熱いぞ。気を付けろー
？？,……はふ……はふ……はつい
芽衣子,…………
P,大丈夫か？ヤケドしてないか？水飲め水
？？,……んく……んく
七海,はい。Ｐも、あーんれす！
乃々,……あ、あのっ！
芽衣子,ちょっとっ！！
P,うん？
七海,？
乃々,二人して首を傾げないで欲しいんですけど！
芽衣子,タイミングを見失っちゃったけど、あらためて聞くよ！
乃々・芽衣子,Ｐさんの膝の上にいる子、誰っ！？
？？,…………！？
七海,時々やっかいれすけどねー
乃々・芽衣子,ちょっと！！
P,どうどう……落ち着け。説明するから……
七海,…………
P,えーっと、この子はなー……
？？,……雪美
乃々,…………
芽衣子,…………
P,俺の娘だ
雪美,……ぶい
乃々,…………
芽衣子,…………
乃々,…………
芽衣子,…………
乃々・芽衣子,…………。っええええええええっ！！？
七海,唐揚げの単品お願いするのれーす♪
P,お前な……
雪美,……マイペース……
七海,芽衣子お姉さんが突っ伏したまま動かなくなったのれす～
乃々,もりくぼがＰさんの妹じゃないと知った時も、膝をついてしばらく蹲ってたので……
七海,今度は立ち直れないかもれすね～
雪美,……心配……
芽衣子,よし、納得！復活！
P,復活したところ悪いけど、冗談だからな？
芽衣子,えっ！？
P,雪美が娘だっていうの、冗談だから
七海,まさか信じるとは思わなかったのれす
乃々,もりくぼは七海さんの様子を見て察しましたけど……
芽衣子,ちょっと！性質悪くないっ！？。うっ……！
七海,からあげ美味しいれすね～
雪美,……美味しい……
P,まぁ、そんなわけで悪ノリは申し訳なかったが、お察しの通りこの子は……
雪美,……２年後……結婚する予定……Pの……婚約者……です
P,！？
芽衣子,やっぱりロリコンだぁっ！！
P,人の少ない時間帯で良かった……
芽衣子,……ゴメン
七海,それでも注目を集めまくりれしたけどね～
乃々,……けど、どうして七海さんはあんなに落ち着いてたんですか……？
雪美,…………
七海,七海は少し前に顔合わせを済ませてましたからね～
乃々,……なるほど。！？
P,これ以上余計な小ネタで掻き回さないでくれませんかね！？
雪美,……落ち着いて……ぱぱ
P,雪美ももういいから！
芽衣子,……結局のところは……アレなんだよね？
P,あー、まぁ、そこでスイーツ２皿同時ヤケ食いしてる芽衣子も察している通り、今度ウチに採用された新しいアイドル見習いだ
芽衣子,余計な情報！私イジメて楽しいっ！？
乃々,……寧ろもりくぼがいぢめられたいんですけど
七海,じゃあ、乃々ちゃんに牛カルビ定食追加れす～♪
P,お前ら少しはアイドルの自覚を持ってくれよ！
七海,アイドルを自宅に住まわせてる人が言っても……
P,さーせん
雪美,……にぎやか……楽しい……
七海,雪美ちゃん、そこは本来七海の特等席なのれもう少ししたら替わるのれすよ～
雪美,……イヤ……
七海,ぐぬぬ……
乃々,七海さんと雪美ちゃん……仲良しですね……
P,実はユニット化も考えててなー。早めに会わせておいたんだ
芽衣子,なるほど
乃々,深海に降る雪……珍しくまともなんですけど……
芽衣子,うん。キレイでいいんじゃない？
七海,まぁアレ、海に沈む死骸なんれすけどね
雪美,……台無し……
P,聞こえと現象そのものは美しいからイイんだよ！
芽衣子,なら逆を取って、セブンビューティーとか！
七海,…………
雪美,…………
芽衣子,あっ……！白い目やめてっ！？
乃々,そのネーミングだとそこそこ大人数のグループみたいなんですけど……
芽衣子,う。確かに……。う～！Ｐさんが虐めるっ！！
乃々,…………
雪美,……惨劇の……予感
P,不吉なことを
七海,惨劇で思い出したのれす。Ｐ、来週のデート楽しみにしてるのれすよ～
乃々・芽衣子,！？
P,あー、あれな。了解了解
雪美,……デート？
七海,水族館に連れて行ってもらう予定なのれすよ～
P,少し遠方で仕事があってな。その後に一緒に、って約束だな
七海,しかもお泊まりれすよ。お泊まり～♪
乃々・芽衣子,！？！？
七海,大義名分アリアリで合法的にＪＣと外泊同衾れすよ～♪
P,もちろん部屋は別々な！
七海,表向きにはそういう体で！
P,事実だから！
乃々・芽衣子・雪美,…………
七海,Ｐ、照れてるのれす～
P,ああもう！行くぞ！
七海,はいはい、なのれす～♪
乃々,…………
芽衣子,…………
雪美,…………？
芽衣子,まぁ……何も……起きないとは思うけど……
乃々,七海さんはどこまで本気かイマイチ分かりにくい所がありますからね……
乃々・芽衣子・雪美,…………
乃々,あっ……！
芽衣子・雪美,？
乃々,…………。……来週までのお魚絶ち……願掛けみたいなもの……って
芽衣子,……あっ！
雪美,…………
乃々,七海さん……！
芽衣子,七海ちゃん……！
乃々・芽衣子,本気だっ！！
