毛利克人,４４
テロップ,マリー喜多島ダニーズ事務所副社長
マリー,分かったわ……。どうしてもオートレーサーになりたいというのなら、好きにしなさい！！
銀河テレビ。建物の中では、スポーツ・エンタテインメントの番組,SARUTOBI
客A,お、元MAPYの毛利がSARUTOBIに出ているぞ
客B,毛利の奴、SARUTOBIに出演できるまでに回復したのか
バイトA,元MAPYでオートレーサーの毛利が……。遺跡発掘のバイトに参加しているのか……
バイトB,生活費を稼ぐためとはいえ……。いくら何でも、落ちぶれすぎだろ……
毛利,違う、俺は……。元通りになった肉体の様々な可能性を……。限界への挑戦を……。試してみたいだけなんだ！！
草川,全快おめでとう！克人の身体が元通りになることを、俺は信じていたよ！
毛利,ありがとう、龍！
草川,身体が治ってからのお前は、悠々自適な生活をしているようだなぁ
毛利,まあ……、自分の肉体の可能性をいろいろ試してみてはいるんだがね……
草川,お前の好きなようにすればいいさ。俺だって、ダニーズ事務所を独立して……
毛利,自由、か……
草川,自由とは責任が伴うことでもあるからな。自分の人生を自分で決めることの責任が……な
毛利,そう言われてみると、何か吹っ切れたような気がする……
草川,約束だと！？まさか、黒づくめの服を着た男じゃないだろうな！？
毛利,そうだよ、黒づくめの服を着た男だよ……
草川,そいつは、確か……。喪黒福造とかいう奴じゃないだろうな！？
毛利,よく知ってるな、お前。そうだよ、喪黒福造という謎の男だよ……
草川,実は、俺……。過去に喪黒に会ってるんだよ……。今から、9年前……。ほら、2009年に！！
毛利,お前も喪黒さんに何か恩を受けたのか！？
草川,とんでもない！！喪黒のせいで、俺はひどい目に遭ったんだぞ！！
毛利,一体、何を言ってるんだ。お前は……
草川,俺は……。笑うセールスマンの存在は、あくまでも都市伝説だと思っていた……
毛利,龍、俺の恩人に失礼なことを言うな！！喪黒さんは、俺の肉体を元通りにしてくれたんだぞ！！
草川,すまない……
毛利,まあいい！！お前の自由な生き方を見たおかげで、俺は決心がついた！！俺はオートレースに復帰する！！
草川,はああ……
ナレーション,2019年――
毛利,も、喪黒さん！！あなた、何でこんなところに……
喪黒,毛利克人さん……。あなた、約束を破りましたね……
毛利,なっ！？
喪黒,肉体を元のように治す代わり、オートレースの世界とは2度と関わらないようにする……
毛利,俺は決めたんです！！元通りになった肉体の可能性を試し、限界に挑戦すると……
喪黒,そうですか……。ならば、今度のレースでは……。私との約束を破った責任を取って貰いましょう！！。ドーーーーーーーーーーーン！！！
毛利,ギャアアアアアアアアア！！！
翌日。スポーツ紙,元MAPY・毛利克人さん４５
喪黒,精神分析学者のフロイトは、人間には、生の衝動エロス
