的場梨沙,お邪魔しまーす
梨沙,しね。しね！２、３回しんでしまえっ！
Ｐ,脚っ！足っ！かかとっ！ありがとうございますっ！
梨沙,……コイツどこまで本気なのかしら
Ｐ,むろん全て
梨沙,その体勢でイケメン風真顔やめて
Ｐ,…とまあ、冗談っぽい本気はともかく、どうせ踏むならもう少し肩寄りをお願いしたい
梨沙,…………
Ｐ,ああっ！冷たい目っ！。ありがとうございます！ありがとうございます！
梨沙,だからそれはやめなさいって！
Ｐ,あー。肩が軽くなった。なんか憑き物が落ちたみたいだ。おう。そんなに遠くはないな
梨沙,りょーかい。荷物持ちはお願いね
Ｐ,任せとけ
梨沙,えーっと、洗面所洗面所…
Ｐ,出て左だ。ちなみに右に行って奥が１階のお手洗いな
梨沙,ありがと
Ｐ,…………。…………。準備しとけったって、特にすることないよなぁ。上着はおったら仕舞だし。…………。…………
梨沙,きゃああああああああああああっっっ！！！
Ｐ,！？。梨沙っ！？どうしたっ！
梨沙,あ…あ…あ…
Ｐ,洗面所で座り込んで…？怪我はないみたいだな。何があったんだ。そんなに真っ青…
梨沙,おばけっ！
Ｐ,はぁっ？
梨沙,お、お、おばけがっ！幽霊がでたのっ！
Ｐ,…はぁ？
アタシが洗面台に向かってたら鏡に,ふっ
Ｐ,えーっ…。何かの見間違いじゃあ…
梨沙,いたのっ！振り返ったらもういなかったけどっ！
Ｐ,リサリサ…あなた憑かれているのよ…
梨沙,疲れてないわよっ！なんで信じないのよ～～～っ！
Ｐ,だって今まで住んでてそんなこといっぺんもないしなぁ
梨沙,バカーーーッ！
Ｐ,へいへい…
店員,奥さん。鶏肉なら今日はこっちの宮崎産がお買い得だよ
梨沙,えっ？
店員,ここだけの話、向こうのお肉売り場の海外産とは全然違うから。うま味も柔らかさも！
梨沙,…奥さんってアタシ？
店員,もちろんですよ若奥様。おや？もしかしてまだ少しお若いかな？
Ｐ,その場合、横にいる俺がダンナということになってしまうのですが
梨沙,そうね。ちょっと高いけど、そのお肉を…1000ｇでっ♪
Ｐ,多い多いっ！半分でも多いくらいだっ！
梨沙,そういうものなの？
Ｐ,まぁ、普段パックで買ってたらそこらへんはよくわからんかもなぁ
梨沙,じゃあ500ｇ頂戴っ！あとそこのから揚げもっ！
店員,へいっ
Ｐ,わーい。から揚げ。Ｐから揚げ大好き
梨沙,知ってるわよ
店員,から揚げはどのくらいで？
梨沙,うーん？400ｇで
店員,はいよっ……412ｇっと、このくらいでいいですかい？
梨沙,オッケーよ
店員,ではお会計…
梨沙,それにしてもスーパーの店内にお肉屋さんがあるのね。変なの
Ｐ,その分、食料品売り場の肉が安めだったりする。競争って大事やね
梨沙,ふーん…。あっ。袋はこの人に持たせてください
Ｐ,ダンナです
店員,はい。ありがとうございました。またのお越しをお待ちしています
梨沙,ええ、また来るわ♪
Ｐ,また来るのでその目と通報は勘弁してください
店員,…………
梨沙,あとは…人参と野菜ジュースとほうれん草とブロッコリーと玉ねぎね。あと牛乳とツナ缶も
Ｐ,そのあたりは普通に食料品売り場だな。…そういうや、何作るんだっけ？
梨沙,シチューよ
Ｐ,わぁいシチュー。Ｐシチュー大好
梨沙,知ってる
Ｐ,きー…
梨沙,アタシは牛乳とってくるから、アンタは買い物カートとじゃがいも、玉ねぎよろしく
Ｐ,いえすまむ！
梨沙,マムじゃないっ！
Ｐ,お母さん。お菓子買っていい？
梨沙,しかたないわね。一個だけよ。…ってそれもちがうっ！
Ｐ,あはは。じゃあ行ってくる。後からすぐに追いつくよ。必ず
梨沙,…はいはい
Ｐ,…それが彼女の見た最後のＰの姿だった
梨沙,さっさと行きなさいっ！
Ｐ,で、特に何事もなく買い物完了し、帰宅ぼ～
梨沙,ぼ？何事もなかった割にはなんか疲れたけど…それに…
Ｐ,うん？どうした。玄関で立ち止まって。入らないのか？
梨沙,…………
Ｐ,梨沙さん？
梨沙,は、入るわよっ！入るに決まってるでしょう！
Ｐ,おおう。なんだ急に。年頃の娘さんはようわからんのう…
梨沙,見間違い。見間違い。あれはアタシの見間違い…
Ｐ,買ってきたものテーブルに持っていくな～
梨沙,ちょ、待ちなさい。一人で先に行くんじゃないわよ！
Ｐ,へっくしょおぉいっ！
梨沙,きゃああっっ！？
P,うっま！普通にかなり美味しいシチューだ…
梨沙,と、当然！アタシが作ったんだから！えへへ
P,一見普通のシチューだけど…さっき遠目に見てた限り、色々使ってそうだったよな
梨沙,まあね。ママ直伝よ。隠し味は秘密だけど
P,ふぅむ。…これならいつでもお嫁に行けるな
梨沙,フフン。まだまだこれからだけどね。ん。…うん。美味しい。我ながら上出来
P,なんならお嫁に来てもいいな
梨沙,げほっ！ゲホッ！な、ななな何言ってんのっ！
P,心配するな。家事は俺もちゃんとする
梨沙,役割分担の心配はしてないっ！
P,お。買ってきたから揚げも美味いぞ。下味がしっかりついてるし、ニンニクとかの臭みもない。ほれ。あーん
梨沙,ちょ、調子にのん…。…はむ
P,食うんかい
梨沙,うるはいっ！…ほんとだ。美味しい
P,なー。だろ？ううむ。いかんな。ご飯がすすむ
梨沙,…食べ過ぎて太らないようにしなくっちゃ
P,梨沙は十分スタイルいいぞ。細すぎるくらいだ
梨沙,油断は大敵なの
P,いやいや。アイドル顔負けだ。つーか、梨沙が嫌じゃなければならないか。アイドル
梨沙,……またその話？アタシにそんなつもりはないって…
P,やっぱりかー。もったいねーよなー。まぁ、色々大変な世界だからその気がないのに無理強いはできないけれど
梨沙,…………
P,アイドルといえば里…
梨沙,ねぇ
P,うん？
梨沙,お仕事。最近どうなの？。…………
P,でもまぁ、異業種に転職したわけじゃないしな。担当することになったアイドル達もいい子ばっかりだし…癖は強いけど…それなりに上手くやってるよ
梨沙,…そう。なら別にいいんだけど
P,…………
梨沙,…………
P,…なんか…本当に母さんみたいだな
梨沙,なんでよっ！
P,あはは。もしくはあれだ。最近どうだ…学校は楽しいか…って感じで息子との距離の取り方に苦労する父親感というか！
梨沙,もっとおかしい！
P,パパっぽい梨沙。縮めて…通称パリサ！
梨沙,絶対やめて
P,あー。距離の取り方といえばさぁ。担当になった娘が最初、滅茶苦茶ネガティブだったんだけど、最近ようやく…
梨沙,…大丈夫そうね
P,へ？なにが？
梨沙,なんでもないっ！顔面辛気臭ヘンタイロリコン男っ！
P,さすがにひどくないっ！？
梨沙,せいぜいアイドルの子たちに気持ち悪がられたり嫌われたりしていじめられないように気を付けないっ！
P,ぐ…！絶対ないとは言い切れないのが悔しい…！いやいや最近は自分を慕ってくれるようになった子も何人か…
梨沙,絶対ないっ！
P,ひっどっ！。ブキィッ！？
梨沙,…………
P,…………
梨沙,…………
P,なんでまた尻の上に座るん？
梨沙,食器洗い終わった
P,おう？お、お疲れ様？
梨沙,おふろ
P,おう？
梨沙,お風呂入りたい
P,？いいぞ？俺普段あんまりお湯張らないけど、普通に貯めて入ってくれて問題ないし
梨沙,……そうじゃなくて
P,？
梨沙,…………
P,はっ！も、もしかして…、Pお兄ちゃんといっしょに入りた
梨沙,違うっ！
P,否定はええっ！
梨沙,違うけど一人で行きたくないの！あっちに！
Ｐ,あっちって…洗面所？
梨沙,そう！。それもイヤ
Ｐ,じゃあ俺と
梨沙,絶対イヤ
Ｐ,ですよね！
梨沙,イヤだけど…一人で行くのもイヤだから…
Ｐ,うん
梨沙,ついてきて、洗面所の前で待ってて。目をつむって
Ｐ,あー……
梨沙,あと、無言だと不安だから、いるって証拠に歌ってて。明るい曲で
Ｐ,無茶ぶりにもほどがあるっ！？
梨沙,言うこと聞かなきゃパパに言いつけるわよ。アンタに迫られた…結婚してくれ、一緒に風呂に入ろうって
Ｐ,微妙に嘘じゃないのがまずい！
梨沙,ほぼほぼ真実じゃない。…よろしい
Ｐ,よろしいのかな～？
梨沙,上がったわ
Ｐ,マァァァァスパーキンッッッ！って風呂なげーよっっ！
梨沙,なんか入ってみたら意外と居心地よかったのよ
Ｐ,喉、からっからなんですけどっ！？。みじかっ！…飲まねぇよ！
梨沙,…間がなかった？すぐ上がってこなかったらパパに、アンタがアタシの入浴中お風呂の前から離れなかったこと言うから
Ｐ,事実だけど理不尽すぎる！てかどんだけ昼の幽霊引きずって
梨沙,引きずってない！幽霊なんていない！
Ｐ,おおう
梨沙,さっさと入ってくる！そしてアタシを一人にしない！返事っ！
Ｐ,サーイエッサー！
梨沙,サーでもない！
Ｐ,リサーイエッリサー！
梨沙,語呂わるっ！。きゃああああああああああああっっっ！！！
Ｐ,っ！？また梨沙の悲鳴っ！？なんだなんだっ！。どうした梨沙っ！無事かっ！
梨沙,ぎゃあああああああっっっっ！？？なんて格好で出てきてるのアンタっ！
Ｐ,シャワー浴びてた所だったし…。けど見た感じ無事そうで良かった
梨沙,あらゆる面で無事じゃないっ！ていうか仕舞なさいよその禍々しいのっ！
Ｐ,おおすまん。つい…。は、恥ずかしいな
梨沙,赤面するなっ！
Ｐ,で、何があったんだ？
梨沙,仁王立ちやめなさいっっ！隙間から！指の隙間からっ！
Ｐ,はぁ…今度は台所に女の幽霊？
梨沙,そう！また出たの！ぼやぁって光る感じの…若い女の幽霊！冷蔵庫のあたりに！
Ｐ,…リサリサ…あなた憑かれているのよ
梨沙,疲れてないっ！ていうかなんかニュアンス違うこと言ってない？。否定する気あんのアンタっ！
Ｐ,大丈夫大丈夫。少なくともほら。俺と二人でいたら出てこないってきっと
梨沙,…………
Ｐ,もし夜に何かあったらいつでも呼んでくれていいからさ。俺が助けてやる。護ってやる
梨沙,…………
Ｐ,たとえ草木も眠る丑三つ時だろうとも、すぐに梨沙が独りで眠る純和室に飛んで行くから…
梨沙,安心させる気ないでしょアンタぁ！
Ｐ,おおう。泣かんでも
梨沙,泣いてないっ！
Ｐ,で、こうなる…と
梨沙,半分以上アンタのせいでしょ。責任取りなさい
Ｐ,責任か～
梨沙,…ちょうどいい布団があったんだから、いいじゃない
Ｐ,来客用だからな。ほぼ新品だ
梨沙,ほぼ？
Ｐ,…新品だ
梨沙,…あやしい
Ｐ,アヤシクナイヨ
梨沙,目をそらすな！あと逃げないで。隙間ができたら寒い！
Ｐ,…密着してると落ち着かなくて眠れそうにないのですが
梨沙,なんでよ。ああロリコンだから
Ｐ,超速理解ありがたい
梨沙,…やっぱり否定しないのね
Ｐ,我ながら天職に就いたと思う
梨沙,絶対に雇ったらダメな人間よね。向いてはいるんだろうけど。時々タラシだし
Ｐ,え？なんだって？
梨沙,…そういうところもね
Ｐ,うん？…しかし暖かいな。子どもの体温高いって本当なんだな
梨沙,子ども扱いするなっ！
Ｐ,…ほう…大人扱いしろと？
梨沙,台所から包丁持ってきて。枕元に置いておくわ
Ｐ,さーせん！勘弁してくだせー！
梨沙,…ヘタレ
P,ありがとうございますっ！？
梨沙,褒めてないわよ……ふぁ
P,うん？眠くなってきたか。遠慮せず眠っていいぞ。何もしないからさ
梨沙,パパが…男の人の何もしないは信じちゃ…
P,本当に何もしねーよっ！？
梨沙,…………ヘタ…れ
P,…………
梨沙,…………
P,…………
梨沙,…………。…………。ちょっと寝たふりしたら…コイツ、もう寝ちゃった
P,ん……
梨沙,…………。…………。やっぱり疲れてるじゃない。疲れてるのはアンタの方じゃない
Ｐ,…………
梨沙,…………
P,むにゃ……り…さ…
梨沙,……何よ
P,…………
梨沙,…………
P,おばけ…くる…ぞ
梨沙,寝言までっ！いじわるっ！悪魔！ロリコンっ！鬼ぃっ！
P,…ふへへ
梨沙,…おにぃ。…………。…………。……バカ面で。……いじわるで。…………。……無防備なんだから。…………。…………
P,むぅ…。朝か。なんかよく眠れたような気がする
梨沙,おはよう
Ｐ,おはよう。あ。すまん。いつの間にか抱き枕にしてたみたいだ
梨沙,…別に…いいわよ
Ｐ,ん？
梨沙,…ちゃんと責任とってくれれば
Ｐ,責任か～
梨沙,そう責任
Ｐ,責任か～
梨沙,…そう
Ｐ,ほい。朝ごはんはＰちゃん特製フレンチトーストだ！
梨沙,久しぶりね。これ好き
Ｐ,知ってる
梨沙,…うん。甘い。…美味しい
Ｐ,簡単で失敗しにくいのに美味いよな～
梨沙,うん
Ｐ,また気が向いたらいつでも食べに来いよ。気軽にさ
梨沙,うん。……ここ、お祓いしてくれたらね
Ｐ,まだ引きずってるのか…
梨沙,引きずってない
Ｐ,……
梨沙,あ。そういえば
Ｐ,うん？
梨沙,戸棚の中、見たわよ。缶詰とカップ麺の数が減ってた
Ｐ,う
梨沙,晩御飯、足りないなら足りないって言いなさいよ。ていうかいつの間に食べたのよ
Ｐ,いや…まぁ…すまん
梨沙,次からはもっと多めに作ってあげるから
Ｐ,次から…ってことは、また作りに来てくれるのか？
梨沙,……ここ、お祓いしてくれたらね
Ｐ,引きずってるじゃねーか！
梨沙,だって！…この短期間に２匹も見るなんて…偶然にしては多過ぎじゃない！？。ううん。2匹は別物よ。１匹目は金色っぽい髪の毛だったのに、２匹目は白っぽい髪の毛だったから
Ｐ,…えっ？
梨沙,きっとここ、建てる前はお墓か教会だったりするわね
Ｐ,きんい…えっ！？
梨沙,？なによ急に顔色変えて。…けど、本当に美味しいわね。これ。ちょっと悔しい
Ｐ,…………。！？
梨沙,こんな朝からチャイム？日曜日なのにお客さん？
Ｐ,…特に予定はないはずだけどなー。ちょっと見てくるわ
これも,何か
Ｐ,あれ？森久保か？
森久保乃々,あ。は、はい…もりくぼですけど…
Ｐ,どうしたんだこんな時間に
乃々,い、いえ…。じ、実は…こ、この…チケットを…
梨沙,……誰よその子
Ｐ・乃々,！？
梨沙,こんな朝早くから…何しに来たの？ていうか…どういう関係？
Ｐ,えーっと
乃々,こんな朝早くに…Ｐさんのお家から…。だ、誰なんですか…その人…
Ｐ,えーっと
梨沙・乃々,…………
乃々,…そんな…感じ…
梨沙,…………。ふーん…アイドルの娘が…家に…
乃々,…………
Ｐ,よ、予想外の巡りあわせだけど、まぁ、二人とも仲良く！みんな仲良く！よろしくな！な！
梨沙,…………
乃々,…………
Ｐ,な、なんでにらみ合って…もとい見つめあってるのかな～？
梨沙,…………。ねぇ
Ｐ,はいっ？
梨沙,気が変わったわ。今度アイドルの事務所見学してみたい
Ｐ,どうした急にっ？いやまぁ、歓迎するけど
梨沙,ちょっとね。祓わなきゃならないものが多そうだから
Ｐ,なんの話っ？
乃々,あ、あの、Ｐさん
Ｐ,は、はいはい。なんだいっ？
乃々,もりくぼも…ここにお泊りしてみたいです
Ｐ,急に何を言い出すんだいこの子はっ！？
梨沙,…………
乃々,ぜ、善は急げといいますし…次の土曜日はもりくぼの番ということで…
Ｐ,いや、ダメだろうっ？ていうかそんな子だったか？森久保ォ！
乃々,は、はいもりくぼですけど。そんな子ですけど。！？
梨沙,！？
Ｐ,色々人聞き悪っ！いやいやいや、仕事だから！これもお仕事だから！
梨沙,こ…こういう風にしておいて…。しかも…他のアイドルたちとも、仕事と称して海外に…
Ｐ,ほらぁ！早速よからぬ誤解してる子がっ！
乃々,逃がさないんですけど。離さないんですけど
Ｐ,ちょ、なんで急にしがみ付…っておいっ！のぼるなのぼるな。俺の身体をよじ登るなっ
乃々,う～～～～！
Ｐ,ちょ、背中に回って…。こら離しなさいっ！
梨沙,…………！。…………
乃々,う～～～～！
Ｐ,お前ら、俺の言うこときけぇっっ！。外食の話題に反応したり、夜に食い物あさったりするの、やめてもらえませんかね…
執事,報告は以上です。お嬢様
櫻井桃華,…つまり…建設段階で仕込んであったカメラや盗聴器まですべて撤去…あるいは破壊されていた…と？
執事,はい。恐ろしいほどの勘と嗅覚の持ち主です
桃華,その上、こちらに尻尾も掴ませないなんて
執事,あ。それについては少し情報がありまして
桃華,えっ？
執事,機能を停止する直前のカメラからの映像に、こんなものが…
桃華,！？今、一瞬チラリと…赤と…ピンク色の…リボン？
執事,はい。その隠密能力から察するに、この映り込みはこちらへのアピール…つまりは意図的なものかと…
桃華,…何者ですの。あなどれませんわ。それも意図的でしょう！
執事,だって…イチャイチャバカップルってむかつきません？
桃華,むかつきますけど！
執事,とりあえず、報告はそんな感じです
桃華,どんな感じですか…。まぁ、Ｐちゃまとその娘の間に、特に何事も間違いがなかったのなら良いですわ。過ちですわ！大いに過ちですわ！ダメでしょうっ！？
執事,ダメですか？
桃華,ダメですわ
執事,…………
桃華,…………
執事,…まぁ、それはほんのバトラージョークとしておいて…
桃華,…本当ですわよね？
執事,ええ、実際はＡまでですね
桃華,それもアウト！アウトですわ！監視してたならちゃんと阻止しなさいっ！
執事,…おや？お嬢様はＡの方でも経験回数に含まれるとお考えの方ですか？
桃華,え、Ａの方…？何を言ってるか…微妙に不穏な…食い違いを感じますわ
執事,Ａの方。要するに問題は前の方か後ろの方か、そちらを使
桃華,黙りなさい
執事,…むろんバトラージョークです
桃華,でしょうね！ていうかただの下ネタですわ！
執事,桃華お嬢様は…意外と耳年増…と
桃華,あああああああああああっ！！メモるんじゃありませんわっ！
執事,まぁ、実際は普通のＡだけですね。まったく、微笑ましくも妬ましい
桃華,…………。…………。えっ？
浅利七海,あ～。それでこの二人、仲が悪いんれすね～
Ｐ,仲が悪いっつーか…。まぁ、あれ以降、顔を合わせるたびに仲良く喧嘩してるな
佐久間まゆ,懐かしいですねぇ…
乃々,う～～～～～～～
梨沙,ぬ～～～～～～～
氏家むつみ,あ、あの。止めなくていいんですか？
Ｐ,まぁ、喧嘩って言っても手押し相撲みたいなもんだしな～
むつみ,はぁ…
Ｐ,しかもこいつら俺のいないところでは普通に仲良くしてりするしな
むつみ,へぇ
まゆ,微笑ましいですねぇ
七海,れすね～
乃々・梨沙,が、外野ァ！！
並木芽衣子,若いっていいねぇ…
クラリス,そうですね～
イヴ,ね～
芽衣子,ああ…、新しい湯のみで呑む日本茶は…たまりませんなぁ…。ふぉふぉふぉ
クラリス,素敵な器ですね
芽衣子,えっへへ～。お気に入りなんだー！
イヴ,お茶っ葉もいいモノです～
のあ・柑奈・聖・メアリー,もくもくとお饅頭を頬張る
クラリス,ああ、主よ…
イヴ・芽衣子,……
クラリス・イヴ・芽衣子,今日も平和をありがとうございます
梨沙・乃々,どこがぁっ！？
