藤居朋,ふぅ……、今日のレッスンもハードだったわね～
ほたる,かーｼｬﾝｼｬﾝみｼｬﾝーさーまｼｬﾝがｼｬﾝｼｬﾝれたー。じかーｼｬﾝｼｬﾝｼｬﾝこぼーｼｬﾝｼｬﾝれーｼｬﾝｼｬﾝｼｬﾝるー
朋,タンバリンうるさい！！！
智絵里,こ、こうすれば使用料を取られないかなって……
朋,智絵里ちゃんそればっかりね！？
智絵里,えんじぇうこーりゅべーりかいんどゅりー♪
ほたる,かわいい
朋,かわいい
ほたる,――さぁ、逝こうか
朋,なんか違くない？
智絵里,ちぇーりめーりちえりっ♪ふふっ♪
ほたる,かわいい
朋,かわいい。おーれーんーじさーふぁいあ！
智絵里＆ほたる,パッション！！！！！！！！！！！
朋,ふたりともそんな声出たの
智絵里,さて、そろそろ終わりですね
朋,いや～、歌ったわね！
ほたる,あと10分くらいでしょうか？
朋,こういうカラオケって、それくらいの時間になると……。あ、やっぱり。内線が鳴るのよね
智絵里,ほたるちゃんが一番近いから、取ってくれるかな？
ほたる,あ、はいっ
朋,……。あれ……？この胸騒ぎは……何……？。何か……引っかかって……。あ！！！ち、ちょっとストッ……。ほたるちゃん！！！！！！
前トリップ,◆i/Ay6sgovU
