原田美世,プロデューサー、ドライブとか興味ない？
早苗,そっ。美世ちゃんだって、もう二十歳で、子どもじゃあないんだからねー
P,ぐぬぬぬ。しょ、正直に言わせてもらえればですね！
早苗,ん？
P,早苗さんがああいう風に、プロレス技をかけてくるのも、ホントはやめて欲しいんですよ！
ちひろ,痛いからですか
P,そうじゃなくて！。もしもシメたときに、うっかり早苗さん自身の関節まで痛めてしまったらと思うと……
早苗,えぇー？
P,僕は不安でしょうがないんです！
早苗,それはシメられるようなことをするキミが悪いんじゃない？
ちひろ,ですよねぇ
P,ぐぬぬぬ
早苗,それにさりげなく年寄り扱いしてない？
P,ととっととんとっ、とんでもなぁい！
早苗,怪しいもんだわ。ま、とにかくシメるのをやめろってのは、無理な相談ね
P,僕だって色々解決案は模索してるんですよ！
早苗,ほう？
P,これを
ちひろ,えっ
早苗,ハリセン？
P,もしも僕をシメなければならない時が来たら！。これでぶっ叩いてください！
早苗,うわぁ
ちひろ,うわぁ
P,よく考えてもみてくださいよ！。僕は原田家の可愛い一人娘を預かっているわけです。何かあったとしたら、僕は美世の親御さんに顔を合わせられないっ。たたた、例えばですよ。もももももも、もしも美世が追突でもされて、頭をぶつけたりなんかしたら
ちひろ,ちょ、Pさん、顔が真っ青ですよ
P,美世ォ！美世ォォォ！
ちひろ,きゃー！モバコインのプリペイドカードを床に並べないでください！
P,美世ォォォォォ！
ちひろ,それまだ未使用じゃないですか！もったいないことしないで！
早苗,ダメだこりゃ
美世,……
ケイト,どうしたデスカ？美世はずっと不機嫌デスネ
智香,あそこで缶ビールをイジイジしてますねっ
若葉,美世ちゃん、ビールは好きでしたっけ～？
美世,……。……
ケイト,！
智香,！
若葉,！
美世,……
ケイト,私、見逃しませんデシタヨ。美世の目に涙浮かんでマシタ
智香,はいっ！これは事件の匂いがしますねっ
若葉,やっぱりビール苦手なんだ
美世,……。苦い……。……。苦い……。……。Pさんのバカ……
ケイト,ンー、どうせプロデューサーがヤラカシをしたんでショウネ
智香,ですねっ！アタシ達でバカデューサーの首根っこを掴んでやりましょうっ！！
ケイト,私ソレ知ってマスヨ、死中引きずり回しの刑デスヨネ
智香,あれ？ええと、んんっ？んー。はい！それですっ！。Pさんっ！首を洗って待っていてくださいねっ！
ケイト,オー！
若葉,お、お～？。いいのかな？
美世,……。全部聞こえてるんだけど……
智香,やい、バカデューサー！
ケイト,バカデューサー！
若葉,ば、バカデューサー。ご、ごめんなさい～
P,どうしたの三人そろって。バカデューサー？
智香,ネタは上がってますよっ！
ケイト,正直に白状したまえデス！
若葉,あ、あのう～、女の子を泣かせるのはさすがに～
P,泣かせる？あっ、美世のことか！？
智香,そうですっ！罪の自覚があるなら、償う覚悟も出来ていますよねっ☆
ケイト,カモン、ブリッツェン！
ブリッツェン,ぶももん
P,ちょっ、なんだなんだ
若葉,えっ、本当にやるんですか～？
ケイト,モチノロンデス！
智香,このためにわざわざイヴさんからブリッツェンさんを借りたんです！。女の子を泣かせるやつには死を！ですからねっ☆
ブリッツェン,ぶもっ
ケイト,サー、腹を括るがいいデスヨ、プロデューサー
P,わっ、わっ。なんだよ！ちょっ、腹の下にくくりつけんといてっ！
智香,レッツゴー★死中引きずり回しの刑、執行だよっ★
ブリッツェン,ぶもー！
ケイト,プロデューサーが反省するマデ、街を回ってきてクダサイ
P,ちょ、ちょっと待て！回るってまさか、ぎゃあ、嫌だああ！
ブリッツェン,ぶもも
P,ぎゃあああああああああ！
若葉,うーん、これは自業自得なんでしょうか？
智香,当然です！
ケイト,オヤ……どこからともなくバック・グラウンド・ミュージックが流れてきまシタヨ
ちひろ,もう冬も終わりに近いんですけどねー
ケイト,ワッツ？チヒロ、いたのデスカ？
ちひろ,もう、最初からいたわよ
智香,ちひろさん、あのバカデューサーが美世さんに何をやらかしたのか、教えてください！
ちひろ,え、理由、知らなかったの？
智香,理由はどうあれ、女の子を泣かせる野郎は万死に値しますっ☆
ケイト,その通りデス！イギリスではレディを泣かせたバッドボーイは銃殺刑デスヨ
ちひろ,そんなまさか
若葉,それは盛り過ぎでは
智香,ここがイギリスでなくてよかったですっ
若葉,ええと～、まずは何があったか聞かせていただけるとありがたいんですが
ちひろ,え、あ、うん。というわけなの。Pさんが熱くなっちゃうのも、まあ分かるといえば分かるんだけどね
智香,善意からやってるんですね！余計にたちが悪いですっ★
若葉,だからって、美世さんから車を取るのはあんまりなような～
ちひろ,困ったなぁ
ケイト,一度話しあう必要がありマスヨ
ちひろ,絶対に、不安だ、危険だ、とかの一点張りでしょうけど
智香,ですねっ
若葉,あ、ブリッツェンとプロデューサーが戻ってきましたよ～
ブリッツェン,ぶも
P,あ、ああ
智香,お空の旅はどうでしたか、バカデューサーさん★
P,は、はぁ。はは、もうサイコーだよ
智香,もしもですよ★また美世さんを泣かせるようなことをしたら、今度は関東地方一周ですからねっ★
P,ヒッ、わ、わ、分かった。肝に命じとくよ
ちひろ,智香ちゃん、いやにPさんに厳しくないかしら？
若葉,さぁ～。私は知らないですね～
ケイト,ンー……
ちひろ,何か知っているの？
ケイト,イイエ、多分気のせいデショウ
智香,関東は甘いですねっ★せめてサイパンの辺りまで飛んで行ってもらいましょう★
P,ヒエ～ッ！
ブリッツェン,ぶもも！勘弁してくれたまえ！
ちひろ,えー、静粛に、静粛に。皆さんに集まってもらったのは他でもありません。皆さんがご存知の通り、数日前、Pさんがアイドルを泣かせるという、非常に度し難い事件が発生しました
美世,！
ちひろ,Pさんはハリケーン・ミキサー、ベルリンの赤い雨とタワーブリッジ、そして死中引きずり回しの刑を受けて罪を償いましたが、。このような事件が起こったということは、つまり、Pさんとアイドル間での、十分なコミュニケーションが取れていないということでありまして
凛,そうだそうだ！
まゆ,もっとPさんとの交流を自由にするべきです！
ちひろ,まあ彼女らは例外として
真奈美,ちょいと大人しくしてくれたまえよ
あい,ガムテープはやりすぎなのでは……
凛,
まゆ,
ちひろ,何をするべきなのか話しあった結果、やはりPさんとアイドルの、一対一での面談が必要だという結論に至りました
凛,！
まゆ,！
美世,え……
ちひろ,つきましては、こちらのクジを皆さんに引いてもらって、。クジには面談の時間が書いてありますから、その時間に小会議室に行ってくださいね。仕事などで行けない方は、こっちに連絡をよこしてくださいねー
凛,まゆ、先に引きなよ
まゆ,凛ちゃんこそ、お先にどうぞ？
凛,ま、ベタなジンクスだけど。こういうのは残りものに福を祈るタイプなんだ
まゆ,面談なんだから、時間は全員、差はないはずですよ？
凛,まゆ、とぼけてるフリをしてるけど、そうはいかない
まゆ,まゆは見逃しませんでしたよ
凛,茄子さんが１３：３０～１４：１０と書かれた紙を手に入れ
まゆ,ほたるちゃんが１６：２０～１６：４０と書かれた紙を手に入れていた
凛,そして卯月が、１０：００～１０：３０と書いてある紙を手にしていたのが、なんとか見えた！
まゆ,つまり、面談時間は最短で２０分、最長で４０分
凛,面談は、Pさんのオフの時間を利用しているはず
まゆ,多忙なPさんですから、面談時間が４０分の紙は少ないはずですねぇ
凛,今、４５人が引いて、中身を確認出来たのは１０人
まゆ,今、４５人が引いて、中身を確認出来たのは１４人
凛,面談時間２０分の紙を引いていたのは、７人と多い
まゆ,面談時間２０分の紙を引いていたのは、１２人とかなり多い
凛,データが少なすぎる！歯がゆいけれど、今引きに行くのは得策ではない……？
まゆ,面談時間４０分の紙の総数が少ないと仮定すれば、今引きに行くべき……？
凛,とにかく
まゆ,とにかく
凛,まゆだけには、４０分の紙を渡さない！
まゆ,凛ちゃんだけには、４０分の紙を渡しません！
美世,二人とも難しい顔してるなぁ、あたしと同じで、何かあったのかな
凛,
まゆ,
友紀,エーッ、四十分も面談するのー？めんどくさいなー！。四十分もいらないっちゅーの！まったくもー！
茄子,うーん……
ほたる,ど、どうかしたんですか
茄子,あ、ほたるちゃん。それがね、Pさんとの面談なんだけど。この日はどうしても外せない用があってね
ほたる,ちひろさんに相談しにいくのは……？
茄子,それもそうなんだけど、今大変そうだから
ちひろ,押さんといて！押さんといて！。きゃー！輝子ちゃん、中にキノコを生やしちゃダメー！
茄子,ね？
ほたる,た、確かに……
茄子,あ、ほたるちゃん。ちょっと見せてもらってもいい？
ほたる,え？ど、どうぞ
茄子,うん、この時間なら合う！ね、ほたるちゃん。ほたるちゃんのと私のと、交換してくれないかな？
ほたる,え、え、あの……い、いいんでしょうか。交換しちゃっても……
茄子,えっ、いいんじゃないかな？。ねー、ちひろさーん！
ちひろ,えッ、あ、こ、交換？いいですいいです、ドンドンやっちゃってください！ファッ！？誰ですか、箱にこんなリスザルを描いたのは！
茄子,ほらほら。どうかな？
ほたる,わ、分かりました、そこまで言うのなら……
茄子,ありがとうね、ほたるちゃん！
凛,
まゆ,
ケイト,フタリとも、誰かにトレードを頼みにいくとかしないのデスカ？
凛,ケイトさん……
まゆ,こういうやつはですね……
凛まゆ,自分で引かないと意味がないんですよ……！
ケイト,Awesome
瑞希,わかるわ
音葉,彼女らの音、泣いているようで、自らを奮い立たせているようにも聞き取れる
ヘレン,まさに、ダンサブルね
智香,美世さん、まだ暗い顔してますねっ
若葉,昨日は美世ちゃん、赤色のミニカーを枕元に置いて寝てたんですよ～。なんだか可愛いですよね
美世,……///
智香,あれ、美世さん顔が真っ赤ですっ
若葉,あ、あれれ～？もしかして聞こえていたのかしら～？
智香,恥ずかしがる美世さんも可愛いですねっ☆
美世,……///
智香,あっ、逃げちゃいました
美世,もー、二人ともヒソヒソ話の声が大きいんだから……。でも、どうしようか。四十分もPさんと話したくなんてないよ……
早苗,なーんであたしが最初になっちゃうかなー
P,しょ、しょうがないですよ。なんせクジですから
早苗,ま、いいよ。で？Pくんはあたしに何をやめて欲しいの？
P,……
早苗,シメる行為そのもの？深酒とか？
P,あ、あの
早苗,なにかな？
P,僕、気付いたんです。あの時、ハリケーン・ミキサーとベルリンの赤い雨のコンボを喰らった時。わざわざベルリンの赤い雨で吹っ飛ばしたのは、。ハリケーン・ミキサーを喰らったまま、僕が頭を強打しないようにしてくれたんですよね
早苗,……
P,もしかしたら、僕は独りよがりにアイドルの心配をしていただけなのかもしれない、いや、実際はそうなんでしょう。あの時、美世を見つけた時、美世に光る物を感じたのは。大好きな車がそばにあったからなのだと、今さらになって思い出したんです……
早苗,Pくん、あたしは……
P,僕に足りなかったのは！。みんなは、それまで培ってきた経験をもっている、ということへの気付きだった。早苗さんは、僕が頭を打たないように、そして自分もケガをしないように、僕をシメることができる。美世は、僕が思っているよりも、ずっとずっと車が好きだった。油まみれになっても、僕が光を認める事が出来るほどに！。危ないからという理由で、僕は早苗さんの経験を否定して、美世の輝きを奪ってしまうところだった。僕はそれに、やっと気付いたんです……
早苗,頭を強打とかそんなことはなんにも考えてなかったけどまあいいや。……で、言いたいことはそれだけ？
P,はい……
早苗,じゃ、もうやることは決まってるわよね？
P,は、はい！
早苗,ちゃんと美世ちゃんと謝って、話し合うこと！
P,分かりました！
早苗,ふふん、もう大丈夫そうね。さっきまでと顔つきが違うもの
P,そ、そうですか？なんだか、色々とありがとうございます
早苗,ま、いいってことよ！じゃあ、もう時間だし、これでいいかな？
P,あ、待って下さい
早苗,ん？
P,今年のお花見は、ボディコンだけはやめてくださいね。風邪ひいちゃいますよ
早苗,
智香,ダメデューサーさんがアタシになんの用ですかっ☆
P,ぜ、全員とやってる訳だし、智香とだけやらないのもな
智香,つーん
P,……美世とは、ちゃんと話し合うつもりだよ
智香,……
P,美世のついで……と言えるかもしれないけど、みんなと話しあわないとな。僕がアイドルに求めていること、アイドルが本当にしたいことを……
智香,……
P,僕が智香に言いたいことは、あんまり頑張りすぎないでほしいってことかな。こんな寒い日でも、智香は元気いっぱいで、他のアイドルの応援をしてくれてるだろ？
智香,……
P,無茶をして体調を崩してほしくない、ってのが、僕が言いたい事だよ
智香,……
P,……とにかく、そういうことだから。智香が言いたいことがないのなら、面談は終わりだよ
智香,……。……Pさん
P,ん？
智香,アタシは、ヒトを応援することが好きなんですっ
P,うん……
智香,頑張るヒトを見るのが好きなんです！。だ、だから、アタシは……
P,……
智香,こ、こういう風に、アイドルのために、本気になってくれて、がんばって、がんばるPさんの姿を見て……
P,……
智香,で、でも、そんなPさんが美世さんを泣かせたって聞いてっ！。な、え、ええと……ごめんなさい、頭の中、ぐちゃぐちゃで……
P,……
智香,アタシ、美世さんもPさんも好きだから、誰が間違ってるのか、分かんないんです。結局、自分は応援して、人に頼ることばっかりで……。自分で、何もできないんだと……
P,……。智香の言いたいことは、よく分かったつもりだ。ただ、目がずっと泳いでいて、本当に言いたいことを言えないでいるような……声も震えていて、苦しそうだ。でも、智香の泣きそうな顔を見ると、臆病な僕は、口を開けなかった。面談なのに、プロデューサーのくせに、僕は智香の心の内を知ることが出来ない。どうしようもない……
智香,あはは……口動かしてたら、なんだかワケ分かんなくなっちゃってきました。ごめんなさいっ、もう面談は終わりの時間ですよねっ！
P,あ、ああ……
智香,じゃ、ボーカルのレッスンがあるので！いってきますっ☆
P,と、智香！
智香,？
P,また、一対一で話そう。今日話せなかったことは、その時に話せばいいから。時間が経ったら、話せることもあると思うんだ
智香,……
P,多分だけど、智香は今、落ち着いて話せる状態じゃないと思うんだ
智香,……は、はい。その時になったら！。その時になったら、アタシの話を聞いてください
P,ああ
智香,まずは美世さんと仲直りをしてから……
P,分かった。絶対、美世と話をつけるよ
智香,はいっ、頑張ってくださいっ！。頑張ってくださいねっ、プロデューサーさん！
美世,……
智香,美世さん、面談はまだなんですか？
美世,あ、智香ちゃん……。うん、もうすぐPさんと会わなきゃいけないんだ
智香,億劫ですか
美世,億劫……そうね、あたし、Pさんと会うのが億劫なの。ひどいの、Pさんったら。あたしから車を取ったら、なんにも残らないのに、知ってたのか知らないのか分からないけど、どっちにしろ、ひどいな
智香,……
美世,あたしがアイドルになったのは、クルマのため。お金、たくさん貰えて、車につぎ込めるようになったし、モーターショーなんかの仕事で、新しい車と触れあう機会も貰った。Pさんには、いくら感謝しても足りないくらい……。でも、Pさんはあたしから車を奪おうとしたの！。善意なのは分かってる、でも、Pさんはよかれと思ってやってるから、余計にPさんが分からないの……
智香,……。美世さん、声が震えてる。きっと、さっきのアタシみたいに、Pさんに対して、複雑な気持ちになってるんだ
美世,……
智香,……
美世,……ごめんね、智香ちゃん。愚痴になっちゃったね
智香,が、。がんばってくださいっ。今アタシに言ったこと、がんばって、あのバカデューサーに伝えてやってくださいっ！。Pさんも頑張ってます、頑張って、美世さんと仲直りしようとしてますからっ。アタシ、美世さんを応援しますねっ！
美世,智香ちゃん……
智香,ふ、フレー！フレー！美世さん☆。フレッフレッ、頑張れ頑張れ、美世さんっ☆
？,フレデリカ、ふぃ、いひゃいれす……
？？,わかるわ、わかるけれど、黙っておきなさい
智香,えへへっ、どうでしたかっ☆元気になってもらえると嬉しいです！
美世,うん、うん……。ありがとう、智香ちゃん。そこまで応援してくれて、黙ってる訳にはいかないよね。本当にありがとう、智香ちゃん！あたし行ってくるねっ！
智香,……。……ふぅー。勝負ですよ、美世さん。アタシが勝手に勝負を仕掛けてるだけだけど、これを、アタシが決断をするきっかけにしないと……。ごめんなさい、美世さん、Pさん……。アタシは、ずるい人です。チアリーダーなんて、胸を張って名乗れないくらいに
P,み、美世か。座って
美世,は、はい
P,まいったな、緊張してるのが美世にバレてしまう
美世,どうしよう、いざPさんの前に来てみると、やっぱり怖いし、緊張しちゃうよ……。……
P,！
美世,……
P,！！！。だ、だめだダメだ！僕はプロデューサーで、アイドルを導く立場なんだから！。み、みみみみ、み、美世っ！
美世,は、はいっ！。Pさん、顔がちょっと怖いな。怒られるのかな
P,ああ、まずい。声が震えて……。智香のことを笑えないじゃないか。こんな緊張、これまで味わったことがないかもしれない。こういう時はどうするんだったか……。確か、勢いに任せればよかったんだったっけ？いや、悪かったような。あ、考えてもしょうがないな、これは。体が勝手に動いて、立ち上がって、長机を離れて。僕の身体が、美世の目に映るような場所に行って。美世！俺が悪かった！。土下座をかますんだ。許して下さい！なんでもしますから！
美世,えっ、ええええ？
P,この通りです！な、なんならこれを使って！
美世,た、タバコとライター？
P,僕の精一杯の詫びの気持ちなんだ！
美世,きゃああ！な、なに脱いでるのPさん！。な、生の男の人の裸を見るのは、初めてかな……。意外にたくましいんだ、Pさん……
P,ふうう、寒さが堪える……
美世,って、ぜ、全裸になってる！
P,僕の、僕の背中に、火を付けたソレを押し当ててくれ！
美世,やめてよ！Pさんのそんな姿、見たくない！
P,これが、これが僕のやり方なんだ！さあ、早く！早くっ！
美世,いやあああ！
早苗,事案
P,あれどうしたんですか早苗さん
美世,うう、やめてよぉ……
早苗,……はぁ。ちっひちっひ
ちひろ,はっ
P,ファッ！？
早苗,あー……。アウトだわ
美世,うう……Pさんが悪いんだ、Pさんが……
ちひろ,はいはい、美世ちゃんはこっちで雪美ちゃんを抱っこしに行きましょうねー
早苗,……
P,……
早苗,あのさぁ
P,いえっ、言いたいことはっ、早苗さんが言わんとしていることは分かっておりますっ
早苗,だからってさぁ。今時、根性焼きをしてください！なーんてのが、いるかねぇ、フツー
P,しょ、しょうがなかったんです！美世を前にしたら、緊張して、緊張して……
早苗,……。もしかしてさ、Pくんって、美世ちゃんのことが……
P,み、美世のことが？
早苗,自覚はないのね。美世ちゃんのことが好きなんじゃあないの？
P,
早苗,いやー、だって、ねえ？。あたしとちひろちゃんでさあ、面談の様子をね、ずっとモニタリングしてるわけなのよ。それはPくんも知っての通りでしょう？
P,
早苗,まあ、ね。それで、Pくんがこれまで面談したのは、あたしとか美世ちゃんを入れて十五人程度な訳だけど。あまりにも、美世ちゃんと他の子たちとで、態度が違うんだよねー
P,
早苗,どーなの？自覚はあるわけ？。答えによっては……はぁ、なんだか面倒だけど、シメるからね
P,ななななななな、ああああ、あたくしは……幼少のころより女性関係とはまるでででで、縁がなくてありまして……
早苗,つまり、年齢イコール、彼女いない歴ってこと？恋愛経験もゼロ？
P,は、はぁ。そうなりますね
早苗,……。ま、恋心を患ってるのかどうかは、自分の胸に手を当てて考えてみなさいな。それを踏まえたうえで、美世ちゃんにちゃんと接することが出来るのなら、あたしはなーんも言わないよ
P,そ、そんな、胸に手を当てろだなんて…….///
早苗,ああこいつ童貞だわ。あーはいはい。初めての恋がかなうといいわねー
P,い、いやだなぁ、アッハッハ。恋だなんて。アッハッハ。そ、そういう早苗さんこそ、僕らに隠れて、バレないようにイイ人がいるんだったりしませんかー？
早苗,。カチーンときたよ
若葉,あっ、智香ちゃん。こんなところにずっといたら、風邪をひきますよ～？
智香,……
若葉,智香ちゃん？
智香,……。はいっ、そうですねっ。風邪なんてひいちゃったら、みんなに迷惑がかかっちゃいますっ☆。若林智香、元気いっぱいでいきますよーっ！
若葉,あっ、いきなり走ったら危ないですよ～！
ケイト,……。フーム……。やはり、トモカはプロデューサーのことが好きなのデショウカ。アイドルという立場を考えれば、応援するワケにはいきませんネ。デモ、このまま彼女が苦悩し、成長する様を見たくもアル……。オトナという人種がズルイのは、どこのクニでも、変わりはありマセンネ
瑞希,こうして、子どもたちは大人になっていくのね、わかるわ
音葉,智香の……彼女の言の葉の響き……少し曇ってはしまったけれど、斜が差したそのアクセントも、また美しいわ……
ヘレン,少女達が大人になる姿、それは誰のものでも、素晴らしい成長の過程ね。まさに、世界レベル
凛,
まゆ,
ケイト,ま、アナタ達も塞ぎ込んでないで、二十分の面談時間を有効に使っていきマショウ
凛,ふえぇん
まゆ,うあぁん
ケイト,しかし、プロデューサーはもしや、ミヨのコトが……。これは誰にも言えそうにないデス。マッタク、オトナはこれだから……。オトナは、ホントウにズルイ……
瑞希,大人はこうして強くなって、また弱くなっていくのね、わかるわ……いえ、わからないわ、と言うべきかしら
音葉,輝きを失った心の旋律……けれど、その中に瞬く、光のような音色が、だんだんと強くなっていくのを感じるわ……
ヘレン,活気を失っても、そこからはただ上を目指すのみ、這い上がるしかない。そうそれは、まさにクレッシェンドね
ケイト,ちょっとウルサイデスヨ！
美世,Pさんのばか、Pさんのばか……
雪美,……
美世,ばかっ……
雪美,……。苦しい……
美世,もう、信じらんないっ
雪美,……美世……
美世,えっ、あ、ご、ごめんね、雪美ちゃん。ごめんね……
雪美,いい……美世に抱かれるの……好き……
美世,ありがとう、雪美ちゃん
雪美,……ぶい
美世,ふふっ、ありがとうね、雪美ちゃん
雪美,……
美世,……
雪美,美世……？
美世,ん、どうしたの？
雪美,……Pの、こと……だけど……
美世,う、うん
雪美,苦しい……。私……Pと……繋がってる……
美世,え、ええっ！？
雪美,だから……私は……Pの心が…………分かる
美世,あ、ああ。そういうことか。ちょっとびっくりしちゃった
雪美,美世は……Pの心…………知りたい……？
美世,Pさんの心？
雪美,Pは……美世に…………隠し事、たくさん……あるから
美世,あ、あたしに？あたしにだけ？
雪美,……うん
美世,そ、そうなんだ。隠し事って、なんだろ。あたしが女の子らしくなくて、プロデュースしにくいとかかな……。……
雪美,わ、悪い意味……じゃあ……ない…………
美世,あ、よ、よかったぁ
雪美,……。早く……言ってしまわないと…………こっちがもたない……。どう……？美世は…………知りたい……？
美世,あ、あたしは、
雪美,う……
美世,あたしは知りたいかも……Pさんの隠し事
雪美,ろ……肋骨を……持っていかれる…………。じゃあ……話す…………。さっさと話して……楽になって……しまおう…………
美世,あっ。Pさんの机に、あたし宛の置き手紙がある
ちひろ,美世ちゃん、それ、Pさんが書いて置いてったのよ。面と向かうと、どうしても、ああなってしまうからって
美世,あ、ああなっちゃう……。そ、そうなんですかぁ
ちひろ,手紙じゃ伝えにくいこともあるだろう、って提案したのは、わたしなんだけどね。最初の一行に難儀してたみたいだけど、それからはスラスラと書いてたわ
美世,スラスラと？
ちひろ,そう、スラスラとね。仕事の方もそんな風にしてくれたら……。ま、それはいいか。言い忘れてたけど、今、Pさんは営業に行ってるから、読むなら今のうちに、誰にもいないところでこっそり読んでね
美世,はーい
ちひろ,あ、ちょっと！
美世,えっ？
ちひろ,美世ちゃんって、彼氏とかいたことある？
美世,えっ……
ちひろ,あー、変な意味じゃなくって。ガールズトークの一つとして、気楽に捉えて欲しいの。嫌なら答えないでもいいし、ね？
美世,あ、あたしは……。彼氏なんか、出来たことないです……クルマばっかりに夢中で。周りの男の子たちも、距離を置いてたらしいんです。だ、だから。あたしが、どうして……。ええっとぉ、その
ちひろ,えっ、ええ？か、彼氏はいたことがないってことでいいのね？
美世,えっ？。ああっ、はい！そ、そ、その通りですっ。あはは……
ちひろ,そ、そっかー。彼氏いたことないのかー。あれ？美世ちゃんのこの反応
美世,……
ちひろ,絶対、知ってる……。えっ、ななな、なんで？美世ちゃんはまだ手紙を見ていないし、そもそも、手紙にそんなことが書いてあるの？。早苗さんがバラした……とも考えにくいし。な、なんでー？
美世,最初の段落、なんども書き直した跡がある。その字も、ちょっと線がぶれてて読みにくいな。Pさん、忙しいのに、あたしのために書いてくれたんだ……。雪美ちゃんの言った通り……。でも、あたしはアイドルで、Pさんはプロデューサーで。どうしたらいいんだろう……。あたしはどうするべき？。あたしは、Pさんのことが……
智香,おっはようございまーすっ！今日もがんばっていきましょう☆
若葉,そんなに強く戸を開けたら危ないですよ～！
ケイト,知ってマスヨ、今、智香がやったのは、話は聞かせてモラッタゾ！ってヤツデスネ
ちひろ,それは、ｶﾞﾀｯ、の時じゃなかったかしら。はーい、おはようございます
智香,……。……。あのっ、ちひろさん
ちひろ,なあに？
智香,Pさんと美世さん、どうなりましたかっ
ちひろ,え？ああ、二人は、というか、Pさんは仕事のあるアイドルを連れていったんだけど、その中に美世ちゃんもいたわよ
智香,ふんふん……
ちひろ,どうかした？
智香,んーと……。二人の仲が、うまくいったのかなって、気になったんですっ！
愛海,嫌だああああ！
真奈美,ははは、我儘を言ってはいけないよ
愛海,もう男の大胸筋を触るのは嫌なのおおおおおおっ！
真奈美,とは言っても、今や君の“マッスル世界レベル番付”は月７のバラエティ番組の人気コーナー。穴を開けては、我々の事務所が傾くことは、想像に難くない
愛海,ヒドイですうううううっ！
真奈美,はっはっは、オトナはずるいんだよ、しっかりと覚えておきたまえ
P,愛海、がんばれよー
美世,Pさんもひどいことするなぁ
P,僕なりに、愛海の長所を活かそうとした結果なんだ。実際に愛海は結果を残してくれているし
美世,分かってますー。Pさんは敏腕プロデューサーだものね？
P,まだまだ、だけどね……。ところで、その位置はきついんじゃないか？。真ん中に座るなんて……
美世,いーの、あたし、ここがいいの
P,どうして？
美世,この位置が、事故を起こしても、一番ケガをしにくいんだって
P,ほう
美世,あたし、あたしの身体のこととか、ぜーんぶ、Pさんに任せることにしたの！
P,ファッ！？
美世,ちょっと！話しかけてるあたしも悪いけど、ちゃんとあたしを守ってよ、Pさん
P,ななななななな、ど、どどど、どういうことでしゅか
