デレマス側の世界観は、アニメ、A20、U149、WWGをゆるく合わせたようなものとなっています,WWG率多め
早苗,ばいばーい。ん？。はいもしもーし。プロデューサーくん？。え？なになに？。……はあ！？瑞樹ちゃんも里奈ちゃんもインフルで来れない！？。うっさい！バカにしてんのか！！ｗ。拓海ちゃんと泉ちゃんスケジュール空いてたら緊急で呼んで！！
きらり,待ちに待ったシロロのDVD発売記念イベント……！。今日は髪もまっすぐでポニーテールだし、下はデニムでちょっとかっこいいコート！。あとは大きめのサングラスをすれば、変装はぱーぺきだにぃ！。いざ！いってきます！。うぅ……けっこう寒くなってきたにぃ。再来週一泊のおっきな収録もあるっていうし、風邪ひかないようにしないと……。はい？。あっ、きら、いや、私興味ないので！。さっきから声かけられまくりだにぃ……。あっ！すみません。ごめんなさい！私急いでるのでっ！
早苗,よくきたわね狂ったマニアどもー！
きらり,あっ、イベント始まっちゃってるにぃ！
早苗,というわけで、瑞樹ちゃんと里奈ちゃんの代わりに素敵なゲストをお呼びしています、どうぞ！
拓海,オラァ！！番組のピンチに駆けつけたぞ！
有香,よろしくお願いします！
拓海,う、うっせっ！///
有香,かっ、かわいい……///
早苗,有香ちゃんがシロロに正式に絡むのって初じゃない？
有香,あっ、そうですね
拓海,見学にはよく来てるよな
早苗,あと打ち上げにもねｗ
有香,あ、でも、ポテトチップス8000回くらい振りました！
拓海,フッｗ
早苗,え、あれ有香ちゃんが振ったの！？
有香,泉ちゃんが200回くらいでお疲れの様子だったので、トレーニング代わりにあたしが手伝ったんです！
早苗,手伝いの範疇超えてるわよｗ
拓海,そしてあとの1800回はアタシだ
早苗,ちなみにこのポテトチップスを10000回振ったらどうなるか？という投稿は、DVDのVOL.4に入ってまーす、みんな買ってねー。それで、本当はトークと握手会の予定だったんだけど、急遽拓海ちゃんが来れたということで……
拓海,わくわくたくみんランド開演だ！！
早苗,で、今日のクイズは？
拓海,ずばり、チップスターの空容器にビリヤードの球は入るか？だ！
早苗,ええええ？。有香ちゃんはどっちの味方？
有香,あたしは早苗さんの味方です！
拓海,シンキングタイム、スタートだ！！
早苗,どう思う？
有香,そうですね……あたし、プリングルズ派なんですよｗ
早苗,実はあたしもｗ
有香,ただ、プリングルズより直径が小さかったような気がします
早苗,うん、それはあるわね。あとはビリヤードの球がなぁ……
有香,早苗さんビリヤードやります？
早苗,やらないのよねぇ。あれ、でも……こないだ打ち上げの時あいちゃんがビリヤードやるって言ってたような
有香,電話してみましょうかｗ
早苗,いいわね！ちょっと誰かあたしの携帯！
拓海,あいかわらず自由だなおい……
早苗,あいちゃんあいちゃん……
有香,あ、これじゃないですか？
拓海,居酒屋の電話番号多くねぇか？ｗ
有香,ンフフｗｗ
早苗,うるさいわね！プライバシーの侵害よ！///。あ゛？なんですって？
有香,ひいい……
早苗,つながるかしら……
有香,事務所ですかね？
早苗,だといいんだけど。ちゃーっす、ミシロロワイヤルでーす！。ああ待って待って！いまイベント中なのよシロロの。いま何してた？。どういう意味よぉ！！。クレイジーでしょ？ｗ。それでさ、いまチップスターの空容器にビリヤードの球が入るかどうかっていう賭けをしてるんだけど。さすが番組ファンｗ
拓海,いろいろ複雑だな……
早苗,え？あいちゃんビリヤードやるんでしょ？。あんたもか！！
有香,ンフフフｗｗ
早苗,ビリヤードの球ってどう？大きい？。なるほどね。今の会場の雰囲気教えてあげよっか。ドン引きよｗ。うるさいうるさいｗ
有香,あいさん瑞樹さんみたいになってますよ！ｗ
早苗,お幸せに～。さて、大きなヒントがもらえたわね
有香,テニスボールよりは小さいけど、予想よりは大きい
拓海,余計複雑になってねぇ？ｗ
早苗,ねぇ、他にも電話しない？
有香,瑞樹さんと里奈ちゃんにですか？
早苗,里奈ちゃんどうだろ……え？
有香,病院で点滴中！？
早苗,じゃあ瑞樹ちゃんだｗ。頼むわよ罰ゲームの女王……
有香,なんですか、それ？ｗ
早苗,いま考えたｗ。あー、寝てるかなぁ？
有香,ンフッｗ
早苗,ちゃーっすミシロロワイヤルイベント会場でーす！。イベント中、あたしMCやってる、今瑞樹ちゃんに電話かけた。オーケー？。いまね、チップスターの空容器にビリヤードの球が入るかっていう、わくわくたくみんランド中なの
有香,瑞樹さん？ｗ
早苗,第三勢力かよ！！
拓海,ングッｗ
早苗,バイオテロは止めなさいｗ。さすがにかわいそうだからもう切るね。なんかみんなに一言ある？。ありがとうございました、瑞樹ちゃんでしたー！。さて……
拓海,そろそろ答え出してもらおうか
有香,どうしましょうか？
早苗,入らないんじゃないかなぁ。だってポッキーもプリッツもトッポも無理だったし
有香,トッポはやってませんよね？ｗ
早苗,とにかくこの番組にセオリー求めてもしょうがないことは証明済みだから。そういえばこれ罰ゲームは？
拓海,歯カチ、歯にライターのカチッだ！
早苗,
有香,早苗さん？
早苗,だめだって！あれはシナプス焼けるって！
有香,ンフフｗｗ
早苗,お願い、せめてベロにして！！
拓海,あ、アタシに言われてもさ……
有香,……OKですって！
早苗,よかった……
拓海,会場のやつらには先に物を見せてやる。これがチップスターの空容器だ。それでこっちがビリヤードの球
早苗,あたしも見たい……
有香,見たら無条件罰ゲームらしいですよ……
早苗,こうなったら腹をくくるわよ！
有香,はい！
さなゆか,せーの。入らない！
拓海,不正解！罰ゲームだオラァ！！
有香,
早苗,ちょっとはタメてよ！！
拓海,さすがに有香にやらせるのは忍びないから、今回もアタシがカチをやってやる
有香,
早苗,あー、そうですか……
拓海,よし舌だせオラァ！！
早苗,あー……
拓海,せいっ！！
早苗,ぬばあ！！
拓海,っ
有香,グッｗｗｗ
早苗,タメろっへいっへるの！！
拓海,あんたが長々電話かけるからめちゃめちゃ押してんだよ！！ｗ
有香,今回は決まりましたね……完全にｗｗ
早苗,え？里奈ちゃんから電話きた？。うん、あたしよ。大丈夫なの？。はぁ！？。ちょちょちょっと落ち着きなさい！具合はどうなの？
有香,熱はどうなんですか？
早苗,うんうん。帰って寝ろ！！。はーい、次の人ー！
有香,こちらにどうぞー……というか、番組に出てないあたしがサイン書いていいんでしょうか
早苗,むしろレアだっつって喜ぶような連中だから大丈夫よｗ
拓海,アタシと腕相撲したいやつは先に言ってくれー
きらり,つ、次だにぃ。マスクもしたほうがよかったかな？
早苗,おー、お姉さんスタイルいいねぇ！
きらり,///
早苗,名前どうする？
きらり,あっ、名前は書かなくていいですぅ
早苗,そ、そう？
有香,はい、どうぞ
拓海,……ん？
きらり,///。
早苗,パリコレモデルかしら？
有香,スタイルよかったですね～
拓海,……どう見てもきらりだろ
有香,あ、次の方どうぞ
早苗,ほいほい、ん……？。凛ちゃん？ｗ
凛,えっ！？///
きらり,はぁ～なんとかバレずにDVDにサインもらっちゃったにぃ～。杏ちゃんは夕方までお仕事って言ってたからぁ。とりあえず一回お家に帰ってDVD見ようかなぁ！。はい？
武内P,私、こういうものですが……
きらり,えっ！？///
早苗,
里奈早苗ちゃん,ほろ酔い
あい,二軒目どうする？
拓海,アタシらは解散だな
瑞樹,そんな寂しいこと言わないでよ拓海ちゃーん！まだ20時前じゃなーい
拓海,おっおい！？酔ってんのかアンタ！
早苗,明日土曜だし学生は休みでしょみんな？
泉,はい！
凛,うん
心,じゃあ瑞樹パイセンの家行こうぜ☆
内匠P,おっ、噂のヒルズ族！
里奈,まじー！？
瑞樹,住めるわけないでしょうが！それならもっとギャラ上げなさいよ！
拓海,しゃーねーな、今日は付き合うか
里奈,そうこなくっちゃ！
瑞樹,ちょっとほんとに来る気！？
有香,早苗さん、タクシーつかまえて来ました！
早苗,よくやったわ有香ちゃん！運転手さんヒルズまで！
内匠P,おい、領収書切ってもらえよ？
瑞樹,だからヒルズじゃないっての！
内匠P,え？杏がオファー届いたとき絶望的な顔したって？ギャハハｗｗｗ
瑞樹,シロロのオファーは断れないからね……
早苗,借金取りみたいな番組ねｗ
拓海,おい里奈、携帯鳴ってんぞ
里奈,あ、ほんとだー、さんきゅ☆。ん！？
拓海,どうした？
里奈,美嘉ちゃんから不穏なLINEが！
瑞樹,え？
早苗,あーこれ……
泉,例の特典映像が昨日公開になりましたよ
里奈,ん？
拓海,オメーが美嘉の嘉の字書けなかった映像だろ？
里奈,あっ！。あー美嘉ちゃんごめんってぇ！！
早苗,案外めんどくさいわね美嘉ちゃん
瑞樹,付き合ったら重いタイプね
泉,でも仲良い人が自分の名前書けなかったらショックですってｗ
瑞樹,でもこれ特典映像見てるってことはさ、DVD買ったわけあの子？
泉,そういうことになりますよね
早苗,番組ファンじゃないの！
内匠P,……前から美嘉にはシンパシー感じてたんだよな！
拓海,またメモられてんぞ
早苗,ご愁傷様、美嘉ちゃんｗ
里奈,あっ、美嘉ちゃん！？ちがうの、あれには湘南海岸よりも深いワケがー！
早苗,浅いでしょそれｗ
瑞樹,海岸って言っちゃってるじゃないのよ！ｗ
