・細かいミス等あると思います,なくすように努力はします
みく,昔のアニメを見ればわかるにゃ。カードの左上に書いてる数字が、召喚に必要なコストだにゃ。ブレイドラはゼロだから、ノーコストだよ
ちひろ,このレベル1とかレベル2とか書いてる横にも数字があるけど……
みく,バトスピでは、スピリットのレベルを上げるのにもコアがいるにゃ。ブレイドラはレベル1に1つ、レベル2に2つ、レベル3に3つコアが必要だから、そのぶんコアを上に置いておかなきゃいけないのにゃ。次にネクサス。ネクサスはバトルできないけど、ずーっとフィールドに留まって効果を発揮し続ける便利なカードにゃ。ブレイヴは、スピリットと合体してパワーアップさせるためのカードだにゃ。マジックは、使い捨てだけど一発逆転の強い効果を持った魔法カードだよ。最後にアルティメット。これもスピリットと同じでバトルをするんだけど、スピリットより全体的にスケールが大きい効果を持ってるにゃ。あと、スピリットを対象にした効果を受けないから、耐性も強いのにゃ。そのぶん召喚が難しかったりするけど
コスト5以下の相手のスピリット/ネクサスの,デッキは破棄されない
みく,カードの種類についてはだいたいこんな感じにゃ
ちひろ,いっぱいあるのね……覚えきれるかしら
みく,一度聞いただけで覚えるのは難しいから、みんなやりながら慣れていくにゃ
未央,私もそうだった！
ちひろ,やっぱりなんでも、習うより慣れろ、なのね
未央,ちひろさんがいろんなカードを見ている間に、私はデッキ構築について教わろうかな
みく,知ってると思うけど、デッキは40枚以上がルールだにゃ。上限はないから、別に60枚でも100枚でもルール違反じゃないにゃ。実際、200枚越えのデッキで大会に参加して、ある程度の結果を残した人もいるらしいから
未央,200枚越えって……それ、まずデッキを一段に重ねられるのかどうかわかんないね。でも、それなら私も使いたいカード全部入れたって
みく,今のはほんの例外で、基本的にはデッキは40枚にしたほうがいいにゃ。枚数を増やすとキーカードをそれだけ引きにくくなっちゃうから。だから、今の未央チャンの55枚デッキはあんまりよくないよ
未央,はーい……減らします
みく,とりあえず、デッキの組み方の一例を説明するね。まずは第一に、自分のキーカードを決めるにゃ
未央,キーカード……切り札ってことだよね？。それならやっぱり、センゴク・グレンドラゴン！最初に手に入れたXレアだし！
みく,センゴク・グレンドラゴン……いいカードだと思うにゃ。じゃあ、それをキースピリットにするとして、次は両脇を固めるサブエースを決めるにゃ
未央,エース1体だけじゃダメなの？
みく,ダメってことはないけど……最初は、他を用意しておくことをおすすめするにゃ。バトスピでは、デッキに同じカードは3枚しか入れられないにゃ。それに、他のカードゲームによくあるサーチカードがないから、毎回キースピリットを引けるとは限らないにゃ
未央,なるほど。だからその時のために他のスピリットでも勝てるようにしなきゃいけないんだね
みく,そういうこと
未央,うーん。サブエースか……。これとかどうかな？安かったから買ったんだけど……ちょっと古いカードだし、パワー不足？
みく,どれどれ……あ、ロード・ドラゴン！。これなら全然大丈夫にゃ。英雄龍ロード・ドラゴンは今でも使いやすい効果を持ったスピリットだから。さすがに切り札にするには力不足かもしれないけど、サブエースなら立派にこなせるはずだにゃ
未央,ほんと？それならこれにしようかな
みく,メインのカード達が決まったら、次にそのカードと相性がいいカードを選んでいくんだけど……その前に、カードの配分について言っておくね
未央,配分？
みく,たとえば未央チャンのデッキ。55枚中スピリットが15枚で、マジックが22枚入ってるにゃ。これはスピリットの割合が少ないから、マジックばっかり手札に来て戦うスピリットを引けない、なんてことがよく起きるにゃ
未央,あ……そういえば、最初の手札にスピリットがないことも結構あったり
みく,どの種類のカードも、多すぎても少なすぎてもダメにゃ。あくまで目安だけど……
スピリット＋アルティメット：20,ただしスピリットの方を多くすること
みく,とりあえず、初心者ならこのあたりを守ってデッキを組んでみるといいと思うにゃ
未央,ほー……いろいろルールがあるんだ
みく,もちろん、これを守らなくても強いデッキはたくさん作れるにゃ。あくまで最初はこんな感じでやるといいかもってこと
未央,ふむふむ。3コスト以下のスピリットと4コスト以下のネクサスっていうのは？
みく,これは、第1ターンに出せるカードをある程度入れたほうがいいってこと
未央,最初のターンに使えるコアは4つだから……おお、確かに
みく,バトスピは序盤につまづくと後が大変だから、ちゃーんと初めのターンから何かできるようなデッキ構築が求められるのにゃ
未央,あとは、メインの色は2色までかあ。今の私のデッキは……ええと、赤に白に緑に紫に
みく,色がバラバラだと、コストの軽減が思うようにできないにゃ
未央,赤のカードは、基本的にフィールドの赤のシンボルでコストを軽減するからね。だから、赤のスピリットやネクサスがフィールドにいると出しやすくなる
みく,使えるコアには限りがあるから、軽減ができないと動きが遅くなっちゃうにゃ。環境が高速化しているバトスピにおいて、それは致命的だにゃ
未央,だから色はしぼれってことだね。やっぱり赤は外したくないから、入れるならあと1色かな。赤と相性いい色ってなに？
みく,今は緑かな。あとは青とか白とか紫とか
未央,ほとんど全部じゃん
みく,赤はいろいろ器用だから、別に何色と組んでも問題はないにゃ
未央,えー……そう言われると迷うなあ
みく,こういう時に考えるのが、キーカードとの相性の良さだよ
未央,あ、なるほど。じゃあセンゴク・グレンドラゴンに合った色を混ぜればいいんだ。私、このベオ・ウルフとか相性いいと思うんだけど
みく,うん、いいところに目をつけたにゃ。その2枚を組み合わせれば、相手のスピリットを破壊するだけで3点もライフを削れるにゃ。しかも真・激突で無理やりブロックさせられるし
未央,ベオウルフは赤シンボルでもコスト軽減できるし、いい感じかも！
みく,じゃあ、いいカードを選んだ未央チャンに特別サービス。とっておきのカードを教えてあげるにゃ
未央,これもブレイヴだね
みく,もう何年も前のカードだけど、センゴク・グレンドラゴンとの相性はバッチリだにゃ
未央,えーと、2つの効果を組み合わせると
みく,もし相手フィールドに青のスピリットしかいない場合、こんな感じになるにゃ。もちろん妨害されることも多いけど、決まればドローしまくりで相手のフィールドを荒らしまわれるにゃ。というか場合によっては普通に勝負決まるにゃ
未央,おおー！まさに超強力なコンボだね！
みく,こうやって昔のカードも今のカードと組み合わせて活躍できるのが、バトスピの醍醐味だにゃ
未央,早速デッキに入れよう！スピニードハヤトっていくらくらいかな
みく,ショップのストレージを探せば50円か100円くらいで売ってるにゃ。安くてもパワーはあるカードだよ
未央,じゃあ今度探そうっと。ベオウルフもスピニードハヤトも緑のブレイヴだし、混ぜる色も緑にきまりかな
みく,緑を混ぜれば、赤の弱点のコア不足をカバーできるからいいと思うよ。ガチガチに組めば環境トップクラスの組み合わせだし。あとは汎用マジックも入れといたほうがいいかな
未央,汎用マジック？
みく,どんなデッキにもだいたい入るマジックのことだにゃ。たとえば、相手のアタックステップを終了させる絶甲氷盾とか、4コストで2枚ドローできる双翼乱舞とか。この辺はなにも考えずに3枚ずつ突っこんでおいても大丈夫にゃ
未央,ドローも守りも大事だもんね。じゃあそれも入れるとして……あとは、自分で選ぶってことだね
みく,うん。バトラーの個性が出る部分だにゃ
未央,よーし、頑張るぞ！おー！。とは言ったものの……具体的にどんな風にバトルを進めればいいのか、イメージが浮かびにくいなあ
みく,そういう時は、他の人のバトルを見学するのも手だにゃ。みんながどんなふうに戦っているのか見れば、わかってくることもあると思うし
未央,それもそうだね。お、ちょうどあそこでバトルが始まりそうな雰囲気！見に行こうっと
みく,あ、待つにゃ！
ちひろ,私も見に行ってみようかしら。カードも見終わったし
未央,しまむーと莉嘉ちゃんのバトルみたいだね
卯月,莉嘉ちゃんとバトルするのはちょっと久しぶりですね
莉嘉,前はアタシが勝ったんだよねっ
卯月,はい。だから今回はリベンジです！
莉嘉,卯月ちゃんはいろんな色のデッキ使うからな～。今日はなんだろ
卯月,それは見てのお楽しみです♪
未央,確かに、しまむーとバトルする時って毎回違う色のデッキなんだよね
みく,どの色もいいところがあるからひとつは選べないって、いつも言ってるにゃ
ちひろ,なんだか卯月ちゃんらしいですね
卯月・莉嘉,ゲートオープン、界放！
卯月,いきます！。スタートステップ。コアステップはなくて、ドローステップ、メインステップ。ゲッコ・ゴレムをレベル1で召喚します。ゲッコ・ゴレムには、白のシンボルが2つ追加されているので……軽減を2つ使って、ネクサス、五角形の砦をレベル2で配置します。私はこれでターンエンドです
ゲッコ・ゴレムLv1,コア1
五角形の砦Lv2,コア1
未央,おー、いきなりスピリットとネクサスをそろえてきた
みく,ゲッコ・ゴレムってことは、白と青の混色デッキかにゃ？
莉嘉,アタシのターン！メインステップまで飛ばしていくよ☆。うーんと……。うわ、あんまり手札よくないなぁ。ここはとりあえず。忍法師ヒグラシをレベル1で召喚するよー！。召喚時効果でコアが増えて、レベル2にアップするよ。バーストをセットして、アタックステップ☆。ヒグラシで攻撃！
卯月,ヒグラシのBPは3000、私のゲッコゴレムはBP1000……ブロックはしないで、ライフで受けますね
莉嘉,ターンエンドだよ☆
ゲッコ・ゴレムLv1,コア1
五角形の砦Lv2,コア1
忍法師ヒグラシLv2,3
卯月,スタートステップ、コアステップ、ドローステップ、リフレッシュステップ。……うん！
莉嘉,なにかいいカード引いたの？
卯月,さあ、どうでしょう？
莉嘉,まあ、聞かなくてもわかるけど。卯月ちゃんすぐ顔に出るし
卯月,メインステップです。私はアルティメット、電神皇トレインをレベル4で召喚します！
未央,アルティメットかあ
ちひろ,ええと、確かアルティメットはスピリットを対象にした効果を受けない。だったかしら
みく,うん。召喚条件がついてるぶん、効果は強力だにゃ
未央,Uトリガーって、運が絡むけど強いよね
みく,トレインの場合は、相手のデッキトップが4コスト以下ばかりならずーっとブロックし続けられるのにゃ
卯月,私はこれでターンエンドです
ちひろ,アルティメットを召喚したのに攻めないのね。莉嘉ちゃんのフィールドにはブロッカーもいないのに
未央,白デッキはだいたいこんな感じで、序盤からはあんまり攻めないんだよ
みく,反対に、緑デッキは最初からガンガン行くことも多いにゃ
ちひろ,色によって展開の仕方も変わってくるのね
ゲッコ・ゴレムLv1,1
電神皇トレインLv4,2
五角形の砦Lv2,1
莉嘉,ドローステップ。リフレッシュステップ。卯月ちゃんのデッキは白青……でっかいスピリット出されると、力負けしちゃいそう。だったらもう、ソッコーで攻めたほうがいいよね☆。メインステップ！アタシはキースピリットを召喚するよ！。昆虫パワーと忍者パワー！合体して最強！。甲蛾こうが
その中の系統：,忍風
卯月,もうクワガスレイヤーですか！？
莉嘉,さあ、一気にいっちゃうよ！ニンニン！
あやめ,ムムッ
珠美,あやめ殿、どうかしましたか？
あやめ,なにやら今、十八番をとられたような……
珠美,？
莉嘉,ヒグラシをレベル1に下げて、クワガスレイヤーにソウルコアを乗せるね。アタックステップ！。クワガスレイヤー、レベル2でアタック！BPは10000だよ☆。まずはアタック時効果で、ボイドからコア1個をこのスピリットに置いて。そして、レベル2・3のバトル時効果！このスピリットのソウルコアをリザーブに置くことで、自分のデッキを上から3枚オープン！。その中の系統・忍風を持つスピリット、ブレイヴをノーコストで召喚できちゃうよ
卯月,ブレイヴも召喚できるのが強いですよね
莉嘉,というわけで、オープン！。忍風を持つギリゾウとテッポウナナフシを召喚☆。テッポウナナフシはブレイヴだから、クワガスレイヤーに直接合体して召喚するね
このスピリットに[ソウルコア]が置かれている間、系統：,忍風
莉嘉,さらにさらに、テッポウナナフシの召喚時効果で、自分の手札を全部捨てて相手の手札と同じ数だけドロー！。アタシは手札3枚捨てて、卯月ちゃんの手札と同じ数、つまり3枚ドローだよっ
卯月,手札交換までされちゃいました……。でも、こちらも五角形の砦の効果発動です。相手がドローした時、私も1枚ドローします
ヒグラシLv1,1
クワガスレイヤー＋テッポウナナフシLv2,2
ギリゾウLv1,1・ソウルコア
莉嘉,いろいろやったけど、クワガスレイヤーのアタックは続いてるよー☆。ギリゾウの効果で、ギリゾウにソウルコアが置かれている間、忍風スピリットのBPはプラス4000。だからクワガスレイヤーのBPは16000！
卯月,トレインのBPは11000……ブロックはせずに、ライフで受けます
莉嘉,じゃ、ターンエンド！
ゲッコ・ゴレムLv1,1
電神皇トレインLv4,2
五角形の砦Lv2,1
ヒグラシLv1,1
クワガスレイヤー＋テッポウナナフシLv2,2
ギリゾウLv1,1・ソウルコア
未央,だいぶライフに差がついちゃったね
ちひろ,卯月ちゃん、大丈夫かしら
みく,うーん。白青は動き始めがゆっくりってことを差し引いても、ちょっと押され気味かもしれないにゃ。でも卯月チャンの目は全然諦めていないにゃ。きっと何か考えがあるに違いないよ
卯月,ドローステップ、リフレッシュステップ。メインステップ。ブレイヴ、龍弩ラスタバンを直接トレインに合体召喚ですっ。召喚時効果で、ギリゾウの上のコアを1個リザーブに置きますね
莉嘉,うええー、ギリゾウのコアが0になっちゃった
卯月,コアがなくなったから、ギリゾウは消滅してトラッシュに。そして私はラスタバンの効果で1枚ドローです。まだいきます！続けてサンストーン・ドラグーンをレベル2で召喚。私はこれでターンエンドですっ
ゲッコ・ゴレムLv1,1
電神皇トレイン＋ラスタバンLv4,2
サンストーン・ドラグーンLv2,2・ソウルコア
五角形の砦Lv1,0
莉嘉,むー、まさか紫お得意のコアシュートをしてくるとは。白青だからって油断しちゃったなあ
卯月,……ふふっ。莉嘉ちゃん。私は一度も、このデッキが白青だなんて言ってませんよ
莉嘉,え？。白青じゃない……？。どういう意味だろ……って、考えてもわかんないし。このターンで決めちゃえば関係ないよね☆。メインステップ！手札から、巨蟹忍者喜屋武鎖亜怒キャンサード。テッポウナナフシをクワガスレイヤーから分離して、喜屋武鎖亜怒に付け替えるね。さらに風魔シノビリカをレベル1で召喚っ。足りないコアはクワガスレイヤーから持ってきて、レベル1に下げるよ
ソウルコアが置かれている系統：,忍風
みく,2体ブロック強制の巨蟹忍者に、バウンス効果持ちのシノビリカ……忍風の強力スピリットたちが勢ぞろいにゃ
ヒグラシLv1,1
クワガスレイヤーLv1,1・ソウルコア
シノビリカLv1,1
喜屋武鎖亜怒＋テッポウナナフシLv2,3
莉嘉,卯月ちゃんのブロッカーは、スピリットが2体とアルティメットが1体。喜屋武鎖亜怒の効果で、このスピリットとソウルコアを置いてるクワガスレイヤーは、スピリット2体かアルティメット2体じゃないとブロックできない。喜屋武鎖亜怒のアタック時効果でスピリットを1体疲労させれば、ブロッカーが1体ずつしか残らないからブロックできない！。よし、勝てる☆。じゃあアタックステップ！合体スピリットで――
卯月,あ、ちょっと待ってください。相手のアタックステップ開始時に、サンストーン・ドラグーンの効果発動です。相手のスピリットを1体選んで、このターン必ずアタックさせることができます。私はシノビリカを指定しますね
莉嘉,必ずアタックかあ。でもどうせこのターンでイケるし
卯月,さらに私のフィールドに青のシンボルを持つゲッコ・ゴレムがいるので、連鎖ラッシュ。相手スピリットを1体選んで、このターンアタックできないようにします。もちろん合体スピリットを指定です
莉嘉,えー！？そんな効果あるのー？
卯月,あるんです♪あんまり目立たないカードだけど、頼りになりますよ？
ちひろ,連鎖って？
みく,特定の色のシンボルが自分のフィールドにあるとき、通常効果に続けて追加効果が発生するにゃ
未央,サンストーン・ドラグーンの連鎖の条件は青シンボル。それで効果発動したってことだね
莉嘉,むー……しょうがないから、クワガスレイヤーでアタック！。アタック時効果で、ボイドからコアを1つ置いてレベル2にアップ！
卯月,BP10000……ライフで受けます！
莉嘉,ターンエンドしたいけど……シノビリカ、ごめん！アタックしてきて！
卯月,トレインでブロックします。Uトリガー、ロックオン！
莉嘉,アタシのデッキの1番上は……コスト3、ヒグラシ
卯月,ということで、Uトリガーはヒットですね。ヒットしたのでトレインの上にボイドから1つコアを置いて、さらにトレインは回復します
莉嘉,BP2000とBP14000……こっちが破壊されちゃうね。でも自分のスピリットが破壊されたからバースト発動☆。マジック、双光気弾！。バースト効果で2枚ドローしてから、コストを払ってフラッシュ効果。足りないコアは合体スピリットから持ってきて、レベル1にダウン。ネクサスの五角形の砦を破壊するね。アタックステップは終わり。ターンエンドだよ。決めきれなかったけど……ま、大丈夫だよね。こっちはライフひとつも減ってないし
ゲッコ・ゴレムLv1,1
電神皇トレイン＋ラスタバンLv4,3
サンストーン・ドラグーンLv2,2・ソウルコア
ヒグラシLv1,1
クワガスレイヤーLv2,2・ソウルコア
喜屋武鎖亜怒＋テッポウナナフシLv1,1
卯月,ここで引けないとさすがにしんどいですね……。ドローステップ！。あっ……やっときてくれました！
莉嘉,きた？
卯月,はい。このデッキのキースピリットです！。リフレッシュステップ、メインステップ。6色に輝く超新星、無限の力で世界を照らせ！。ムゲンドラゴン・ノヴァ、レベル1でがんばります！
自分がアルティメットカードを召喚するとき、このスピリットに[赤]/[紫]/[緑]/[白]/[黄]/[青],召喚するアルティメットカードと同じ色のシンボル2つ
莉嘉,む、ムゲンドラゴン・ノヴァ！？なんで白青にそんなカードが
卯月,だから、白青だなんて言ってないよ。ちなみに召喚のセリフは凛ちゃんが考えてくれました。ムゲンドラゴン・ノヴァのシンボルは、どの色としても扱うことができます。赤色とみなして、ホムライタチを1軽減、1コストで召喚します。続いてムゲンドラゴンノヴァのシンボルを青とみなして、コノハガニンを3軽減1コストで召喚。直接ムゲンドラゴンノヴァに合体します。さらに、ムゲンドラゴンノヴァのスピリットソウル∞発動！アルティメットを召喚する時、このスピリットに召喚するアルティメットの色のシンボル2つを追加します。私が召喚するのは6色のアルティメットなので、6色として扱えるシンボルを2つ追加して。究極なる女王アンタークを、軽減すべて満たしてノーコスト召喚です！
系統：,調査員
未央,え、なにこの展開力
みく,……なるほど、ようやく卯月チャンのデッキの中身がわかったにゃ
ちひろ,どんなデッキなの？
みく,全色になれるムゲンドラゴン・ノヴァを中心にした、6色混合デッキだにゃ。本領発揮はここからだよ
ゲッコ・ゴレムLv1,1
電神皇トレイン＋ラスタバンLv4,2
サンストーン・ドラグーンLv2,2
ホムライタチLv1,1
ムゲンドラゴン・ノヴァ＋コノハガニンLv1,1・ソウルコア
究極なる女王アンタークLv3,1
卯月,アタックステップ！ムゲンドラゴン・ノヴァで攻撃します！。コノハガニンの効果で、レベルを1つ上のものとして扱うのでレベル2になります。そして連鎖発動。緑シンボルがあるのでボイドからコアを1つこのスピリットの上に置きます。これでレベル3までアップ。そしてムゲンドラゴンノヴァのレベル2・3のバトル時効果。カードを1枚ドローし、さらにアルティメットがいる時BPプラス4000。よって合計BPは15000です！
莉嘉,ダブルシンボルだよね？だったらライフで受けるよ☆
卯月,次はアンタークのアタックです！Uトリガー、ロックオン！
莉嘉,デッキの上は……うわ。コスト5、クワガスレイヤーが落ちちゃった……
卯月,ヒット！BP10000以下のスピリット1体を破壊し、さらにボイドからコア1つをアンタークの上に置きます。破壊するのはBP10000のクワガスレイヤーです
莉嘉,ああ、アタシのキースピリットが！うーん、それもライフで受ける！
卯月,ターンエンドです
未央,おおー、一気に流れ変わったね
みく,一転攻勢だにゃ
ゲッコ・ゴレムLv1,1
電神皇トレイン＋ラスタバンLv4,2
サンストーン・ドラグーンLv2,2
ホムライタチLv1,1
ムゲンドラゴン・ノヴァ＋コノハガニンLv2,2・ソウルコア
究極なる女王アンタークLv4,2
ヒグラシLv1,1
喜屋武鎖亜怒＋テッポウナナフシLv1,1
莉嘉,うー……いつの間にか向こうのフィールドがにぎやかになっちゃってる。でも、アタシだってコアも手札もたくさんあるんだから、まだまだイケるよね☆。ドローステップ！……やった！。メインステップ！風魔ニンコウチョウをレベル1で召喚するよ。ソウルコアは使ってないから、召喚時効果は疲労だけ。サンストーン・ドラグーンを疲労させるね。さらに！異牙上忍ヒョウソウガをレベル1で召喚！。またまた召喚時効果で、今度は3体疲労！ホムライタチとゲッコゴレム、それとトレインを疲労させるよ☆
みく,卯月チャンのフィールド、全員疲労しちゃったにゃ
未央,あとライフ1点なのに、これじゃやられちゃうよ
卯月,………
莉嘉,アタックステップ！
ヒグラシLv1,1
喜屋武鎖亜怒＋テッポウナナフシLv1,3
ヒョウソウガLv2,3
ニンコウチョウLv1,1
卯月,サンストーン・ドラグーンの効果で、ヒグラシを強制アタックさせ、喜屋武鎖亜怒のアタックを封じます
莉嘉,ならヒョウソウガでアタック！
ちひろ,卯月ちゃんにブロッカーはいない……
未央,ここからどうにかするには……
卯月,フラッシュタイミング！マジック、デスマサカーを使います！。ムゲンドラゴンノヴァのシンボルを紫として扱うことで軽減をすべて満たして3コスト。サンストーン・ドラグーン、トレイン、アンタークのレベルを1に下げることでコアを確保します。マジックの効果で、アタックしているヒョウソウガを破壊！さらに連鎖でムゲンドラゴンノヴァを回復させます。莉嘉ちゃんのほうでフラッシュがなければ、私は続けてフラッシュタイミング。マジック、鉄壁ウォールです。コア確保のために、ゲッコ・ゴレムを自壊させます。バトル終了により、アタックステップを終わらせます
莉嘉,残った手札、2枚ともマジックだったんだ……あーあ、勝ったと思ったのになあ
電神皇トレイン＋ラスタバンLv3,1
サンストーン・ドラグーンLv1,1
ホムライタチLv1,1
ムゲンドラゴン・ノヴァ＋コノハガニンLv1,1
究極なる女王アンタークLv3,1
【リザーブ】3,ソウルコア1
ヒグラシLv1,1
喜屋武鎖亜怒＋テッポウナナフシLv1,3
ニンコウチョウLv1,1
卯月,ドローステップ、リフレッシュステップ、メインステップ。マジック、ネオ・ダブルドローを使用します。アルティメットがいるので3枚ドローしますね。うん、いい感じかな……コノハガニンを分離して、サンストーン・ドラグーンに合体させます。そしてブレイヴ、ネオ・ケルベロードを召喚です！ムゲンドラゴンノヴァに直接合体させますね
莉嘉,それもノーコスト？
卯月,はい、5色ぶんのシンボルがあるので。余ったコアでみんなのレベルを上げて、アタックステップです
電神皇トレイン＋ラスタバンLv5,4
サンストーン・ドラグーン＋コノハガニンLv2,2
ホムライタチLv1,1
ムゲンドラゴン・ノヴァ＋ネオ・ケルベロードLv3,4
究極なる女王アンタークLv4,2
卯月,ムゲンドラゴン・ノヴァでアタック！。まずムゲンドラゴン・ノヴァの効果で1枚ドローし、BPプラス4000。さらにネオ・ケルベロードの効果で、自分のアルティメット1体のBPぶんだけBPアップです。トレインを指定してBPプラス17000。さらに、デッキを上から7枚破棄することで、ターンに1回回復できます。これでもう一度アタックできますね。合計BPは34000です
莉嘉,34000とかどうやっても勝てないよー！。でも、フラッシュタイミング！マジック、ストームアタック！コアは合体スピリットから。ムゲンドラゴンノヴァを疲労させるよ！
卯月,それならこっちもフラッシュです。マジック、ドリームホライゾン。トレインのレベルを4に下げてコアを確保します。ヒグラシを手札に戻し、ムゲンドラゴンノヴァを回復させます
莉嘉,え？回復できるのは白のスピリットだけじゃ
卯月,ムゲンドラゴンノヴァは全色スピリットですよ？
莉嘉,あ、そっか……ニンコウチョウでブロックするしかないっ。BPは3000対34000……遊戯王ならほとんど4回ぶんライフがゼロになってるよ
卯月,でもバトスピは、どれだけBPに差があっても、ブロックさえすればプレイヤーにダメージは入らないですから。ムゲンドラゴンノヴァ、2回目のアタックです。1枚ドローしますね
莉嘉,諦めないよ！喜屋武鎖亜怒でブロック！BP負けてるけど……。合体スピリットが破壊された時、ブレイヴを残すかどうか選べるから……テッポウナナフシは疲労状態でフィールドに残すね
卯月,では続けて、サンストーン・ドラグーンでアタックです
莉嘉,あれもダブルシンボル……フラッシュタイミング！手札からニンコウチョウを神速召喚！。召喚時効果で、ホムライタチを疲労させるよ！
卯月,フラッシュタイミングで、マジック、バレットファイアを撃ちます。ムゲンドラゴンノヴァからコアを持ってきて、レベル2にダウンさせます。BP合計5000までスピリットを破壊できるので、ニンコウチョウを破壊します！
莉嘉,うぐぐ……まだまだぁ！フラッシュタイミングで烈風忍者キリカゲを神速召喚！レベル1！。キリカゲのソウル神速の効果で、リザーブのソウルコアだけで召喚コストを払ったことにできるから、コストは足りる！。キリカゲでブロック！
卯月,コノハガニンの効果でレベル3になっているので、こちらのBPは11000。キリカゲのBPは6000なので、キリカゲが破壊ですね
未央,莉嘉ちゃんすごい！次々召喚して耐えてる！これはもしかしたら
みく,でも……もう手札が1枚しかないにゃ
未央,1枚あればまだわかんないじゃん
みく,あの1枚はさっき手札に戻されたヒグラシだよ？ついでに言うと、ヒグラシは神速召喚できないにゃ
未央,あっ……
卯月,アンタークでアタックです！Uトリガー、ロックオン！
莉嘉,デッキの1番上は……2枚目のキリカゲ。コスト7だからガードだけど……ライフで受ける！
卯月,最後のアタックです！トレインで攻撃！アタック時にラスタバンの効果で、テッポウナナフシのコアをひとつリザーブへ！
莉嘉,……ライフで受ける！
卯月,やりましたっ
莉嘉,悔しいー！もうちょっとだったのに！
卯月,ありがとうございました。いいバトルでした♪
莉嘉,……うん。ま、楽しかったからいいか☆
未央,いい試合だったね。後半になればなるほど激しい応酬で
みく,緑のほぼ単色デッキと6色混合デッキ。構築的にも正反対だったにゃ
