藤居朋,あれー？ほたるちゃん、遅いね……？
智絵里,邪魔するなら帰ってや～
朋,来客側のセリフではないから！
ほたる,ほな……さいなら……
朋,なんでほたるちゃんも乗っちゃうの！
智絵里,この世から
朋,緒方ァ！！！！！。はい！横になって！
ほたる,はい……
朋,買い物行くけど、何か食べたいものとかある？
ほたる,ビックマックで
朋,ちょっとは病人らしさ出して！！
智絵里,ご一緒にポテトはいかがですか？
朋,抱き合わせないで！！！。何かあったら電話してね！すぐ戻るから
智絵里,あれ？ほたるちゃんのスマホ、前に爆発してたような……
朋,あ！そうだった！
ほたる,いえ……、つい最近、修理が終わったので……
朋,よかった……
ほたる,これがそのス
朋,また！！！？？？
智絵里,じゃあ、行きましょうかっ！
朋,目の前の惨事にはノータッチで！？。ほたるちゃん、大丈夫かな……
智絵里,あれくらいでは倒せませんよっ
朋,なんであれで普通に意識があるんだろうね
智絵里,でも白菊あふろちゃんになってましたね
朋,字にするとちょっとカワイイけども。とりあえずは飲み物よね
智絵里,とりあえず生でっ
朋,買えないし買えたとしてもだし！。ポカリを……
智絵里,8ダース
朋,業者か！！。あとは、風邪薬と、ゼリーと……
智絵里,最悪の場合に備えてお線香を……
朋,最悪なのは智絵里ちゃんの発想だからね！？
智絵里,えへへ……
朋,照れる要素は皆無だったと思うんだけど？。戻ったわよー
ほたる,あ……おかえりなさい……
朋,ほたるちゃん、辛かったら寝ててもよかったのに
ほたる,アフロだと寝にくくて……
朋,そういう理由！？
智絵里,あふろちゃん！！！
朋,智絵里ちゃんはなんなの！？
ほたる,……
朋,ど、どうかした？やっぱり病院行く？
ほたる,いえ……
朋,？
ほたる,看病してもらえるって、幸せだな……って……
朋,ほたるちゃん……
ほたる,私、……よく体調を崩して、……すぐ治るんですけど、やっぱり、病気の間は寂しかったりして……。でも、こうして……朋さんと智絵里さんが看病してくれて……。病気も……悪くないかな……、なんて……えへへ……
朋,か、かわいい……！。というか42度の熱が出て植木鉢が降ってきてスマホが爆発しても幸せって言えるメンタル……。えっと……、そろそろ帰るけど、ほんとに大丈夫？
ほたる,はい……！心なしか、元気になってきた気がします……！
智絵里,万全のほたるちゃんを倒さないと意味がないからねっ。早く元気になってね！
朋,目的
ほたる,42度ならちょうどいいハンデですけどね……
朋,ほたるちゃんはこの話の時だけ好戦的すぎない！？。お、お邪魔しました……
智絵里,邪魔するなら
朋,それはもういいから！
ほたる,ほな……
朋,寝てて！！！
智絵里,今のが“天丼”ですねっ！
朋,コントじゃないんだからそういうのいらない！
智絵里,結局わたしも朋さんも風邪がうつっちゃって、ほたるちゃんが“私のせいで……”って言って終わりというオチは見えてますけどね！
朋,締め方にハードルを求めないで！！！。結局、風邪、もらわなかったな……
智絵里,おはようございますっ！
朋,あ、智絵里ちゃん。体調は大丈夫？
智絵里,はいっ！ここ1か月で最高と言われた昨日にも劣らない体調です！
朋,ワインか。ほたるちゃん……、まだ来ないわね……
智絵里,まだ時間はありますから、寮まで迎えに行きましょうか？
朋,そうね、そうしよっか。さて……、って、あ！横断歩道の向こうにいるの、ほたるちゃんじゃない？
智絵里,あ！本当ですね！よかった……
朋,あ、手降ってる、かわいいなぁ
智絵里,あ、青になった瞬間、走って来てますね
朋,ふふっ、あんなに急がなくても。……え？。ほたるちゃん！！！！！
