一ノ瀬志希,わー海だー
P,計算高いが聞いてあきれるわ！もう四の五の言うなよ！
志希,わっ、と
P,掴まっててくれると楽なんだが
志希,そう？じゃあ遠慮なく～。ふふ、キミ、結構大胆だね。アイドルにお姫様だっこなんてさー
P,なんだ、もっと運びやすい肩に担ぐのでもいいんだぞ
志希,ファイヤーマンズキャリー？んー、ならこっちがいい
P,まったく……アイドルと抜け出すだけじゃ飽き足らず、風邪までひかせたら大問題だ。鍵開けてくれ。ジャケットのポケットにある
志希,はーい。うひー、足先感覚ない
P,靴と靴下取りに戻るこっちの身にもなれ
志希,わーい、取ってきてくれるんだ
P,ほっといてもお前取りに行かないだろ
志希,そうかも？
P,おろすぞ
志希,んしょ
P,おい、足車の中に入れるな
志希,寒いよしめてー
P,車の中砂だらけにする気か。ハンカチでいいな
志希,うん
P,膝までだったからいいものの、全身に波かぶったら最悪心臓麻痺するんじゃないのか
志希,この季節ならありうるよね
P,お前な。……ほら、砂掃ったから足入れろ
志希,いやー、足の感覚ないね
P,とりあえずエアコンだけ付けておくぞ……おい、どうした
志希,風がなくなって、改めて寒いの自覚した
P,毛布なんて積んでないぞ
志希,ううー……おかしくなっちゃうよー
P,冬の海に入るだけで十分おかしくなってるよ
志希,まさにクレイジーだね
P,そのキメ顔腹立つな。エアコン最大だ。とりあえず靴取ってくるからな
志希,まだ風冷たいにゃー
P,すぐ温かくなる。とってきたぞ……なにしてんだ
志希,ここの通気口が一番勢いあるから
P,……いや、もろに見えてるぞ
志希,別にいいよ
P,よくねえよアイドル
志希,足先じんじんする
P,自業自得だろ。感覚ないよりは戻ってきたな
志希,骨身に染みるって表現、身体で理解できたね
P,反省することも染みてくれないか
志希,もちろん。化学はトライアンドエラーだよ
P,その分野だけじゃないだろ
志希,そうだね。んー、車のエアコンじゃ足りなーい。あたためてー
P,エアコンは最強にしてるって
志希,そうじゃないよ。もっと直接的に人肌が欲しいんだってば
P,……このうえ俺の体温まで奪う気か？
志希,んふふ。どお？志希ちゃんのなま足、いまなら触り放題～
P,ちょ、おまえ……分かったから足を押し付けるな、見える！
志希,いいからいいから
P,……どこまで計算でやってるんだか
志希,キミの手のひら、温かいね
P,俺だって冷えてるんだよ。お前の足が冷たすぎるんだ
志希,両足より、片足ずつ手の間に挟んでー
P,言っておくけどお願いできる立場でもないからな
志希,あたしには関係ないのだ～
P,はいはい
志希,何でこっち見ないの？
P,コメントは控えさせていただきます
志希,ちぇ
P,ん。少し温かくなってきたか。水で冷やした後とか、手が温かくなるよな
志希,ホメオスタシスだね。暑いときに汗を出すのと同じだよ。体の生理反応
P,あー。聞けばわかるけど、何でそういう名称まで知ってるんだ
志希,だって気になったら知りたいじゃない
P,そういうもんか
志希,そういうものだよ。ふあー
P,温まったか
志希,だいぶ。でもお風呂入りた～い、温泉でもいい
P,目の前で脚パタパタさせるな。我儘なアイドルだな
志希,キミが甘やかすからだね
P,じゃあ厳しくいくか
志希,ぶーぶー
P,まあ、なんにせよ、温泉……といくかは分からんが、泊まることも考えないといけないか
志希,あ、今から帰るとは言わないんだ
P,何時間かけてきたんだっけ。同じ時間かけて帰るのはちょっと……いやだな
志希,体力的な問題だったかー
P,どうするかねぇ。冬に車中泊はちょっと避けたいな……一眠りできれば大丈夫だろうけど
志希,あたしは車中泊でもいいよ～。身を寄せ合って後部座席で
P,最後の手段にしよう。どっか泊まれるところ……まあビジネスホテルなら多分……
志希,ハイウェイ降りた時にあったモーテルは？
P,あれはその……そういうホテルだ
志希,あー。プランに休憩と宿泊があるやつだ
P,地味に知ってるんだな
志希,存在くらいは
P,それならよかった。使い方まで知っていたらどうしようかと
志希,にゃはは。ところでキミは知ってるのかな？
P,はははは
志希,どれどれ、どっちの匂いがしているか嗅いでみよう
P,おいやめろ。げ……ホテルってこんなにないもんか
志希,一応、ビーチで有名な観光地でしょ？皆無ってことはにゃいんじゃにゃい
P,ホテルって言うか旅館なら……
志希,ダメなの？
P,ひとり５万はちょっと……
志希,しょうがないにゃー。あたしがだしたげよう
P,それはそれで大人としてダメじゃないか？
志希,あたしの収入と比べてみる？
P,やめろ。つらい。……っていうかこんな時間から予約取れるだろうか
志希,ふーん。つまり、現状は３択になるんだ。飛び込みの高級旅館か、高速道路脇のホテルか、車中泊
P,どれも難易度高いな……
志希,ちなみにねー。あたしはどれでもいいよ
P,どれでもって
志希,旅館ならあたしがもつし。車中泊もさっき言った通り。ラブホテルなら……キミがリードしてくれるのかにゃ？
P,近い
志希,ぶえ。なにも顔を押し返さなくてもいいじゃん
P,馬鹿なことを言うから
志希,でもさー、何か問題ある？
P,いや、普通にスキャンダルだ
志希,見つかったらそうなるよね。で、誰に見つかるの？
P,……しつこいパパラッチなら、ついてきてるかもしれない
志希,この駐車場には、あたしたち以外に車はなし
P,まあ、可能性は低そうだけど
志希,お値段的には？高いの？そういうトコ
P,いや、普通のホテルよりは安めかな……
志希,チェックインが面倒とか
P,駐車場から部屋まで人目に触れずに部屋まで行けて……
志希,逆に良くない？フロントにも人いないの
P,人はいるだろうけど、会わない……くそー都合いいな
志希,どうするー？
P,……ああそうだ、予約があるわけじゃないから、確実に部屋が取れるかわからないな
志希,そしたら車中泊に切り替えたらいいんじゃない。平日の夕方に部屋が埋まっているのかな
P,明日休日だから……いや、うん、多分空いてるな
志希,さてさてどうする？
P,……二部屋
志希,そんなのお金の無駄じゃない？確かあれってさ、一部屋料金なんでしょ
P,なんでそんなことは知ってるんだよ……あっ、そもそも料金そんな高くないことも知ってたな
志希,にゃはは。バレた～
P,どういうつもりだよ。俺だって男だぞ
志希,さっき、あたしはいいって言ったよ？
P,……
志希,っていうか、何でウソつかなかったの？
P,は？
志希,18歳じゃ泊まれない、高速道路の近くまで戻るのも辛い、身分証明書がいる。なんか誤魔化しようあったと思うにゃー
P,お前……
志希,もちろん、あたしが知らないところなんてキミが分かるはずもないんだけど♪。選択肢に上がっていた時点で、それが可能だと認めちゃっていたんだよ
P,……志希をホテルに押しこんで、俺は車で寝るって手段がある
志希,まあ、それも元からダメなんだけどね。キミにはあたしから離れちゃいけないワケがある
P,ワケ？
志希,キミは、あたしの失踪のお目付け役で来たんだよ？だから目を離しちゃダメー
P,泊まるときは別だ
志希,いいのかな、そんなこと言っちゃって。起きたら部屋はもぬけのカラ、なんてあるかも
P,……志希、どこからこの状況を想定していた
志希,さてねぇ。いま必死に頭をフル回転させているかもしれないよ？
P,……はぁ……負けたよ。もう考えるのも面倒だ
志希,おやおや。もうちょっと抵抗を期待したんだけどな
P,こっちが乱暴な手段をとらない限り、お前には勝てないだろ。抵抗するだけ無駄だ
志希,残念、もうちょっと駆け引きできると思ったのに
P,奏に毒されてないか
志希,あたしあんなに可愛くないよ
P,どっちもどっちだと思うけどな……
志希,おー。なにこれ？
P,精算機だな。ステイ料金先払い、チェックアウト過ぎたら追加料金
志希,しゅごーって料金を吸い込ませるパイプって？
P,そんなんいまどきないだろ……
志希,回転するベッドもいまやマボロシ？
P,だろうな。っていうか、そこらへんの情報どこから学んだんだ
志希,早苗ちゃんとか志乃ちゃんとか。あと菜々ちゃんも頷いていたよーな？
P,あ、うん、そこは触れないでおこう。入っていいぞ
志希,わー。クンクン…………ぅ
P,ん？あ、あー……
志希,ちょっと窓開けていい？
P,大して開かないだろうけどな
志希,うわ、本当にほとんど開かない
P,俺にはわかんないけど、やっぱり臭うのか
志希,なんていうかね、生々しいんだよ。消臭剤に紛れてるけど。ここはそういうための部屋なんだなって
P,志希の鼻にはつらかったか。どうする、いまからでも
志希,料金払ったんだから、それこそもったいないでしょ。五感の中で一番マヒしやすいのは嗅覚だから、たぶん慣れるよ
P,そうは言うけど
志希,あ
P,あ？
志希,じゃあこうしよう♪。はすはすー
P,……せめて窓閉めてからきなさい
志希,わかったー
P,言うこと聞かねえ。ところでシャワーは……
志希,浴びる？ジャケット置いてってー
P,もうそれは諦めているけど……そうじゃなくて
志希,バスルームはー。あ、分かりやすい
P,……やっぱりか……
志希,おお、すけすけだね
P,……もういいや、さっさと寝る……
志希,あたしは浴びようかなー
P,は？本気か
志希,のぞき……もなにもないよね、見たら見えちゃう～
P,見えちゃう～じゃねえって
志希,でも見ないでしょ、キミ
P,……見ないけど
志希,一瞬考えた？
P,見ねえよ！さっさと浴びて来い
志希,考えてないって言わないあたり、素直でいいね～。ふー、さっぱり。やっぱり潮風ってべたつくんだねぇ
P,それはよかったな
志希,ねえねえ、シャワーくらい浴びたら？
P,いい……
志希,なにがあるのか分かんないのに？
P,うるせー、何かあっちゃ困るから浴びないんだよ
志希,んー……まあそれはそれでキミの匂いが濃いし、いいかも？
P,やっぱ浴びる
志希,まあその方がいいよね～
P,……手のひらの上で転がさないでくれ。とはいえ……
志希,♪
P,こいつのことだ、見かねん。あっさり目の前で観察までやりかねん。熱いシャワーで湯気多くしてしまうか……。でもそんなんじゃ頼りないよな……。……ん？
志希,？
P,何だこのスイッチ。ふー
志希,ガラス曇らせるスイッチあるなんて聞いてにゃーい
P,見ようとしてんじゃねえ
志希,好奇心にあらがえなかった
P,本当、気づいてよかった。……それで、ベッドは当然のごとくダブルベッド
志希,あたしはいいよー
P,ああ、そう言うと思っていた。もう俺もいいや
志希,おや
P,床に寝てもいいけど、今日の疲労を残さないことを優先する
志希,ふーん？またひと悶着できるかと思ったのに
P,それでまた体力と精神力をすり減らしたくない
志希,この半日であたしとの付き合い方変わったね～
P,かしこまってても仕方ないだろ
志希,いや～、あたしとしてもこっちの方が楽でいいよ
P,そうかい。できるだけ端で寝るから、こっち来るなよ
志希,えー。海じゃあんなに温めてくれたのに
P,無防備も過ぎると痛い目に合うぞ
志希,さて、どんなことをされるのか……
P,……もう寝ろ
志希,んー。そだね～、志希ちゃんも今日ははしゃいだし
P,もうちょっと抑えてくれると助かった
志希,そっかー。いつか気を付けるよ
P,……電気消すぞ。……
志希,……
P,志希
志希,ん？
P,今日は……いや、感謝を言うのも何か違うな。なんというか……助かったよ
志希,助かった、ね。んー、助けた覚えはなかったけど
P,俺が落ち込んでいたから、気分転換に連れ出したんだろ？
志希,まぁ、そこは否定しないかな。気分転換じゃなくて、あたしの失踪についてきただけだよ
P,……何があったのか、誰かから聞いたのか？
志希,なんにも？聞いたからってそれ言うと思う？
P,そうだな
志希,今日、お昼にキミに抱き着いた時にわかったよ。なんかあったんだなーって
P,匂いでそんなのまで分かるのか
志希,そんなんわかんないよ
P,え、あ、そう……
志希,汗かいてるとか、興奮しているとかならわかるけどね。落ち着いている、と落ち込んでいる、の差は分からないにゃー
P,なら、どうして
志希,あたし、キミに抱き着いたでしょ。あの時に筋肉がこわばった。受け止めるために入れた力じゃないよ。自分を守ろうとした。あたしを拒絶しかけたんだ
P,……拒絶って
志希,もちろん無意識だけどね。言葉に出していなかったけど、一人でいたい、放っておいてくれって言ってるみたいだったよ
P,……。それで……放っておかなかったんだな
志希,ん？まあそこは追々。なにがあったかは……んー。言いたくないなら別に
P,ん……愚痴になるかもしれないけど……
志希,……いいよー。きいたげる
P,……。本当に、なんてことない。良くある話なんだ。アイドル候補生がひとり、レッスンに来なくなって、養成所をやめた。それだけの話だ
志希,まあ、そんなところだよね
P,分かってたのか
志希,推測だけだよ。キミの口ぶりから、キミの責任ではなさそう。だからキミが何かを失敗したわけじゃない。そうだったらいまごろ、こんなトコいないで必死にフォローに回ってるでしょ
P,そうだろうな
志希,でも責任を感じられずにはいられないのは、そうだね、多分キミがスカウトしたからだ
P,……ああ。俺に責任はない、なんて言えるわけもない
志希,プロデューサー業だって、ある程度のドライさはいるんでしょ
P,そりゃあ、アイドルになれずに辞めていく人なんて、いくらでもいる。いままでいろんな子に声を掛けてきて、もちろん初めからな子もいたし、喰らいついて生き残ってくれる子もいた。あの子も、残れるだろうと思っていた……いや、タカをくくっていた
志希,それで、あっさり裏切られたわけだ
P,そういうなよ
志希,諦めはついたの？
P,諦めは……まあ、ついた。いくらやっても仕方の無い時はでてくる
志希,それで、どう思った？
P,俺が？……なんだろうな……悔しかった。……あの候補生は違ったんだろうか
志希,どうだろうね
P,やりがいはあるけど、たまに嫌な商売だと思う時もある……
志希,……ふぅん
P,はは、本当に愚痴になったな、すまな……。志希？。……こっち来るなって言ったろ
志希,そーだっけ
P,軽々しく、男の上に乗るんじゃない
志希,ねえ
P,……
志希,本当に、失踪しちゃおうか？
P,……本当に？
志希,二人だけで、何もかもを放り投げて。誰もあたし達を知らないところまで。あたしは、キミとなら行けるよ
P,……
志希,……。ぶえ
P,できるわけないだろ
志希,ひどいなーもう乙女の鼻つまむー？
P,できないよ。残った子たちのプロデュース、誰がするんだ
志希,……ま、そーだよね。それに、あたしもアイドル続けたいし。キミがプロデューサー続けてくれないと、あたしがアイドル続けたい理由も薄まっちゃうかにゃー
P,やめないって。お前のプロデュースを他人に任せるほうが不安だからな
志希,そう。ならいいや。あ、でもさっきのは撤回しないよ
P,ん？
志希,やめるならいつでも言って。あたしがアイドル続けるより、キミの行き先の方が興味あるな♪
P,そうかよ
志希,ね？
P,……わかった、やめる時は言っておくよ
志希,じゃなくて連れてけー
P,はいはい
志希,ふふ
P,ほら、もうどけ
志希,えー、もったいない
P,おしのけるぞ
志希,ちぇー。ま、今日はキミの本音が聞けただけ、よしとしよう
P,そうかい
志希,あたしもやめたがるクチだからねー。逃げ出す子の気持ちは分からなくはないんだ
P,志希だけじゃないけど、いま残って活躍してくれるアイドル達には、感謝しかないよ
志希,ん？んふふふ、そう思える機会があっただけども、その候補生ちゃんに感謝してもいいんじゃない
P,……そうか、そんな考え方もあるか。ありがとうな。志希
志希,んふふふ。感謝は誠意で返してほしいな
P,誠意？
志希,お願いひとつ聞いて
P,……えー……この状況じゃ嫌な予感しかしない
志希,あたしから何かすることじゃないから
P,……まあいいだろ。なんだ
志希,寝るまで抱きしめて
P,……
志希,温かいうえにセラピー効果も期待できるうえに、匂いも嗅ぎ放題。えっ、これいいことずくめじゃない？
P,……わかった
志希,んふ。緊張してるね
P,また、筋肉でわかったのか
志希,あと、ちょっとだけ震えてるのがね
P,……
志希,リラックスしていいよ。セロトニンもっとだせー
P,できるかよ
志希,あたしはこんなにリラックスしてるのに。あ。緊張じゃないんだ、これ
P,……おい、その先を言うな
志希,興奮してる
P,やめろ
志希,にゃは。……ねえ。我慢できなくなったら、その時は言ってよ
P,なんだよ、逃げてくれるのか
志希,んーん。覚悟決めるから
P,……
志希,……
P,はー……
志希,んんっ、きついよ……我慢できなくなった？
P,馬鹿らしくなった
志希,そっかー、あ、でも筋肉の緊張が無くなったね。いい傾向だよ
P,そうか……
志希,そしてあたしも好きなだけハスハス～
P,……志希の髪、いい匂いだな
志希,お。キミが嗅いでくれるなんて、初めてじゃない？
P,そうかもな
志希,キミを嗅がせてくれるなら、いつでも嗅がせてあげるよ
P,いつでもはいい
志希,そう？
P,そう
志希,そっかー
P,……。気分転換……いや、失踪ってのも悪くないな
志希,でしょでしょ
P,だから、明日には帰るぞ
志希,えー。……ま、キミが帰るならついていくかな
P,本当についてくるよな
志希,わかんにゃい。明日急に気が変わって失踪してるかも
P,……はぁ。好きにしな
志希,ふふふ。うん、好きにする～。……？
P,……すぅ
志希,おや。ひどいなぁ、こんな美少女を置いて先に寝るなんて。あ、どっちが寝るまでって指定はしなかったか。日本語ムズカシイよねー。……。……キミの体温があたたかい。あんなに冷えた足も、いまはなんともない。あーあ。あたし、こんなことやるタイプじゃないと思っていたんだけどにゃー。キミって不思議なヒトだ。……。……いい匂い。おやすみ
P,……。ふー……。おはようございます
ちひろ,あら、Pさん。おはようございます
P,ちひろさん、えーと……
ちひろ,先週末はどうされたんですか？志希ちゃんと
P,えっ、あの、志希……？
ちひろ,ふふふ
P,……。あの……志希からなにか……
ちひろ,いいえ？でも、お昼過ぎてから戻られなかったですよね
P,その件については……
ちひろ,で、志希ちゃんとどこか行ったのかしら、なんて
P,あの、なんで志希と断定して……
ちひろ,あら。そう言うサインだったんじゃないんですか？
P,サイン？
ちひろ,ご自分の席
P,え？
ちひろ,志希ちゃんのコートが、Pさんの椅子に
P,なっ……！。……あいつ、わざと……
ちひろ,わざと
P,！
ちひろ,とまぁ、志希ちゃんと何かがあったのかな、なんて思って、先週のところは見逃したんですよ？
P,えっと、まあ、そんなたいしたことでは……はは
ちひろ,お仕事半日サボるのが？
P,いえ、はい、すみませんでした
ちひろ,何をしていたのかは、きっちり聞いておきましょうね
P,はは……眼が笑ってらっしゃらない……
ちひろ,当分、相当な量の白封筒を覚悟してくださいね
P,お慈悲をー！
志希,にゃは
LiPPSでエロコメ,全く進んでない
