高垣楓,戻りました
仁奈,比奈おねーさん、ご飯に行きやがりますよー
比奈,…ふご
Ｐ,……ペ、ペンを持ったまま机に突っ伏してやがる…
ちひろ,なんだか忙しいみたいで。放っておくと、ご飯も食べずにあのままですから…
Ｐ,…。了解です。ったく、おい比奈、起きろ
比奈,……んあ？…大丈夫っス…まだ、全然間に合うっス…
Ｐ,なんの話だ
柚,ほらほらー。Ｐサン早くー
仁奈,こうなったら、比奈おねーさんは仁奈が担いで行きやがりますよ！
ちひろ,に、仁奈ちゃん。それはさすがにちょっと難しいんじゃ…
比奈,…むにゃむにゃっス
Ｐ,おい。絶対起きてるだろお前
楓,プロデューサーさん、私まで、頭を撫でてもらってません…
Ｐ,ああもうカオスだなぁうちの事務所は！
比奈,……うあぁ…日光は苦手っス…敵っス
Ｐ,アイドルがなに引き籠りみたいなこと言ってんだ
比奈,いやー。アイドルも可愛いことも楽しいっスけど、やっぱ日陰のじめじめーっとしたところが落ち着くっスよ！
Ｐ,そのうち茸でも生えちまうぞ…
柚,うちの事務所的にはいいことかも？
Ｐ,ああ、あいつは喜びそうだな…
柚,フヒヒ！
仁奈,さてーなにを食べやがりましょうかー♪
楓,プロデューサーさん、どちらのお店に？
Ｐ,近場のファミレスで済ませましょう。あんまり長くちひろさん一人にさせてしまうのも申し訳ないですから
柚,Ｐサンは偉いなー賢いなぁ♪
Ｐ,背伸びしてまで撫でなくていいぞ
楓,よしよし
Ｐ,……ありがとうございます…
仁奈,プロデューサーは仁奈からすると、十分大きいでごぜーます
Ｐ,フォローありがとう
比奈,仁奈ちゃんは気の使えるいい子っスね
柚,でもＰサン。アイドルのメンタルをケアするのも、プロデューサーの大事な仕事だと、アタシは思うな。だからのんびりお喋りしようねー♪
Ｐ,…それもそうだが
柚,へへっ、アタシはＰサンとお喋りして、オイシイモノ食べてー、明日も頑張ろうカナって思えるからね！
Ｐ,…そっか
柚,うん！
比奈,柚もいい子っスねぇ…眩しいっス…
Ｐ,なに言ってんだ。お前も十分眩しいぞ
比奈,……。あ、どうもっス。…ふ、不意打ちっスね…
楓,ふふ。照れてる比奈ちゃん可愛いわ
仁奈,仲良くお出かけ、楽しいでごぜーます
店員,いらっしゃいませー。何名様のご利用ですか？
仁奈,わー
比奈,この時間は空いてていいっスね
店員,て言うかなんだかもふもふな子がいるわ！？なにあれ可愛い
Ｐ,五人で。禁煙席の方がいいんですが
店員,かしこまりましたー。ではこちらへどうぞー
Ｐ,……
柚,むむ、Ｐサンがなんだか怪しい眼つきをしてる
Ｐ,怪しいとはなんだ
比奈,節操のない人っスねぇ
Ｐ,否定はできないが誤解を招く言い方はよしてくれ…
楓,これ以上女の子が増えても、きっとプロデューサーは面倒を見切れませんよ？
Ｐ,そう思うならもう少し手のかからないようになってください…
仁奈,ごめんなさいです…
Ｐ,ああ！す、すまん、仁奈に言ったわけじゃないんだ…
比奈,楓さんを傷つけたバツっスかね
Ｐ,理不尽な…。よし。なんでも頼んでいいぞ
楓,本当ですか？
Ｐ,お酒は論外ですが
楓,…ﾊｲ
柚,アタシはーハンバーグが食べたいカナ！あ、ねえねえ、デザートもいい？
Ｐ,おういいぞ
柚,ありがとー
比奈,…私は、えっと、このサラダで…
Ｐ,お前はもっと何かしっかりしたものを食べるんだ
比奈,お腹いっぱいになると眠くなるっスから
Ｐ,…さいですか
仁奈,仁奈も、柚おねーさんと一緒でハンバーグがいいです
Ｐ,そうか。楓さんは決まりましたか？
楓,あ、この…
Ｐ,クリームコロッケ定食ですか。いいですね
楓,はい。こーロケが終わったあとですから、コロッケなんかが食べたいかなって
Ｐ,店員さん、注文いいですかー
楓,(´･ω･`)
比奈,無視は酷いと思うっス
仁奈,プロデューサーはひどいです？
柚,この外道♪
Ｐ,フルボッコだなおい
店員,以上でよろしいですか？
Ｐ,そうだみんな、ドリンクバーも頼むか？
柚,モチ！のんびりするには欠かせないよねー♪
Ｐ,はいはい。じゃあ、ドリンクバーを五人分
店員,かしこまりましたー♪お料理は、少々お待ち下さい
Ｐ,さて、そしたら取り合えず、飲み物を取りに行くか
仁奈,仁奈が行ってきやすよ！
柚,おっ。仁奈ちゃんはいい子だなー。そしたらそしたら、お姉ちゃんがついて行こうかなー
Ｐ,悪いな、二人とも
比奈,仁奈ちゃん、お礼にあとでプロデューサーが一緒にもふもふするっスよ
Ｐ,おい勝手になに言ってやがる
仁奈,それはほんとでごぜーやすか！？
Ｐ,……
仁奈,……！
Ｐ,うっ、…お、おう。任せとけ
仁奈,わーい！でごぜーやす！
柚,よかったねー♪
Ｐ,……
楓,プロデューサーさん、元気出してください。よかったら私もお付き合いしますよ？
Ｐ,いえ。楓さんは無理しないでください
楓,(´･ω･`)
比奈,うわプロデューサー最低っス。見損なったっス
Ｐ,へ？な、なにが？無理に付き合うことないですよーって意味だぞ？
比奈,デリカシーはどこに忘れて来たんスか？
Ｐ,わ、忘れてねえよ。忘れてたら、こんだけの大人数のアイドルをプロデュースなんてできるかってんだ
比奈,むしろデリカシーがないからこそって気もするっスね
Ｐ,辛辣だなおい
比奈,よしよしっス
楓,…ありがとう、比奈ちゃん
Ｐ,俺が悪い、んだよな……ぐ、なぜか分からんのがものすごく悔しいぞ…
柚,おまたせー
仁奈,で、ごぜーやす！
Ｐ,おう。サンキュー
比奈,二人ともごくろうさまっス
柚,いえいえー♪
仁奈,で、ごぜーやす♪
柚,ありゃ？比奈さんが楓さんをなでなでしてるんだね
比奈,はいっス
柚,へへっじゃあアタシもアタシもー
楓,あ、ありがとう、二人とも…
仁奈,……。…仁奈の手では、楓おねーさんの頭に届かねーでごぜーます…
柚,おっ、じゃあアタシが仁奈ちゃんを持ち上げちゃうぞ♪とりゃー
仁奈,！柚おねーさんすげーです！ありがとうでごぜーやす！とりゃー！
楓,あ、う…仁奈ちゃんまで…なんだか恥ずかしいわね…
比奈,おおう。さすがアイドル…楓さんめちゃ可愛いっス…
Ｐ,お前もアイドルだぞ
比奈,知ってるっス
柚,ねぇねぇ、Ｐサンは撫でないの？
Ｐ,え？
比奈,そうっスね。プロデューサーだけしないってのは、おかしいっスね
仁奈,プロデューサーはオカシイですか？
Ｐ,その言い方には語弊がある
楓,……あ、あの、プロデューサーさん
Ｐ,？はい
楓,…無理は、…しないでいいですから…
Ｐ,っ
比奈,ナイスな意趣返しっスね
Ｐ,やっぱり俺が悪いのか…
比奈,だれが見ても間違いないっスね
Ｐ,か、楓さん
楓,…はい
Ｐ,その、すいませんでした。別に無理とか、そういうんじゃなくて
楓,…
Ｐ,て、照れ臭かったんです。仁奈たちの頭を撫でるのと、その、…楓さんの頭を撫でるのとは、ずいぶん、違いますから。そ、それだけのことです
楓,……。そ、そうですね。それなら、はい。仕方ない、です
Ｐ,はい
楓,……
仁奈,楓おねーさんと仁奈は違うです？
柚,身長の話カナ？
比奈,プロデューサーはずるい男っスねー
Ｐ,う、うるさいな
店員,おまたせしましたー
Ｐ,お。料理が来たな
仁奈,わーい
柚,わーい
店員,以上ですね。ごゆっくりどうぞー
Ｐ,頂きます
楓・柚・仁奈・比奈,いただきまーすス
柚・仁奈,でごぜーやす！
Ｐ,……なんで柚は仁奈の真似をしたんだ？
柚,ノリだよノリー
仁奈,えへへー柚おねーさんは優しいです！
比奈,仁奈ちゃんは安定の可愛さっス
楓,ノリ？……なにか閃きそうな気がするのだけど…
Ｐ,楓さーん箸が動いていませんよー
柚,ＰサンＰサン
Ｐ,どうした
柚,あーん♪
Ｐ,……
柚,えいっ
Ｐ,もが
柚,えいえいー
Ｐ,むぐぐ。……
柚,おいしいよね！
Ｐ,いきなりフォークを突っ込むな
柚,おいしいよね？
Ｐ,それは…まあ、うん
柚,えへへ！ならよかった！。これでＰサンと同じ気持ちになれたかなーって！
Ｐ,……。お、おう
比奈,プロデューサーがアイドルにときめくのはどうなんスか？
Ｐ,それはいいだろ
比奈,プロデューサーが喜多見柚にときめくのはどうなんスか？
Ｐ,…すいません
柚,♪
仁奈,う？そうするとですね。仁奈も柚おねーさんと同じハンバーグを食べてますから、三人で同じ気持ちになりやがりましたね！
柚,やったねー♪
比奈,それは聞き捨てならないっスね。私にも寄越すっス
柚,どぞー
仁奈,仁奈は楓おねーさんにお裾分けしやがりますよー
楓,ありがとう、仁奈ちゃん
Ｐ,…うむ。平和な、フツウの日常だな
比奈,なに年寄り臭いこと言ってんすか
Ｐ,比奈はどうかな
比奈,なにがっスか？
Ｐ,趣味とアイドル活動、ちゃんと両立できているか？
比奈,えっ……、えっと…その
Ｐ,ああ、悪い。できてるよな。そう俺は信じてるよ？何より、こんなフツウの日常がそれを保障してくれてるって。いまふと思ったんだ。それだけだ
比奈,……そうっスか。すいません、やっぱ、プロデューサーは腐ってもプロデューサーっスね
Ｐ,腐ってねえよ！
比奈,ほんのちょっとだけ見直したっス
Ｐ,そうか
比奈,突然、なにを言いだすのかと思いましたっスけど。…大丈夫っスよ。プロデューサーの言う通りっス。見ての通り、私たちは、安心してアイドル活動を楽しんでるっス。プロデューサーのおかげで
Ｐ,そうか。ならよかった。それならまあ、こうやってみんなを食事に連れて来た甲斐もあるってもんだ
比奈,ご馳走さまっス
Ｐ,いえいえ
柚,なんだか真面目な話って感じ？
仁奈,よく分かりませんが、きっと、プロデューサーのことを信じていやがれば大丈夫だと思いやす
楓,うん。そうね
店員,ありがとうございましたー
楓,すいません、私の分まで出して頂いて…
Ｐ,気にしないでください。男が女性と食事に行くときなんて、こんなもんです
楓,……ぁ
Ｐ,？…あっ。す、すいません！いきなり楓さんの頭に手を置いてしまって…その、つい
楓,い、いえ。その。……むしろ、…これからもそんな風にしてくれたら、私、嬉しいかなって…
Ｐ,…は、はい。分かりました。楓さんが、そう仰るのでしたら
楓,はい♪
Ｐ,よーし。休憩も済んだし、戻ったらまたバリバリ働くぞー
柚,頑張ってー
仁奈,応援しやがりますよー
比奈,あ、私は締め切り近いんで応援はできないっス
Ｐ,一瞬いい雰囲気になったのが台無しだ
楓,…あ。ねえねえプロデューサーさん、私さっき、すごいことを閃いたんですよー
柚,そうだＰサン！アタシは今日もうお仕事終わりだしー、腹ごなしにバドミントンでもどうカナー？
仁奈,プロデューサー、仁奈は替えのきぐるみも用意してありやがるので、さっそく一緒にもふもふしやがりましょう
比奈,あープロデューサー。仕事が一息ついたらでいいんで、ちょっと手伝ってもらいたいんスけど…
Ｐ,…………
柚,ねーＰサン♪
仁奈,プロデューサー！
楓,プロデューサーさん♪
比奈,プロデューサー
Ｐ,…あーうるさいな！もう！
