プロデューサー,以下Ｐ
未央,ちひろさんも良く手伝ってるよね
ちひろ,私達は事務所シーンの撮影が多いから休憩も被るし、あの書類の束を見たら自然と手伝っちゃうのよね
卯月,本当に、私達のプロデューサーさんとアシスタントさんですね！
Ｐ,いやでもオレ本業役者なんだけど
卯月,プロデューサーさん……私達のプロデューサー……嫌ですか？
Ｐ,いよぉーっし任せろ卯月！バンバン仕事取ってくるぞー！
卯月,はい！島村卯月、頑張ります！
未央,うわぁ。しまむーがワルい事覚えた
ちひろ,役者が板についてきましたねぇ
未央,でもあれに逆らうのは厳しいかなぁ。ねぇしぶりん……しぶりん？
凛,うづ……うづ……
未央,流れ弾かぁ
Ｐ,で、三人揃って何の用だ？暫くＮＧとしての仕事は無かったと思うが
卯月,いえ、お仕事の話じゃなくて
未央,最近お疲れ気味の共演者を癒す為に！売れっ子アイドルユニットＮＧと夕食を共に出来る権利をあげようと思ってね！
Ｐ,そのアイドルの一人が夢の彼方に旅立ってるわけだが
凛,はっ！あれ？さっきまで卯月と乃々と一緒に都会の外れで花屋を経営しながら時々遊びに来るアイドル達と楽しくお喋りしたりハナコの散歩したり乃々の散歩したり卯月目当てで来るお客さんに笑顔で接客する卯月にちょっとムッとしちゃってそれを不思議に思った卯月に問い詰められて白状したら凛ちゃんがお客さんとお話ししてる時の私と一緒ですね……
未央,しぶりん。帰っておいでー
凛,でも乃々も良いよね。普段は接客も碌にできなくて直ぐ裏に引き籠っちゃうけどセンスが良いから名指しでアレンジメントの依頼が来てホントは私達に投げたいけど責任感の強い乃々はわざわざ自分を指名してくれたお客さんの期待を裏切れないから今回だけなんですけど……
未央,しまむーＧＯ
卯月,凛ちゃん……目の前の私を見て下さい
凛,うづ……うづ……
ちひろ,今度は直撃ですか
未央,ミッションコンプリート
卯月,頑張りました！
Ｐ,お前らそれで良いのか？。それで、どこで食うんだ？人数いるんだからあんまり高い所は勘弁してくれよ？
未央,え？いやいや自分の分くらい自分で出すよ！
Ｐ,黙らっしゃい。どこの世界に自分のアイドルに出させるプロデューサーが居ますかってんだ
卯月,プロデューサーさん……
ちひろ,でもプロデューサーさん、この前給与明細整理してたらアイドルに給料負けてる
卯月,プロデューサーさん……
Ｐ,じゅ、十分稼いでるから！アイドル業分のボーナス加えた合計で負けただけだから！
ちひろ,じゃあこの前出した領収書は経費で落とさなくて大丈夫ですね？
Ｐ,え？この前って
ちひろ,かな子ちゃんと愛梨ちゃんと志保ちゃんを連れて行ったスイパラの領収書ですね。接待交際費となってましたがこの日三人ともオフでしたよね？
Ｐ,な、なんで！？口止めはしたのに！
ちひろ,私は千川ちひろ、ですよ？プロデューサーさん？
Ｐ,……はい……
未央,さて！それでは行きますか！我らがお肉様の元へ！
Ｐ,未央、ホントに肉好きだな。体系変えるなよ？
未央,だいじょーぶだいじょーぶ！
卯月,でも未央ちゃんこの前体重計の
未央,ダイジョーブ！！！ダイジョーブ！！！
Ｐ,……明後日のレッスンシーンの撮影、トレーナーさんをベテトレさんに変えとくから。あと今日は肉無し
未央,うぇぇぇぇ！？
凛,……はっ！あれ？卯月と乃々と一緒に都会の外れで花屋
卯月,凛ちゃん、一緒に行こ？
凛,行くよ皆
ちひろ,はい、行ってらっしゃい
Ｐ,……ん？
卯月,あれ？
凛,へ？
未央,おやおやぁ？
ちひろ,え？皆さんどうしたんですか？
未央,ちひろさんもに決まってるじゃーん！
卯月,そうです！ちひろさんもお疲れでしょうし
凛,仲間外れになんてしませんよ？プロデューサーさんと一緒で、ちひろさんも私達の大切な人ですから
ちひろ,みんな……
未央,さぁさぁ！もうお店は予約してあるから！今日は豪勢に行くよー！
Ｐ,肉か？
未央,ウグッ……
Ｐ,……今日は見逃してやる
未央,よっ！流石我らがプロデューサー！社長！大臣！稀代の三枚目！
Ｐ,明後日マストレさんに変更な
未央,ぬうぁぁぁ！？
凛,じゃ行こっか
卯月,はい！
ちひろ,忘れ物はありませんか？
凛,ロッカーの鞄回収すれば大丈夫です
未央,ちょいちょいちょい！可愛い可愛い未央ちゃんが地獄行きを宣告されたのに反応ゼロ！？
凛,自業自得
未央,グハッ！
卯月,未央ちゃん未央ちゃん
未央,よよよ……私を心配してくれるのはしまむーだけだよ……
卯月,私は明後日オフなんで美穂ちゃんと響子ちゃんと遊びに行きますけど頑張って下さいね！
未央,なんでわざわざそれ言ったの！？ねぇなんで！？
凛,ハイハイ。その辺にしとかないとホントに置いてくよ
卯月,はい！
未央,あ、ちょ、待って！待ってってばー！
Ｐ,全く。相変わらず慌ただしい
ちひろ,でも嫌じゃないんでしょう？
Ｐ,それはそうですけども、年頃なんだからもうちょっとねぇ
ちひろ,……ふふ
Ｐ,ちひろさん？
ちひろ,こんな時間が、ずっと続けばいいなって
Ｐ,……そうですね。あいつらの為なら、どれだけ高く積まれた書類とだって戦ってやりますよ
ちひろ,私もお手伝いします。これからもよろしくお願いしますね、プロデューサーさん
Ｐ,えぇ、よろしくお願いします、ちひろさん。お、じゃあ行きましょうか
ちひろ,はい
以上です。,もしデレマスがドラマだったら？
