サターニャ,とは言ったもののどうすればあいつらに勝てるのかしら……。ガヴリールはともかくラフィエルは強敵ね。そうだ！のり巻きとヌンチャクを入れ替
ヴィーネ,サターニャは……。事故で……死んじゃったの
ラフィエル,！？。まさかそんな……。ヴィーネさんがこんなに全力でドッキリを仕掛けてくるなんて！。少々不謹慎ではありますが悪魔的といえば悪魔的ですね。大方サターニャさんはロッカーの中に隠れているんでしょうけど……。折角ヴィーネさんが仕掛け人になってくださったんですから少しは引っかからないとですね。そんな……。まだ命を散らすにはあまりにも若すぎます……
ヴィーネ,うん……うん……
ガヴリール,ヴィーネ、これ使え
ヴィーネ,ありがと……
ラフィエル,号泣！？。ヴィーネさんがここまで演技派だとは……。思わず信じかけてしまいました。サターニャさんに限ってそんなことあるはずないですけどね。勝手に亡くなるなんて全く笑えませんし。サターニャさんが居ないとなればこのメロンパンも必要ありませんね……。皆で食べてしまいましょうか
ヴィーネ,どうせならサターニャにお供えしてあげましょ
ラフィエル,と、なるとお焚き上げでしょうか
ヴィーネ,そうね……きっとサターニャも喜ぶと思う
ラフィエル,それでは早速燃やしに行きましょう。ほらほらサターニャさん早く出てこないとメロンパンが燃やされちゃいますよ
ヴィーネ,これでサターニャに届いたかな……
ガヴリール,きっと届いてるよ
ラフィエル,まさかあのサターニャさんが耐えるとは……。今回のドッキリ……本気ということが伝わりました！。私も全力でお相手します！。サターニャさーん。今日もお帰りになっていないのですか？。ガヴちゃんかヴィーネさんのお家に泊まっているのでしょうか。気合いの入れ方が普段とは段違いですね。はっ、これは私もサターニャさんのお家に何かするべきですよね！。ふふふ……腕が鳴りますね。シャンプーとリンスの中身を入れ替えて～。枕の向きを変えて～。本の表紙を取り換えて～。ふう……初日はとりあえずこのくらいですかね。結構遅い時間ですがサターニャさんは帰ってきませんね。今日は私も自宅に帰るとしましょう
ガヴリール,なあヴィーネ。放課後どこかに遊びにいかないか？
ヴィーネ,どうしたのガヴ珍しいわね
ガヴリール,いや別に……
ヴィーネ,もしかして気を使ってくれてる……？。やっぱり優しいんだから。ありがと、ガヴ。そうね、じゃあ何か美味しいもの食べに行きましょう
ガヴリール,ん
ヴィーネ,ラフィも誘おっか
ガヴリール,そうだな
ラフィエル,お呼びですか？
ヴィーネ,あ、ラフィ丁度いいところに
ガヴリール,放課後何か食べに行こうって話をしていたんだ
ラフィエル,いいですね
ヴィーネ,ラフィは何が食べたいとかある？
ラフィエル,そうですねー……。スイーツ系が良いかなーと
ヴィーネ,じゃあいつものカフェにいきましょうか
ガヴリール,私は焼肉でもいい
ヴィーネ,それはまた今度ね。流石に制服で焼肉は辛いわ
ラフィエル,三人で行くんですか？
ヴィーネ,その予定だけど
ラフィエル,あー……えーっと……なるほど。そうですね、三人で行きましょう。そろそろサターニャさんが何かを仕掛けてきそうですね。ドッキリ中とはいえサターニャさんにしばらく会えていないので少々寂しいですね。おそらく今日のカフェドッキリで何かをしてくれるのでしょうけれど。楽しみですねー
グラサン,お前たち廊下に並べ。全校集会を行うぞ
ラフィエル,あっ、それじゃあ私は教室に戻りますね
ヴィーネ,集会ってやっぱり……
ガヴリール,サターニャのことだろうな
校長,知っている人も多いかと思いますが、我が校の生徒である胡桃沢＝サタニキア＝マクドウェルさんが交通事故で帰らぬ人になりました
ラフィエル,……え！？
ヴィーネ,今の、ラフィの声よね
ガヴリール,たぶん
ラフィエル,校長先生も巻き込んだドッキリ……。なわけないですよね……？。じゃあサターニャさんは……。え……？。ちょっと待ってくださいちょっと待ってください。どういうことですか。じゃあガヴちゃんとヴィーネさんも最初からドッキリじゃなく。いやでも。嘘ですよね。どうして。じゃあ私は。もうサターニャさんに会えない？
ヴィーネ,最近ラフィの姿見ないわね
ガヴリール,元々うちのクラスへはサターニャに会いに来てたようなもんだしな
ヴィーネ,なんだか急に静かになっちゃったね
ガヴリール,そうだな……
ヴィーネ,ラフィはどうしてるのかしら
ガヴリール,……
ヴィーネ,あれ？サターニャの家、電気ついてる
ガヴリール,あぁ、ラフィエルだよ
ヴィーネ,ラフィ？
ガヴリール,……毎日サターニャの家を掃除したり家事をしたりしているらしい
ヴィーネ,そっか……
ガヴリール,ずっとサターニャが帰ってくるのを待ってるんだ
ヴィーネ,そうなんだ……
ガヴリール,いつか救ってやれるといいな
ヴィーネ,そうだね……
ラフィエル,今日もサターニャさんはいらっしゃらないのですかー？。お食事を作っておきますねー。今日はお野菜が安かったんですよー。卵賞味期限近いですね。今日はオムライスにしましょう。早く元気になってまたおもちゃ……お話してくださいね
