渋谷凛,お疲れさ……あれ、誰もいないね
乃々,……。……。……。き……。聞いてしまったんですけどぉぉぉ……！！！！！。ごめんなさいごめんなさいごめんなさい……！！！。どどどどどんなリアクションをすれば……！。でも、わ、悪気はなかったんです……！。ただちょっと、タイミング悪くぼといいますか、なんといいますか。も、森久保は最近机の下が賑わっているのを感じて、そ、それはそれで嬉しいというかなんというかなんですけど、新たなもりくぼさんくちゅありを探し求めて、少しの気の迷いでロッカーに入って"あ、狭さが落ち着くんですけど……"とか言ってたところで。そしたらちょうど凛さん奈緒さん加蓮さんが入ってきてしまって出るに出れなかっただけですし……。……。だ、誰に言い訳しているんでしょうか……。で、でも、嬉しい……。……ふふふ。はっ！思わずにやくぼに……。そ、そうと決まれば、りあくしょんの練習？。……。……お、美味しいんですけど～。……。へ、下手……っ！。食レポなんてむーりぃ……。と、とりあえず、ここから出て……。！
佐久間まゆ,お疲れ様です
まゆ,……あら？誰もいないんですかぁ？
乃々,ま、また隠れてしまいました……
まゆ,残念ですねぇ……
乃々,い、今からでも遅くないと思うので、ここを出なきゃ……！これ以上盗み聞きをするような超☆悪くぼにはならないんですけど……！。いち、にの、さ
まゆ,せっかく乃々ちゃんの誕生日プレゼントについて、誰かに相談しようと思ったのに……
乃々,手遅れぇぇぇ……！！！！！
まゆ,？
乃々,た、退路が完全に絶たれくぼ……！さすがにこのセリフ直後に出て行くのはまゆさんに悪いですし……。で、でも、このまま誰も来なければ、もりくぼの話題にはならないはず
早坂美玲,うーっす。おつかれー
星輝子,フヒ……ど、どうも……
乃々,フラグ回収が早すぎるんですけど……
美玲,お、まゆじゃん
まゆ,こんにちはぁ
輝子,ひとり……か？
まゆ,そうみたいですねぇ。乃々ちゃんもいないようですし
乃々,ごめんなさいごめんなさい
美玲,ま、ちょうどいいなッ
輝子,う、うん
まゆ,え？
乃々,え？
美玲,ウチら今、ノノの誕生日プレゼントをどうしようかって話してたんだ
輝子,ま、まゆさんは、どうする……？
乃々,ど、どうしてみなさんもりくぼの誕生日にそんなに備えるんですか……
まゆ,ふふふ……まゆもちょうど、お2人に相談しようと思ってたんですよ？
美玲,そうなのか、じゃあナイスタイミングだな！
乃々,タイミング良すぎますしぃ……
美玲,ウチはまだ決めてないから、この後、ショーコと一緒に買いに行こうかなって
まゆ,そうなんですか？
輝子,ま、まゆさんも……どう？
まゆ,うーん、とっても魅力的なんですけど……
輝子,けど……？
まゆ,美玲ちゃん、輝子ちゃん……、まだ決めてないなら、まゆと3人でケーキを作りませんか？
乃々,！
美玲,おお！
輝子,て、手作りケーキ……！リア充のようだな……
まゆ,はい♪きっと乃々ちゃん、喜びますよ？
美玲,いいな！いいな！
輝子,う、うん。で、でも、作れるかな……
まゆ,まゆがしっかりサポートしますよぉ
美玲,心強いなッ！
乃々,ま、まゆさん、美玲ちゃん、輝子ちゃん……。もりくぼは嬉しいです……
美玲,で？
まゆ,？
美玲,作るケーキッ！ウチら、そういうの全然詳しくないぞ？
まゆ,ああ、それなら、もう決めてありますから
輝子,おお……
美玲,ショートケーキ？チョコケーキ？あ、チーズケーキもいいなッ
まゆ,ブッシュ・ド・ノエルです
乃々,！？！？！？
美玲,おおー！
乃々,か、被ってるぅ……！！！！！
輝子,き、聞いたこと……あるな、フヒ
乃々,聞いたことあるどころか5分前に耳にしたんですけど！？
まゆ,そうでしょう？ブッシュ・ド・ノエルの語源は、木とか丸太から来てるんです
乃々,それもさっき聞きました……
まゆ,乃々ちゃんもよく、森をモチーフにした撮影をしてますからねぇ
乃々,それもさっき聞きました……！！！
まゆ,ピッタリだと思うんです
乃々,むしろピッタリなのは凛さんとまゆさんですけど！？
美玲,でも、それってクリスマスのケーキじゃないのか？
乃々,会話のデジャヴが止まらないぃ……
まゆ,た、確かに……！！！
乃々,あれ！？！？！？。そ、そこは"この季節なら手作りでしか食べれないから"って言うところなのでは……？
輝子,で、でも、逆に夏は手作りでしか食べれないってことだよな……
乃々,輝子ちゃんが言うんですか
まゆ,そ、そうです！まゆもそう思っていたんですよぉ
美玲,なるほどなッ！
輝子,さすがまゆさん……
まゆ,ふふん
乃々,……か、かわいいんですけど。で、ですがこのままではパーティーでもりくぼの目の前に2つのブッシュ・ド・ノエルがメリークリスマスしてしまいます……！。そうなったら……。ひぃぃぃぃぃぃぃぃぃ～～～～！！！！！。こ、これはマズいんですけど！いやマズいってそういうことじゃなくて、多分ブッシュ・ド・ノエルはとっても美味しくなるとは思いますが、それ以上にもりくぼの心臓がマズいんですけど！！！。と、とめなくては……！まゆさんには悪いですが、今からでも他の選択肢を
まゆ,じゃあ、まゆはレッスンに行きますねぇ
美玲,お、じゃあショーコ、ウチらも行こうか
輝子,そ、そうだな……
乃々,うう……、もりくぼはいつもこうです……！！！。ま、まさかこの世に無数あるケーキの中でかぶるなんて……。で、でも、せっかくみなさんがもりくぼのために……。……。も、もりくぼは決めました……！両方食べきって、"どちらもすごく美味しかったです"と言ってみせます……！。大丈夫、大丈夫、……朝から何も食べなければ2つくらいは
佐藤心,芳乃ちゃーん！みくちゃーん！乃々ちゃんの誕生日にみんなでブッシュ・ド・ノエルを作るって話なんだけどさー？
乃々,もはや入場から捻じ込んできたんですけど！！！！！！。なんなんですか……、なんなんですか……！
依田芳乃,それはよきあいであなのでしてー
乃々,なんでケーキ作りの相談をしながら入ってくるんですか……！もりくぼいたらどうするんですか……！ってか実際いるんですけどどうしてくれるんですか……！！！
前川みく,佐藤さんもたまにはいいこと言うにゃ
心,距離感☆
乃々,どうしてそんなに展開が早いんですか……！
心,じゃ、前日にウチ集合な☆
乃々,もはやブッシュ・ド・ノエルの語源とかもりくぼにピッタリとかも言ってくれないですし！？
みく,もー、その前に材料とレシピでしょー？
乃々,そういう問題ではなくて……。！
三船美優,すみません……、急にブッシュ・ド・ノエルが作りたくなってレシピと材料を買ったのですが、どなたかお手伝いしてはくれませんか……？
乃々,美優さん！？！？！？。一番の常識人だったはずの美優さんがどうしてそんな意味のわからない登場を！？
心,ぐっじょぶ！練習にもってこいだな☆
乃々,ツッコミません！？
みく,さすが美優さんにゃ！
乃々,みくさんも真面目だったはずなのに！？
芳乃,でしてー
乃々,それくらいなら喋らないほうがマシだと思うんですけど！？
美優,照れます……
乃々,褒められるとこじゃありませんし……。こ、今度こそストップを
心,じゃ、れっつごー！
乃々,早すぎますしぃ！？むしろこの部屋に来た意味！！！
みく,善は急げにゃ！
乃々,もりくぼにとっては悪夢です……
芳乃,きっと天も見守ってくれていることでしょー
乃々,天はとっくにもりくぼを見放したんですけど……。あああ……。ど、どうすればいいんでしょう……。もりくぼの誕生日のはずが、とんだブッシュ・ド・ノエル選手権なんですけど……！。ああ、心なしかブッシュ・ド・ノエルがげしゅたるとほうかいしてきました……。……。今日はもう帰りましょう……。うう……こんなにも気が重い誕生日は初めてですし……。で、でも、みなさんの優しさに応えなきゃ……！。今日のもりくぼは……やるくぼ！。……。ば、万全です……。お、おはようございます……。わ、わー……嬉しいぃ……
美玲,な、なんか顔、引きつってないか？
奈緒,大丈夫か？体調悪いならすぐ言えよな？
乃々,だ、大丈夫……大丈夫です……！
まゆ,じゃ、早速ですけど
みく,プレゼントターイム！
乃々,！！！
凛,まずは私たちからだね
乃々,お、お手柔らかにぃ……
美優,私"たち"……？
奈緒,お、気づいたか
加蓮,私たちは、3人で乃々ちゃんにプレゼントしようと思ってね
凛,うん、3人でケーキを作ったんだ
乃々,そ、そうなんですか～
凛,ふふ、さすがの乃々もびっくりしてるね
輝子,な、なんかリアクションに違和感あるけど……
奈緒,じゃ、ご覧あれ！
加蓮,私たちが作ったのは
凛,この、"ザッハトルテ"！
乃々,わぁ……、美味しそうなブッシュ・ド・ノ……え？？？
芳乃,？
凛,どうしたの？あ、ザッハトルテっていうのはチョコのケーキで
心,そんなん見ればわかるぞ☆
乃々,い、いえ……素敵なケーキに見とれて……ました
凛,でも、ケーキの材料を買いに行ったらまゆと心さんに会ったときはビックリしたね
まゆ,そうですねぇ
乃々,へ？
心,そんでみんな"ブッシュ・ド・ノエルを作る"って言い出すんだもんなー？はぁとびっくり♪
凛,危うくとんだブッシュ・ド・ノエル選手権が開かれるとこだったね
乃々,その例えはもりくぼが使用済みです……
まゆ,乃々ちゃんの目の前に3つのブッシュ・ド・ノエルがメリークリスマスしちゃうところでしたねぇ
乃々,それも言いましたし！。ということは……、もりくぼの……、一人相撲……！？。よ、よかった……！！！。あ、安心したら……
凛,じゃあ乃々、あーん
まゆ,な、り、凛ちゃん……！？
凛,どうしたの？これくらい普通でしょ？ね、乃々？
乃々,……ﾋｯｸﾞ……ｴｯｸﾞ
奈緒,の、乃々！？
美玲,だ、大丈夫かッ！？
凛,えっ、えっ！？
みく,具合悪い？横になる？
凛,そ、そんなにイヤだった……？
乃々,……ｸﾞｽｯ。みなさん……もりくぼのことをいっぱい……いっぱい、考えてくれて……ｸﾞｽｯ。それなのに……もりくぼ……勝手に……
輝子,乃々ちゃん……？
乃々,もりくぼ……みなさんになんて言えば……
まゆ,乃々ちゃん、大丈夫ですよ
乃々,！
凛,あっ
芳乃,ほほー
まゆ,よくわかりませんが、気にしなくていいんですよ……？みーんな、乃々ちゃんのことが大好きなんですから
乃々,うぅ……
凛,な、奈緒……、加蓮……
奈緒,あー、はいはい
加蓮,いってきないってきな
凛,ま、まゆばっかりずるいよ！
乃々,！
まゆ,あらあら
みく,まったく、暑苦しいにゃあ
心,でもこういうの、嫌いじゃないだろ☆
みく,言わせるなにゃ
美優,落ち着きましたか……？
乃々,はい……
奈緒,む、無理するなよ？主役なんだから
加蓮,そうそう♪座ってれば、みんながケーキを食べさせてくれるよ？
まゆ,凛ちゃんが食べさせたら、また泣いちゃうかもですけどねぇ
凛,表出なよ
みく,凛チャンケンカっ早すぎるでしょ
美玲,まゆも煽るなってば
まゆ,ふふ……凛ちゃんもかわいいですねぇ
凛,う、うるさいっ！
まゆ,ちなみにまゆたちが作ったのは
輝子,この……
美玲,フルーツタルトだッ！
乃々,おおぉ……
みく,こっちだって負けないよ！
心,我らが芳乃ちゃんがどこからか手に入れた高級抹茶をふんだんに使った！
美優,抹茶のロールケーキです……
芳乃,食べると無病息災、由緒正しきけえきなのでしてー
乃々,おおぉぉぉぉ……
凛,はい、乃々
乃々,は、はいっ……！
加蓮,モグモグしてる乃々ちゃん、かわいい……
乃々,お、美味しいです……！
まゆ,次はこっちですよぉ
乃々,あ、ありがとうございます……
美玲,動物園とかのエサをあげれるスペースっぽいな……
乃々,こ、これも美味しい……！
心,こっちも忘れちゃダ・メ☆
乃々,いい香りぃ……。今日は幸せでした……。結局ほとんどケーキも食べちゃいましたし……。流石に、トリプルブッシュ・ド・ノエルのためにお腹をペコペコにしてたなんて言えなかったですけど……。でも、こんなもりくぼにみなさん優しくて……。アイドル……、もうちょっとだけ、続けても……。……なんて。ふふっ……。さて、そろそろ寝なくちゃ……
体重計,……
乃々,……！！！！！
体重計,……
乃々,あ、ああ……
体重計,……
乃々,……
体重計,……
乃々,……
体重計,－－kg
乃々,！！！！！。……。……。……でぶ……くぼ
