橘ありす,おはようございます
ありす,そういうのいいですから！
塩見周子,和菓子といったら八つ橋でしょー？
ありす,わぁぁ！！！
フレデリカ,わお！しゅーこちゃん！
周子,どーもー
ありす,なんでみなさん音もなく現れるんですか！？
周子,面白そうなことしてるねー
フレデリカ,もうね！抱腹絶倒だよ！
ありす,ニュースキャスターってそういうものじゃないと思うんです
周子,フレちゃんが楽しそうで何よりだねぇ
ありす,保護者なんですか？
フレデリカ,しゅーこちゃん！差し入れは？
周子,ないよ？
フレデリカ,帰れ！！！
ありす,過激派
周子,いやいや、ホントは今日、京都に帰ってお仕事の予定だったんよ？
ありす,あれ？ではどうしてここに？
周子,なんかね？新幹線が、謎の女性が“ﾎﾞﾝﾊﾞｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰ!!!!!!!!!!!!!!!!!!!!!!”と叫びながら線路内をランニングしていたため運行休止なんだって
ありす,茜さん！！！！！！
フレデリカ,警察は業務上過失致死傷罪も視野に入れてるみたい！
ありす,さっきと罪状が変わってますけど！？
フレデリカ,京都！旅行したいねー！
ありす,まぁ、そうですね、古都には魅力を感じます
フレデリカ,ってことで、今度ありすちゃんと京都に行くから案内してね！
ありす,勝手に人の予定を埋めていきますよね
周子,おっけー。どこか気になってる場所とかあるん？
ありす,あ、私は、最近話題のライトアップとかに興味があるんですが、どこかいい場所はありますか？
フレデリカ,しゅーこちゃんなら帰ったよ？
ありす,なんなんですか！！！もう！！！
フレデリカ,天気予報に戻るよ！
ありす,ま、また忘れてました……
フレデリカ,全部晴れー！！！終わり！！！
ありす,散々待たせておいてそれだけなんですか！？
フレデリカ,ニュースに戻ります
ありす,ついていけません……
フレデリカ,相葉夕美、倒れる！原因は過労か
ありす,ええ！？だ、大丈夫なんですか！？
フレデリカ,最近、“ソロCDデビュー→生存本能ヴァルキュリア→つぼみクソ譜面
ありす,つぼみへの個人的な恨みはどうでもいいです
フレデリカ,ユミちゃんはあの優しかった場所は今でも変わらずに僕を待ってくれていますかとコメントしてるよ！
ありす,大丈夫じゃないじゃないですか！！！怖いですって！
フレデリカ,続いても、残念なニュースです
ありす,？
フレデリカ,フレちゃんと奏ちゃんが前に出演したバラエティ番組が、次回で最終回になってしまうことが決定しました
ありす,え！終わるんですか？個人的な感情はともかく、視聴率は悪くないようでしたが……
フレデリカ,そうみたいだねー？
ありす,何かあったんですかね？
フレデリカ,どうなんだろうね？最終回は来週放送予定！ゲストは卯月ちゃん、智絵里ちゃん、ほたるちゃんの３人だよ！
ありす,あっ……
フレデリカ,続いてのニュースにいくよー！
ありす,それがいいですね
フレデリカ,速報！中野有香、クマを仕留める！
ありす,仕留めちゃった！
フレデリカ,ユカちゃんは先ほど、クマに襲われているほたるちゃんを発見！
ありす,ほたるさん！！！
フレデリカ,眉間に正拳突きを叩きこんで、見事に勝利をおさめたよ！
ありす,無駄に伏線を活かすのやめません？
フレデリカ,報道陣にお手柄でしたね！と聞かれたユカちゃんは押忍！とコメント。その後これからも頑張ってくださいと言われて押忍！とコメントしたよ！
ありす,語彙力が酷い
フレデリカ,続きまして、みんなお待ちかね！KIBA’sキッチン！
ありす,初耳中の初耳ですが
フレデリカ,スタジオのキバさーん！
ありす,書いた人バレバレですけど。ぐ、グリズリー！？！？！？。グリズリーの料理なんて見たことないんですが！？。そこから！？！？！？。えっ！？終わりですか！？
フレデリカ,今日も素晴らしかったね！
ありす,どこを見てそう思ったんですか？
フレデリカ,さて！残念だけど、そろそろお別れの時間だよー……！
ありす,ようやくですか……
フレデリカ,どうだった？
ありす,酷かったです
フレデリカ,ありがと！
ありす,うわぁポジティブ
フレデリカ,あ！いっこ忘れてた！
ありす,はい？
フレデリカ,近くの美味しい料理を紹介するコーナー！食レポだよ！食レポ！
ありす,いや、放送してるわけじゃないんですから、忘れてたもなにもないじゃないですか
フレデリカ,ダメだよー！もうお店はリストアップしてあるから、あとは一緒に行ってくれる人がいればなー！
ありす,……
フレデリカ,いーれーばーなー！！！
ありす,もう！わかりましたよ！行きますから！
フレデリカ,速報！ありすちゃんカワイイ！！！
ありす,うるさい！！！
美城常務,……さて、3人とも、よく来てくれたな
島村卯月,はい
緒方智絵里,はいっ
白菊ほたる,はい……
常務,君たちに出演してほしい番組がある。先日の宮本の話は耳に届いているだろう
卯月,でも、うちの事務所からはもう出してくれないんじゃないんですか？
常務,1度くらいなら私が頭を下げればいい話だろう。君たちなら数字も期待できる
ほたる,常務……
常務,是非とも―――“楽しんできてくれ”―――
3人,はいっ！
智絵里,再来週からはどんなつまらない新番組が始まるんでしょうねっ
みんな,HAHAHAHAHA！！！
藤居朋,緒方ァ！！！！！
朋,……あ、あれ？
