校長,卒業おめでとう！人間界での修行も頑張ってくれたまえ！
ハニエル,わぁ！ありがと胡桃沢くん！
胡桃沢,ん……じゃ、また明日、学校で
ハニエル,うん！またねー！。でね、あの後道に迷っちゃったんだけど、胡桃沢くんに送ってもらったんだ～
サラ,……天使のクセに悪魔に救われるなんて、恥ずかしくないのかしら
ハニエル,えっ、恥ずかしい事、なのかな……？
サラ,それでも、天使学校主席の妹なの？
ハニエル,え？なんでお姉ちゃんの話？
サラ,……。……雨。迂闊だった、傘が無いわ
胡桃沢,ほら、これ
サラ,……なんのつもり？
胡桃沢,いやいや、こんなとこに突っ立ってんの見たら、傘が無いのくらい分かるっての
サラ,……だからって、なんで私が悪魔から傘を借りなきゃならないの
胡桃沢,嫌われてんな、俺も……それじゃさ、悪魔じゃなくてクラスメイトから借りる、ってのはどうよ？
サラ,結局同じことじゃない。……それに
胡桃沢,それに？
サラ,あなたの分の傘は？
胡桃沢,相合傘でもするか？
サラ,なっ、なにを言って……！
胡桃沢,冗談だよ！ほら、どうせ安物だから返さなくていいぜ！じゃあな！
サラ,あっ！……走って行っちゃった。……。……悪魔のクセに。胡桃沢くん
胡桃沢,なんだ白羽……って、あぁ傘か、返さなくていいのに
サラ,悪魔に借りは作りたくないの
胡桃沢,へいへい、返してくれてサンキューな……おい、これ新品じゃ
サラ,……安物だから、気にしないで
胡桃沢,……あぁ、ありがとな
サラ,……
ハニエル,今日は体力測定だったね！
サラ,……そうね
ハニエル,私、運動苦手だけど頑張ったよ！
サラ,……そう
ハニエル,そういえば、胡桃沢くんが
サラ,胡桃沢くんがどうしたの？
ハニエル,全種目でトップだったらしいよ！
サラ,へ、へぇー……やるじゃない、悪魔のクセに
ハニエル,運動できる人ってカッコイイよね～！
サラ,……そうかもね
ハニエル,今日は調理実習だね！
サラ,そうね……で、なんで悪魔が同じ班にいるのかしら
胡桃沢,そう言うなって、よろしくな二人とも
ハニエル,よろしく！でも私、料理できないんだよね～
サラ,……私も苦手
胡桃沢,おいおいマジかよ……仕方ないな
ハニエル,胡桃沢くん？
胡桃沢,俺ん家ってケーキ屋だろ？その手伝いとかで、まぁ簡単な料理ならできるから
ハニエル,すごいんだね！
サラ,……ちょっと見直した
胡桃沢,ほら、お前らもやるんだからな！準備準備！
ハニエル,胡桃沢くんってすごいよねー
サラ,悪い悪魔じゃ、ないみたいね
ハニエル,あ、なんかそれってヴィーネさんみたい！
サラ,ヴィーネさん、確かに
マスター,しかし驚いたよ、まさか君が天真くんの妹さんだったなんてねぇ
ハニエル,えへへ、姉がお世話になってました！
マスター,白羽くんもよく来てくれてたんだよ……懐かしいなぁ
サラ,姉さん……。……
ハニエル,それでね、ガヴお姉ちゃんたらね
サラ,……
ハニエル,サラちゃん？
サラ,……ハニエル、あなたはガヴリールさんやゼルエルさんの事をどう思ってる？
ハニエル,お姉ちゃん達？大好きだよ！
サラ,そう……辛かったことはないの？
ハニエル,え、それってどういう意味……？
サラ,……天使学校主席卒業、今や神の両腕と呼ばれる大天使……そんな二人の妹。あなたは……彼女達と比べたら、普通の天使。きっと期待だってたくさん、たくさんされてきたでしょう？。その期待に応えられない自分が嫌で、私は……
ハニエル,……あっ、サラちゃん、泣いて
サラ,！。ごめんなさい！今のは忘れて！それじゃ、さようなら！
ハニエル,待って！
サラ,……ハニエル
ハニエル,私はね、お姉ちゃん達が大好きだよ……自慢のお姉ちゃん。そりゃ、比べられたら嫌だけどさ、でも、私は私だもん。私は私に全力だよ！
サラ,ハニエル……！
ハニエル,それに
サラ,……それに？
ハニエル,私まで神様の腕になっちゃったら、3本だよ？それじゃ神様が困っちゃうよ！
サラ,……ふふっ、なにそれ
ハニエル,えへへー
サラ,私もラフィ姉さんが大好き……ラフィ姉さんみたいになりたくて、なれなくて。でも、少し気が楽になったかな……なんにも考えてないみたいなハニエルを見てたら
ハニエル,えへへ……え、あれ、私バカにされてる⁉︎
サラ,うふふ♪
ハニエル,もー！サラちゃんたらー！
サラ,ねぇハニエル……胡桃沢くんのこと、どう思う？
ハニエル,胡桃沢くん？うーん、優しい悪魔？
サラ,……そう
ハニエル,サラちゃん？
サラ,私ね、胡桃沢くんのことが――
ゼルエル,おや、マルティ、この続きはどうした？
マルティエル,さすがにこの先を撮影するのはプライバシーの問題があるかと思って
ゼルエル,いや、もうすでにアウトな気もするが……
マルティエル,その撮影を依頼したゼルが言いますか？
ゼルエル,しかし妹が心配だったのだ！……この映像を見て、杞憂だと分かったがな
マルティエル,私達の修行時代を思い出しました
ゼルエル,懐かしいな……私とマルティが出会ったのも人間界での修行の時だった
マルティエル,たしか、犬に弁当を取られたゼルを助けたのが最初でしたか
ゼルエル,はははは
マルティエル,犬はまだ苦手ですか？
ゼルエル,……はははは！
マルティエル,ふふっ
