小室保馬,４０
葉月,私たちの結婚とその後の破局も、ある意味宿命だったのだろうね
小室,宿命なんてあるのか？そもそも人間は、理性の力であらゆる問題を解決してきたんだろ
葉月,理性で解決できないことは結構あるじゃん。そもそも、私たちの結婚生活もそうでしょ
小室,言われてみれば……な。この人形を見ていると、なぜか不思議な気持ちになる……
他の教授,小室先生。極東経済新報社の河合栄治郎賞の受賞が決まったそうですね
小室,ええ、まあ……。知らせを聞いた時は、私もびっくりしましたよ。そんなこと、あるわけないよな……。非科学的すぎる……
他の教授,おめでとうございます、先生
小室,どうも……。お前は一体、何者なんだ……！？
翌日。BAR,魔の巣
喪黒,やぁ、小室先生
小室,喪黒さん……
喪黒,どうです？この3週間の間、先生は幸せな思いをしたでしょう
小室,ええ。でも……。そのせいで、今の私は憂鬱で仕方ないんです……
喪黒,どうしてですか？この人形の効果が本物であることが分かったでしょう？
小室,そんなはずはないです！そんな非科学的で不合理なことが、実際にあってたまりますか！
喪黒,そうですか……
小室,喪黒さん。これ、返しますよ……。私にとってこの人形は、存在自体が不気味なんです！
喪黒,おや、もう返すのですか？早いですねぇ……
小室,こうやって、葉月と一緒にベッドで寝るのも久しぶりだ……
人形,あたしだよ。お父さん
小室,お、お前は誰だ……？
女の子,あたしは、お父さんとお母さんの間にできた子供よ
小室,ま、まさか……。こんな……
女の子,あたしね……。いつか、お父さんとお母さんの元へ生まれて来るつもりだよ
小室,ああ、そうかもしれないな……。今度、お母さんと話し合ってみるよ
女の子,ありがとう……
葉月,実は私、変な夢を見たの。日本人形の女の子が、死んだ娘の姿になって……
小室,お、俺もそうなんだ……。夢の中に、死んだ娘が出てきて……
テロップ,1年後――
助産師,おめでとうございます！元気な女の子が産まれましたよ！
喪黒,現在、日本の離婚率は3組に1組と言われているように……。何らかの理由で離婚に追い込まれる人たちが、少なからずいます
