平成も終わるご時世によくまあ生き残っていたと思うほどのまさに,建つ骨董品
女の子,それでね。余計なお世話かもしんないけど……。お弁当。あ、廃棄とかじゃなくて、あたしがお小遣いでちゃんと買った奴だよ
ライラ,！！
女の子,どうかな？気にしないで、奢りってことでいいから
ライラ,い、い、いいのでございますですか？
女の子,――――そっか、ドバイから……。……あれ、ドバイってどこらへんだっけ
ライラ,もぐもぐもぐ、んぐんぐ、ふぉの、ふっほ
女の子,あ、いいよいいよゆっくり食べて
ライラ,ごっくん。……ふー、ごちそうさまでございますです
女の子,？まだ半分残ってるよ？
ライラ,これは、わたくしのメイドさんの分ですねー。二人で来たのでございます
女の子,あ、じゃあもう一つ買っとけば良かったね
ライラ,よいのでございますよー。とっても幸せでございます
女の子,そう？――あ、それじゃこれもどうぞ。溶ける前に食べちゃって
ライラ,？これはー……？
女の子,ソーダアイス知らない？そのまま齧っていいよ
ライラ,なるほどー……しゃくっ。！！！。おぉおぉお……！？しゅわしゅわで、甘くて……！？
女の子,気に入ってくれた？なら良かった！。だけど、ごめんね。お父さん達のこと
ライラ,どうして謝るのでございます？
女の子,だってせっかく遠くから来たのに、あんな態度でさ
ライラ,それは……良くないことでございますか？
女の子,そうだよ！下町人情なんて嘘っぱち！結局みんな身内にしか優しくないんだから
ライラ,おぉ……わたくしは、それもよいことと思いますです。みなさま、家族を守っていますです。お身内が一番というのは、当たり前でございますねー
女の子,怒ってないの？
ライラ,怒ることなんて、ありませんですねー。立派なひとたちでございます
女の子,……ふふ、優しいんだね。ごめんね。あと、ありがと。でも……あのアパートを引っ越した方がいいっていうのは、ほんとだと思うの
ライラ,？
デルとは、幽霊,シャバハ
このアパートが,デル
メイド,お嬢様！
ライラ,おー、メイドさんですねー。おかえりなさいです
メイド,この私も聞きましたです。皆、お嬢様を邪険に扱うのだとか……
ライラ,よいのですよー。仕方ありませんです
メイド,よいことなど無いのでございます！今しばしお待ちを、私が直接話を……！
ライラ,――こほん、
不動産屋,ああ、いたいた、お姉さん！
ライラ,……？おうち屋さん、でございますか？
不動産屋,不動産屋ね。いや、あの後ツテで色々探したんだけどさ。あったよ！今のとこと同じくらい安い部屋！
ライラ,おぉー
不動産屋,ちょぉっと千葉に入っちゃうんだけどね。同じ木造でも、六畳でトイレもキッチンもあるし。バランス釜で良ければ風呂だってある！で、中央線で新宿から一時間くらい。どうだい？
ライラ,それは……とっても素敵でございますね。ですが、ごめんなさいです。そのおうちは、他のお方にあげてくださいませ
不動産屋,……そうかい。お姉さんは、ここが気に入ったのかい？
ライラ,もう少し、ここにいたいと思ったのでございます
不動産屋,わかった。そこも、移ろうと思えば明日にも入居できるようなとこだから。気が変わったらいつでも言うんだよ！
それがなんだか歪んだ,？
幼少の砌,みぎり
美穂,出るアパート？
芳乃,左様でしてー
美穂,……あのう、出るっていうのはひょっとして
小梅,幽霊……だよ？
美穂,やっぱり！？
芳乃,曰く、悲しき因縁があったとー……。何か出来ることがあればよいのですがー
小梅,やっつける、とか……追い払うのじゃなくて、お話を聞けたらな……って
美穂,ででででも、ゆ、ゆゆゆゆ幽霊……
芳乃,着きましてー
美穂,わああっいかにもっぽい古さーっ！？。だ、だ、だ、大丈夫だよね？芳乃ちゃんと小梅ちゃんがいたらなんとかなるよね？
小梅,ふぇへへ……美穂ちゃん、こわがり……たぬきなのに……
美穂,怖いものは怖いのっ！
芳乃,さてー……。ふむー？
小梅,あれ……？
芳乃,どなたか中におられますー
美穂,どなたかって誰？幽霊っ！？
芳乃,いえー……そのようなものではー
ライラ,はいでございますー
美穂,ひぃい！？き、金髪の…………あれ？
小梅,人間……だね
芳乃,もし、あぱーとのお方ー。ひとつ尋ねたき儀がございましてー
ライラ,おー、わたくしにご協力できることでございましたらー……
芳乃,ほー
小梅,わぁ……
美穂,そ、そういうことがあったんだ……
ライラ,そうお話ししてくれたのでございますよー。お姉さんは、もういってしまわれたでございます。怖いことはありませんですよー
小梅,……すごい……ね
芳乃,見事。やはり、お人柄にこそ神は宿るのでございましょうー
ライラ,？。みなさまは、お化けさんとお話するお仕事の方々でございますか？。あ、聞いたことがあるでございます。ごーすとばすたーず？というものではー？
美穂,あ、ううんっ、違うの。私達は――
ライラ,あいどるでございますか？
美穂,うんっ。すっごく楽しいんだよ！歌ったり、踊ったりして
ライラ,おー。歌ったり、踊ったり……。わたくしも、日本のお歌をひとつだけ覚えましたです
芳乃,なんとー。どのようなー？
ライラ,まだへたくそかもしれませんですが、このような――――
美穂,きれいな声……
小梅,……でも……ちょっとだけ、寂しそう……
ライラ,うふふ、おそまつさまでございましたです。あいどる、頑張ってくださいませです。お姉さんもきっと、応援してるでございます
美穂,ねえ、芳乃ちゃん、小梅ちゃん……
芳乃,お考えになっていることが、わかりまするー
小梅,いい……と思う。わたし、賛成……
美穂,うんっ。それじゃ、相談してみるね！
小梅,わたしも……電話してみる……ね
美穂,ねえ、ライラちゃん。もし良かったらなんだけど……
小梅,もしもし……プロデューサーさん？うん、小梅……あの子じゃないよ……。えっと、ね……相談が、あるの……
美穂,ライラちゃん、お邪魔するねー！
蘭子,祭壇に捧げる真紅の欠片をここに！訳：私達もお肉持ってきました！
輝子,フヒ……エノキ、しめじ、しいたけ……キノコなら、任せろ……
周子,〆のおうどんもあるよー
紗枝,ええ出汁のきいた割り下の素もありますえ～♪
響子,あ、メイドさんもいらっしゃったんですね！お邪魔しますっ、おいしいすき焼きを作りましょうね！
メイド,いらっしゃいませでございます！少々狭いかもしれませぬが、ささ、どうぞどうぞ！
ライラ,デザートにソーダ味のアイスも揃えてございますよー
