アナスタシア,みなさん、プリヴェート……こんにちは。アーニャです♪
アーニャ,あっ！屋根があると嬉しいです♪
美波,アーニャちゃん、家ないの？。ええと……聞き方を変えるね？、北海道に住む時に、どんな家がイヤだって思う？
アーニャ,ジコブッケンはやめたほうがいいって、コウメ言ってました！
美波,それは北海道じゃなくてもやめたほうがいいわ
アーニャ,吹雪で連絡が取れなくなる洋館も危ないって、ミヤコ言ってました！
美波,アーニャちゃん、ちょっと物件に対する情報が偏りすぎてるわね。き、きっと、北海道に家を建てるなら、暖かい家にしたいと思うの
アーニャ,ダー！北海道で寒い家だと、とっても危ないですね？
美波,うんうん。でも、東京に住むってなった場合、アーニャちゃんは気にする？
アーニャ,ジコブッケンですか？
美波,違うわアーニャちゃん。話を聞いて。東京に住む時に、寒くない物件がいいとか、そのあたりは気にしないでしょう？
アーニャ,ダー。気にしませんね
美波,でも、北海道だと気にするよね？
アーニャ,ダー。です
美波,ふふっ、そろそろわかってきたんじゃないかしら？
アーニャ,わかりません！
美波,アーニャちゃんのそういう素直なところ、私大好きよ。つ、つまり、東京の家は、北海道の家に比べて寒さの対策が十分じゃないの。だから、東京の冬の方が寒いって感じるんじゃないかしら？
アーニャ,なるほど！ミナミ、すごいです！
美波,ありがとうアーニャちゃん
アーニャ,さすがミナミです！ヨッ！ジヒビキ！
美波,”生き字引”の言い間違いと信じて深追いはしないでおくね
アーニャ,スパシーバミナミ！では、次の質問にいきたいと思います
美波,……うん、お願い
アーニャ,アーニャは少しずつ、日本語覚えてきました。みんな教えてくれて、嬉しいです！
美波,うんうん。アーニャちゃん、どんどん上手くなってるものね
アーニャ,でも、まだ漢字はニガテです……。どうやったら上手に漢字使えますか？
美波,ううん……難しいわね……。無理して使わなくてもいいんじゃないかなって思うけど……
アーニャ,でも、もっと使いこなしたいです！
美波,アーニャちゃん、とっても偉いわ……！ちなみに、今はどんな漢字が書けるの？
アーニャ,アー、魑魅魍魎？
美波,それ書けるならもうロシアで日本語学校とか開いた方が儲かると思うな？
アーニャ,ジョークです♪
美波,冗談をたしなめられてジョークに切り替える柔軟さは素敵だけど、何も変わってないからねアーニャちゃん
アーニャ,本当は……
美波,ほ、本当は……？
アーニャ,本当は、ミナミの名前の4文字は書けますよ♪いっぱい練習しました！
美波,え……
アーニャ,”新””田””美””波”。どうですか？アーニャ、ミナミの名前、ちゃんと書けてますか？
美波,……
アーニャ,……？
美波,アーニャちゃん……！！！
アーニャ,み、ミナミ！？。もう大丈夫ですか？
美波,ごめんねアーニャちゃん……
アーニャ,ミナミが喜んでくれて、嬉しいです！
美波,で、でも、恥ずかしいから今のところはカットで……
アーニャ,あとで、番組ツイッターに載せておきますね？
美波,アーニャちゃん
アーニャ,では、次の質問を聞いてもいいですか？
美波,うん、大丈夫よ
アーニャ,どうしてミナミはそんなにエロいですか？
美波,気を抜いたらこれだものね。じ、ジョークよね？
アーニャ,いいえ、アーニャもミナミみたいにみんなをユウワクしてノウサツしたいです！
美波,わ、私は別に誘惑も悩殺もしていないんだけど……
アーニャ,でも、ミナミは答えてくれないと、アーニャ、わかってます……
美波,わかってくれて嬉しいわ……いえ、この状況があまり嬉しくないけれど……
アーニャ,なので、事務所のみんなに聞きました！
美波,アーニャちゃん、私のこと好きなのか嫌いなのかはっきりしてほしいな
アーニャ,ヤーリュブリュー！大好きです！
美波,なんなのもう……
アーニャ,では、回答を見ていきましょう？まず1人目は……
美波,だ、誰に聞いたのかしら……？答えそうなのは……奏ちゃんとか、周子ちゃんとかかな……。アーニャちゃぁぁぁん……
アーニャ,ミナミ！？どうしましたか！？
美波,なんでよりにもよって……
アーニャ,よ、よくわからないですが、では次の人を……
美波,杏ちゃん……。杏ちゃん……！！！
アーニャ,ミナミ、エロいって言われるのイヤですか……？
美波,淀みない目で見られると一瞬揺らいじゃうけど、普通にイヤよ？
アーニャ,じゃあ、明日からみなさんはミナミをどう褒めればいいですか！？
美波,それこそ最初の方にたくさん褒めてくれてたよね！？なんで全て忘れてエロいに合算されそうなの！？
アーニャ,わかりました……アーニャ、ミナミをエロいって言いません
美波,うん、わかってくれればいいの……
アーニャ,ミナミはエッチです！
美波,何一つわかってくれてなかったのねアーニャちゃん
アーニャ,そろそろ、最後の質問になってしまいそうです……
美波,ごめんね、アーニャちゃんにこういうこと言いたくないんだけど、早く終わってほしいかな
アーニャ,では最後です
美波,うん
アーニャ,ラブライカの新曲はいつ出ますか？
美波,……
アーニャ,……
美波,……
アーニャ,……
美波,……
アーニャ,……
美波,……
アーニャ,……
美波,……
アーニャ,……
美波,……大人の……都合よ
アーニャ,大人の……都合……
美波,……
アーニャ,事務所で一番の大人気アイドル、地上に舞い降りた女神、日本に生まれた奇跡のミナミでも……難しいですか
美波,過度な装飾、無力感が倍増するね……
アーニャ,……
美波,……
アーニャ,……また来週です！
美波,……えっこれ特別放送じゃなかったの！？
