聖戦,バレンタインデー
千秋,偉そうに歌う時のコツ何か教えちゃったりして、その後もお姉さんぶって大人のコーディネートについて語っちゃったり、そんな私が料理一つできないのよ。幻滅するに決まってるじゃない。そうよ、きっとそうだわ。ふふふ、無様ね。私なんてそうよ、いっそ死んでしまえばいいのよ、ふふ、ふふふふふ……
智香,ち、千秋ちゃん！
千秋,何？侮蔑の言葉でも、罵りの言葉でも好きなだけ投げかけるといいわ
智香,そ、そうじゃなくてですね。私は、例え千秋ちゃんが料理が出来なくても軽蔑なんてしませんよっ☆
千秋,……嘘よ
智香,本当です！。人には絶対得手不得手があるんです！私は絶対にそんなので人を軽蔑なんてしません！
千秋,……
智香,なら……私だって言っちゃいますよっ
智絵里,智香さん？
智香,私、チアリーダーとかやってる割には……本当はあんまり運動できないんですっ☆
千秋,えっ……
智香,あ、千秋ちゃん今軽蔑しましたね……
千秋,ち、ちが、そんな事
智香,いいんです。わかってるんです。運動ろくにできないくせに、チアが得意だなんて言って……。千秋ちゃんが軽蔑するのも当たり前ですよね、わかってました。そんな事
千秋,違うわっ！。私がそんな事で智香を軽蔑すると思う？！絶対にしないわ！！そんな事するヤツがいたら例えプロデューサーでも―――
智香,……ふふっ
千秋,……え？
智香,どうでした？千秋ちゃんの真似
千秋,え、あ……
智香,ちょっと意地悪でしたかっ？でもでも、私もそういう気持ちなんですよっ
千秋,……ごめんなさい、智香
智香,別にいいんですよっ☆
智絵里,千秋さん、だから言ったじゃないですか……智香さんなら大丈夫って
千秋,そうね、智絵里の言うとおりだわ……
智香,千秋ちゃんは思い込んだら一直線なんですねっ
千秋,な、何よ。悪い？
智香,いいえ、とっても可愛いと思いますよっ☆
千秋,……あ、ありがとう、でいいのかしら
智香,はいっ！
智絵里,そうだ、千秋さん……その……今は、部屋に入っても大丈夫ですか？
千秋,……少し待っててくれるかしら。今キッチンがとんでもないことになってるから
智絵里,やっぱり……
千秋,……まずは包丁で刺せばいいかしら、いやでもフライパンで殴ったくらいじゃびくともしなかったし
智香,ち、千秋ちゃんは何と戦っているんですか……？
千秋,入ってもいいわよ
智絵里,お邪魔します
智香,お邪魔しますっ☆
千秋,二人は……その、手伝いに来てくれたって事でいいのよね？
智絵里,はい、千秋さんだけだと色々心配なので……
智香,元々手伝うつもりだったのでっ
千秋,そう……助かるわ。私は……その、アレ、だから
智絵里,そうですね……アレ、ですからね……
智香,智絵里ちゃんが遠い目をしている……
智絵里,……
千秋,……
智香,二人して目をそらしました！？
智絵里,それであの……千秋さん。キッチンの方を覗かせてもらっても構いませんか？
千秋,ええ、構わないわ。ある程度は片付いてるとは思うけど……気をつけてね
智香,ま、まだ何かいるんですかっ！？
千秋,何もいないわよ……ちゃんと片付けたし
智香,何をですか！？
智絵里,……あの、千秋さん
千秋,……何かしら
智絵里,その……これは……
千秋,……鉄鍋のチョコレート包み、かしら
智香,……す、凄く食べごたえありそうですねっ
智絵里,で、こっちは……
千秋,……ハートの型のチョコレートソースかけ―泡立て器を添えて―とかどうかしら
智香,……
智絵里,……
千秋,……うわああああん！！
智香,あっ、千秋ちゃん！
千秋,離して智香！プロデューサーを殺して私も死ぬわ！！
智香,落ち着いて千秋ちゃん！プロデューサーさんに罪はないですよっ！？ち、智絵里ちゃんからも何か
智絵里,……えいっ
千秋,ち、智絵里！なんてものを食べてるの！！吐き出しなさい！早く！！
智絵里,……千秋さん
千秋,わかったわ智絵里！今すぐ部屋のどこかに埋まってるエチケット袋を
智絵里,美味しい、ですよ？
千秋,―――へ？
智絵里,確かに形は歪ですけど……味はビターな感じで美味しいと思います
千秋,う、嘘よ。無理してそんな嘘をつく必要はないわよ？
智香,なら、私も……
千秋,と、智香まで……
智香,……うん、美味しいよっ☆
千秋,……
智絵里,千秋さんも、食べてみたらわかると思います
千秋,……。……うん、チョコ、ね
智絵里,味までアレだったらどうしようかと思ったんですけど
智香,うわ、智絵里ちゃん意外と毒舌ですねっ
智絵里,味がしっかりしてるなら、どうとでもなります。なので千秋さん
千秋,智絵里……
智絵里,頑張って一緒に作りましょう！
千秋,……うん、頑張る
智香,私も精一杯応援しちゃいますよっ！フレー！フレー！千秋ちゃん☆
千秋,智香……ありがとう。でも応援するだけじゃなくて、直接手伝ってくれたりしたらもっと嬉しいわ
智香,もちろん手伝いますよっ☆
智絵里,千秋さん、チョコは直火でやったら―――
千秋,きゃあああっ！鍋から火がっ！
智香,ち、千秋ちゃん水ですっ！
智絵里,……
千秋,っ、っ！
智香,千秋ちゃんどうしたんですかっ？
千秋,ゆせん、したのに、チョコが、固まっ、て、きちゃって
智絵里,千秋さん、そういう時は一度お湯の温度を50度くらいに調整してから―――
千秋,えいっ！
智香,あっ
智絵里,……
千秋,きゃあああっ！！
智絵里,どうしました千秋さん！？
千秋,さ、さっき、ごき、ごき。ち、智絵里！
智絵里,無理です無理です無理ですっ！
千秋,と、智香！
智香,私も嫌ですよっ！
G,ハロー
千秋,……できた、出来たわ！
智香,よかったですねっ☆
智絵里,よかったです……
千秋,……
智香,千秋ちゃん？
千秋,……これは、二人にあげるわ
智絵里,えっ……
千秋,やっぱり、プロデューサーの分は私一人で作る
智香,千秋ちゃん……
千秋,手伝ってくれてありがとう。そのお礼……にしては安すぎるけど、受け取って
智絵里,……いいんですか？
千秋,ええ。大丈夫、コツも掴めたから
智香,智絵里ちゃん……
智絵里,……ありがとうございます、千秋さん。智香さん、行きましょう
智香,……はいっ。千秋ちゃん、頑張ってくださいね！
千秋,ええ！
智香,よかったんですか？智絵里ちゃん
智絵里,ああなった千秋さんは……止められませんから
智香,そういえば、前にもこんな事があったみたいな口ぶりでしたけど……
智絵里,……少し前、プロデューサーに手料理をふるまいたいって相談してきまして。その時は……今よりも大変でした
智香,どんな感じにですかっ？
智絵里,……とりあえず、得体の知れない物が召喚されました
智香,……
智絵里,でも、最後はいつも……自分ひとりで頑張るんです、千秋さんは。コツを掴んだ、なんてあれも嘘ですよ。きっと。今回も徹夜して作るんだと思います。それでも……完璧にしちゃうのが、千秋さんですから
智香,……人一倍、努力家なんですねっ。千秋ちゃんは
智絵里,そういう事です。……さて、私達は私達のチョコを作りましょう？
智香,はいっ☆
P,～♪
千秋,ストップ
P,うおっ！？千秋か。いきなりどうした？
千秋,他のアイドルにチョコもらって上機嫌なのはいいけど、そんな様子じゃバレバレよ
P,隠す気がないからな
千秋,まゆ辺りに見られても知らないわよ
P,……善処します
千秋,私に宣言してどうするの……まぁいいわ。はい
P,え？なんだこれ？
千秋,チョコよ。見て分からない？
P,いや……まさか千秋からもらえるとは思ってなくてな
千秋,……いらないならいいわよ。自分で食べるから
P,ちょ、タンマ！嬉しい、凄い嬉しいんだ！
千秋,どうせ他のアイドルにもそう言っているんでしょう
P,……千秋だけだよ
千秋,……へ？
P,千秋だけだ。こんな事言うのはな
千秋,そ、そう……
P,凄く嬉しい、ありがとな千秋
千秋,……ど、どういたしまして
P,ホワイトデーは楽しみにしててな。じゃあな、千秋！
千秋,え、あ……。……ふふふっ
P,ねぇ、ちひろさん
ちひろ,なんですか？チョコはさっきあげましたよね？
P,ああいや、そうじゃなくて。千秋って可愛いですよね
ちひろ,突然惚気ですか
P,そんなんじゃないですよ。そうじゃなくて。本当は料理苦手なのに頑張って徹夜までしてチョコ作ってきてくれたりして
ちひろ,……知ってたんですか？
P,目の下にクマが見えたので。それに……
ちひろ,？
P,あいつ、塩と砂糖間違えて入れてましたからね
ちひろ,それはまた……ベタですね
P,ね、可愛いでしょう？
ちひろ,……ええ。可愛いですね
