ひよこ,ヒナ
ヒナ,形が綺麗に整い過ぎててまるで機械だ。新田の綺麗な切り方とはまた違う…新田には程遠い、面白味も人間味も感じられない切り方
ハル,…！？
ヒナ,そんな機械の作ったような料理じゃ…私の温もりと人間味のこもった料理には勝てない
ハル,言ってくれますね…いいでしょう、それでこそ張り合い甲斐があるというものです！
マオ,いや、なんか…良いこと言ってるっぽい雰囲気だけど…
アンズ,ヒナの場合は、単に料理が下手なだけよね…
ヒナ,さて…野菜は切り終わって、この後は…。…。…この後はどうするんだ？
マオ,あれ、ヒナちゃん止まってるよ！？
アンズ,もしかして、野菜切った後どうすれば良いのかわからないんじゃないの…？
マオ,んなバカな！？
アンズ,ヒナ！野菜切った後は…！
ハル,おっと、待ってくださいアンズお姉さん。審査員の方が助言を出すのは禁止ですよ？
アンズ,なんですって！？
マオ,いよいよ本当にヤバイよ、アンズちゃん！
アンズ,…。ねえ
ハル,何ですか？
アンズ,審査員じゃなければ助言を出しても良いのよね？
ハル,…いいでしょう
アンズ,マオ、電話できる？
マオ,どうしたの？
アンズ,もう…助っ人を呼ぶしか無いわ
瞳,全く状況が飲み込めないんですけど！？
ヒナ,…
ハル,ヒナお姉さん…このままでは僕の勝ちが決まってしまいますよ？
ヒナ,いや…まだ勝負は決まっていない
ハル,野菜切ってから何も進んでいないのに？
ヒナ,…！来た…
ハル,え？
マオ,瞳ちゃん！
アンズ,ありがとう、ダッシュで来てくれたのね瞳！
瞳,早く終わらせてもう寝たいからね…
ヒナ,…来たね、瞳
ハル,誰ですか？
ヒナ,説明している時間は無い…瞳、力を貸して
瞳,え？っていうかヒナちゃんがカレーの食材に使ってるあれってもしかして………いや、もういいや……眠たいしツッコミ入れるのも疲れる…
アンズ,野菜切った後どうしたらいいのか分からないのよ
ヒナ,瞳…どうすればいい？。わかった
ハル,ふっ…いくら助言できる人間をつけたところで所詮は付け焼き刃。僕とヒナお姉さんの料理スキルの差は歴然としています
ヒナ,それはどうだろう？
ハル,またまた何ですか？
ヒナ,確かに…君は圧倒的に私よりも料理スキルが高い。でも…。新田の方が料理スキルは更に上だよ
ハル,は？
マオ,は？
アンズ,はあ？
ハル,…それがこの勝負と何の関係が？
ヒナ,…私は料理のど素人。でも、ここにある食材や隠し味は新田の選んだ揃え。そして…新田がどんなカレーを作っているのかは知っている。作り方と分量は知らないけど
ハル,…
ヒナ,…つまり。私が下手だろうと、この揃えで作れば新田の美味しいカレーに近いカレーは作れる…！
ハル,は？
瞳,それはない
ヒナ,君の機械的に作ったカレーとは違う…
アンズ,台詞だけは立派ね
ヒナ,で、瞳。隠し味にりんごを使う場合は、丸ごとお湯にぶちこんで煮込んでダシをとればいいの？。え…めんどくさいな
ハル,へえ…彼女は知ってるのですか。ヒナお姉さんが力を使えること
ヒナ,牛乳は…まあ適当でいいか。めんどくさいな。私はカレーを作ります
アンズ,さすが瞳！ヒナのやる気スイッチをいとも簡単に押したわ！
瞳,ヒナちゃん、そろそろルー入れて！
ヒナ,私は美味しいカレーを作る…
マオ,ヒナちゃんの目付きが変わってる！
ハル,面白くなってきました！勝負はこれからですよ！。完成しました
ヒナ,私も
マオ,どっちも美味しそう～！
アンズ,見た目はハルの方が綺麗ね
ハル,まだダメです
瞳,ですよねー
ハル,では、さっそく審査員の二人に食べて頂きましょう
マオ,いただきまーす
アンズ,いただきます
ヒナ,…
ハル,…
瞳,早く帰りたいな…
ハル,どうですか？
アンズ,うーん…どっちも美味しいわよ？
マオ,うん、どっちも美味しいよね！
ヒナ,…どっちの方が美味しいの？
マオ,どっちも！
アンズ,両方美味い
ハル,この二人に審査員を頼んだのは間違いだったかも知れませんね
ヒナ,それに関しては同感
アンズ・マオ,何よ！？
ハル,では、ここは…やはり貴女に決めてもらいましょう
ヒナ,瞳
瞳,私！？
アンズ,瞳、頼んだわよ！
マオ,瞳ちゃん！
瞳,何故こんなことに…。…いいよ…
ヒナ,瞳…さぁ
ハル,食べてください
瞳,まだお腹空いてないんだけどなぁ…。…
ハル,どうですか？
ヒナ,どっちが美味しい？
瞳,…。…うん…。どっちも…普通。すごく普通
ヒナ,…
ハル,…
アンズ,…
マオ,…
ヒナ,パードゥン？
瞳,美味しいは美味しいけど…何か突出して良い部分もないし悪い部分も特に無い。優劣つけられないレベルに普通
ハル,…
アンズ,…
マオ,…
ヒナ,…つまり？
瞳,引き分けじゃないかな？
ヒナ,そ、そんな…引き分け、だなんて…。…イクラ…
マオ,ひ、ヒナちゃん！元気出して！
アンズ,そうよ、あんたが料理対決で引き分けただけでも凄いわよ！
瞳,ねぇ…ヒナちゃん。１ついいかな？
ヒナ,瞳…どうしたの？
瞳,新田さんから頼まれてたものはどうするの？さっきまでのカレーに使っちゃったんだよね？
アンズ,…
マオ,…
ヒナ,…。…大丈夫。まだ玉ねぎ、にんじん、じゃがいもは残ってる
瞳,肝心のカレーが残ってないじゃん！？
ハル,ヒナお姉さん
ヒナ,少年
ハル,今回は引き分けで終わりましたが…とても楽しい対決でした。楽しませてもらったお礼です。僕の部屋の冷蔵庫にある肉を一パックあげましょう。それで新田さんに肉じゃがでも作ってもらってください
ヒナ,…恩に着る…今度イクラ丼をおごってあげよう
マオ,これで一件落着だね！
瞳,そうなの？
アンズ,あ、そろそろ仕事行かなきゃ
新田,おい、ヒナーっ！おつかい頼んだやつちゃんと買ってこなかったのか！？
ヒナ,何を言ってるの？ちゃんと買ったよ
新田,じゃあ何で玉ねぎとじゃがいもとにんじんと明日の朝に使うミートボールしか無いんだよ！あと肉もあるけど！
ヒナ,肉じゃがなら作れるよ
新田,肉じゃがなら作れるけど！そういう問題じゃなくてさ…！しかも野菜開封してあるし、帰宅しながら食べてたの！？
ヒナ,だからちゃんと買ったって。ほらレシート
新田,ん？本当だな…ちゃんと買ってある…。って、だから！じゃあ何で買ってきたものが無いんだよ！？
ヒナ,んー…。新田の壷を守るために料理対決してたら無くなった。肉はもらった
新田,………は、はいぃ…？またなぞなぞぉ～………？
