？,あっ、猫
Ｐ,あっ、やっぱ起きちゃったか。さっ、帰るぞ。仕事も終わったしな。えーっと、猫の食事……。ほら、着いたぞ。うちのマンション、ほんとはペット禁止だから静かにな。隣は空き部屋だし、大丈夫……だよな。よいしょっと。ほら、着いたぞー。こらこら。ちょっと待ってな。ほら。足だけ拭こうな。よし、ＯＫ。奇麗になったなー。さて、と。飯だけ準備するから待ってろな。ごはんできたぞー。ネットで猫に食べさせてもいいって書いてあったし大丈夫だよな……。食べるかな？。おぉ、食べてる食べてる。よかった。んっ、あ゛～うまい。おっ、詩花だ。……やっぱり黒井社長の目は半端ないな。どこから見つけてきたんだか。次のフェス、誰をぶつけるか……。春香と千早をぶつけりゃ話は早いが……でも、うちの事務所としても……。アクアリウスをぶつけてみるか。あの３人なら……。……いや、うちの色をもっと出すためには。ん～。ゲストに誰をやるか……。あのディレクターきついからなぁ……可憐じゃ委縮するか。うーん……。かと言ってあの人子役嫌いだし……。もしもし？おう、久しぶりじゃん。今は家で仕事してるぞ。……うっせ！ほっとけよ。わっ、ちょ、ちょっと待てって。ん？あぁ、そうそう。あーちょっと待ってくれ。うちの実家で飼うことにしたんだよ。ただ、今夜だけ預かってんだ。ほっとけっての。で、どうしたんだよ急に。マジで！？よっちゃんは結婚しないと思ってたのに……。うげぇ……あのグループで独身が俺だけになっちまったじゃん。そうだけどさぁ……。その言い方は腹立つけど、相変わらずいねーよ。仕事が忙しいし。なんだよ、急に。ちゃんと休みは取ってるぞ。えっ？。おいおい、考えすぎだって。悪ぃな、心配かけて。まぁ、でもさ。仕事が楽しいのは本当なんだよ。土日もないし、常識通じない人も多いし、アイドルも個性的な子ばっかりだけど。必死に駆けずり回って仕事とって、レッスンさせて、ステージで輝く姿を見るとさ、本当に報われた気分になるんだ。あの最高の瞬間を味わうために頑張ってるんだ。アイドルの皆もさ、若い貴重な時間を使って頑張ってる。普通に生きてりゃ楽しいこともっとあるはずなのに。みんな、俺を信じてくれてるんだ。その期待には、できる限り応えてやりたいんだ。わかってる。ただ、今はもうちょっと頑張らせてくれ。おう、ありがと。わかってるって。はぁ……。……あーもう、今日は寝よ。本当にお利口だな。お前。じゃあ、お休み。はぁ……。どうせ一人、か……。一人。ずっと一人……か……。うわっ、びっくりした。なんだ？慰めてくれるのか。……ありがとうな。なぁ。やっぱりさ、うちの子にならないか？。っ……。ありがとな。あったかい……。名前……考えないと……
美咲,あっ、美也ちゃん。お疲れ様です。プロデューサーさんは午前中お休みですよ。猫ちゃんを連れて実家に行くみたいです
Ｐ,おはようございます……
美咲,あれっ、プロデューサーさん。午前半休じゃ？
Ｐ,猫が……
美咲,猫ちゃんが？
Ｐ,起きたら、居なくなってて
美咲,えっ、そうなんですか？
Ｐ,戸締り、ちゃんとしておいたんですけど何処にも居なくて……あちこち探したんですけどね
美咲,それは、不思議ですね
Ｐ,はぁ、もううちの子にする気満々だったのになぁ
美咲,あれっ？実家に連れてくんじゃなかったんですか？
Ｐ,昨日一晩一緒にいたらすっかり情が移っちゃって。あいつもうちの子になってもいいって言ってた気がするんですけどね
美也,プロデューサーさん
Ｐ,んー。どうした？
美也,プロデューサーさんは、一人じゃないですよ
Ｐ,えっ？
美也,辛いことや悲しいことがあっても、一人じゃないですよ
Ｐ,美也？
美也,私はどんなことがあっても、ずーっと一緒にいますからね。いなくなったりしませんからね
Ｐ,美也、何を、言って
美也,約束しましたからねー。私はプロデューサーさんのネコですから
Ｐ,お、お前。もしかして
美也,ふふっ、お仕事に行ってきます～
