モバP(女性),ふぅ。これで一段落かぁ…
レナ,ふふ、ちひろさんらしいわね！Pちゃんは？
モバP,私は麻雀なら良くやってます。腕前は並程度ですけど
レナ,あら、今度卓囲んでみる？
モバP,レナさんも打てるんですか？
レナ,私の師匠の知り合いに鬼のように強い人がいてね。会うと必ず打ってたわ
モバP,それは…。レナさんも鬼強いってことです？
レナ,ふふっ、さあどうでしょう？ちひろちゃんも打てる？
ちひろ,打てますけど…私、初心者ですよ？
レナ,大歓迎よ！私がイチからレクチャーするわ♪
ちひろ,ふふっ、それじゃあお願いしちゃいますね♪
モバP,となると後もう一人欲しいですね
レナ,大丈夫！アテはあるから！えっとね…
留美,あら？
レナ,ナイスタイミング！
留美,みんなお疲れ様。何の話？
レナ,麻雀打とうって話よ！
留美,なるほど。でも私も接待程度でしか打ってないから上手くはないわよ？
レナ,そんなこと言って、私といい勝負じゃないの！
留美,運よ運。麻雀は実力3割運7割っていうじゃない。あ、ライター…
モバP,留美さんも打てるんですねぇ。あ、ライターどうぞ
留美,ありがと。前職で文字通り接待でね
モバP,おお。…なんか留美さんがタバコ吸ってると絵になりますね
ちひろ,確かに…。デキる女性の一休みって感じが…！
留美,な、なに突然？恥ずかしいわよ…
レナ,私はどう？
モバP,レナさんも留美さんとは違った感じで絵になりますねえ
レナ,うふふ、ありがと♪
ちひろ,話戻しますけど、留美さんレナさんと麻雀互角って本当なんですか？
レナ,そうよ！平均順位とかは私の方が上だけど、放銃率は留美ちゃん圧倒的ね
留美,接待の時に差し込みは良くしてたからかしらね。その時とは逆に考えて、なるべく当たらないように打ってるってだけよ
ちひろ,留美さんの隠された特技発見って感じですね！
モバP,そうですね…。レナさんとのペア…。アリですね…！
留美,あら、新しいお仕事来るかしら？
レナ,うふ、楽しくなりそうね！
モバP,うーん、もうちょっと練って企画してみます
ちひろ,仕事熱心ですね♪
レナ,さて、そろそろ帰りましょうか。こんな時間よ？
ちひろ,うわ、結構経ってますね
留美,そんなに話してたの？
モバP,レナさんの武勇伝を聞いてました
留美,そうなの。もう少し早く来て聞いてみたかったわ
レナ,今度打つときいっぱい聞かせてあげるわよ♪
留美,うふ、それは楽しみね
モバP,よし、それじゃあ帰りましょうか
ちひろ,そうですね
レナ,はーい
留美,ええ
モバP,そしたらレナさん、麻雀の件は幹事になってまとめて貰えますか？どうせならお酒飲みながら打ちましょうよ
レナ,おー！いいわね！！分かったわ、日程まとめとく♪私の家に雀卓あるから、宅飲みでもいい？
モバP,もちろん！雀卓あるの凄いですねえ
レナ,貰い物だけどね！さ、帰りましょ！
留美,話止まらなくなってしまうわね
ちひろ,ふふ、そうですね♪それじゃ出ましょう
モバP,はい
留美,行きましょう
レナ,はーい♪
