前川みく,15
木場,そして
Ｐ,ちょっ！？なんで俺勝手に立ち上がんの！？
木場,ちょっと前川君はこっちにおいで
みく,は、はいにゃ…
木場,じゃあ、まずはスーツの上着が邪魔だな。愛梨君
愛梨,はいっ。ｼﾞｮｲﾝｼﾞｮｲﾝと……終わりました
Ｐ,！？。今何をした！？気づいたらジャケットが脱げてて愛梨の手元に！？
木場,うむ、相談相手としては実にいい選択だったなこれは。次はそうだな……中野君、好きな技をかけたまえ
有香,押忍！真さんから教わった………正中線五段突きッ！！！
Ｐ,ご……ふっ……！
木場,まだダウンするには早いぞ
Ｐ,ぐはっ……また体が勝手に…！
木場,続いて桐野君
桐野,おう！アタイも打撃だけど一味ちがうぜー？幻突！！
Ｐ,がっ……見えん何かが……
木場,決めは緒方君だな、手加減は無用だぞ
智絵里,は、はいっ。か、かか、か………カラミティエンドです。えい
Ｐ,ぐわああああーーーッ！！。すんません……マジすんません……
木場,まぁ今後はきちんと面倒を見るように。それと、たまには二人の様子を見に行く事にするよ
Ｐ,ぁい………
木場,とりあえず、君が親御さんに連絡を入れている間にこちらは簡単な荷物のまとめを手伝っておく。前川君、部屋へ入れてもらっていいかな
みく,……はいにゃ
Ｐ,なんとか生きたまま家ついた……。とりあえず上がって一息ついたら片付けとか生活スペース作ったりするか
みく,にゃ……えと、おじゃまします
Ｐ,んー……はいやり直しー。玄関の前から！
みく,に”ゃっ！？にゃ、にゃんでー！？鍵まで閉められたー！？。開けてにゃーー！！。にゃ……？あれっ、この鍵……
ｲﾝﾀｰﾎﾝ,さぁそれを持って鍵穴に通し捻るがいい！そしてオープンセサミと！！
みく,…………。えと……た、ただいまにゃ……
Ｐ,おう、おかえりなさいだ。ようこそ我が家へ、歓迎するぞ。それと鍵は予備で持ってたもんだからみくにやる。好きに使っていいぞ
みく,…………ｸﾞｽｯ
Ｐ,お、おい？
みく,……ふぇぇぇん！！
Ｐ,急に泣き出したりして……どうした
みく,みく……Ｐチャンが一緒に住みたくないって思ってて。嫌われちゃったのかなって……ｸﾞｽｯ
Ｐ,…………。……んな訳あるか。家族と暮らせないってのがよくねーって、そう思っただけだ。あ、そうだ
みく,……にゃ？
Ｐ,我が家、ってありゃもう違うな。これからは俺とみくの家って所だな
みく,……うんっ！！。えへへ……Ｐチャンー……えへへへ…ぎゅー♪
Ｐ,とりあえず、一旦抱きつくのやめようか？色々当たってる……
みく,駄目……もう離さないんだからにゃん♪
