体温計,38.0
加蓮,ううん。なんでもない。ただプロデューサーさんが私の料理を食べてくれてるっていうのが、少し嬉しかっただけ
P,うん？変なやつだなぁ
加蓮,なにそれ、ひどーい
P,あはは、すまんすまん。けど、加蓮はきっといい奥さんになるだろうなぁ
加蓮,へっ！？
P,そしてその時俺は泣くんだろうなぁ
加蓮,ちょ、ちょちょちょちょっと待って！いきなりなに言ってんの！？
P,ん？ああ、なんとなくだぞ。なんとなく。料理もできるみたいだし、親身になって看病してくれるし。旦那さんは幸せものだ
加蓮,い、意味わかんない意味わかんない。どうしてそういうことになるの？というか、アイドルに結婚話はご法度でしょ。普通、プロデューサーがする？
P,あ、そうだな……なに言ってんだ俺。熱でおかしくなってんのかな……
加蓮,もう……
P,すまん、忘れてくれ
加蓮,……そういうプロデューサーさんは彼女とかいないの？
P,……その質問の答えがもしイエスだったら、今この瞬間目の前に座って看病してくれてるのはその人になってるだろうな
加蓮,それもそっか……ふーん
P,ん、なんでつまんなそうなんだ？
加蓮,別にぃ。ただ、プロデューサーさんはアタシに看病されるよりその理想の彼女に看病されるほうがいいんだなーって
P,なっ！？べ、別にそんな意味で言ったんじゃないぞっ！加蓮がこうしてくれてるのはとてつもなく嬉しいし感謝してる！ただの例え話だからな！
加蓮,……ぷっ。あははははっ、そんなに必死になって否定しなくてもいいのにっ
P,あっ、か、からかったなっ！うっ、ゴホッゴホッ
加蓮,あぁあ、ごめんごめん。大丈夫？ほら、落ち着いて。背中さすってあげるね
P,……ったく、勘弁してくれよ
加蓮,ごめんごめん。ちょっと拗ねてみたくなっただけ。そんなに本気に捉えられるとは思わなくて。でも、嬉しかったよ。アタシのこと、そういう風に見てくれてるんだなぁって。大切に思ってくれてるんだね
P,……まぁ、俺は加蓮のプロデューサーだからな。高いテンションを維持するのは俺の仕事だし
加蓮,あ、照れてる。顔赤くなったよ？
P,う、うるさいっ。これは熱のせいだ、熱の！からかうのはやめてくれ！
加蓮,ふふふっ。はいはい、わかったわかった。じゃあ話戻すけど、プロデューサーさんって彼女作ろうとは思わないの？
P,そりゃあ欲しいけど、この仕事してるとプライベートに気を使う暇なんてなくってな
加蓮,いつも忙しそうだもんね。でもたくさんのかわいい女の子たちに毎日囲まれて大変じゃない？
P,言ったろ？俺はプロデューサーだって。そこらへんの線引きはちゃんと俺の中にあるさ
加蓮,でも実際囲まれるのはまんざらでもないでしょ？この間なんて集まってた女子高生組みと話してて嬉しそうにしてたし
P,そ、そんなことはないぞ！さっきも言ったとおりあれはみんなのテンションを盛り上げるコミュニケーションとしてだな……
加蓮,ほんとかなぁ？
P,ニヤニヤするなって！
加蓮,はいはい♪
P,ったく……奈緒のこともこんな風にいじってるのか？
加蓮,だって奈緒ったらほんとにかわいい反応するんだもん
P,奈緒……同情するよ。……ん、食べ終わったぞ
加蓮,綺麗に食べたね。鍋にまだあるけど食べる？
P,いや、もういいよ。残りは夜食べる。ごちそうさまでした
加蓮,おそまつさまでした。じゃああとはお薬飲んで寝てて。アタシ台所の片付けしてくるから……一人で飲める？
P,……加蓮、俺は三歳の赤ん坊じゃないんだぞ。からかうのはよせって……おくすりあまいのがいい
加蓮,ふふっ。冗談が言えるくらい元気なら大丈夫だね。プロデューサーさん、終わったよ……って、もう寝ちゃってる。寝つき早いなぁ
P,すー……すー……
加蓮,ふふっ……かーわいっ……なんだかこうしてるとホントにお母さんの気持ちになっちゃうなぁ……。……っと、プロデューサーさんの寝顔を見てるのも悪くないけど、まだやることはあるんだよね。乾燥対策に加湿器は……ないか。洗濯籠にいっぱいの洗濯物を洗って干してもいいけど、さすがにそれに触るのはプロデューサーさんに悪いかな。ここは濡れタオルにしよう。水が滴り落ちない程度まで絞って……プロデューサーさんの近くに干してっと……後は……部屋の片付けかな。ざっと部屋を見回して……やっぱり床に山積みの雑誌が目立つなぁ。机の上の書類の山は仕事のかな……パソコンが埋まっちゃってる。よし、仕事関係っぽいのには触らないようにして、軽く片付けよう。プロデューサーさん、意外と漫画も読むんだね。週刊だし、毎週買ってるのかな？あ、そういえばこの間奈緒と楽しそうに話してたっけ。……今度、奈緒におすすめ教えてもらおうかな……。よし、これを巻数順に並べて本棚につめちゃおう。よいしょっと、ふう……あれ？。下の段の本、巻数が入れ替わっちゃってる。もう、プロデューサーさん、こういう小さいところでおっちょこちょいなんだから。ま、らしいけどね。ふふっ。順番に直しておいてあげるね、プロデューサーさん。入れ替わってる本を取り出してっと……ん？奥にまだ何かある……？。……あっ。…………
P,すー……すー……
加蓮,寝てる……よね。…………。……わぁ……///。そ、そりゃあプロデューサーさんだって男の人なんだし、大人なんだし……こういうのも必要だよね……///。よ、読んじゃだめだ。プライバシーってものがあるし……元に戻そう、うん……///。……ちょ、ちょっとだけ……///。……わぁ……わぁ……///。……こういうのって、こうなってるんだ……///。……わぁ、凄い。おっきい……///。……プロデューサーさんって、こんな人が好みなのかな……？。……でもアタシだって……。…………。…………。……ふん
P,すー……すー……
加蓮,……プロデューサーさんのばか。もう。イライラして鬱陶しいな。……いやいや、アタシはイライラなんてしてないから。冗談じゃない。アタシには何も関係ないんだしこんなことでイライラなんてするわけないじゃん。さーってと、最初は軽く掃除するだけのつもりだったけど、こうなったらこの部屋思いっきり掃除しちゃおう。アタシのこのイライラじゃない気持ちが治まるまでね。ふう！こんなものかな。やっと治まった
P,……う、うん？加蓮？
加蓮,あ、プロデューサーさん、起きた？
P,なんで……ああ、そうか。看病に来てくれたんだったな
加蓮,そうだよ、プロデューサーさん。あとついでに部屋も掃除しておいたよ
P,うわ、本当だ。見違えるほど綺麗になってる。凄いな。ありがとう加蓮。本当に助かるよ
加蓮,これで誰か部屋に呼んでも泥棒に入られたんじゃないって説明しなくて済むね
P,はは、ああ。20年前から毎日掃除してますっていうことにするよ
加蓮,ポカリ飲む？
P,ん、もらうよ。ありがとう……ぷは。結構喉が渇いてたみたいだ
加蓮,汗も沢山かいてるからね。ほら、パジャマ見て
P,本当だ。酷いなこりゃ。着替えるか
加蓮,それがいいよ。服脱いで。体拭いてあげる
P,なんだって？いや、いや、それには及ばないよ。自分でできるって
加蓮,上半身だけだからさ。ほらほら、逃げ場はないよ。観念しなさい。さあ万歳して～
P,わっ、ちょ、待てっ、待てって！やめて！
加蓮,なんか時代劇の悪いお代官さまの気分でちょっと楽しくなってきた
P,お戯れはいけませんわ！お代官さま！
加蓮,よいではないか～♪よいではないか～♪
P,あ～れ～！。ｼｸｼｸ……もうお婿にいけない……
加蓮,なに言ってんの。後半ちょっとノリノリだったくせに。ほら、手広げて。ちゃんと拭けないでしょ
P,くそぉ……だいたい、加蓮はこういうのに抵抗ないのか？自分で言うのもなんだけど、俺もうおっさんだぞ
加蓮,アタシは看病のつもりだし全然平気。それにプロデューサーさんだって全然若いよ。……まぁ最近ちょっとお肉ついてきたかなっては思うけど。この辺とか
P,うっ、くすぐったいからやめなさい。……まぁ、飲み会も多いし、最近いい中華料理屋見つけたこともあってな……。あそこ美味いし安いし量多いしでちょっと魅力的すぎる
加蓮,食べすぎ飲みすぎは健康にも悪いし気をつけてね。適度な運動も大切だよ
P,まさか加蓮に健康論を説かれるとは。今度事務所のトレーニングルームにでも行こうかな
加蓮,その時はアタシも付き合うよ。ついでだし。よし、拭き終わったよ
P,ああ、ありがとう。後は着替えを着て……と、これでよし
加蓮,はい、体温計。熱も少しは下がったんじゃないかな
P,測ってみるか……。それにしても、なんだ。今日は本当に世話になっちゃったな。今度お礼に何かご馳走するよ
加蓮,ホント？じゃあ何食べたいか考えとくね
P,おう。加蓮のことだからポテトがいいって言うかと思ったよ
加蓮,ちょっと、プロデューサーさんまでそういうこと言う。やめてよね。アタシ最近ポテトキャラになりつつあるんだよ
P,ははは、いいじゃないか。ポテトのCMが沢山取れそうだ
加蓮,もう！笑い事じゃないって！四六時中ポテト食べてるわけじゃないんだから。ポテトはもちろん好きだけど、それだけじゃないんだよ。ほら、この間見せたまゆと奏と撮った写真。アタシあの時チュロス食べてたでしょ？
P,ああ、そういえば。まゆのポップコーンもつまみ食いしてたな
加蓮,アタシはああいうお菓子とかジャンクなものが好きなの。昔あんまり食べられなかったから
P,でも自分の食べられる量も考えないで注文するのはダメだぞ。こないだ奈緒に愚痴られた
加蓮,あのお店のポテト思った以上に重くって、失敗したよ。でも神様が許してくれたから大丈夫。やっぱり持つべきはいい神様だね
P,いい奈緒もな。お、体温計が鳴った。えーっと、37.6℃
加蓮,ちょっと下がったね。今晩また大人しく寝てれば明日の朝には完全に下がると思うよ
P,良かったよ。これで明日は仕事に行ける
加蓮,それはダメ
P,え、どうして？
加蓮,最近ずっと働き詰めで、そのせいで体調崩したって言うのに、一日休んだ程度じゃ休んだことにならないから。明日の朝、熱が下がってても仕事は休むこと
P,そうは言ってもな。加蓮やみんなのためにまだまだやることがたくさんあって、今日一日休んだのにもう一日休むなんて――
加蓮,アタシたちの力はプロデューサーさんが一日二日休んだくらいで崩れるほど脆いものなの？ハリボテみたいな、そんな程度のものだったの？
P,そんなことはない！お前たちの力は俺が一番良く知ってる！お前たちにはトップを取れる力があるって！
加蓮,そうだよね。信じてくれてるもんね。だからこそこの間のライブだってアタシたちに任せてくれたんだよね。アタシはそんなプロデューサーさんを信じてる。だからさ、アタシたちは大丈夫だから、こういうときはしっかり休んでよ。ちひろさんだっているんだし。それとも明日絶対外せない用事でもあるの？アタシは明日レッスンだけだったよね？
P,……いや、明日は社内でのちょっとした打ち合わせが二件とイベントの資料作成と溜まってた書類のチェック。どれも急ぎのものじゃない
加蓮,だったら、明日も休んでしっかり英気を養って。それで全快したらまたアタシたちを全力でプロデュースしてよ。アタシたちが全力でアイドルしてるんだから、プロデューサーさんも万全の状態で、全力でプロデュースして欲しいんだ。言っておくけどこれは絶対に譲らないからね？
P,……はぁ。最初はレッスンにも乗り気じゃなくてめんどくさがりだったのに、どうしてこんなに勝気な子になっちゃったかねぇ
加蓮,アタシをこんなに立派なアイドルにしてくれたのは、プロデューサーさんだよ
P,ああ、その通りだ。お前は立派な俺のアイドルだ。俺にも見る目はあったってことだ。担当アイドルに全力でプロデュースしてくれって言われちゃ仕方ない！かんっぺきに快復するまで俺は休む！その代わり、俺が帰ってきたら……加蓮、覚悟しろよ？
加蓮,望むところだよ！こっちこそ、生半可なやつだと跳ね返していくからね？覚悟してて！
P,さて、と。おっと、もうすぐ夕方じゃないか。加蓮、暗くなる前に帰ったほうがいいぞ
加蓮,そうだね。プロデューサーさんももう平気そうだし、そろそろ帰るよ
P,今日は本当に助かったよ。本当にありがとうな
加蓮,アタシも久しぶりにプロデューサーさんとゆっくり話せて楽しかったよ。お礼のデート、楽しみに待ってるね♪
P,え？デート？そんなこと言ってないぞ。俺はお礼に何かご馳走するって――
加蓮,もう、二人でどこかに連れてってくれるってことはデートでしょ。違う？
P,そうなの、かな？
加蓮,そうだよ
P,んー、まぁいいか。でもこのことはくれぐれも誰にも言わないでくれよ？
加蓮,わかってるって。ああそうだ。おかゆはまだキッチンの鍋に残ってるから。あと消化によさそうなおかずをいくつか作って冷蔵庫にいれてあるから、もっと食べられそうなら食べて
P,そんなことまでしてくれてたのか
加蓮,それともし明日の朝になっても熱が下がりきっていなかったりまた上がってるようだったらすぐに病院に行くこと。早めにね。汗かいたらすぐに着替えるんだよ。ポカリもまだまだあるからこまめに給水してね。それから――
P,わかったわかった。加蓮、いつまでもやってると本当に日が暮れるぞ
加蓮,あぁ、といけない。じゃあもう帰るよ。プロデューサーさん、またね。おやすみなさい
P,ああ。またな。おやすみ、加蓮。さてと……俺はまた寝なおすとするかな。加蓮やみんなのためにも早く元気にならなくちゃ……。Ｚｚｚ……。……う、うーん。のどかわいた……。ポカリポカリ……ｺﾞｸｯｺﾞｸｯｺﾞｸｯｺﾞｸｯぷはっ。……また汗かいたな。着替えるか……。ってもう真っ暗だな。着替えたらなにか食べよう……。そういえば加蓮がなにかおかずを作ったって言ってたな。ちょっと見てみるか。たしか冷蔵庫に……お、このゼリーやプリンは買って来てくれたやつだな。えっと、おかずはこのパックのやつかな？あ、蓋にメモが貼ってある。なになに？中は豚肉の生姜焼き。おかゆだけじゃものたりないと思ったら食べて加蓮……。あれ？裏にもなにか書いてある。えーっと……追伸、本棚の奥に隠してあるもの見ちゃった♪？本棚の奥……って、なにぃいいいい！？
奈緒,加蓮さ、なんか最近やけに上機嫌じゃないか？
凛,あ、奈緒もそう思った？私もそう思ってたんだ。なにかいいことでもあった？
加蓮,いいこと？んー、あったといえば、あったかなー♪
奈緒,なになに？なにがあったんだ？
加蓮,えー？教えるわけないじゃん
凛,加蓮。私たちの間に秘密はなしだったはずだよ
加蓮,そんな約束したっけ？どっちにしろなに言われても教えないよ。これはアタシだけの秘密……だから♪あっ、まゆ！
まゆ,あら、加蓮ちゃんに皆さん、こんにちは
加蓮,まゆ、この間はありがとね。さっそく役に立ったよ
まゆ,そうですか？それならよかったです。こちらもいろいろと参考になりましたし、楽しかったですよ♪
加蓮,アタシもだよ。今度は二人でお茶でも行こうね
まゆ,ぜひ。うふふ
奈緒,なんのこと？
加蓮,前の仕事で少し仲良くなったからね。ちょっと一緒に出かけたんだ♪
凛,まゆはこれから仕事？
まゆ,はい。まゆのプロデューサーさんとちょっと地方ロケに……
凛,地方ってことはもしかして泊まり？
まゆ,はぁい♪
奈緒,半分旅行みたいなものか。いいなぁ
加蓮,やったね、まゆ！頑張って！
まゆ,はい♪じゃあ行って来ますね♪
加蓮,いってらっしゃーい！あ、入れ替わりでプロデューサーさん！
P,今の佐久間さんか？やけに上機嫌だったな……。おはよう。みんな揃ってるのか
凛,おはよう、プロデューサー。もう出てきていいの？
奈緒,みんな心配してたんだぞ？風邪は治ったのか？
P,あ、ああ！おかげさまでもうこの通りさ！元気バリバリだぞ！
凛,……どうしたの？なんかいつものプロデューサーじゃないみたい
奈緒,なんかやけにテンション高くないか？やっぱりまだ無理してるんじゃ……
P,そ、そうか？風邪はちゃんと治ったんだが……病み上がりだし、そのせいかもな！ははははは！。……っと、仕事の話なんだけど、加蓮、ちょっとこっちに来てくれないか？
加蓮,アタシ？
P,ああ。ちょっと次のイベントのことについて聞いておきたくて
奈緒,アタシたちはいいのか？
P,ああ、ちょっとな。待っててくれ
加蓮,……で、聞きたいことって？
P,あ、あの、そのだな……
加蓮,なに？はっきり言って欲しいんだけど。……なーんて、ほんとはなんのことか気づいてるけどねー♪
P,うっ……あのさ、あのメモに書いてあったことなんだけど……
加蓮,うん、ばっちり見たよ。中身までぜーんぶね♪
P,うあああああ！なんてことだ！
加蓮,ちょっと！声が大きいって
P,あ、ああ……っくぅぅ。なんて恥ずかしい……
加蓮,大丈夫だよ。プロデューサーさん。あんなの気にもしてないから。男の人なんだしああいうのも必要なんだよね。わかってるよ
P,……そのわかられてるのが男には一番恥ずかしいってのは覚えておくといいぞ、加蓮
加蓮,ふーん。そういうものなんだ
P,……それで、誰かに言ったか？
加蓮,それも大丈夫。“まだ”誰にも言ってないよ
P,はぁぁぁ、よかった……“まだ”？
加蓮,うん。これからどうなるかなんてわかんないし？特別口が堅いほうでもないし？ぽろっと口が滑っちゃうこともあるかもしれないし？ねぇ？
P,お願いします加蓮さん！どうかこのことだけは！誰にも言わないと約束してください！
加蓮,えぇ～。どうしよっかな～
P,後生ですから！加蓮さん！お助けください！
加蓮,じゃあこれから先、アタシが欲しいって言った時にポテト買って来てくれたら黙っててあげる。さっそく買ってきて♪
P,……え？それだけでいいのか？もっとキツいお願いでも覚悟してたんだけど……
加蓮,あれぇ？もっとキツいお願いが良かったような口ぶりだね？わかった、今すぐ考えるから。えーっと……
P,よっしゃ行って来ます！うおおおおお！走れ俺！病み上がりがなんぼのもんじゃああああああ！
加蓮,……これから先、“ずっと”だよ、プロデューサーさん。健康には気をつけてね。私との約束、だよ
