光の勇者,以下、勇者
勇者,そもそも、属性の有利不利なら風の四天王はどうするんだよ！
地女,……あー……風の四天王か。奴はなぁ……うむむ、どうするか……
勇者,……ん？。なんだ、妙に歯切れが悪いじゃないか
地女,風の四天王は、男の格好をしていただろう？
勇者,まあ……俺達は男だと思ってたんだけどな
地女,それでな……少し、悪いと思っているのだ。風の四天王は……体は女、心は男だったのかも知れん。だが、酔った勢いでヤっちゃってだな？。体は女、心は男……しかし、目覚めさせてしまったのだろう。この責任は……どう取るべきか……！
勇者,お前、気遣う所おかしいぞ
地女,おかしくはないぞ、光の勇者よ！
勇者,いや、おかしいっての！
地女,ええい、わからんのか！？
勇者,わかんねえっつってんだろうが！
地女,酔った勢いで、お前が今の俺をヤっちゃってだな。俺が、目覚めてしまったとしたら……どう思う？
勇者,それは……なんか申し訳なくなるな。……。いやお前、変な想像させんじゃねえよ！！
地女,だが、俺の言いたい事はわかっただろう
勇者,……まあ、何となく
地女,勇者よ……もしそうなった時、お前ならばどうする？
勇者,……一つ、無かったことに
勇者・地女,！？
風の四天王,以下、風王
勇者・地女,！！？
勇者,か、風の四天王！？
地女,ど、どうして此処に！？
風王,僕は、捜し物が得意でね。君を見つけた方法は……教えられないな。だって……また、逃げた時に困るだろう？。そうは思わないかい？。――地の四天王
地女,くっ……勇者よ、どうする！？
勇者,ここで俺に振るんじゃねえよ！！
風王,それと、勘違いを訂正しておくよ。僕は、元々身も心も女さ。男の格好をしていたのは……ちょっとした趣味かな。だから……ふふっ、君が気に病む必要なないよ
地女,おおっ、そうだったのか！。ならば、良し！。感謝するぞ、風の四天王よ！心が軽くなった！
風王,……
勇者,空気が重くなってんだよおおおおお！！
風王,……地の四天王。このまま、僕と一緒に戻ろう
地女,すまんが、それは出来ん
風王,どっ、どうしてだい？。何か、理由でもあるのかい！？
地女,それは……
勇者,……
地女,すまんが、それは言えん
風王,っ……！
勇者,……えっ？
風王,そうか……君が、地の四天王を……！
勇者,いや！いやいや待て待て！はっ！？
地女,違う！光の勇者は、悪くないのだ！
風王,っ！？ゆ、勇者を庇うのかい……！？
地女,そうではないのだ、風の四天王よ！
勇者,そっ、そうだ！風の四天王、勘違いはよせ！
風王,……ふ……ふふふ。君たち……随分と、仲が良いじゃないか！
地女,うむ、仲は良いな
勇者,お前ちょっと黙っててくんない！？
風王,……もう一度だけ聞くよ。地の四天王、僕と一緒に戻ろう
地女,俺の答えは変わらん
勇者,いやもう、帰れって！頼むから！
風王,ふふ……あははははっ！。こんな屈辱、生まれて初めてだよ！。……！
勇者,ほらああああ！！俺を睨んでるじゃねえかあああ！！
風王,そうか……地の四天王、君は……。……女の、僕よりも――
勇者,おいコラ、テメエ！早く誤解を解け！早ーく！！
風王,――そこの……男の、光の勇者を選ぶんだね
地女,む？いやいや、何を言っているのだ？。そういう意味で選ぶなら、女のお前を選ぶぞ？。それに、お前は美人だしな！
風王,……。えっ？はっ……えっ？
地女,――ふはは！光の勇者よ、風の四天王を退けたな！
勇者,呑気に笑ってんじゃねえよ！！
地女,……ふっ、慌てるな
勇者,あん？
地女,奴は、引き際に言っていた。――君が此処に居る事は、僕の胸の中に閉まっておこう。……とな！ふっはははは！！
勇者,お前がしでかした事がバレる心配はしてねえ！！
地女,やはり、お前を頼って正解だったぞ！
勇者,……腹が立つ位、お前に都合良く行ってるな
地女,お前のお陰だ、光の勇者よ
勇者,ぶっとばすぞ？
地女,光の加護は、仲間をも災いから守る。……言い伝えは、やはり真実だった
勇者,……は？
地女,でなければ、とっくに俺の首は飛んでいるだろうからな！
勇者,……ま、待て待て！待て！。この状況は、マジで俺のせいでもあるのか！？
地女,頼りにしているぞ、光の勇者！
勇者,やめろ！今、俺をそう呼ぶな！
地女,リーダー！
勇者,！お前をパーティーから外せば――
地女,ふはは！そうはさせんぞ！。……状況が良い感じになるまで！。この、地の四天王！。お前を道連れにしてくれるわ！！
勇者,お前を殺――したら……俺が恨まれるもんな！！
地女,うむ！だから、これからも――
地の四天王,光の勇者よ、助けてくれ！
