エイプリルフール記念,？
周子,結果的には家出のおかげでＰさんという良い人に拾って貰えたからね。変な空気にならないよう、お互いに話題に出してないだけだよ
Ｐ,なんだ、そういうことか……。嫌に実感がこもった言い方するから結構焦ったぞ
周子,……と、Ｐさんの前だけでは暗黙の了解でそういう設定にしている
Ｐ,最後に怖い話みたいなオチをつけるな！どっちが本当だか不安になってきたじゃねーか！
周子,大丈夫、今日はエイプリルフールだよ
Ｐ,安心できる要素が一つもないんだが……。一体どれが嘘なんだ……最初から嘘であってほしい……。じゃあ次は趣向を変えて、こっちが嘘をつく番な
周子,どうぞー
Ｐ,実は私、女性だったんだー
周子,えーー、そうなのーー？
Ｐ,そうそう。全然女性っぽくないから恥ずかしくて秘密にしてたの
周子,へーー、そうだったんだーー
Ｐ,だから周子の着替えを偶然目撃しちゃっても全然問題ないんだ
周子,なるほどね！じゃあ、その時は股の下を思いっ切り蹴飛ばしても問題ないよね？
Ｐ,ごめんなさい、嘘です。だから蹴飛ばすのだけはやめてください！
周子,なーんて嘘々。あたしもそこまで無慈悲じゃないって
Ｐ,エイプリルフールのおかげで助かった……
周子,元々Ｐさんが変な嘘つかなかったら問題なかったんじゃないの？
Ｐ,……それもそうだな……
周子,あ、十二時の鐘が鳴ったよ！いい時間だし、お昼連れてってよ
Ｐ,キリの良いとこまで終わったらな
周子,えー……まだ待つの？退屈だよー
Ｐ,奢ってやるから。もうちょい待っててな
周子,それも嘘？
Ｐ,いやこれはホント
周子,やったー！ちょうどお寿司が食べたい気分だったんだ！
Ｐ,ちょ、待て！嘘だろ？！
周子,いやホントのつもり
Ｐ,それは嘘であってほしかった……
周子,Ｐさんお仕事まだ終わらないのー？
Ｐ,ホントにもう少しだから、これだけやったら終わりだから
周子,えー、じゃあまだ嘘ついて遊ぶね
Ｐ,おぅ、どんとこい！
周子,実はさー、あたし出会った当初から割とＰさんのことがライク的な意味で好きだったんだけどさ
Ｐ,おっ、そんなこと言ってくれるなんて嬉しいぞ
周子,今は異性として好きなんだよね。ラブ的な意味
Ｐ,……
周子,家出なんてしてたあたしと本気で向き合ってくれてさ。そんで、こんな煌びやかな世界の頂点まで連れてってくれたんだから、そりゃまあ惚れるに決まってるよね
Ｐ,…………
周子,……なーんてね。あれ、奏ちゃんの口癖が移っちゃったかな？
Ｐ,…………周子、知ってるか？エイプリルフールは嘘をついていいのは午前中までなんだぞ
周子,え？そうなん？
Ｐ,そうなんだよ。あと。笑えないような嘘もついちゃダメなんだ
周子,へー、そうだったんだ。初めて知ったわ
Ｐ,だからもう今日は嘘ついちゃダメだぞ。特にそういう嘘はな
周子,……えー？じゃあさっきのは実はホントってことにしちゃおうかな？
Ｐ,……ニヤつきながらそういうこと言うのはやめなさい。男はバカだから直ぐに本気するぞ
周子,本気にしてくれてもいいんだけど？
Ｐ,周子
周子,……冗談だってば冗談ー。それよりお仕事はもう終わった？あたしお腹すいたーん
Ｐ,丁度終わったから飯食いに行くか。先に出て車を出してくるから、準備ができたら外出てこい
周子,はーい、じゃあお寿司屋さんまでよろしくね？
Ｐ,……さっきの嘘じゃなかったのかよ……
周子,だって午後になってから言ったでしょ？嘘ついていいのは午前中までだし♪
Ｐ,……してやられたわ。金もおろしてくる
周子,よろしゅーこ♪
Ｐ,あ、そうだ、周子
周子,ん？なに？出る直前で忘れ物でもした？
Ｐ,俺も周子のこと、割と好きなんだぞ。…………なんて、嘘だけどな
周子,……。……嘘ついていいのは午前中だけじゃなかったんかい！。……どんな顔してご飯食べにいけばいいのさ……全く、もー！
