モバP,あはは、そもそも俺の家にそんなもんあるわけないし実験にならないぞ晶葉も案外抜けてる所があるんだなｗ
晶葉,今言ったら卒倒してしまうだろうな…。隣の部屋に助手の部屋の壁に向けられた超音波測定器が無人で稼動してました何て言ったら……。……結論から先に言うと助手は引っ越した。証拠物品の山を交え社長に事情を説明した。ちなみに第5女子寮建築計画の発案者という側面があったちひろはドス黒い色に近いグレーだと判断したのでハブった。助手は所有物の大半を処分し、今は少し離れた新しいマンションで生活している―――。新しい住居はどうだ助手よ？
P,うん、ちょっと事務所から離れちゃったけど防音壁、防音ガラスで夜中に皆のCDを大音量で流しても隣人から苦情来ないんだ。かなり高かったけど良い場所だよ…流石社長が探してきた部屋だ
晶葉,そうか、もう盗聴の心配はいらなそうだな。っと、そろそろ私はレッスンの時間だ…事務所を出なければ
P,一人で行かせて悪いな、気をつけて行けよ。…ふぅ、それじゃ俺もそろそろ
凛,プロデューサー
P,うわっ！り、凛…か
凛,そんなに驚かないでよ…こっちがビックリしちゃうよ。あ、それより聞いたよ？プロデューサー引っ越したんだって？どこに引っ越したの
P,あ、いや…すまん、新しい家は秘匿義務でな…教えられないんだ
凛,……ふーん。そんなプロデューサーに…はい
P,花束…か、あ…ありがとう、凛
凛,事務所のみんなからの花束だよ？それと…。みんなの気持ちが籠もった花束に似合う花瓶、とうじき？とかいう中国の有名な陶器なんだって！桃華ちゃんが探してきてくれたんだよ、綺麗でしょ？
P,も、桃華がかぁ～、た…高そうだなぁ……
凛,実際かなり高価なものらしいよ？それ。高いんだから今度は捨てないでね？
