桐野アヤ,ただいまー
アヤ,だからよけい緊張してるんだけどな！
Ｐ,？
アヤ,あー……みんなすごいな。かわいいぜ。アイドルしてるぜ。それに比べてアタシは
Ｐ,おーい。表情。また固くなってる
アヤ,あーい
Ｐ,……。なあ、さっきも言ったけど。せっかくみんなも来てくれてるんだ。ほら、アヤも光たちみたいに――
アヤ,……。光たちみたいに、可愛くって？。どうせアタシはそんな風じゃないって……
Ｐ,ん？何か言ったか？
アヤ,なんでもねえよ。……悪い。ちょっと早いけど、休憩行かせてくれ。外の空気吸ってくる
Ｐ,え。あ、おい
忍,ふう
光,お疲れさまっ。大盛り上がりだな！
海,だね。ファンのみんなの熱気がすごくて、楽しいし、まだまだバテてられないなー
志保,あれ？そういえば、アヤちゃんとプロデューサーさんはいませんね……なにかあったのかな……
光,おお。そういえば。助けが必要かな！？
忍,……。ぷは。うん。大丈夫じゃないかな。早めに休憩取るって言ってた気がするし
志保,わ。忍ちゃんは周りをよく見ていて、さすがですね
忍,ううん、そんなことは
海,忍の言う通りだと思う。ね
忍,うん
光,ヒーローの出番ではなかったか……
忍,あ、ほら光ちゃん。ファンがいっぱい待ってるよ。出番出番
光,おおっしまったー。ありがとうっ忍さん！今行くぞみんな！
海,あははっ。光は可愛いね。アタシたちも行こっか
志保,はいっ
海,アヤのことはプロデューサーに任せておけば大丈夫だね。きっと
忍,うん。アタシたちがやるべきことは、目の前のファンのみんなに向き合うこと、だね
海,おー。へへっ。やっぱり忍はさすがだね。さすが、ウチらのリーダー
忍,えっ
海,や、ほら
志保,いらっしゃいませー！あっまた間違えちゃった！？こ、こんにちは！何名様でっ……あれ？
海,最年長はあんな感じだし
忍,あ、うん
光,なっ。それはアタシも持ってない限定のベルト……ち、ちょっと触らせてくれないか？
海,光は光だし
忍,光だねー
海,もう一人の最年長は、最高に可愛いから、みんなに可愛がられる枠であってリーダーではないってね
忍,……。ふふ。そうだね
海,うんうん
忍,……じゃあ海さんは？
海,ウチはもう弟たちとファンのみんなで手一杯だからなーし♪
忍,あ、ずるい
海,へへ
忍,もー。……分かったよー。はい、じゃあリーダー命令。うちの最高に可愛いアヤさんが戻ってくるまで、一緒に頑張る！
海,了解っ
アヤ,…………。はあ。？。お、なんか試合やってる。楽しい。……。やっぱアタシにはアイドルなんて向いてないのかな……
Ｐ,なんだ。ちゃんと笑えるんじゃないか
アヤ,？。プロデューサー
Ｐ,そういえば、初めて会ったときも、こういう家電屋さんの前だったな
アヤ,……ああ。うん。そうだったな
Ｐ,うん
アヤ,……うん。ま、あのとき……ホントはアタシが観てたのは、今やってるような格闘技の試合なんだけどな
Ｐ,うん。知ってる
アヤ,……は？。知って……か、カマかけたのか
Ｐ,うん
アヤ,な、なんで
Ｐ,そりゃウェア着て明らかにトレーニング中の子が、アイドルが出てる番組とボクシングの試合のどっちを観てるかって考えたら
アヤ,そっちじゃなくてさ！
Ｐ,可愛かったから。アイドルをやって欲しいって思った
アヤ,はあ！？
Ｐ,初めて会ったときにも言ったろ
アヤ,……覚えてない
Ｐ,ひどいな
アヤ,いや、いやいやいやいきなりアイドルになってみろって言われたらテンパってそれどころじゃねーだろ
Ｐ,そうか？
アヤ,そうだよ！
Ｐ,他のみんなはわりとすぐに乗り気だったけどなあ
アヤ,待て、あいつらと比べるのは待て。……そうだよ
Ｐ,ん？
アヤ,アタシは、あいつらみたいに可愛くないし。今日だってなんのつもりか知らねーけど。……いや。分かってっけど……。プロデューサーは分かってないよ。やっぱアタシ、あいつらみたいにはなれねー
Ｐ,……なにか勘違いしてないか
アヤ,あ？
Ｐ,分かってないのはお前の方だ
アヤ,ああ？おっと
Ｐ,よけるなよ
アヤ,よけるだろ！
Ｐ,今のは大人しく受ける流れだ。とう
アヤ,へぷ。な、なにすんだ
Ｐ,光も海も、志保も、忍も、みんな。別にアイドルをやってるんじゃない。知らないのか？自分の好きなことを、最高に楽しくしていれば、女の子はみんなアイドルなんだ
アヤ,…………
Ｐ,俺が、可愛い、アイドルになって欲しいって思ったアヤは、ボクシングの試合を楽しそうに観ているアヤだよ。だから、アヤはアヤのままでいい
アヤ,さっき言ったのと矛盾してねーか
Ｐ,してない
アヤ,してる
Ｐ,してない
アヤ,しーてーる。……あーもーどっちでもいいや
Ｐ,そうそう
アヤ,……なんだよぅ。……アタシはアタシのままで……アイドル、か。……。へへ。プロデューサー、アンタおかしいんじゃないの
Ｐ,まあな
アヤ,だよな。へへ。あーあ。分かったよ。じゃあその熱意に免じて、もうちょっとだけアイドルってヤツ、やってみるよ
Ｐ,ありがとう
アヤ,どういたしまして。へへ。あーあ、なんか遠回りしちゃったのかな、アタシ
Ｐ,そんなことないさ
アヤ,？
Ｐ,真面目に、真剣に悩んで、間違ってても、今までだってアヤなりのアイドルを目指してたんだ。アヤのそういうストイックなところが俺は好きだよ。魅力だと思う
アヤ,…………。な、なに言って……バカヤロウ！
Ｐ,ほら、忍もよくアヤさんまたフリフリの衣装とにらめっこして悶えてる可愛いって言ってたぞ
アヤ,バカヤロウ？！。絶対あとでシメる
Ｐ,はは。ほら、そろそろ戻るぞ
アヤ,あ、待ちやがれ。プロデューサー、アンタにも一発入れさせろ！
Ｐ,うわ逃げろ
アヤ,逃げんな！。……ん？あ、おいプロデューサー、ちょっと待て
Ｐ,この流れで待てって言われて待つやついないだろー
アヤ,遠っ。逃げるの早ッ。違う違う。ちょっと財布出せ
Ｐ,カツアゲはごめんだ
アヤ,違うっつーの！
忍,あ
Ｐ,お、お疲れ。遅くなったな
忍,ううん。おかえりなさい。プロデューサーさんこそ……な、なんかお疲れだね？
Ｐ,ま、まあな。忍も気をつけろ
忍,は、はあ
アヤ,ただいま！悪い、ずいぶん穴開けちまった
忍,ううん。おかえり、アヤさん
アヤ,おう！
志保,なにか買って来たんですか？
アヤ,おう。ふふーん。秘密兵器だ
光,秘密兵器！
アヤ,そういうのとは違う。見ろっ。アタシは実はこういうドールが好きなんだ！
光,おおっ。かわいいな
アヤ,だろだろ！？可愛いよなーこれ。前から気になってたんだけど。へへ。今日はアタシの大好きなコイツも、一緒にアイドルだ！
忍,……いや、うん。まあ
海,ウチらは知ってたけどな
アヤ,あれっ
志保,アヤちゃん、よくスマホでお店のホームページとか見てますもんね
アヤ,志保にまで？
志保,はい！はい？
光,変身するやつだこれ！すごい！
アヤ,着せ替えな。今日はコイツも一緒に握手会だ！
忍,おー。なるほど
海,へへっいいね。じゃあはい、アヤ行こう
アヤ,よし待て、いきなり先頭に立たせるのは待て。心の準備をする
海,今さらなに言ってんの。おーいリーダー
忍,はーい。アヤさんはしばらくいなかったし、ここから一番頑張ってもらわないとね♪アタシたちは休憩しよっか？
アヤ,ちょ
光,ヒーローは遅れてやってくる、だね！いいなー。けどアヤさん、しょうがないから今日はゆずるっ
アヤ,いやゆずらなくていいから
志保,一名様ご案内でーす♪
アヤ,五名様だ！
Ｐ,わりと意味不明なツッコミだな
アヤ,笑ってねえで助けろ！
Ｐ,今のアヤいい顔してるぞ
アヤ,知るか！
Ｐ,なあ、アヤ。アイドルっていいぞ。いいだろ？
アヤ,…………。あー。ああ。うん、そうだな
Ｐ,うん。よかった
アヤ,うん！
