小日向美穂が化け狸だったというシリーズ,こひなたぬき
晶葉,まあまあ待て待て待つんだ
Ｐ,伸びるロボットアーム！？
晶葉,腹が減っては戦は出来ぬというだろう。それに社員価格＋開店記念で割引らしいぞ
Ｐ,だって絶対ろくなことにならねーじゃん！メカＰが板前とかやってんじゃねぇの！？
晶葉,安心したまえ。自分の研究ならともかく、受けた依頼ではそこまで無茶をせん
ライラ,大丈夫でございますよー。テーマパークのように楽しいお店となっておりますです
Ｐ,不安要素しかない
ちひろ,まあでも、ライラちゃんがそう言うなら……
晶葉,彼女は優秀な助手だな！私の作業に文句ひとつ言わず付き合ってくれたぞ！
ライラ,わたくしも楽しかったでございますよー。ですがー……。……ちょっぴり、おなかがすいてしまったでございますねー
P,……しょうがない。ついでだし、ライラにも昼飯おごっちゃろう
ちひろ,時間ありませんしね
ライラ,おおー。わたくしお寿司を食べるの初めてでございますー
Ｐ,流石にロボがやってるってことはなさそうだが、しかし……
ちひろ,案外、普通の回転寿司かもしれないじゃないですか
Ｐ,うーん……まあそうですね。流石に板前さんは普通の……
ナターリア,ヘイラッシェー！
Ｐ,あからさまにアイドルなのだ！！！
ナターリア,初めてのお客サンだナ！ささ、座っテ座っテ！
Ｐ,うーむ、店内がやたらサイバー……まるで悪の秘密研究所のようだ。ていうか、やたら立体的な寿司レーンだなおい。ミニ四駆のコースかなんかか
ちひろ,奥の方にベルトコンベアみたいなのありますよ。何乗せるんですかねあれ
Ｐ,ウサちゃんロボがお茶とおしぼり持ってきた……！
ちひろ,飛んだ……
Ｐ,というか、確かナターリアさんだよね？
ナターリア,ウン！ナターリア、スシ大好きだからお手伝いに来たんダ！。あ、でも……お店、開いたばっかりだかラ、まだおスシ流れてないんダ。言ってくれたら握るゾ！何がいい？
Ｐ,うーん。じゃあ、マグ……いや、タマゴ……いやマグロで
ちひろ,えーとそれじゃコハダを……ライラちゃんは？
ライラ,まだよくわかりませんですねー。何がおいしいのでございましょう？
ナターリア,うちはなんでもおいしいゾ！
ライラ,それではこの、オートロ？をお願いしますですよー
Ｐ,最初から攻めっ攻めだな！
ナターリア,わかった！マグロコハダオートロイッチョー！
Ｐ,奥に誰かいんの？。あれ？それじゃナターリアさんは何すんの？
ナターリア,踊ろうカ？
Ｐ,逆に落ち着かないよ！
ライラ,あ、ここで手を洗えばいいのでございますか？
ちひろ,待って待ってライラちゃん火傷しちゃう
Ｐ,レーンに乗ってイニＤのようなスピードで寿司が！？。えーとそれじゃ、来たことだし……
三人,いただきまーす
Ｐ,ではこのマグロを……むッ！？。こ、これは……！すごく新鮮なマグロだ！まるでついさっきまで泳いでいたかのような……！。この赤身には確かな旨味と共に、躍動する潮流の力強さをも感じる……！。更に握られる段階でいい感じに空気を含んだシャリが、口に入るなりふうわりとほどけて……。旨い！なんという旨い寿司なんだ！
ちひろ,なんで柏手打ったんですか今
Ｐ,え、なんか、なんとなく……
ちひろ,あ、ほんと。おいしいですねこのお寿司！
ライラ,なにやら感極まったらしい流暢なアラビア語
Ｐ,待って何言ってるかわからない日本語で頼む
ナターリア,ハムハム！ほんとダ！すっごくおいしいナ！
Ｐ,あ、君は一緒に食べる担当なのね
？,ふっふっふ……そうね、そげぇおいしかね……
Ｐ,はっ、この声は……！？。わずか１３歳にして魚捌きを習得し、アイドル料理界にこの子ありと謳われる――首藤葵さん！？
葵,いかにもっ！魚料理といえばあたし、すなわちお寿司といえばあたしっちゃ！
ライラ,アキハさんとナターリアさんとアオイさんとはお手伝い中に仲良くなったのですよー。みなさんとてもいい人でございますです
Ｐ,しかし、副業ってことになるのか？社内とはいえいいのかな
葵,これも修業っちゃけん、よかって偉か人も言うとったよ
ちひろ,まあ上じゃ１７歳がカフェの看板娘してるそうだから問題ないんじゃありません？
Ｐ,妙なところでおおらかな事務所だな……
ナターリア,すごいゾ！アオイはなんでもスシにできるんダ！
葵,そう……一言にお寿司と言うても、この時代じゃあきい。ひとっくくりにお魚だけのものにもでけん。せっちいけど、お魚が苦手って人もおるっちゃ
Ｐ,ああ、うちにも一人いるわ
ナターリア,おいしいんだけどナー
葵,だからこそ！お魚だけでないお寿司の可能性も模索するべきと！あたしはそう思うっちゃ！！
ちひろ,ウサちゃんのゴージャスなファンファーレが！？
葵,で、お客様第一号の三人には、お魚じゃない変わり種のお寿司を試してもらいたかっちゃけど……。あ、もちろんお代はいいとよ！試食ってことになるけえ！
Ｐ,タダ？マジ？じゃあ断る理由が無いな
ちひろ,大丈夫ですかね。タダより高いものはありませんよ？
Ｐ,ははは、いつもタダ石と各種ガチャの飴と鞭でしばき倒してくる人が言うと違うな
ちひろ,ちひろポン・パンチ！
Ｐ,グワーッ！！
ちひろ,まあいいです。私も気になるし、お願いしてもいいかしら？
葵,うん、ありがとう！しんけん握るけん待っとってね！。小手調べに、シャコから握ってみるっちゃ
Ｐ,お、最近あんまり見なくなった奴だ
ちひろ,エビより歯ごたえがあっておいしいですねぇ
葵,続いてみょうが！
Ｐ,みょうが？刻んでそうめんのつゆとかに入れる奴？ん……うまい！
ライラ,しゃくしゃくでお口さわやかですねー。ライラさん、これ好きでございますよー
葵,鳥刺し！
ちひろ,鶏肉のお刺身って、確か九州のお料理だったような……あらおいしい
Ｐ,噛めば噛むほど旨味の染みる鶏肉に、おろししょうがの味がピリッと効いて……
葵,お茄子の漬物！
ちひろ,へぇ、茄子のぬか漬けがシャリに……。瑞々しい歯ごたえがニクいですねぇ♪
ライラ,おふー。カラシさんが染みるでございますよー
Ｐ,茄子さん引けない
葵,アボカド！
ちひろ,すっかり市民権を得ましたよね。まあトロにたとえられるくらいですし
Ｐ,猫にアボカド食わすと最悪死んじゃうらしいですけどね
みく,へぷちっ！……な、なんか謎の悪寒が走ったにゃあ……
葵,鯨！
Ｐ,おお、ほとんど肉の味
葵,松茸！
ちひろ,輝子ちゃんが好きそうですねぇ
葵,テレスコ！
Ｐ,テレス……なんて？
葵,ステレンキョウ！
ライラ,よくわかりませんですけど、おいしいでございますよー
葵,そして本日のオススメ、とれたてピチピチのズンドコベロンチョ！
Ｐ,ねえ結局ズンドコベロンチョって何なの？
ちひろ,え、ズンドコベロンチョ知らないんですか？おっくれってるぅー！
Ｐ,ふぅー……なんだかんだ結構食ったなぁ
ちひろ,お茶とガリが染みますねぇ～……
ライラ,ライラさん、おなかいっぱいでございますよー♪
Ｐ,次から次に来るから、流れてくるのを待つ暇もありませんね。回転寿司とは
ちひろ,でもお寿司はおいしいし、話が広がれば繁盛するんじゃありません？
ライラ,おー……注文とは、このボタンでするんでございますですか？
Ｐ,そうそう。注文とお会計、っていうか店員呼び出しと、あと……。世界
ちひろ,…………押します？
Ｐ,いや…………まあ、やめときますか
ライラ,おー
Ｐ,ライラーッ！？
ヘレン,ミュージックスタート！！
Ｐ,うわああああヘレンさんだああああああ！！？
♪～,情熱的なフラメンコ
ヘレン,ッハァ！。ヘェイッ！！。オーレ！！！。フンハァッ！！！！
Ｐ,お、踊りながらベルトコンベアを流れていった……
ちひろ,この出番の為だけに今回登場したんですかあの人……
ナターリア,ヘレンのダンスはすごいナ……！ナターリア、リスペクトしちゃうゾ！
葵,さて、そろそろ締めのお吸い物を出しちゃるけん
Ｐ,お、ありがたい。いやーどれもおいしかったよ終盤何食わされてたかわからなかったけど
ちひろ,ほんとに。ちょっと変わったお店だけど、味が広まればきっと流行ると思いますよ♪
葵,へへ……そげえ褒めたってなんも出んよぉ♪。待っとってね。珍しかもんが取れたけえ、おいしい汁物が作れるっちゃ！
Ｐ,珍しいもの？
葵,うん！あたしも料理するのは初めてなんよ！でも、きっとおいしくするけえね！
Ｐ,そっか。楽しみだなぁ
ナターリア,持ってきたゾ！
葵,よっし！今捌いちゃるけん！
美穂,たぬき
Ｐ,美穂ぉーーーーーーっ！！？
ナターリア,ミ？
葵,ほ？
Ｐ,あ、ああ、いや……みほ、にほ、にほんの料理文化はまったく尊いものだなぁ～と……
ちひろ,ふふふふ二人は、どどどどこで、その、たたたたぬきさんを、つつ捕まえたんですか？
葵,ああ、事務所の中庭の茂みにおったとを捕まえたんよ
ナターリア,まるまるふかふかで、すっごくおいしそうだナ！
Ｐ,み、美穂……！そんなところで何をしていたんだ……！！
ちひろ,もしかしてお寝坊さんですか……！！？
ライラ,あー……。お二人ともー。実はそのたぬきさんは、わたくし達の大切なお友達なのでございますよー
葵,えっ！？
Ｐ,ナイスライラ！！
ライラ,事務所からはぐれてしまい、困っていましたです。申し訳ありませんですが、離してはもらえませんでございますか？
美穂,ぽこ、ぽこっ
ナターリア,そ、そうだったのカ……！
葵,いけんいけん、危なかとこだったっちゃ！
美穂,ぽこぉ～～っ！！
Ｐ,ああよしよし、お前一体何してたんだ……！
葵,あいたー……危うく友達を捌いてしまうとこだったっちゃ。ごめんなさい！
ナターリア,ご、ごめんナ！知らなかったんダ！
Ｐ,いやギリギリセーフだから良かったよ。でも、今後事務所で動物を見つけても捕獲したりしないでな？。ひょっとしてひょっとしたらだけど、たぬきだけじゃなくて、うさぎとか狐も見つかるかもだし……
ナターリア,キツネとウサギもいるのカ！？
ちひろ,ええまあ、なんというか一応……
Ｐ,あとトナカイ？
美穂,ぽ、ぽこぉ～～～……
ライラ,おや？たぬきさんから、なにやら白い煙のようなものがー……
ナターリア,ン？
葵,え？
ちひろ,あら？
Ｐ,お、おぉ……！？。まさか、安心感のあまり気が抜けて……！？
美穂,ぽこ……ぽこぉん……
Ｐ,ま……待て！そのままでいい！そのままでいいから！
美穂,ふぇぇ……プロデューサーさぁん……
Ｐ,
ちひろ,
葵,
ナターリア,！
ライラ,おー……
美穂,きゅぅぅぅ……
Ｐ,。な。なんでもないです
晶葉,なんでもないわけがあるかぁっ！！！
Ｐ,うおああああーーーっ！？
晶葉,見たか！？見たな！見たぞ！！たぬきが人に化ける瞬間を！！。財団から報告は聞いていたが、やはり実際に見るとインパクトが違うな！
ナターリア,スゴイスゴイスゴイ！今、タヌキが人になったよナ！？どうやったんダ！？
葵,きょ、曲芸ね！？すごかねぇ！そげなこともできると！？
ちひろ,わわわわ……
Ｐ,いや、これには色々となんというか、アレがアレでですね……
美穂,ふぃぃ……
Ｐ,……えらい目に遭った
ちひろ,とんだランチでしたねぇ……
美穂,うぅ、ご、ごめんなさいぃ……
ライラ,お寿司、とってもおいしかったでございますねー
Ｐ,まあひと悶着あったけど、なんとか丸く収まったし――
ちひろ,いい子達でしたねぇ
Ｐ,アイドルとしても評判いいですからね。きっとあそこも繁盛するでしょう
美穂,はぅぅ。私、今回いいとこ無い……
ライラ,よしよしですよー
Ｐ,まあ、ギリギリ昼休みが終わる時間には間に合ったわけだし、戻りますか
ちひろ,そうですねぇ……ところで
晶葉,ぎくっ
美穂,だ、誰かに尾行されてるような……
ライラ,アキハさんでございますかー？
晶葉,ふーーむ……バレていたか。私のカムフラージュ技術もまだまだだな
Ｐ,そりゃオフィスビルの中で異様に精巧なギリースーツ着てちゃな
晶葉,以前から動向は把握していたのだが、君達の事務所は実に興味深い。琴歌が楽しそうに話していただけはある
Ｐ,……ん？
晶葉,このところロボと一緒に研究所に籠もってばかりだったからな。やはり実地調査は必要かもしれん……。志希のやつもラボを出たことだし……。というかその……私も、そろそろ助手の一人くらいは……
ちひろ,プロデューサーさん
美穂,これって、つまり……
Ｐ,フムン。あの
晶葉,！
Ｐ,えっ距離感……。いやほら、もし良ければなんだけど。君もアイドルをやってみないか？
晶葉,……！。ふ～～～～～む。アイドル。アイドルか。なるほど。私の才能を世に知らしめるには、確かに最短とも言える近道かもしれないな……！
Ｐ,そうそう。それに君、可愛いし
晶葉,かわっ
Ｐ,えっ遠っ！？ナンデ！？
晶葉,…………なるほど、未知のアプローチを仕掛けてくるわけだな？。だが、まだ時期尚早だ！私はまだ諸君の輪郭を掴んではいない！
Ｐ,輪郭とは
晶葉,傾向と対策を練ることはいかなる問題においても重要なのだ！
Ｐ,いや、だから、あんま難しいこと考えんでも君すごく可愛いんだから
晶葉,そういうことではなく！！！。今回の件は貴重なデータとして今後に活かすとしよう！次に会う時を楽しみにしているがいい！！
ちひろ,ジェットパックを装備したウサちゃんの群れが！？
晶葉,引き続き、君達の起こす奇妙な事件を楽しみに待っているぞ！ワハハ！！ワーハハハ！！！
美穂,…………行っちゃった
ライラ,お顔が赤かったでございますねー
Ｐ,こ、断られた……
周子,んお、お疲れさーん。どっかでご飯食べてたん？
蘭子,煩わしい太陽ね！
志希,ありゃ。なつかしー感じの匂いがするね～
P,……なんか昼飯食うってだけでどっと疲れましたね
ちひろ,ええまあ……
まゆ,げほっ、ごほっ、ぷっぷろでゅ、んﾞほっ、ごめんなざっ、まゆっ、おべんとうっ
美玲,あーもう、だから寝てろって言っただろ！無理すんなよなッ！
みく,なにやらさっき嫌な予感がしたのにゃ……。Pチャンなんか知らない？
幸子,なんですかなんですか、景気が悪いですねぇ！ボクのカワイさを補給して元気を取り戻したらどうですか！？
P,……あ、そうだ。みんな寿司好き？
周子,あ、そだそだ。プロデューサーさん……
Ｐ,ん？なんだ改まって
周子,いやいや、大したこっちゃないんだけど。ちょっと相談があってさ……
