こずえ,ぷろでゅーさー。ここー、こずえすわるー
奈緒,ええっ、や、やっぱりあたしもか……？
凛,え、奈緒はやめとく？
奈緒,……
凛,したら、私と加蓮だけでいいか
奈緒,いや、ちょっ……ま、待てよ
P,……なんか揉めてるな
加蓮,かもね。ほら、ふたり来るまでアタシを可愛がってよ～
P,だからそういう誤解される表現は……首に手を回すな
加蓮,えー、Pさんならちょっとぐらい触ってもいいと思ってるのになー？
P,う……あまりからかうんじゃない
加蓮,ふふっ。ほらー、ふたりとも早くしないと、アタシがPさんに襲われちゃうよー？
P,やめーっての
奈緒,ああもうわかったよっ！。じゃ、じゃああたしはこっちな……！
加蓮,あはっ、やっときた～。いいトコだったのに
奈緒,言ってろ……す、座るぞPさんっ
P,お、おう
奈緒,……
P,……
奈緒,……な、なんか言えよぉ
P,え、感想でも言えってのか
加蓮,言ってあげなよー、可哀想じゃん
P,っても……や、やわらかいな
奈緒,な……ばかばかっ、どこのこと言ってるんだよ！
加蓮,そりゃまぁ、アタシたちのお尻だよねー
P,ちょ、やめろ、腰動かすな！
奈緒,Pさんのヘンタイ……
P,俺悪いの！？
凛,さてと
加蓮,あ、凛もそろそろ座る？
凛,んー、それもいいけど、ちょっとこっちも気になっててさ
奈緒,こっち？
P,……え、お前、それ未央が……やめっ。ふぉぉぉぉ……！
加蓮,えーなにそれ、いいなー
奈緒,そんなこともしたのかよ……
P,未央ほどじゃない、未央ほどじゃないけど、こいつ……
凛,……
P,抱きつき方がねちっこい！顔も俺の耳の後ろにあたりに……
凛,ふー
P,わひゃっ
加蓮,あはっ、いい声でたねー。それ楽しそう
P,凛、こら、やめ……
加蓮,ふーっ
P,ぎっ、加蓮っ！
加蓮,あははっ
凛,……
奈緒,……どうしたんだ？
凛,いや、ちょっと
加蓮,？
奈緒,どこ見て……
凛,んー……
P,なんだ、どこみてんだよ
奈緒,凛の視線の先…………あっ
加蓮,えっ？……あっ
P,は？
奈緒,ちょちょっ、凛なに見ようとしてるんだよ！
凛,いや、でもね
加蓮,でもって、どゆこと？
凛,前、そうだったから……
奈緒,ニュージェネでこれやった時？
凛,うん
加蓮,えっ、女子高生三人に密着されて？Pさんが？
P,お前忘れようって言ったよなぁ！？
凛,忘れられるわけないでしょ！！
P,逆ギレ！？
凛,気になったの、だからプロデューサーには義務があるの！
P,お前の理論はおかしい！
加蓮,うふふふ、そっかぁ、Pさんはアタシたちに欲情しちゃうんだぁ♡
P,いや、少し誤解があるが、どうしたってだな……
加蓮,言い訳はいいよ。仕方ないんでしょ？
P,う……まぁ、そういうことだけど……
加蓮,そういうことかぁ。そういうこと聞いちゃったらぁ……やっぱアタシも気になるよねー？
凛,よし、加蓮、やっちゃおう
P,お、おまえらっ！ちょ、奈緒、こいつら止めろ！っていうか一回降りて！？
奈緒,えっ、そ、そこであたしに振るのかよ！
加蓮,ほらほら、奈緒もはやく
奈緒,あ、あたしぃ！？
凛,トライアドプリムスの結束は、奈緒にかかってるんだよ
奈緒,妙に重い責任乗せやがった！。っていうか、な、なんであたしが！
凛,３人がかりの方がプロデューサーも反応するかなって
奈緒,うぇっ、そ、そういうもんなのか！？
P,俺に聞かないで！？とりあえず開放して！？
加蓮,何だかんだPさんから降りてないからねー、やっぱり奈緒はこっち側だよ
凛,あー……でも、奈緒には無理だよね
加蓮,えー？あっ。そうだよねぇ、相手がPさんなんだもの……奥手すぎてちょっかいとか掛けられないもんねぇ
P,加蓮も凛も！これ以上は……！
加蓮,いーよ奈緒、アタシたちだけでPさん、反応させちゃうから
奈緒,ぐ……
凛,とりあえず耳舐めてみようか。あー……
P,ちょっ、こらバカやめろ！
奈緒,ぐぐ……あ……
凛,んー？
加蓮,奈緒、どうしたのー？
奈緒,あたしだってなぁ……！
P,ちょ、奈緒、落ち着けって！
奈緒,見てろよ、あたしだってーっ！
P,ひぐっ……！
加蓮,！？
凛,うわ、奈緒いまの……
奈緒,え、え、え？
加蓮,首筋から鎖骨にかけて、指一本でなぞるとか……えぐい事すんね……
P,ごめんなさい……
凛,あっ
加蓮,やった！
奈緒,えっ、いまので？嘘だろ！？
凛,指一本でプロデューサーを……
加蓮,あっははは、指一本でたたせた女、神谷奈緒。あははっ！
凛,加蓮笑いすぎ……っくく……
P,おまえらー！
加蓮,きゃーっ
P,はぁ、はぁ……
加蓮,あはは、無理矢理立ち上がられちゃった
奈緒,あたしと加蓮乗せて、凛まで背中にいたのにな……
凛,火事場の馬鹿力ってやつ？
P,願わくばこうなる前に引き出したかった……
凛,でもこの場合、火事なのは……
加蓮,えー？プロデューサーの理性かなー……んふっ
P,上手いこと言ったつもりになってんじゃねえ！
凛,ちょっと加蓮、自分で言って笑うのは……くく……
奈緒,んんっ、加蓮……ちょっと品が……ぶふっ
P,えぇ、奈緒まで……
凛,…………
P,凛はいつまで見てんだよ！
凛,ねえ、せっかくだからちょっと
P,ダメ！
凛,……何も言ってないのに……
P,その流れで出てくる言葉、何だろうとアウトだよ！！
奈緒,あ、あのー、Pさん……ご、ごめんな
P,お前もやすやすと挑発に乗りやがって
奈緒,うぅ……
P,あーもう、反省しているならいい。ほら、出てけ出てけ
加蓮,あーん
P,こんな洒落にならん事二度とするなよ
凛,えー、でも
加蓮,楽しかったっしょ？
P,気が気じゃなかったっての！
加蓮,一瞬の間を見逃さないアタシなのでした
P,加蓮！
加蓮,あははっ
奈緒,あっ、鍵かけ忘れてた
P,……
凛,プロデューサー
P,……あ？
凛,今度はふたりきりの時にお願い
P,絶対やらん！
高森藍子,おはようございます～
P,おはよう。藍子か……癒しだ。最近癒しじゃなくていやらしいだったもんなぁ……。いや、もちろん女の子に、それもアイドル級の……っていうかマジもんアイドルに群がられるなんて、天国なんだけど……。同時に地獄でもあるんだよな……
藍子,どうしたんです？
P,いや、なにも
藍子,難しいを顔をしてましたよ。何かお悩みでしたら……あ、でも私じゃ力になれることは少ないかもしれませんね。えへへ……
P,藍子……。そんなことない、その言葉だけで十分だよ
藍子,ふふっ。あっ、じゃあ、お茶淹れますね
P,ああ、すまない。ありがとう
藍子,いえいえ、私がしたくてしていることですから
未央,よっほー、プロデューサー、おはよー
P,おお。おはよう。……
未央,なにー？どしたの？
P,いや、なんも。ふぅ、未央は普通だな……
未央,あーちゃんと茜ちんはき・て・る・か・なー
P,ああ、藍子がもう来てさっき給湯室に
未央,なるほど
P,茜はまだだが……
日野茜,お、おはようございますッ！
P,ああ、噂をすれば。茜、おはよう
茜,はいっ、本日は、お、お日柄も良くっ！
P,え、あ、うん。そうだな？
藍子,あ、未央ちゃん、茜ちゃん、おはようございます
未央,おはよ、あーちゃん
茜,おはようですっ！
藍子,今日はいい天気ですよ、未央ちゃん
未央,だよね。んーっ、日差しが心地いいですなぁ
藍子,プロデューサーさん、お茶が入りましたので、いかがですか？
P,ああ、いただこうかな
藍子,では、デスクに置いておきますね。冷めないうちに
P,ああ、じゃあ早速
藍子,……
未央,……
茜,……
P,ふぅ……いい茶葉の蒸らし具合だ
藍子,ふふっ、ありがとうございます
P,ん？どうしたんだ茜、ドアの前から動かないで
茜,いえっ、なんでもございませんとくれば！
P,なんかおかしいな。なあ藍子、茜が……
藍子,……茜ちゃんが？
P,ほら、なんかちょっ……と……。……。まさかっ
藍子,茜ちゃん
茜,は、はいっ……！ぼ、ボンバーッ！
未央,よっ
P,なっ……！？。鍵もブラインドも閉められた！。あ、藍子……どうした、俺の肩に手なんか置いて……
藍子,全部、ぜーんぶ、未央ちゃんから聞きました
P,……なにを
藍子,なにを……ですか？それはもちろん。Pさんが一番よく分かっていますよね？
P,未央を窓際に誘導したのも……。デスクにお茶を置いて俺を座らせたのも……。この状況を作りだすため……！。こ、こいつ……
藍子,ふふっ、なんですかぁ？
P,……。馬鹿な……俺が、16歳の小娘に……。恐怖を感じている！？。あ、藍子、未央、茜、変なことをするんじゃない……
未央,変なこと？。プロデューサー……私、プロデューサーに変なコトしたかな
P,だってお前、この前の
未央,この前の？背中から抱きつくのが、変なことになるんだ
P,それは……
未央,私は普通に抱きついただけだったよ。……それでプロデューサーが……反応しちゃったのは、私のせいになるのかな？
P,……い、いや、全部が未央のせいなんてことはないけど……でも、お前が抱きつかなければ
未央,それに私、結局膝座ってない！
P,そこなの！？。くっ、未央が無理なら……。茜、鍵を開けるんだ。君はこんなことする子じゃないだろ！
藍子,ああ、無駄ですよ
P,なっ、無駄……？
藍子,茜ちゃん、私達の中で一番年上なんですよ。つまり……一番、そういうことに興味あって当然なんです
P,だが茜は！
藍子,茜ちゃんは純粋で、全くそう言うコトに興味なんかなくて……本当にそう思ってます？
P,なん……だと……？
未央,茜ちんだって女の子だもんね
P,それはそうだが……。あ、茜……？
茜,……プ……。プロデューサー！大変申し訳ありません！。ですが、私の胸のTAKAMARIがCLIMAX!!!!!なんです！。そのお膝、失礼いたします！
P,あっ、そのレベルなんだ
藍子,TAKAMORIもCLIMAXです！
P,おめーがいちばんこえーんだよ！！
未央,まぁまぁ、この前は結局膝に座れなかったんだしさ
P,そういやそうだったけどさ……まぁ、それくらいなら
未央,えへへっ。お邪魔しまーす。おー……ホントだ、しぶりんの言った通りあったかいね
P,ま、まあな。こっちも温かいよ
未央,未央ちゃんの胸だけじゃなく、お尻も堪能とはー、羨ましいプロデューサーめ
P,肘でつつくな……
未央,茜ちーん、反対側の膝空いてるよー
P,お、おい勝手に
未央,いいじゃんいいじゃん、早く終わらせた方がいいんでしょ
P,……まったく
未央,許可出たよー
茜,で、で、でわっ！失礼！します！。不肖、日野茜、座らせていただきますよーっ！
P,あ、ああ
茜,ぬおおおーっ！
P,……
茜,……
P,……顔真っ赤にして縮こまって……和むなこれ
未央,だねぇ。どう、茜ちん？
茜,……
未央,茜ちん？
茜,ハイッ、うまく言葉が出てきません！
未央,かわいい
P,かわいい。ほっ……単純に膝を楽しみたいだけか。よかった、俺の勘違いだった。俺のきらりんがレボリューションしちゃってるのを確認しようとするアイドルはいなかったんだ……
藍子,では私も失礼して
P,えっ
未央,よっ、あーちゃんやっちゃえー
P,あ、藍子？
藍子,あら、未央ちゃんは背中に抱きついたんですよね？
P,それは……未央が勝手に
藍子,じゃあ、私も勝手に抱きついちゃいます
P,え、ちょっ……。……だが……いまの俺は膝の上の茜でむしろ和みモード……！。そのうえ、未央でこそ反応したが、失礼ながら藍子、お前の攻撃力では……
藍子,えいっ
P,……。お……当たるものは当たるんだな……ブラの部分か
藍子,なにか、失礼なこと考えていませんか？
P,考えてませんよ？。それで、未央ちゃん。なんだいあーちゃん
藍子,聞くところによると、Pさんはこれで大変なことになったそうですね
P,は？
未央,そうなんだよねぇ。急に前かがみになるから何かと思ったら……
P,ちょちょちょ、未央っ、お前なに話してんの！？
藍子,全部聞いた……って言いましたよね、私
P,確かに言ったけど！
藍子,私たちだって……そう言うこと興味持っても、仕方ないですもん。ふふっ♡
P,くっ……やはり、感じた寒気は間違いじゃなかったのか……。だがな藍子、未央。お前たちの思い通りにはさせんぞ！
藍子,……分かってます。確かに私のボリュームでは未央ちゃんには一歩及びませんが……
P,えっ、あ、はい
藍子,それならそれで、私の武器を使うだけです！
P,藍子の武器……？
藍子,うふふっ。ね？Pさん？
P,！！
藍子,未央ちゃんには……みせたんですよね？
P,こ、これは……！。藍子の耳元ウィスパーボイス！。あ、あれは……
藍子,未央ちゃんからは、本当にぜーんぶ聞きました。聞いちゃったんですよ、私たち
P,ぐっ…………たち……？
藍子,……本当に、茜ちゃんが膝に座るだけでこんなに緊張すると思います……？
P,なっ……
茜,……ぼ。ぼんばぁー。たっくる、です
P,あっ、でもやっぱりちょっと和む！
未央,ほらほらプロデューサー、未央ちゃんのことも構いたまえー♡
P,や、やめっ……手を腰に回させるな！
未央,手ここじゃ嫌なんだ？どこに移動させちゃおうかなー
P,じわじわ上に移動させるんじゃない！
藍子,ふぅーっ♡
P,ぐあっ……！
藍子,ね？Pさん♡。ちょっとだけ、ほんのちょっとなんですよ？♡
P,耳に、僅かに当たる息が……！藍子の声が脳に響く……！
藍子,見せてくれればいいなぁって♡。Pさんの逞しい……×××××……♡
P,あっ
未央,おおー……
茜,これがっ……
藍子,あらぁ……
P,うう……節操無しめ……
未央,そんなことないよ、プロデューサー
藍子,そうですよ、私たちがそうさせたんですから。気にしないで下さい。ね？
茜,燃える闘魂！ち、力強いんですね、男の人って！
未央,んー、茜ちん、闘魂って言うよりはー
藍子,そうですね、だｎ
P,アイドルに言わせねえよ！？。くそ、くそっ、俺はなんて……
藍子,……
茜,……
未央,……プロデューサー
P,……なんだよ……
未央,はい、お詫び
P,は？。……なっ、ちょっ、なに触らせてんのお前！？
未央,えー、私のじゃ不満ですと？
P,やめっ、動かすな放せ……って力強いな！
茜,で、ではっ、未央ちゃんには及びませんが、私のを！
P,なんでそうなる！？。ぐおおおおっ！これ以上はいかーん！
未央,あーん
茜,引き剥がされてしまいました！
P,くそぉー……なかなかいいボリュームだった……。じゃなくて！さすがに度が過ぎるぞ！
藍子,でもぉ？嬉しかったですよね？
P,そ、それとこれとは別だ。俺は上司としての立場だけじゃなく、親御さんから君たちを預かるという責任も
未央,まぁ、気にしなくていいよ。私たちが無理矢理したんだし
P,軽い！俺いいこと言ってたよ！？
未央,じゃ、そろそろ行こっか
P,おい、まだ話は……！
藍子,Pさん、また遊んでくださいね
未央,じゃあね、プロデューサー。今度またお詫びするからさー
茜,今度は、私にトライを決めさせてくださいっ！
P,何気に一番の爆弾発言したね！？。……。いかん。このままじゃいかん。ズボンの上からとはいえ、既に7人もの女の子たちに見られてしまった……。人数が多いから大胆になるのか、やりたい放題。これはよろしくない。仕事上、全く会わないというのも無理な話……つまり。今後もこう言う機会……じゃない、危機が訪れる可能性が十分高いということだ。避けられないというのであれば……俺が反応しないという、断固たる意志が必要になる。事務モード。そう、全ては仕事。構うものか……アイドルに手を出すなんてことをするくらいなら……。EDとなることも恐れない！さあ来いアイドル達よ！
卯月,おはようございまーす
卯月美穂響子,ピンクチェックスクール、はいりまーす！
P,…………。無理かも
五十嵐響子,おはようございます、プロデューサーさん
P,おはよう、卯月、美穂、響子。……とはいえそもそもこの純情可憐なピンチェの3人が。そこはかとなく一番えっちな気はするけど、まさかそんなことはな
卯月,どうかしましたか？
P,いや、なにも。誰も鍵は掛けていなかった。いや、そうだよ。鍵だって中から開けられるんだから、焦ることは無い。危険な空気になったら逃げればいいだけなんだ
小日向美穂,おはようございます。早速なんですけど
卯月,プロデューサーさんのおひざ
響子,のせてくーださいっ♡
P,空気とかじゃなくて直に来た！
美穂,空気……？
P,いや、なんでもない……卯月、なんでこの二人が知ってるんだ
卯月,私が話したからです！
P,いいドヤ顔です！。忘れようって言ったよね！？
卯月,言いました！
P,何で話したの？
卯月,忘れられなかったからです！
P,屈託のない笑顔！。いかん、心が折れそうだ……。だが、負けるなP！そうだ、俺はプロデューサー！。年頃の思春期乙女たちだろうが、毅然と立ち向かうんだ！。いいか、君たち。男の膝になど、軽々しく乗ってはいけない。こう言うことは良くないんだよ
卯月,軽々しくじゃないので大丈夫です！
美穂,私たち、ちゃんと相談して決めました！
響子,Pさんにしか頼みません！
P,んんんん、団結力ゥー！。弱気になるな俺！抑えられないならそもそも退避すればいいだけのこと。我に秘策あり！。とにかくそう言うことはダメになったから。じゃあ俺は営業に出るので、失礼するよ
美穂,えー？
響子,またまたぁ
卯月,営業だなんてぇ
P,！？。いや本当、仕事だから……
卯月,鞄も持たずにですか？
P,……車に資料は置いてあったかな
響子,スマホもデスクの上ですよ？
P,おおっと、いかん。ありがとうな
美穂,Pさんの予定、全部ちひろさんに聞いちゃってるんですけどね
P,千川ァ！
卯月,まぁまぁ、Pさん、座ってください
P,い、いや、キミたちね
響子,座ってくれないと、こうですよ
P,う、腕に抱きつかれてもな
響子,ほら美穂ちゃん
美穂,うんっ。え、えいっ
P,両側から……ぐ、い、いや……
響子,卯月ちゃん！
卯月,はーい
P,何で君らそんな手際いいの！。逃走、失敗。説得、失敗……だが……
響子美穂,ではお席へご案なーい♡
P,まだ手はある！そう、これは仕事！心を無にする仕事なんだ！。……って、あれ、ソファ？
響子,事務所の椅子じゃ固そうじゃないですか
美穂,Pさんが痛そうなのは可哀想ですもん
P,……響子、美穂……。その気遣いできるならなんでコレ自体を止めようとしなかったの？
美穂,えへへ
響子,うふふ
P,笑ってごまかしおったよこの子ら。だがこれなら……背中からもにゅんもにゅんを押し当てられることは無いということだ！。それなら膝の上に乗せるくらいなんとも……
卯月,じゃあ、左は響子ちゃん
響子,はい
卯月,右は美穂ちゃん
美穂,う、うんっ
P,……ん、背中がダメなら……？
響子,そして卯月ちゃんは
卯月,正面からっ
P,！？
卯月美穂響子,ピンクチェックスクール、お邪魔しまーす♡
P,ちょっ、まっ……！。おおおおおおおおおお！。べったりと！卯月が俺の胸に顔を寄せて完全にハグ！。美穂が膝に乗るのは控えめに……そのくせ首に手を回して、俺の肩に頭乗せるとかもうさぁ！。響子は完全に俺の膝に跨って、背中預けてくるし！ああああどこ向いてもいい匂い！
卯月,ふふっ……
美穂,えへへ……
響子,うふふ……
P,危険信号が、警報が脳内で響きまくっている！ま、負けるものか！。思い出せ、これまであった数々のアイドルとの戦いを！戦いが終わった後の虚しさを！煩悶たる思いと罪悪感を！。もうあんな思いをするわけにはいかない！。アイドル達にからかわれ無様にそそり立つペンライトなど持ち込み禁止だ！。断固たる意志の元、宇宙の彼方へと葬り去るのだ！。そう俺の意識はいま！宇宙と一つになる！
卯月,……
美穂,……？
響子,Pさん？
卯月,プロデューサーさーん？
P,なんだい？
卯月,……
美穂,……
響子,……
P,ははは、くすぐったいな
卯月,……これは……
響子,ええ、分かります、卯月ちゃん。美穂ちゃんも？
