※,このすば
アクア,もちろん。募集を貼り出すのよ！。来ないわね
カズマ,来ないな。ってか、お前、どんな募集要項にして、どんな貼り紙にしたんだよ？。………………真ん中の麗しき美女って？
アクア,もちろん、私の事よ♪見ても分かるでしょうけど、私は女神としての抜群なプロポーションには自信があるのよ
カズマ,残念な美人だけどな…。
？？？,メンバーの募集を見て来ましたが、ここでよろしかったでしょうか？
カズマ,？
アクア,まさかの来た？
めぐみん,我が名はめぐみん。紅魔族の人間だ
カズマ,めぐみんって、ふざけているのか？
めぐみん,ち、ちがわい！
アクア,カズマ、紅魔族は優秀な魔法使いの種族よ。特に名前とかのネーミングセンスがアレなのも種族の特徴よ
カズマ,理解したよ
めぐみん,無論、私は強い。必ず、貴方たちの役に立ちましょう
アクア,ちなみに貴方、悪魔の実の能力者？
めぐみん,よくぞ聞いてくれました。私は、レツレツの実の能力者
カズマ,ば、爆裂？
アクア,おぉ～、何だか凄そうね
めぐみん,何だか凄そうではなく、結構凄いのですよ。見せてあげましょう
アクア,じゃあ、さっそくクエストね
カズマ,仲間が来たとはいえ、急だな！
アクア,カズマ、クエスト内容はジャイアント・トード3匹の討伐よ。
ジャイアント・トード,
カズマ,うおっ、でっけぇカエルだな！？
めぐみん,何を驚いているんですか？ジャイアント・トードはこんなもんですよ
アクア,あぁ、私とカズマ、遠い別の場所からここに来たばかりなのよ
めぐみん,成る程、そうでしたか
ジャイアント・トード,
カズマ,って、話してる間にこっちに迫って来たぞ！？
めぐみん,見てて下さい。これがレツレツの実の力です
カズマ,え、腕が光ってるぞ？
めぐみん,喰らえ、エクスプロージョン！！！
カズマ,なっ！？
ジャイアント・トード,
アクア,凄いわ。ジャイアント・トードを一撃で！！
めぐみん,見ましたか。私は腕にエネルギーを集約させ、エクスプロージョンの言葉と共に手を敵に向けることでその敵に爆裂技を放つ事が出来るんです
カズマ,それがレツレツの実、爆裂人間って訳か
めぐみん,はい。ただ、爆裂なのでエクスプロージョンしか使えません。言うなれば、爆裂を応用した他の技を持たないのが欠点ですが…。
アクア,それでもあの爆裂は使えるわ。めぐみん、貴方メンバー入り決定よ
めぐみん,ありがとうございます
ジャイアント・トード,
カズマ,わぁ、更に2匹来たぞ！？
アクア,討伐達成まで、後2匹だから、こいつらを討伐すればクエスト達成よ
めぐみん,では、その2匹も私が引き受けるとしましょう
カズマ,出来るのか？
めぐみん,出来ますよ。先ほどの、良く見ましたよね？
アクア,カズマ、ここはめぐみんに任せておきましょうよ
カズマ,分かった。気を付けろよ
めぐみん,心配はありませんよ
ジャイアント・トード,
カズマ,うぉっ、そう言ってる間に食われそうだぞ！？
めぐみん,ですから、心配はないと言っているじゃないですか。この程度は………。簡単に避けれますよ
カズマ,っ！！？
ジャイアント・トード,
めぐみん,次はもう片方からですか。
カズマ,えっ！？
ジャイアント・トード,
めぐみん,今度は自慢の長い下で捕食する気ですか？ですが…
ジャイアント・トード,
めぐみん,そのようなものは私に通じませんよ
カズマ,なん、だと！？
めぐみん,面倒ですので、2匹まとめて……エクスプロージョン！！
カズマ,今度は2匹同時に！？
アクア,なーるほど。強いと言う事だけは確かにあるわね。それにアレ
カズマ,アレ？
アクア,めぐみん、私はアクア、こう見ても女神よ。よろしく
めぐみん,はい。ですが、女神というのは？
カズマ,と、思い込んでるから、気にしない方がいいぞ
めぐみん,可哀想に
アクア,なんですよおおぉぉーーー、私は本物の女神なのに！？
カズマ,ひとまず、こいつは置いといて。俺はカズマだ。よろしくな、めぐみん
めぐみん,はい。よろしくお願いします
カズマ,で、俺から一つ気になる事を聞くが、なんでめぐみんは俺達の仲間に入ろうとしたんだ？めぐみんのあの実力なら他の所にでも入れそうなのに？
めぐみん,能力の関係上技がエクスプロージョンしか使えない事を理由に他の所では門前払いをされまして、何でもそこはもっとたくさんの技が使えるような仲間を探してたそうで…。仕方なく自分に合う場所を探し続け、ようやく受け入れて貰えそうな所が……
カズマ,俺達の仲間という訳か
めぐみん,はい。予想通り、何も言わずにメンバー入りをOKして貰えました。本当に感謝します
アクア,当然よ。例え技が一つしか使えなくても、あの威力ある技はかなりの戦力になるし、それにうちは細かい所まで問わないからね
カズマ,けど、ジャイアント・トードを二匹同時に倒す所もまた見事だったな
めぐみん,私は片手だけでなく、両手を敵に向けることで同時にエクスプロージョンを放てるのですよ
カズマ,あ、そういや、お前ジャイアント・トードの攻撃を軽々と、それも長い舌で捕食することも分かっていたかのように避けてたけど、あれも何かの能力なのか？
めぐみん,えっ、カズマ、本気で聞いてるのですか？
カズマ,えっ？
アクア,あぁ、カズマは来たばかりで、アレを知らないのよ。許して
めぐみん,ですが、この周辺以外の遠い所でも、いえこの世界に住んでる人なら誰でも知っているはずですよ……………覇気
カズマ,は、覇気？？
めぐみん,覇気は覇気ですよ！えっ、本当に知らないのですか？
カズマ,あ、あぁ。俺ｈ？？？ねぇ、ちょっといいかな？
カズマ・アクア・めぐみん,えっ？
クリス,あぁ、急に声を掛けてごめんね。あたしはクリス、しがない義賊だよ
カズマ,義賊？何の用ですか？
クリス,実はあたしの友人が君達の仲間になりたいって言ってるんだけど、ただ本人は今、訳あっていないから代わりにあたしが話をしに来たって訳だよ
アクア,えっ、また私達の仲間になりたいって人が！？
めぐみん,ですが、本人が来ないと意味ないのでは？
クリス,分かってはいるよ。けど、先に紹介だけしておいてくれって本人に頼まれてるもんで、止むを得ずにあたしが引き受けたから
カズマ,大変だな、そりゃあ
クリス,で、名前はダクネス。根は真面目で、悪くはないんだけど、ただちょっとね…。
アクア,なに、ただちょっとって言われると気になるんですけど？
クリス,まぁ、それは本人と会ってからおいおい知るといいよ
めぐみん,その方は能力者ですか？
クリス,うん、もちろん
カズマ,何の能力なんだ？
クリス,それも本人から口から伝える事になっているんだ。あたしはただ、名前と性格だけを簡単に伝えてくれと頼まれただけだからさ
アクア,でも、どんな人か、楽しみね。強力な戦力がまた一人増えるし
めぐみん,名前からして男か、女か、分かりませんね
クリス,言い忘れたけど、ダクネスは女だよ
カズマ,ほんとか！？だとすると男は俺一人になる訳か！！
アクア,いいじゃないの。強力なメンバーが入るのなら、性別なんて関係ないわよ
カズマ,それと、クリスと言ったか？義賊って言うけど、それっぽくないし、本当に義賊なのか？
クリス,し、失礼だね、君は！？あたしは正真正銘の義賊だよ。女だからって舐めないでもらいたいね
カズマ,ふぅ～ん
クリス,その目は信じていないようだね…。いいよ、だったらこれを見たら信じてくれるかな？
カズマ,あぁ、俺の財布！？
めぐみん,えっ、あれカズマのですか？
アクア,えぇーー、いつの間にカズマから！？
クリス,これで信じてくれるよね？
カズマ,わ、分かった、信じるから！？返してくれ！
めぐみん,凄いです！一体、いつの間に財布を盗ったんですか？
カズマ,いや、さっきクリスは何もしてなかったよな？それなのに、俺から財布を盗むなんて…
アクア,早業にも程があるでしょ、いくら義賊だって？
クリス,ははは。種明かしをするとね……今のは能力のおかげなんだよ
アクア,能力、という事はあなたも？
クリス,そう。あたしも悪魔の実の能力者だよ。あたしは、スリスリの実の能力者
アクア,掠め取るって、モンスターの討伐や敵との戦いには向いてないわね
クリス,だから、義賊をしてるんだよ。悪い事をしている連中から掠め取った金品を貧しい人に分け与える、それだけしか出来ないと思ってね
めぐみん,貧しい人々に対する正義の味方、というのは非常にカッコいいです…紅魔族の琴線に触れましたよ
クリス,ははは、ありがとう
カズマ,ひとまず、見た目で判断して本当に義賊だと疑った事に関しては謝るよ。ごめんな
クリス,分かってくれたのなら、いいよ
？？？,なんだ、私が来る前から随分と楽しそうに話しているな
クリス,あ、ダクネス
カズマ・アクア・めぐみん,ダクネス？
ダクネス,先に紹介だけは伝えてくれたみたいだな。
クリス,もちろんだよ。あ、じゃあ、あたし、ちょっと用があるから後は頑張って
ダクネス,うむ。ありがとうな、クリス
クリス,あ、君たちもまたね。それとダクネスの事、頼んだよ
めぐみん,行っちゃいましたね…
ダクネス,クリスから紹介は伝わったと思うけど、改めて自己紹介をしようか。私はダクネスだ。
アクア,初めましてね、私はアクアよ
めぐみん,我が名はめぐみん、紅魔族だ
カズマ,俺はカズマだ
ダクネス,あぁ、よろしく頼む
アクア,そういえば、クリスって子からダクネスは悪魔の実の能力者って聞いたけど、何の能力なのよ？
ダクネス,あぁ。私はテツテツの実の能力者。文字通り体を鉄のように硬くすることが出来る。主に盾のような防御が基本だ
カズマ,それだけか？例えば、鉄のような硬さを応用して殴るとか、攻撃手段には使わないのか？
ダクネス,まぁ、たまにそういった攻撃も行う。だが、私はあくまで盾として防御に徹したい！
めぐみん,なぜそこまで盾になりたいと思うのですか？
ダクネス,決まっている………。攻撃を受けて受けて受けまくりたいからだ、攻撃を受けた時の痛みを、感覚を目一杯味わいたいからだっ///
カズマ・アクア・めぐみん,…………………
ダクネス,そ、そんな冷めたような目で見られたら……あぁ………視線が突き刺さってたまらん??
アクア,あ、あのさ……？
ダクネス,むっ、なんだ？
アクア,私、ダクネスの能力がどれくらい凄いか、この目で見ておきたいんだけど？
ダクネス,いいだろう。ここでは無理だから、街の外に移動しようじゃないか
めぐみん,あ、あの、私も爆裂技でダクネスの凄さを見てみたいのですが？
ダクネス,あぁ、構わない。むしろ大歓迎、どんと来いだ！！/////
カズマ,この変態、マジでワクワクしてんなぁ…。
ダクネス,鉄板！！。さぁ、能力で私の体は硬くなったぞ。まずは誰から来る？
めぐみん,では、私から。エクスプロージョン！！！
カズマ,おー、相変わらず凄い威力だな
ダクネス,あ……あぁ………たまらーーーん！！！///
めぐみん,えっ？！
ダクネス,中々良い爆裂技だったぞ、めぐみん。だが、その程度では私の鉄の硬さにはまだ敵わないな
めぐみん,我が爆裂技でも効かないとは……。まだまだ、鍛錬が必要という事ですか
アクア,次は私ね
ダクネス,アクアか。いいだろう、さぁ私に全身全霊をぶつけてみろ！
めぐみん,そういえば、まだアクアの能力を聞いた事も見た事もありませんね…
カズマ,見てろ、アクアの能力を
アクア,私はミズミズの実の能力者の水人間。これを食らいなさい！。クリエイト・ウォーター！！！
ダクネス,ほぉー、水の光線か。これは……
めぐみん,これがアクアの能力ですか。まさにアクアらしい能力と技ですね
アクア,どうよ？激流のような凄まじい威力を再現した、クリエイト・ウォーターは？
ダクネス,はぁはぁっ/////鉄の硬さとなった私の体を後退させた、その威力認めよう///。だが、これならどうだ？。武装、硬化！！！
カズマ,っ！？
アクア,ダクネスの体が黒く硬化した……あれって、まさかっ！？
めぐみん,ダクネスは武装
カズマ,武装？
ダクネス,さぁ、これがテツテツの能力に加えて武装色を纏った、私の鉄壁の防御だ。先ほどみたいに私の体を後退させられるかな？
アクア,なによ。私だって能力者よ、いくら覇気でも打ち破ってやるわよ
カズマ,また、覇気か…。気になったが、めぐみんが使った避ける力、そして黒く硬くなったというダクネスのアレ……あれが覇気ってヤツか？
アクア,最大威力のクリエイト・ウォーター！！！
めぐみん,おぉー、先みた時よりも威力が増してますね
アクア,はぁはぁ、どうかしら？
ダクネス,たまらなあああああああぁぁぁーーーーーーーーーーーーーーいっ//////
アクア,っ！？
ダクネス,鉄壁は破れなかったようだが、私の心は見事に打ち破られたぞっ/////。特にその身に最大威力の攻撃を受けた瞬間に体に今までにない衝撃が走り、その衝撃が私の心を打ち破り、最高だと感動させた！。アクア、ナイスだ！今までにない最高の攻撃だったぞ！！
アクア,う、うん。褒めてるのは分かってるけど、何だか嬉しく感じないわ
ダクネス,で、最後は……
カズマ,えっ？
ダクネス,えっ、ではないぞ！最後と言ったらお前しか居ないだろ、カズマ
カズマ,い、いや、俺はそういうのはいいよ…
ダクネス,なんだ、情けないぞ？男なら、私の鉄壁の防御を打ち破るくらいの勢いで立ち向かって来い！！
アクア,プークスクスｗｗヒキニートのカズマなんかにそんな度胸があるとは思えないわよ
めぐみん,カズマ、やるだけやってみてはどうですか？
カズマ,………はぁー、分かったよ
ダクネス,さぁ、私に攻撃を当てて、私の体を後退させられるかな？
カズマ,……………
ダクネス,カズマ、どうした？返事がないぞ？
アクア,もしかして、怖くて声も出ないのかしらｗｗ
めぐみん,そういえば、カズマの能力もまだ見た事や聞いた事がありませんね？
アクア,あぁ。私はそれらしいのを見たけど、はっきり言って分からないのよねぇ……。
めぐみん,えっ、それは一体どういう事ですか？
カズマ,自分が授かった能力も分からねえのに、無鉄砲に突っ込んでいくのも面倒だ！。せめてダクネスの絶壁の防御を崩す程の力が一瞬でも出ればなぁ…………んっ？
ダクネス,どうした、さっさと来ないか？
カズマ,………………
めぐみん,一体、なにをしｔ
カズマ,……………
ダクネス,おっ？
アクア,なに？短剣なんか構えてまさか本当に？
ダクネス,その意気だ。さぁ、武器ありでいいぞ……そのまま突っ込んでこい！！
カズマ,うおおおおぉぉぉぉぉぉぉーーーーーーーーーーーーっ！！！！！。おおおおおーーーーーーっ！！！
ダクネス,うわああぁーーーっ！！！？
アクア・めぐみん,っ！！？
ダクネス,…………な、なんだとっ！？
アクア,えええぇぇーーー、私の最大威力のクリエイト・ウォーターでも打ち破れなかったダクネスの絶壁の防御をカズマが、打ち破ったぁ！？
めぐみん,それも防御以上に強い力で押してませんでしたか？！
カズマ,やった………しゃあ、やったぞ！！
ダクネス,し、信じられない！？私のテツテツの力と武装色でかなり硬くした防御を打ち崩すなど、カズマが初めてだぞ！？
アクア,あんた、まさか、あの時やあの時みたいに考えなかった？
めぐみん,あの時？
カズマ,あぁ。ダクネスに立ち向かう前に、絶壁の防御を崩す程の力が一瞬でも出ればって考えたな
アクア,やっぱり！！
ダクネス,なにがやっぱりだ？
めぐみん,アクア、カズマに言ったあの時とは一体？
アクア,説明するわ。実は………
めぐみん,えええぇーーー、カズマは空を飛んだり、壁を走って駆け上がってたりしていたんですか？！
ダクネス,それもカズマはいずれも考えたら実際に出来るようになった……。まさか、それがカズマが使える悪魔の実の能力じゃないのか？
めぐみん,そ、それってつもりは……
