艦これより、川内型軽巡洋艦一番艦、川内のSSです。コンセプトは,川内さんは正統派美少女可愛い
川内,……提督……。んっ……。っはぁ……
提督,……ふぅ
川内,あうぅ……
提督,どした？
川内,……
提督,？
川内,…………
提督,んむ……
川内,ん……んん～っ。っぷは、っはー……
提督,ぷは……川内……？
川内,……熱い、の。体が……提督
提督,ﾄﾞｷｯ
川内,……ねぇ、提督……私、と夜戦……しよ…？
提督,せ、川内！？そ、そそそれは……！
川内,……解ってる、よ。私だって……何、言ってるか。……ね？夜戦、しよ……？
提督,…ｺﾞｸﾘ
川内,さあ皆、今日も張り切って行くよ～！
吹雪,…川内さん、最近調子良いよね
白雪,それに、綺麗になった気がします
初雪,……男の気配
深雪,えぇ、あの川内さんが？まっさか～
磯波,うぅん……どうなんでしょう
川内,ほらほら、お喋りしてないで
吹雪,あれ？。川内さん、マフラーに付けてるそのブローチ……前からありましたっけ？
川内,ん？……ああ、これね。…………ちょっとね
初雪,……怪しい
深雪,え、マジで男からなの？相手は、まさか司令官！？
白雪,ち、ちょっと二人とも！
川内,さあ、どうかな～
初雪,女の余裕……
磯波,はわぁ……
川内,ま、一つだけ言えるのは……
五人,ｼﾞｯ
川内,私は別に……夜戦だけが好きなわけじゃない、ってことかな
吹雪,そ、それってつまり……？
川内,……これ以上は言えないな～
初雪,認めたも同然……
深雪,こいつは大ニュースだぜ！
五人,ｷｬｱｷｬｱ
川内,可愛い反応だなぁ……。……い、いや待てよ。というか、浮かれてちょっと口を滑らせすぎたような……？
