和泉マサムネ,おーい紗霧、いい加減部屋から出てこいよ！
マサムネ,えっと、妹です
紗霧,………
ココア,変なお面つけて顔隠してる！？
紗霧,変なお面って！これはメルルのお面！
チノ,とりあえずこちらへどうぞ
紗霧,ッ！？
チノ,？
紗霧,…………
チノ,あの、お客様……？
ココア,仮面越しからでも視線を感じる！？
チノ,あの、ご注文は？
マサムネ,えっと、コーヒーを二つで。あっ、こっちの子には砂糖とミルク多めで
紗霧,別に砂糖とミルクいらない！
マサムネ,お前、コーヒーをブラックで飲めるのか？
ココア,わかった！お兄ちゃんの前だから大人っぽいところ見せたくて見栄張ってるんでしょ？
紗霧,ち、ちがっ………うう！！
マサムネ,あ、紗霧……
紗霧,うぅ……
チノ,ココアさん、お客さん相手に何やってるんですか？
ココア,ごめんごめん、からかってたらつい
チノ,とりあえずこちらのお席へどうぞ
ココア,おのお面の女の子もチノちゃんのこと好きなのかもっ！
チノ,まったく、また変なこと言わないでさっさとコーヒー持ってってくださいよ
ココア,はーい。お待たせしました。コーヒー二つです
マサムネ,ども
紗霧,…………うう
マサムネ,どうしたんだ紗霧？
紗霧,トイレ行きたい？
ココア,トイレなら奥にあるよ
紗霧,うぅーー、トイレトイレ！。あれ、奥の方って言ったけどどこだろう。この部屋かな？
チノ,うわっ！？何してるんですかお客さん、ここは更衣室です
紗霧,うわぁーーー！！
チノ,あの、お客さん？
紗霧,可愛い縞パンっ！
チノ,うわぁ！？
紗霧,ぐへへっ、おっぱい小さいけど兄さんが言ってたモデルになってくれる子ってきっとこの子なんだ～
チノ,や、やめてください！お尻に顔をうずめてパンツをクンカクンカしないでください///
ココア,チノちゃん、コーヒー追加だってさ
チノ,ココアさん、助けてください！
紗霧,クンカクンカ
ココア,わわっ、二人して何してるの！？。わかった、カタツムリごっこだね！よし、わたしも……えいっ！
紗霧,ひゃうっ！？
ココア,ﾊｧﾊｧ……なかなか良い匂いがするね
紗霧,やめて……おパンツクンカクンカしないでぇ～///
千夜,ココアちゃん、遊びに来たわよ
チノ,た、助けてぇ～///
紗霧,離してぇ～//
ココア,クンカクンカ
千夜,まあっ！？ココアちゃんが女の子を四つん這いにして後ろからパンツの匂いを嗅いでいるわ！。新しい遊びかしら？よし、わたしも！
ココア,アァンッ！？
千夜,ココアちゃんのパンツ、甘くて良い匂いがするわ
ココア,千夜ちゃん、くすぐったいよぉ～///
シャロ,ココア、この間借りてた本を返しにきたわよ
チノ,た、助けてぇ～///
紗霧,離してぇ～//
ココア,くすぐったいよぉ～///
千夜,クンカクンカ
シャロ,マァッ！？あんたたち一体何してるのよ！？
千夜,シャロちゃん！？ち、違うのよ！これはココアちゃんたちが楽しそうだからつい……
シャロ,わ、わたしも混ぜなさいよぉーー！！
千夜,ひゃっ！？
シャロ,あ、あんたのパンツって抹茶の匂いがするわね
千夜,シャロちゃん、変なこと言わないでぇ～///
リゼ,おーい、今日はお客として遊びに来たぞ！
チノ,た、助けてぇ～///
紗霧,離してぇ～//
ココア,くすぐったいよぉ～///
千夜,変なこと言わないでぇ～///
シャロ,クンカクンカ
リゼ,なっ、何してるんだみんなしてぇーーー！？
シャロ,リゼ先輩！？ち、違うんですぅーー！！
リゼ,わ、わたしを仲間はずれにするな！！
シャロ,ウヒャッ！？
リゼ,シャロのパンツ、ハーブの香りがするぞ
シャロ,んん……、リゼ先輩がわたしのパンツを///
チノ,リ、リゼさん……助けてっ！
リゼ,あっ、こらチノ、わたしのお尻に迫るなぁ～///
マサムネ,ふう、コーヒー飲み過ぎたらトイレに行きたくなったな。トイレはどこだろう、この部屋かな？
チノ,た、助けてぇ～///
紗霧,離してぇ～//
ココア,くすぐったいよぉ～///
千夜,変なこと言わないでぇ～///
シャロ,リゼ先輩がわたしのパンツを///
リゼ,わたしのお尻に迫るなぁ～///
マサムネ,な、なんじゃこりゃーーーーーーーーッ！！？
