千川ちひろ,ほうほう、なぜでしょう
メアリー,あ、バカにしてるワネ！？体には自信があるんだから！
Ｐ,そうか、そうか。はっはっは
メアリー,もう、レディーを子供扱いなんて、失礼しちゃうワ
Ｐ,将来に期待しよう
メアリー,ダーリンと一緒に取ると、とってもキレイに写るから、素敵ネ！
Ｐ,こら、ダーリンはやめなさい
ちひろ,……本当、グラビアと口説きは一級品ですね
Ｐ,いい写真を見たければ、被写体とのコミュニケーションも大事ですから
メアリー,なら、アタシともっと仲良くなりましょ、ダーリン？
Ｐ,もっと大きくなってからなー
ちひろ,どこがです？
Ｐ,胸
ちひろ,通報
Ｐ,じょ、ジョークですよ！
榊原里美,ラジオの収録に行かないと～
浅野風香,クイーンっぽい台詞……えっと
赤西瑛梨華,あ、いい一発ギャグ思いついた！
Ｐ,ちひろさん
ちひろ,なんですか
Ｐ,あの子たちのプロデュースは
ちひろ,あの子たちは、キュートですから
Ｐ,でも
ちひろ,キュートですから
Ｐ,そっかー、キュートかー……
藍子,――あれ、プロデューサーだ。休みの日に見かけるのは、初めてだなぁ。声、かけようかな……もうちょっと、様子を見てからにしよう
Ｐ,ぐへへ、揉んじゃうぞー！。助けを呼んでも、誰もこないぜ！
藍子,……見てて、いいのかな？
片桐早苗,待ちなさい、そこの悪漢！
Ｐ,なに、警察がいたのか！
早苗,乙女の胸部を揉もうなんて、不届きな奴。こうしてやるわ！
Ｐ,へ、ヘッドロック！？ぐわぁああああ
早苗,というわけで、今は私みたいな、お巡りさんがいたから助かったけど
Ｐ,やられましたー
早苗,知らない人に着いて行ってはダメ、分かったかなー？。よーし、じゃあ、保育園に帰りましょー
藍子,な、なんだったんだろう？。あの、プロデューサー。この前のオフなんですけど、なにをしてたんですか
Ｐ,恥ずかしいところを見られたな……よく参加する、ボランティアの一環なんだ
藍子,そうだったんですか。良い心掛けですね！
Ｐ,わかってくれるか！早苗さんにヘッドロックされると、良い気持ちになるよ
藍子,はい？
Ｐ,ん？
ちひろ,藍子ちゃん、その人アホだから
Ｐ,そろそろ、担当アイドルが増えてもいい頃じゃ？
ちひろ,諦めないですね……いっそ、前に話してた、早苗さんをスカウトしたらどうですか
Ｐ,早苗さんには、視線が露骨だから嫌、と言われまして
ちひろ,もうしてたんですか……残念なことに、候補生がいますよ
Ｐ,残念て
ちひろ,ちょうど事務所に来てますから、会ってきてください
Ｐ,プロフィールは？
ちひろ,見せません。楽しみにしてください
Ｐ,まあ、いいですけど。行ってきますね
ちひろ,……はぁ、プロデューサーさん、大丈夫かしら
Ｐ,正直、もうそんなに期待もないな。この部屋か。おはようございまーす……
及川雫,おはようございますー
Ｐ,君をプロデュースするために生まれてきたんだ。よろしく！
雫,わ、嬉しいですねー！よろしくお願いします
Ｐ,ああ、君をきっと、トップアイドルにしてみせる！
雫,頼もしいですー。その、私の実家が牧場をやってて、経営が苦しくて
Ｐ,それでアイドルになろうと？大丈夫、牧場の一つや二つ、立て直せるさ
雫,本当ですか！また牛さんといれるんですねー
Ｐ,ああ、牛……うん、君にピッタリだ！
雫,えへへ、嬉しいです
Ｐ,うむ、ピッタリだ！
ちひろ,……な、なにをしたんですか、あなた！？
メアリー,さすがはダーリンネ……
藍子,雫さん、もう私たちと同じくらいの仕事が……
Ｐ,雫のポテンシャルと、俺のグラビア技術が合わされば、こんなもんですよ！
雫,牛さんの衣装が、ファンのみなさんに好評みたいで、嬉しいですー
Ｐ,ふっふっふ、次は王道の水着だ。頑張ろうな、雫！
雫,はい。ファンのみんなに、元気を分けちゃいますよー！
Ｐ,ああ、俺も元気になるぜ
ちひろ,通報
Ｐ,今のはいいでしょ！？。行くぞ、雫！
雫,はいー
藍子,……いいなぁ
ちひろ,藍子ちゃん
藍子,あ、ちひろさん。なんでしょうか
ちひろ,これ、雫ちゃんからもらった牛乳よ。あげるわ
藍子,いや、あの、そうじゃなくて……でも、あながち間違いじゃないような
ちひろ,プロデューサーさんが好き！？
藍子,お、大きな声で言わないでくださいー！
ちひろ,ごめんなさい。でも、どうしてあんなスケベを
藍子,その、確かにプロデューサーは、ちょっとえっちですけど……。私を撮るとき、すごく一生懸命に、指示してくれるんです。それを見てるうちに、なんだか、格好良く見えてしまって
ちひろ,錯覚よ
藍子,そうかもしれないですけど……。立場上、応援はできない、か……そうだよね。はぁ、また、プロデューサーがいたりしないかな……
Ｐ,俺がどうしたって？
藍子,わ、わ！プロデューサー！？
Ｐ,ああ、プロデューサーだ。奇遇だな
藍子,えっと、あっと
Ｐ,落ち着け、落ち着け
藍子,は、はい……プロデューサーが格好いいのは、錯覚！
Ｐ,え、なにそれ？呪い？。藍子と散歩できるとは、良いオフになりそうだなぁ
藍子,そ、そうですね
Ｐ,ううむ、なんか気まずいな。藍子がいつもより、堅い気がする。どこが、とかじゃなく
藍子,あの、プロデューサー
Ｐ,ああ、なんだ？
藍子,私がプロデューサーと出会ってから、そこそこ経ちますね
Ｐ,そうだな。アイドルの中では、一番長いもんな
藍子,初めて会ったとき、チェンジって言われて、少し傷つきました
Ｐ,すまん
藍子,その、私はあんまりスタイルがよくなかったから……
Ｐ,いや、本当にすまん。あの時は、ついというか、なんというか
藍子,ち、違うんです！責めるとかじゃなくて。そんな私を、綺麗に写すために、一生懸命になってくれて、嬉しかったんです
Ｐ,そうか。まあ、俺はそれくらいしか、できないからな
藍子,そんなことは……ないです！
Ｐ,うん、その間で、理解した
藍子,でも、わ、私はそんなプロデューサーが。――大好きです！
Ｐ,……俺も、藍子が好きだよ
藍子,ごめんなさい。迷惑ですよね……
Ｐ,いや、ウェルカム
藍子,もっと、雫ちゃんみたいな子のほうが、いいですよね
Ｐ,待って、俺の何が悪い？それとも藍子の耳？。まったく、話を聞きなさいよ
藍子,え、あ、な、なんで……！？
Ｐ,俺も藍子が好きだ
藍子,……う、嘘ですよぉ
Ｐ,本当だ！
藍子,じゃあ、私と早苗さんじゃ
Ｐ,藍子が好きだ
藍子,私と雫ちゃんだと
Ｐ,もちろん、藍子だ
藍子,……私の胸と、早苗さんと雫ちゃんの胸だと？
Ｐ,早苗さんと雫の胸
藍子,やっぱり～……
Ｐ,今のは卑怯だろ！？。まあ、その、なんだ……写真の話が合ったり、色々好みだったというか
藍子,……嬉しい、です
Ｐ,俺もだよ
藍子,浮気しちゃ、嫌ですよ？
Ｐ,しない、しない
藍子,ふふっ♪
ちひろ,藍子ちゃんみたいな良い子が、どうしてプロデューサーさんみたいなスケベに……
Ｐ,酷いこと言いますね……
雫,おめでとうございますー
Ｐ,おう、ありがとな、雫
メアリー,……納得いかないワ！私だって、ダーリンといたいのに
Ｐ,仕事はおろそかにしないから、安心してくれ
メアリー,そうじゃなくて……いいワ、セクシーになって、振り向かせるから！
Ｐ,それは大歓迎だ
藍子,プロデューサー？
Ｐ,なんでもないです
