プロデューサー,以下Ｐ
静香,のど飴ですか？別にいりませんけど、せっかくプロデューサーがそう言うならまあ。
Ｐ,ならやるよ。ほら、そのダッシュボードに入ってるだろ。
静香,ありがとうございます。いつも持ってるだなんて、プロデューサーにしては用意がいいんですね。
Ｐ,そう言われるとちょっと複雑だな、それは可奈の置き土産だから。
静香,……は？
Ｐ,どうした、変な声出して。いや、可奈を送ってやった時にお礼だって言って置いてったんだよ。俺も声使うからって言われて貰ったはいいけど、どうも飴は苦手でな。
静香,…やっぱり要らないです。
Ｐ,そうか？でも、お前は持ってた方がいいだろ。それ、喉にすごくいいらしいし。
静香,けっこうです、必要な時は自分で買います。
Ｐ,そ、そうか。まあ無理に押し付けるのも悪いしな。
静香,…あ、でも。もしかしたら、他の皆はいるかもしれませんね。やっぱり貰っていっていいですか？劇場に置いておきますので。
Ｐ,そうか、その方がいいな。じゃ、全部持ってってくれ。
静香,はい。そう言えば。この車、芳香剤でも使ってるんですか？なんだかいい香りがしますけど。
Ｐ,ああ、カーアロマ入れてるからだろ。ほら、エアコンの所に付いてるのがそうだよ。
静香,カーアロマ？
Ｐ,車用のアロマディフューザーだよ。消臭だけじゃなくてリラックス効果もあるから長く運転する時にぴったりなんだとさ。
静香,へぇ。車にそういうこだわりがあるだなんて、プロデューサーも男の人ですね。…え？
Ｐ,可憐のやつ、どうも煙草の匂いが駄目みたいでな。
静香,可憐さんは鼻がききますからね…ってプロデューサー、まさか可憐さんの前で煙草吸ったんですか！？酷い、なんて事を。
Ｐ,い、いや。直接吸ったわけじゃ無いぞ？前に可憐がこの車に乗った時、匂いが残ってたらしくて。すごく気になるって言うから、とりあえずこれ付けてみたんだよ。
静香,…可憐さんも、この車に乗せた事があるんですか？
Ｐ,ああ、何度かな。そうそう、今使ってるアロマのリキッドは可憐から貰ったやつなんだよ、いい香りだよな。
静香,そうですね。…
Ｐ,ん、暑いならエアコン消すか？
静香,いえ…いや、そうですね。お願いします。
Ｐ,ちょっと温度上げすぎたか。今日は冷えるし丁度いいと思ったんだけどな。
静香,ありがとうございます…プロデューサー、窓開けましたし、煙草吸いたいならどうぞ。
Ｐ,え？いや、大丈夫だよ。
静香,いいんですか、ニコチンって切れるとイライラするんでしょう。それで運転に支障があったらいけませんし。
Ｐ,おいおい、アル中じゃあるまいし。平気だよ、わざわざ気を使ってくれてありがとうな。
静香,勘違いしないで下さい、プロデューサーじゃなくて自分の安全の為です。
Ｐ,はは、俺はそんなヘビースモーカーじゃないんだけどな。ん、何か言ったか？
静香,いえ、別に。そろそろ着きますよね？
Ｐ,だな。よし、今日もしっかり頼むぞ。
静香,分かってますよ、いちいち言わなくても大丈夫ですので。それもなんか違う気がしますけど。まあ、頑張ってきます。…色々忙しくなりそうですし、ね。
