ss速報を眺めていて、亜美ちゃん・真美ちゃんの誕生日を知りました,反省
亜美,はい問題！徳川将軍３代目は誰ですか！？
真美,どっかで聞いたことが！？ちなみに正解は徳川家光！
亜美,じゃあ初代将軍徳川家康の本名は！？
真美,徳川いえや……え？
亜真美,次回律っちゃん知られざる過去
亜美,正解は、源朝臣徳川次郎三郎家康
真美,世の中知らないことばかり
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,さぁ予告編クイズ！
真美,クイズ！
亜美,音楽の父と言えば？
真美,ヨハン・ゼバスティアン・バッハ！
亜美,じゃあアイマス界のチチと言えば？
真美,えーと、生みの親ってことだから……つまりー……
亜美,ブブーッ！時間切れ！
真美,正解は？
亜美,３４６プロの及川雫さん！
真美,って、そっちのチチかーい
亜真美,次回千早お姉ちゃん７２事にもくっ
亜美,何事にも屈しないってことで
真美,ま、水着回だね
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,予告編謎かけ！
真美,謎かけ！
亜美,ピヨちゃんとかけまして
真美,かけまして？
亜美,諦めてしまった人と解きます
真美,その心は？
亜美,どちらもコンキ(婚期・根気)が無いでしょう！
真美,ピヨちゃんに婚期を掴む根気はあるのか！？はい次！
亜美,ピヨちゃんとかけまして……
律子,もうやめて２人とも！小鳥さんのライフはとっくに０よ！。次回音無小鳥死す
亜美,次回予告が乗っ取られた！？
真美,律っちゃん！それは私たちの仕事だＹＯ！？
亜真美,次回ピヨちゃん婚活パーティーで大暴れ
律子,(結婚を懸けた)決闘(デュエル)・スタンバイッ！
亜美,律っちゃんの方が……
真美,ピヨちゃんにダメージ与えているような……
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,ヤバい！やよいっちの家の長男の名前ってなんだっけ！？
真美,なんだって！？
亜美,失礼極まりないそこのあなた！
真美,あなた！
亜美,そんなあなたはこう覚えると良いでしょう！
真美,寿限無寿限無五劫の擦り切れいろいろ飛ばして長助！
亜美,飛ばしちゃった！？しかも長助じゃなくて長介だＹＯ！
真美,長助と長介……聞いてるだけじゃ違いがわからん！
亜美,さーて、来週のアニマスは？
亜真美,やよい姉の矜持長介家出するかすみ初めてのおつかい
亜美,の、３本で……はっ！またしても次回予告が！？
真美,ついでにジャンケンもやっとく？
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,予告編聞き間違えシリーズ！
真美,イェイ！
亜美,備えあれば憂いなし！
真美,備えあれば嬉しいな！
亜美,キチンとcheck-in(チェックイン)
真美,キッチンのchicken(チキン)
亜美,小鳥さん１５歳の頃
真美,小鳥３５歳の頃
亜美,あずさお姉ちゃんは方向音痴！
真美,うぇきゃゃゃぁぁぁっっっ！
亜美,それは咆哮音痴
亜真美,次回あずさお姉ちゃん運命の赤い糸
真美,ま、兄ちゃんと良い感じっぽいけど
亜美,そーなん？
真美,遭難？？迷子じゃなくて？？
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,予告編打てば響くシリーズ！
真美,イェイ！
亜美,〝あ〟と言えば？
真美,〝うん〟
亜美,〝ツー〟と言えば？
真美,〝カー〟
亜美,〝以心〟と言ったら？
真美,〝伝心〟
亜美,〝亜美〟と言ったら？
真美,言わなくてもわかるっしょ？
亜真美,次回双海双子の絆：前編
亜美,自分たちの時だけ次回予告がそれっぽい
真美,いい加減な匙加減だからね～
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,今日は言いたいことを言ってみＹＯ！
真美,言ってみＹＯ！
亜美,金字塔を打ち立てたい！
真美,偉業を成し遂げたい！
亜美,でも金字塔って何のこと？
真美,金字塔はピラミッドのこと！
亜美,じゃあ赤字塔は？
真美,そんな言葉はないけど縁起が悪そう！
亜美,真美、いつもありが塔！
真美,そんな言葉もないけど凄く嬉しい！
亜真美,次回双海双子の絆：後編
真美,亜美もいつもありがとね！
亜美,いえいえこちらこそ。亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,〝大〟発見！〝大〟は〝小〟を兼ねない！
真美,なに！？
亜美,大人に子供の代わりが出来るか！？
真美,出来ない！場合によるけど！
亜美,小さい鍵穴に大きい鍵が入るか！？
真美,入らない！最近は鍵穴もなくなりつつあるけど！
亜美,〝小さい〟は〝ちっちゃい〟って言えるけど、〝大きい〟は〝おっちゃい〟って言わないぞ！
真美,ちゃっちい屁理屈はこの辺にしておこうか
亜美,〝ちゃっちい〟は〝ちっちゃい〟のアナグラム！
真美,ちゃっちく且つちっちゃい発見だね
亜真美,次回ミキミキおにぎりとおむすびの狭間
亜美,〝大〟発見とは言うけど〝小〟発見とはなかなか言わないよね
真美,〝小〟発見は〝発見〟って言葉に含まれちゃうからね。あれ？って事は……〝大〟は〝小〟を兼ねない！？
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,久し振りの予告編クイズ！
真美,クイズ！
亜美,辞書にも載っているような英単語で最も長い単語はなに！？
真美,Pneumonoultramicroscopicsilicovolcanoconiosis意味、塵肺病
亜美,Wow！
真美,噛まずに言えたぜ！ドヤァ
亜美,それじゃあここでお姫ちん！
真美,言ってみＹＯ！
貴音,にゅうものうるとら……
亜真美,次回お姫ちん嗚呼お姫ちんお姫ちん
亜美,タイトルまでも
真美,ミステリアス
貴音,……けぇのこにおしす。ふぅ……。まこと、面妖な言葉です
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
真美,ヘイ！亜美！
亜美,どうした！？
真美,ホワイトクリスマスって知ってるかい？
亜美,雪が降ってるイヴかクリスマスのことっしょ？
真美,ところがどっこい！違うんだな
亜美,なに！？
真美,実は降雪よりも積雪の方が重要なんだＺＥ！
亜美,つまり！？
真美,雪が降っていても、一定量の雪が積もってないとホワイトクリスマスとは言わないのさ！
亜美,ホワイトクリスマスの時は足元に注意だ！
亜真美,次回はるるんゆうパックには御用心
亜美,手元にも注意が必要だね～
真美,そ～だね～
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,予告編ごっこシリーズ！
真美,イェイ！
亜美,ヒーローごっこをやろう！
真美,ええ？プロデューサーごっこがいい！
亜美,ええ？じゃあ悪役ごっこ
真美,それならお医者さんごっこ
亜美,ならば鬼ごっこ
真美,そんじゃあ女王様ごっ……って、それちがくない？
亜美,追いかける側が無敵で逃げる側は逃げの一択だけ……ある意味鬼になりきってるっしょ！鬼畜な遊びっしょ！？
亜真美,次回まこちん王子様ごっこの呪い
亜美,結局私たちがやってたのは
真美,イタチごっこだったね～
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,さて、そろそろ最終回だけど
真美,真面目に予告したことがほとんど無い！
亜美,だから今日は真面目にいこう！
真美,そうしよう！
亜美,嗚呼、私たちの仕事が超多忙になってきた！
真美,そんな多忙な日々を過ごすひびきん
亜美,次第にペットたちとふれ合う時間が無くなっていくひびきん
真美,そんな時大事件が！
亜美,なんと！ペットのみんなが自分たちにかまって欲しいと逃げ出した！
真美,慌てるひびきん
亜美,混乱する７６５プロのみんな
真美,だが、ひびきんがペット……いや、家族と向き合うことでこの事件は無事に収束へと至った……
響,ちょ、ちょっと待つさー！さっきから聞いてれば、ほとんど次回の内容を言っちゃってるぞ！
亜美,雨降って地固まる
真美,ハートフルなお話しだよん
亜真美,次回ひびきん家族の時間
亜美,ふぃ～
真美,いい仕事したね～
響,うぎゃー！やり直しを要求するぞー！
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,いよいよ次が最終回か～
真美,今回でお別れだね～
亜美,短いようで長かった
真美,長いようで短かった
亜真美,って、どっちやね～ん
亜美,でもまあ
真美,楽しかったね！
亜美,さて、話は次回で終わりを迎えるけど
真美,私たちの物語はどこまでも続いていくよ！
亜真美,次回最終回それぞれの道
亜美,それじゃ
真美,またどこかで会おうね！
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,ないと思ったか次回予告！
真美,次回はなくとも予告はあるＹＯ！
亜美,そんじゃあ最後の予告編クイズ！
真美,クイズ！
亜美,小鳥が遊ぶって書く名字があるけど、なんて読む？
真美,〝小鳥遊〟で〝たかなし〟っしょ？
亜美,そうそう。なんでも小鳥が遊べるってことは、天敵である鷹がいないから、って理屈みたい
真美,鷹がいないから〝たかなし〟
亜美,でさ、私は思ったわけ
真美,なにを？
亜美,私たちの事務所にも小鳥がいるじゃん？
真美,ピヨちゃんがどうかした？
亜美,いや、小鳥が遊ぶで〝たかなし〟はないだろ！って
真美,じゃあなんて言うのさ
亜美,７６５プロの小鳥が遊ぶ……そりゃあ〝おとなし〟だＺＥ！
真美,ただ事実を言っただけだし、全然上手くない！？
亜美,７６５プロには音がない……だから小鳥が遊んでいるのさ！
真美,アイドル事務所なのに音がないとはコレ如何に
亜真美,次回そんなものはない！
亜美,でもまあ、ピヨちゃんが遊んでて音がないって事は
真美,私たちの事務所で閑古鳥が鳴いてるってことだね～
