モバマス初めて七か月くらいなのでおかしな点,アイドルの口調、キャラなど
店員A,はい、ありがとうございます...神崎蘭子様ですね。普段と装いが違うので念のため確認を取らせて頂きました。大変失礼をいたしました
P,普段は顔パスなのか
店員A,...そちらの男性がお嬢様よりお話を伺っている方ですか...
蘭子,はい、そうです
P,？
店員A,ではお手数ですが何か顔写真付きの身分証を拝見させてください
P,運転免許証でいいですか？
店員A,結構でございます。少々拝借いたしますが宜しいでしょうか？
P,はい。かまいません
店員A,ありがとうございます。では確認いたしますので少々お待ちください。お待たせいたしました。確認が完了いたしましたのでどうぞ、P様もお入りください
P,えっ、会員じゃないんですけどいいんですか？
店員A,はい、問題ございません。それと...
P,なんでしょうか？
店員A,いつもお嬢様のためにありがとうございます。今後ともお嬢様を宜しくお願いいたします
P,？
蘭子,まだわかりませんか？プロデューサー？。このお店は桃華ちゃんの会社のお店なんですよ♪
P,そうなのか？なるほど...だから俺も入れたのか
蘭子,はい、前もって桃華ちゃんにお願いをしていたんです。ここは事務所のみんなも通っているお店なんですよ
店員A,CGプロの皆様方にはいつも御贔屓になっていただいております。CGプロ様用の試着室も奥にございます
蘭子,だから...ここだったら安心してお買いものができるんです
P,なるほど...確かに安心できるな。それともう一つ謎が解けた
蘭子,？
P,ごめん、ごめん蘭子は気にしなくていいよ。だからこの前桃華が”Pちゃまは桃華のワガママも聞くべきですわ”って言ってきたのか
店員A,では試着室へご案内いたします
蘭子,プロデューサー行きましょう
P,そうだな
店員A,こちらがCGプロ様用に用意させていただいております二階のVIP用試着室になります
P,結構な広さですね。この店は一階が売り場となっていて二階に上客用の個室の試着室があるようだ。個室の中には試着室が6個ある...しかも試着室一個もデカくて二人が入っても余裕がありそうだ
店員A,この試着室は入口がカードキー式となっておりましてアイドルのみなさんは会員証がカギとなっております。今回P様はこちらで用意したこのキーをお使いください。正規の来客と分かるよう首に下げていただけませんか？またお帰りの際は返却をお願いいたします
P,分かりました
店員A,では私はこれで失礼いたします。どうぞごゆっくりお楽しみください
P,じゃあ蘭子は選びに行きなよ。俺はここで待っているから
蘭子,？何を言ってるんですかプロデューサー
P,なにがだ？
蘭子,今日は”一緒に選んでもらう”ことがお願いなんですから、一緒に売り場で選んでくださいね♪
P,いやいやいや、それは勘弁して本当に。実際ここに来るまでの道すがら会員制のためか、人は少ないが一般の女性客からはかなり怪訝な視線を浴びた。そもそもここに来てから俺以外の男性を見ていない...まあ会員制女性下着専門店なら当たり前か...。そんな女の園で中高生のどちらかと思われる蘭子と下着を吟味していたら...。下手したら通報されるんじゃ...
蘭子,むぅ～...
P,蘭子悪いんだけどいろいろ危険かもしれｎ...
蘭子,ええぃ！魂の誓約に抗う事無かれ！約束なんですから！さあ行きましょう！
P,ああ！？ちょっと押さないで、わかった、わかったから！
店員A,お疲れ～、お嬢様から依頼された事はひとまず終わったわ
店員B,お疲れ様、で、どんな人だった？
店員A,うん、まあ誠実そうだとは思ったわ。お嬢様が信頼しているのも何となく分かるというか
店員B,そう。ところであのことは話した？
店員A,あのこと？
店員B,ほら、プロデューサーさん達が来る少し前に他のCGプロのアイドルの子達が来たこと
店員A,あっ、伝えてないわ。でも問題あるかしら？
店員B,まあそれもそうね。じゃあ今度は私がお嬢様の指令をこなす番か...
店員A,気づかれないようにね
店員B,分かってるわよ
P,来てしまった...。まあさっきもらった試着室のキー兼証明書のおかげで怪しまれることは無いみたいだが...非常に居づらい。でもまあ...
蘭子,あ...これも可愛いな...
P,楽しそうにしている蘭子を見られると思えばいいか...
蘭子,プロデューサーこれなんかどうですか？
P,ああ、蘭子に似合うと思うよ
蘭子,そうですか♪じゃあこれは？
P,うん、いいと思うよ
蘭子,むぅ～、なんだか適当に答えていませんか？
P,そんなこと無いよ。本当に蘭子に似合うと思って答えているよ
蘭子,そうかもしれないけど...じゃあ今度はプロデューサーが選んでくれませんか？
P,...えっ？
蘭子,プロデューサーが...私にどんな下着が似合うと思っているか...知りたいんです。私ここで...待ってますから、どんなのを選んでくれるか...楽しみにしてますね
P,さて、どうしたものか。あんなに頑張ってされたお願いは無下にはできない...。かといって選択を誤れば...うん、あまり考えたくないな。さっき蘭子が似合うか尋ねてきた奴を参考にセーフティーゾーンを見極めなければ
店員B,P様
P,うわっ！？え...と、なんですか
店員B,先ほどの神崎様とのやり取りを失礼ながら拝見いたしました。お困りの様ですね？
P,ええ...正直どれを選んだらいいことやら...
店員B,僭越ながらご自身の心に正直になっては？神崎様はあなたの趣向をお知りになられたいようですし。多少神崎様の好みを外してしまっても宜しいと思いますよ？
P,そうですかね？
店員B,はい。さらに踏み込んで言わせていただくと同じ女性として、生業として何となくわかるんですよ
P,確かにそういわれると説得力があるような...
店員B,ありがとうございます
P,そうですね...じゃあこれと、これにしようかな
店員B,黒のレースのセットと...もう一つは少し赤みがかった黒の...ガーターベルト付き！？
P,ん？やっぱり不味いですかね？
店員B,ええと、神崎様は14歳ですよね？何故...そのガーターベルト付きのものを？
P,ああ、彼女は以前ガーターベルトが付いた衣装を着たことがあったんですよ。その時気に入ってたと思ったんで。もちろん俺も似合ってると思ったんですよ。これは蘭子に興味があればのお試し用ということで。本命はこっちのシンプルなセットです
店員B,な、なるほど...。けどこれも14歳の子が着るには...
蘭子,♪～～
店員B,でもあの子なら大丈夫か...ちぃっ！！おっと指令、指令。ところでP様
P,なんですか？
店員B,色は黒のものをお選びになられましたが、これはP様の好みで？
P,それもあるんですが蘭子には黒が一番似合うと思っているので
店員B,左様でございますか。ちなみに十代前半の女の子が着けるとしたら何色がいいとお思いで？
P,そうですね～、白かピンクが無難なんじゃないですか？
店員B,なるほど、ではレース素材のものを選ばれたのは？
P,偏見かもしれませんが蘭子ぐらいの年齢の女の子だと少し大人っぽいものに興味が湧く年頃だと思うのでレースにしました
店員B,個人的には？
P,好きです
店員B,デザインはどのようなものがタイプで？
P,そうですね、あまりゴテゴテせずシンプルに刺繍が入った程度のが、例えば選んだ物みたいに...ってなんですかこれは！？
店員B,いや、...すみません。人気アイドル達のプロデューサーがどのような趣向なのか下着販売店員として興味がありまして。今後の流行の把握の参考にもなるかと思いまして、申し訳ございません。大変失礼いたしました。まずっ、やり過ぎた...バレたかな？
P,そうですか。仕事熱心なんですね
店員B,あれっ、ごまかせてる？
P,それじゃあ俺は戻りますね。アドバイスありがとうございました
店員B,いえ、参考にして頂けたのならば幸いです。...人がいいんだな...まあそういうところもお嬢様は好いてるのかな？
P,いやいや蘭子お待たせ
蘭子,大丈夫です♪楽しみにしていましたから♪
P,この二つを選んだけどどうかな？個人的には蘭子に似合うと思うんだけど
蘭子,うわ～♪これは私も好きですよ。もう一つは...えっ...？。ガーターベルト...？えっ確かに衣装でつけたことはあって、恰好いいと思ってたけど...。普段着ける下着でこれはちょっと...かなり恥ずかしい...。でもでも、せっかくプロデューサーが選んでくれたんだし...。あの...プロデューサーこれは...？
P,あっ、やっぱり駄目か？以前の衣装でつけたとき気に入ってたから持ってきたんだが
蘭子,...プロデューサーは私に似合うと思います...？
P,もちろん、じゃなきゃ持ってこないよ。ちょっと大人っぽいものだけど蘭子なら十分似合うと思った。現にあの時の衣装でも似合ってたしな
蘭子,プロデューサーは...これを着た私を見たいですか？
P,まあ...正直
蘭子,あれ？これって、すごいチャンスなんじゃ？誰にも邪魔はされないし...。...
P,やばい、また馬鹿正直になり過ぎたか...？。蘭子？気に入らなかったんなら別に...
蘭子,フッ、我新たなる力を得ん！しかと括目せよ我が新たなる姿を！着ます、気に入りました！見て感想をくださいね！
P,へっ？蘭子？。前みたいに変なギアが入った...！！？。いや、無理しなくていいぞ？
蘭子,汝の欲望、我が願いを果たすための糧となるプロデューサーが着てほしいものを、たまたま私が着たいんです♪。さあ、いざ舞い戻らん原初の地へ！さっそく試着室へ戻りましょう！
P,ちょっ！？声が大きいって！寄り添って引っ張らないで！
蘭子,刻が惜しいぞ、下僕よプロデューサー、早く行きましょう♪
店員B・一般客,.......。後半何言ってるか分かんなかったけど...こんなところでいちゃつくなよ！！！畜生めー！！！
蘭子,変化の時、しばしの別れだじゃあ着替えますから、待っててくださいね
P,変なギアが入るといつもの口調になるんだな...うん？っていうか蘭子は”見て感想をくださいね”って...。てことは...マズイそれはアカン...て、あれ？。部屋の入口から離れた試着室二つの前に靴がある？
？,んっ？今の声は蘭子か？。なんだよ～、だったら誘えばよかった...
P,あ
美玲,...は？
P,...
美玲,...
P,......
美玲,......
P,その、似合ってるぞピンクのフリル...
美玲,......うわあああ！？なんでプロデューサーがここにいるんだよ！？。ていうか見るな！？あっち行けよ！？
蘭子,何事だ？...鋭き魔爪の乙女？どうしたんですか？...美玲ちゃん？
P,おいおい！？ものを投げるなカーテンを閉めろよ！
美玲,あっ、そうか
P,ふぅ...そういえば何を投げつけてきたんだ？
美玲,うう...見られた...あっ！？プロデューサー見るなーー！！
P,えっ？あ...。薄いピンクの綿のパンツ...しかも微妙に温かい...これってまさか...
美玲,か、かか返せ！！ウチの...下着...ぐすっ
P,ご、ごめん！すぐ返すよ！
美玲,こっち来るな！！変態！！
P,どうしろと...
？,私が美玲ちゃんに渡してあげるよ
P,ああ、すまんありがとう...って、え？
凛,ふーん。偶然だね？プロデューサー
蘭子,蒼き乙女！？何故この地に！？凛ちゃん！？どうしてここに！？
凛,蘭子も偶然だね？ふふ...美玲達が下着を新調するって聞いたから私もそうしようかなって思ってね。誘ったんだ。ねっ、美玲？
美玲,そうだよ...ウチらが凛に誘われたんだ...
蘭子,そんな～...せっかく皆と会わないように午前中の時間を選んだのに...
凛,本当は卯月が電話で今日のことを話しちゃったからなんだけどね...。さすがに一人で来たら露骨すぎるから、丁度ここに来る予定を考えていた美玲達を今日に誘ったんだよね
美玲,本当に...なんでプロデューサーがここにいるんだよ...
P,実は蘭子に下着選びの手伝いを頼まれてな？それでここに一緒に来たんだ
凛,私たちと蘭子で入れ違ったんだね
美玲,それは断れよ...そしたらウチはこんな目に遭わなかったのに...
凛,美玲には悪いことをしちゃったな...
P,本当にごめんな...お詫びに俺ができる事は”何でもする”からさ？
蘭子・凛,！？
美玲,何でもいいのか...？本当に？
凛,ちょっと！？プロデュー...
P,ああ、俺ができる範囲でなら
美玲,分かった...考えとく...
凛,しまった...！！こういうことが起きる可能性があることを考えてなかった...迂闊だった！！。でもまあ仕方ないか...それより...。本当に大丈夫？美鈴？
蘭子,傷は癒えたか？大丈夫ですか？
美玲,うん...もう大丈夫。下着姿でカーテンを開けたウチも悪かったんだし...
凛,そう？それならよかった
P,ゴメンな
凛,それで蘭子は下着をプロデューサーに選んでもらったの？よかったらどんなのか見せてくれない？
蘭子,フッ、貢物は捧げられたいいよー、これだよ♪
凛,へぇ～...どれどれ...。これでプロデューサーの好みが解れば......は...？。あの...その凄い大人向けに見える下着は...？
美玲,ひゃ～...なんかエロいな...
蘭子,此の衣...我が下僕の妄執の極みなりプロデューサーがこの下着を私に着てもらいたいって♪
凛,...プロデューサー...？
美玲,変態...
P,待て二人とも。確かに蘭子は嘘は言ってないが、それを選んだのは蘭子の好みを考慮しているんだぞ？それに着るかは蘭子の心次第だ
美玲,でも着てもらいたいって...まさかウチらにもさせる気か！？
凛,早苗さん呼ぼうか、美鈴？
P,本当に待って！？
美玲,へへっ...冗談だよ、プロデューサー♪ちょっとからかっただけだぞ。前の衣装でもそんなの着けてたことあったし、蘭子も結構気に入ってたの知ってたからな♪
凛,蘭子を見れば本人も気に入っているのが分かるしね。ごめんね、からかって。プロデューサーがこんなことを無理強いするわけがないって分かっているからさ。でも正直まだ驚いているけどね
美玲,衣装と下着じゃだいぶ感覚は違うと思うけどな
P,いや、そう思ってくれてありがとう。気にしてないよ
蘭子,汝は真に恵まれたる者よかったね、プロデューサー♪。では我は纏おう此の聖衣を、汝の雌伏の時だじゃあ私これを着るから、楽しみにして待っててねプロデューサー♪
美玲,かなり気に入ったんだな
P,そうみたいだな。良かったよ
凛,...ねぇ、プロデューサー?
P,なんだ？
凛,”楽しみにして待っててね”って...どういうこと？
美玲,うん？そういえば。なにを楽しみにするんだ？
P,......はっ！！
蘭子,さあ、いざ門を開けんお待たせ～、プロデューサー♪
P,蘭子っ、待って...
蘭子,答えよ、汝の魂に刻まれし真言どう？似合う？
美玲・凛,
P,うん...とってもよく似合ってるよ...。美玲と凛...二人とも固まってる...
蘭子,まさか...因果を踏み外したのか？あれ...ひょっとしてイマイチ？
P,いやっ、そうじゃないぞ！？むしろ想像以上だったからうまく言葉が出なかっただけさ！。...本当に想像以上の似合いっぷりで直視できないし。直視したら、俺の顔が赤くなってることがばれる危険が高い
蘭子,偽りはないのだな！？ふむ、心地よい調べだ♪本当に！？やったー、嬉しいなー♪。ふふふっ♪プロデューサーの顔が少し赤くなってるし、きっと成功♪
凛,はっ！？蘭子何してるの！？
美玲,だー！！何考えてんだ！？この変態プロデューサー！！
蘭子,何を喚く蒼き者よ？ただの余興だ何を言ってるの凛ちゃん？似合っているか見てもらってるだけだよ。隻眼の乙女よ、此度の儀式は我が求めより生まれん美玲ちゃん、これは私の方からお願いしたんだー
凛,なっ！？
美玲,えぇ！？本当かプロデューサー？
P,まあ...
凛,なんで！？いつから蘭子はこんなに攻める子になったの？こうなったら...
P,さあ、風邪を引いたらいけないからそろそろ服を着なさい
蘭子,フフフッ、心得ているぞはーい♪
凛,ちょっと待って！プロデューサーに蘭子！
P・蘭子,？
凛,すぐに戻ってくるから。蘭子、もうちょっとだけそのままで待ってて
美玲,おい？どこへ行くんだよ、凛！？
凛,売り場だよ
美玲,どうしたんだ...凛のやつ？
蘭子,...さあ？
P,嫌な予感しかしない
凛,お待たせ、三人とも
P,おかえり。一体何を...凛、その手に持ってるのはなんだ？
凛,蘭子が今着ているのと同種類の下着だよ？まあ色は私の好きな青色だけどさ、ちょっと紫っぽいけど
美玲,どうするんだよ、それ？
凛,決まってるよ。私も蘭子と同じように似合うかプロデューサーに見てもらうんだよ
P,待て待て待て
凛,蘭子が見てもらったのに私は駄目って言わないよね、プロデューサー？
P,う...それは、だけども...
蘭子,クッ、理は曲げられんう～、確かに
凛,じゃあ着替えるから、楽しみにしててね、プロデューサー？
美玲,あれ？何これ？
P,嫌な予感が的中しちまったー！！しかも予想通りに
凛,お待たせ、プロデューサー。どうかな？
美玲,うわっ...凛、お前それって...
蘭子,此れほど柔肌をさらすのか！？ろ、露出度が...
P,お...あああ...。確かにデザインは蘭子とほぼ一緒だが...今蘭子が着ているものに比べて透け具合が大きい。というか覆われてはいるけど大事な部分以外はほぼ透けているんじゃないかこれ？。やばい...扇情的過ぎて直視できない
凛,プロデューサー？似合ってる？
P,あ、うん...とっても似合ってるよ
凛,ふふっ、ありがとうプロデューサー。でさぁ...
P,...なんだ？
凛,私と蘭子のどっちの方が似合う...いやっ、好みかな？
蘭子,！？
P,えっと...二人ともとても魅力的で甲乙つけ難いかな...
凛,そうか...
P,納得してくれたか？
凛,じゃあもっと近くで見て考えてよ？
P,いや、それはさすがに...俺が恥ずかしいかな
凛,そう？じゃあ...
P,凛？どうして俺に近づいてくるんだ？
凛,プロデューサーが来てくれないんだったら私から行くしかないよね？
P,落ち着こう凛！？
蘭子,...私だって！！。フフフッ、フハハハ我とて遅れはせぬぞ蒼き乙女！え～い！私だって負けないから凛ちゃん！
P,蘭子まで！？。マズイ、壁際まで追い詰められた...
凛,プロデューサー？
蘭子,わが友よ？プロデューサー？
蘭子・凛,どっち！？
P,頼むから落ち着いて二人とも！
美玲,なんだよ？これ本当になんなんだ？。あっ、そういえばそろそろあの二人が来るんじゃ...
美嘉,ごめんね二人とも、待たせちゃった...え？
莉嘉,二人ともごめ～ん！寝坊して遅れちゃった！あれ？P君と蘭子ちゃんがいるよ、お姉ちゃん
P,美嘉に莉嘉！？頼む二人を止めてくれ！
美嘉,止めるって...と、というか何してるの凛と蘭子ちゃん！？
凛,ああ、やっと来たんだ美嘉。何ってプロデューサーに選んだ下着が似合ってるか見てもらってるだけだよ
美嘉,だ、だけだよって...プロデューサーにそんな恰好を見せるなんて...その...
莉嘉,お姉ちゃんまた恥ずかしがっちゃって...このままだと二人にP君とられちゃうよ？よーし★。お姉ちゃんGO★
美嘉,きゃっ！？莉嘉っ!いきなり何するの！...え？
凛,きゃっ！？...え？
蘭子,あ...あれ？
P,。状況を説明すると、俺を壁際まで追い込んだ蘭子と凛の左後方に入口がある。美嘉と莉嘉の二人が入ってきたとき、美嘉の方が俺たち側に立っていた。そしてその美嘉を莉嘉がこっちに押し込んできた。後ろから急に押し込まれた美嘉はバランスを崩しながらこちらにやってきた。そして俺の前で押し出され俺にもたれかかってきた。さらに蘭子と凛が美嘉に巻き込まれて二人も俺にもたれかかってきた。結果として、今俺は三人に抱きつかれているような状態になっている
美嘉,...。プ、プロデューサーに、プロデューサーに抱きついちゃってる...
凛,...。私...下着姿でプロデューサーに抱きついてる...あれ？何やってるの私...？
蘭子,...。え、ええ？私...とんでもないことをしているんじゃ？
P,えーと...大丈夫か、三人とも？
美嘉・蘭子・凛,
P,わぁー！？三人ともしっかりしろ！？
蘭子・凛,ごめんなさい...プロデューサー...
P,いや、二人に冷静になってもらえてよかったよ
莉嘉,へへっ、大成功！
美嘉,莉嘉～何言ってるの？ほらっ!ちゃんとみんなに謝りなさい！
莉嘉,う、うん...ごめんね、みんな？
凛,いいよ...私もちょっと変になってたし...ごめんね蘭子、挑発みたいなことをして
蘭子,いえ...私も...お相子です
凛,ありがとう...
美玲,丸くおさまったんだよな？なあ、プロデューサー？
P,多分な...二人も凛に誘われたのか？
美嘉,うん。莉嘉が大きくなったからそろそろ新調しないといけなかったし...どちらかと言えば、なんでプロデューサーがここに居るの！？
P,細かい経緯は省くけど蘭子の下着を選ぶのに付き合うことになったんだ
美嘉,へぇー...で、なんであんなことになったの？
P,ぐっ、...まあ蘭子が似合ってるか見てほしいって言い出して、それに凛が張り合ったらああいう状況になったんだよ
莉嘉,そうなの？
凛,うん...そうだよ...
蘭子,はい...プロデューサーに下着を選んでもらって、それが私に似合うって言ってもらえたから舞い上がっちゃって...
莉嘉,えー！？P君に選んでもらったのー？いいなー
P,まあ...な
美嘉,...え？なに、じゃああの下着はプロデューサーが選んだの...？
P,....まあ
美嘉,あ、あんなのを二人にき、きき...着せたの？
P,待て！？選んだのは蘭子だけだ！それに着たのは二人の自由意志だ！
美嘉,まず選んじゃ駄目でしょ！あ、ああいう...その、え、え...
P,そうだよな...うん、本当そうだ...
美嘉,そ、そうだよ。うんうん
莉嘉,じゃあP君、莉嘉達の下着も選んでよ★
P・美嘉,え？
莉嘉,ねぇー、いいでしょう？
美嘉,り、莉嘉何言ってるの！？
莉嘉,えー、だって好きな男の子に選んでもらいたいじゃん★ねぇー、美玲ちゃん？
美玲,な、なんでここでウチに振るんだよ！？
莉嘉,美玲ちゃんもP君のこと好きでしょ？
美玲,それは...、プロデューサーは優しいし、その...ウチのことを理解してくれるし...
莉嘉,も～う！！そう思うことが好きって事じゃん★美玲ちゃん？
美玲,そうかもしれないけど...でも下着を...うー...
莉嘉,ほら、JCならグングン行かなきゃ★蘭子ちゃんと凛ちゃんはどうする？
凛,もちろん行くよ。私は選んでもらってないし、蘭子は？
蘭子,私もまた選んでもらいたいし...行きます
莉嘉,よ～し★決定！早速売り場に行こう♪
美嘉,ちょっと待ってよ！？
P,勘弁してくれよ...莉嘉...
美玲,二人とも...諦めよう？ウチも観念したし...
莉嘉,ねぇねぇP君,これはどうかな似合いそう？
P,さすがに莉嘉が着けるのはまだ早いんじゃないかな、それは。もうちょっと可愛い感じのはどうだ？例えばこれとか？
莉嘉,あっ！！本当だ可愛い★でもちょっと子供っぽくない？
P,莉嘉の年齢を考えたらそうでもないと思うぞ。それに莉嘉は成長期だからな。すぐに最初に莉嘉が持ってきたのが似合うようになるからな。今着れるのを選んでみたらどうだ？
莉嘉,えへっ★ありがと、P君♪じゃあこれにするね★ねぇ他にはどんなのがアタシに似合うかな？
P,そうだな...
凛,プロデューサー。莉嘉ばかり構ってないで私のも選んでよ
P,悪い悪い、莉嘉ちょっとゴメンな？
莉嘉,うん★また後で選んでね
P,ああ。で、凛はどんなのが好きなんだ？
凛,ふふっ、それはプロデューサーに考えてもらわないと。私はプロデューサーがどういう下着が私に似合うと思っているのか知りたいんだし
P,それもそうか。ふ～む、こういうのはどうだ？
凛,へぇ、こういうのがいいんだ...
P,凛の眼鏡には適わなかったか？
凛,そういうわけじゃないよ、デザインは私好きだよ。ただ色が白なのはなんでかなっと思って。プロデューサーは黒が好きじゃないの？
P,確かに俺は黒が好きだよ。ただ凛は蒼色のイメージが強いからあえて白にしてみたんだ。どんな色でも凛には似合うと思うよ。だけど白は凛には少し新鮮な気がするから着てみて欲しいと思ったのがある
凛,...
P,あ、引いちゃったか？悪い...
凛,ううん、驚いただけ。あと...真正面からそう言われるのは流石に恥ずかしいかな
P,そうだよな、ごめんな？
凛,でも同じくらい嬉しさみたいなのもあるから。うん...ありがとうね、プロデューサー
P,そうか？ならよかったよ
蘭子,む～プロデューサー、私のも選んで下さいね？もともとは私とのお出かけだったんだし
P,ちょっと待っててな？じゃあ俺は行くな、凛
凛,また後でね
蘭子,さっきのも良かったんですけど、今度はもっと可愛い感じのを選んでくれますか？
P,じゃあこの小さいリボンが付いているのはどうだ？蘭子の要望に沿っていると思うけど？
蘭子,いいなー、これっ♪可愛いです♪
P,あと、こういうのはどうだ？この...ロングラインブラってやつ。これとさっき俺が選んだ下着の組み合わせはいいと俺は思うんだが？
蘭子,さっきプロデューサーに選んでもらった下着...とですか...？
P,これと合わせれば露出が減ってわりと恥ずかしくないと思ったんだが...
蘭子,そうですね...いいかもしれない！着てみますから合うか見て下さいね♪
P,こらこら、また少し変な調子になってるぞ？
蘭子,あっ、いけない。ふふっ、気を付けます。でも...ちゃんと似合うか見て下さいね？
P,善処します
蘭子,もうっ、そんな難しい言い方の返事はズルいですよー！
P,ごめんごめん。ちゃんと似合うか見るから
蘭子,約束ですよ？
P,大丈夫、守るからさ。でもさっきみたいになるのは本当にダメだぞ？
蘭子,はいっ、わかってます♪私も約束します
P,よしよし、いい子だ
蘭子,えへへっ♪
莉嘉,ほらっ、美玲ちゃん
美玲,うぅ...でもさ...
莉嘉,も～。ねえP君、美玲ちゃんにはどんなのがいいかな？
美玲,お、おい！莉嘉...
P,美玲か？これなんかどうだ？可愛いけどそんなに子供っぽくもないから美玲に似合うと思うんだが
美玲,あ...いいかも、それ
P,気に入ってくれたか？
美玲,うん！その...ありがとうな、プロデューサー。いいのを選んでくれて...でもウチは蘭子と凛のように下着姿は見せないからなっ！
P,あれ？見せてくれないのか？
美玲,ガルルルッ、プロデューサー調子に乗るとひっかくぞ！！
P,冗談だよ。さっきからかわれたお返しだよ
美玲,怒るぞ！！...でも、いいやつを選んでくれてありがとうな
莉嘉,ふふふ♪あっ、お姉ちゃんもP君に選んでもらおうよ
美嘉,えっ！？いや、アタシは...遠慮しとくよ。それよりプロデューサーは大丈夫なの？
P,何がだ？
美嘉,だってここに来るのは渋ってたし...それにそんなに積極的に選んでたら周りの人の視線だって気になるんじゃないの？
一般客,...
店員B,...
P,まあ確かに周りからの視線はきついんだが、皆に楽しんでもらうことを一番に考えることにしたんだ。そう考えればわりと大丈夫...かな？
美嘉,そういうものなの？でも無理はしているんだから、きつくなったらちゃんと教えてよね？その時はアタシがみんなを説得するから
P,ありがとうな、気を遣ってくれて。でも大丈夫だからさ？心配しないで
美嘉,そう？ならいいんだけどさ...でも本当に無理は駄目だよ？
P,ああ...わかっているよ
凛,プロデューサー、ちょっといい？
P,ちょっと待ってくれないか？美嘉本当にありがとうな、そんなに気遣ってくれて
美嘉,そ、そりゃプロデューサーのことだし...ほら、凛のところへ行ってあげなよ。アタシは自分で選ぶからさ
P,そうか、じゃあまた後でな
莉嘉,もー、お姉ちゃんたら、せっかくP君にアピールするチャンスなのに
美嘉,だ、だって...下着だよ？衣装や水着とは違うんだよ莉嘉？
莉嘉,そうかな？アタシはそんなに変わらないと思うんだけど。特に水着と下着ってそんなに違わないじゃん
美嘉,莉嘉ももう少し大きくなったら違いが分かるよ
莉嘉,あー！！お姉ちゃんまたアタシのこと子供あつかいするー！いいもん、アタシはP君に選んでもらうから。ねぇーPくーん、またアタシに似合いそうなの選んでー
美嘉,ふぅ。どうしてみんなプロデューサーに選んでもらおうと思うんだろ...だって人には見せないものだよ？特に異性の人には...。服だったら選んでもらって、似合ってるって言われたら嬉しいかもしれないけどさ...下着は。もし...選んでもらったのを嬉しくてよく使うようになって...そのことをプロデューサーが知っちゃったら...。ああ～！！ダメダメ、恥ずかしすぎる！
店員B,城ヶ崎美嘉様何をやっているのかしら？赤くなって、首を横に振って...
美嘉,それにプロデューサーの好きなのがああいうのだったら尚更...よしっ！アタシは自分らしくいこう！。あ、これいいな。それと...あれ？これって...
莉嘉,お姉ーちゃーん、そろそろ戻ろう？
美嘉,...！？あっ、うん。今いくから！
美玲,おっ来たな。美嘉も選び終わったのか？
美嘉,う、うん
蘭子,...？あの...なんだか顔が少し赤いですけど、大丈夫ですか？
美嘉,な、なんともないよ？。どうしよう...なんか焦ってこれも持ってきちゃった...
凛,...？
P,とりあえず試着室に戻るか。みんな大丈夫だよな？
莉嘉,うん★大丈夫だよ！戻ろう。お姉ちゃん、一緒に着替えよう？
美嘉,えっ？
莉嘉,まずお姉ちゃんに似合ってるか見てもらいたいんだ★お姉ちゃん”似合ってる”って言ってもらえれば間違いないし♪
