仁奈,仁奈は園児じゃねーですよ・・・
志乃,不良だからどっか他で飲んでるんじゃないの？
早苗,よぉーしみんらげんきでやってるかぁーー！？
礼,げっ
志乃,・・・噂をすれば影が差す、ってね
礼子,とっくに出来上がってるじゃないの。それに誰か連れてるみたいだけど・・・？
瑞樹,早苗ー！待ってたわよなにやってんのアンタ！
早苗,お、よしあれがみずきら。言いよってこい！
あい,何が言い寄れだ！いい加減に離さないかこの・・・！くっ、全く外れん
早苗,何らひっこみ思案なやつら。みずき～よろこべイケメンつれてきたろ！口説け口説け！
瑞樹,ナイス早苗ぇ！男っ気なかったのよぉ
礼,・・・最低のコンビが出来上がったわね
P,ちょ早苗さんまずいですって！それ余所のアイドルですから！いったん落ち着きましょうってほら手だけでも離し・・・
早苗,うるせー！
P,み、鳩尾ジャストで来た・・・
亜里沙,ぴ、P君大丈夫？そこの長椅子で寝てる？
礼子,・・・あの子あれで良く懲戒免職食らわなかったわね
志乃,ほんとにねえ
あい,何て事をしてるんだ、君も確かアイドルだろう！？こんなことしていいと思ってるのか！
早苗,うー？・・・いいからこっちこい！イケメンだからとくべつに酌させてやるら
あい,よせ引っ張るな！それに私は女だと言ってるだろうが！くそっなんて力だ・・・
楓,おさけ
礼,のんきねあなたは・・・ほらお猪口出して
瑞樹,ちぇ～なんだ女かぁ
あい,こっちはいくらか物分かりがいいな・・・
瑞樹,予定ぇ～？どうせ男でしょ！早苗そいつ抑えときなさい！
あい,は・・・？
早苗,おーしまかせろ！ほらのめ！飲ませてやるから感謝するら！
あい,むぐぐ・・・よ、よせよさないか！いい加減にしろ酔っ払いめ！
礼子,うわ・・・あんなもん私でも関わりたくないわ
礼,だからってこっちに集まらないでよね。寄ってきたらどうするのよ
志乃,そこにいかにも頼りになりそうな逞しい男性がいるわ
P,こんな時だけ持ち上げやがる・・・
亜里沙,ちょっとダメよP君まだ休んでるんだから
P,この人は天使なのか？
礼子,ちゃっかり膝枕までさせちゃってもう充分休んだでしょ？こっち来たら前に出すから準備しときなさいよ
P,この人は悪魔なのか？
楓,おさけ
P,この人はおさけなのか？
志乃,あらもう飲んじゃったの？今度は私が注いだげるわね
瑞樹,イッキ！イッキ！
早苗,おらおらもっとのめー！
あい,ぐぶぶ・・・げほっ、やめろよせと言ってるだろうが！アイドルとして恥ずかしいとは思わんのか！
早苗,・・・・・・
あい,な、なぜ急に黙る
早苗,お前けっこうイケメンらな
あい,だ、だから私は女だと何度・・・
早苗,よーしトクベツら。本官にちゅーしたらゆるしてやる
あい,・・・なんだと？
瑞樹,イヤーン恥ずかしー！
あい,何を今更カマトトぶってる・・・！
早苗,おーしおとなしくしろ？
あい,な・・・まさか本気じゃないだろうな！？うっ、酒くさ・・・や、やめろ近づくな！
早苗,んー
あい,ひっ・・・冗談だろうお願いだからやめ・・・
早苗,むっ
あい,ぐむっ、むーーー！んーーーーー！
瑞樹,キャー！
亜里沙,う・・・
礼子,うっわエグ・・・
礼,キスってか舐め回してるわね。見てるだけで吐きそうになってきた・・・
志乃,・・・今近づくとああなるわけね。あれ余所のアイドルって言ってたけどいいの？
P,もう何も見なかったことにしよう
早苗,ぶはっ。うーむたいぎであった
あい,おぇ・・・・・・も、もういやだ
礼子,・・・半泣きね
志乃,助けてあげられないのが辛いわ
瑞樹,ねぇ早苗どうだった？どうだった？
早苗,ん～まあなかなからったがけいけん豊富な本官にいわせれば・・・キュウダイ点ってところらな。
あい,うぷ・・・くぅ、なぜダメ出しされねばならん・・・
亜里沙,可哀想すぎる・・・
瑞樹,そういえばさなえさぁ
早苗,なんらぁ！おまえ！
瑞樹,急に怒んないでよぉ。ちょっと呼んだだけじゃない
早苗,うー？・・・なんらみずきか。きをつけろ？
瑞樹,うん
早苗,・・・みずきみんなとおくにいるらら。なんれら？
礼,P君アップは済んでるわね？
P,おいまじで生贄にする気だよ頼むから来ないでくれ
礼子,良かったじゃない。アイドルとキスできるわよ？
亜里沙,拷問よあんなの・・・
瑞樹,そんなんい～のよこっちはこっちで飲むの！
早苗,ふ～んわかった。よしイケメン酌しろしゃく！
あい,く・・・わ、分かった。するから一端手を離してくれないか？片手でしたら危ないだろう
志乃,懐柔策に出たわね
礼子,説得しようたって埒明かないものねえ
P,っぶね～助かった・・・
早苗,ん～？いいぞー本官のやさしさに感謝しろ？
あい,ようやくか・・・痣になってないだろうな
瑞樹,でも逃げちゃうわよ離したら？
あい,この女余計なことを・・・！
早苗,なに～本官の厚意をりようするれら・・・う～ん
瑞樹,あははロレツまーってら～い
あい,も、もう仕方ないこの隙に逃げるしか・・・
早苗,あっ！やろう！
あい,しまっ・・・
早苗,こいつめタイホら！
あい,な・・・？何だこの手錠は外すんだはやく！
早苗,わらしはせーぎのこころをもってえ。脅しには屈しないのら！
瑞樹,キャーかっこいいー！
あい,これは警察署の備品じゃないのか！？アイドルになったなら辞めたはずだろう！
P,やばいってまじでやばいやばいってマジ・・・
礼,ダメでしょあれは・・・さすがに止めないとまずいんじゃないの？
礼子,ちょっとP君！
P,やばいだろこれやばいよやばいこれ相当やばい
志乃,ダメねこれは。現実を受け止めるのに精一杯みたい
礼子,じゃあ誰が行くのよ・・・私は嫌よ？
礼,無理
志乃,私もパス。楓ちゃんなんてどうかしら？子ども相手なら無茶は・・・
楓,死んでも嫌です
礼子,あ、そうだ亜里沙！アンタ宥めるのとか得意でしょ
亜里沙,へ？え、あ、あの私はその・・・ぴ、P君！P君の世話がまだあって
礼,あの亜里沙が逃げ打ったわよ
志乃,ならもう無理ね。逃げましょう。私たちだけで
P,やばすぎるってチクショウなんで俺あんなのスカウトしたんだよ・・・
早苗,おしじゃあ早速ほうこくら
あい,なあもうやめないか？さすがに洒落にならないだろうこれは
早苗,うるさい！
あい,いたたたわかったやめろ！大人しくするから！
早苗,副署長ひさしぶりー！こちらやぶんおそくにきょうあく犯をタイホしました！。せーっかいやったー！
瑞樹,さなえだれだれ～？
早苗,ん～？副署長。セクハラが特技の人ら
あい,いくらなんでもまずいんじゃないのか？
早苗,そんな副しょちょーにおみやげがありまーす！
あい,ほとんど咽び声だ・・・憐れな
早苗,しのさんこっちきてこっち！
志乃,シノサンて誰かしら
礼子,アンタよさっさと行きなさい！
礼,犠牲になるのは一人でいいわ
志乃,この鬼畜ども・・・覚えてなさいよ。なんで私がこんな目に・・・
早苗,きたきた！はいこれ出て！
志乃,え・・・出ればいいの？
早苗,ふくしょちょーしのさん好きでしょ？今代わってあげまーす！
志乃,もしもし。・・・柊志乃と申します。あら。まずは落ち着いて？そんな早口じゃ分からないわ
早苗,副しょちょうなさけねー！
志乃,・・・２人はやっぱり付き合い長いの？。いろいろ迷惑かけられたのねぇ
早苗,むぅ～
あい(・・・こんなのでもいれば話題づくりには役立ってるようだな),ん？
あい,電話・・・真奈美さんからだ！て、天の助け・・・！。そ、それについてはすまなかった。実はトラブルに巻き込まれてしまって。た、助かった！やはり持つべきものは仲間・・・
瑞樹,なぁによ誰と話してんのぉ？あたしもまぜなさい！
早苗,酒らさけもってこぉい！
あい,く、あ、あっちに行け！とにかくそういう事なんだ助けに来てくれ！。・・・急に歯切れが悪くなったな。昼間はピンピンしてただろう！？白々しいにも程があるぞ！。ならいったい何度あるというんだ！。平熱だろうが・・・いい加減にしろ！。ふ、ふざけた事を・・・どうやら助けに来る気はないようだな。誰が言葉遊びをしろと言った・・・もう良い、最早仲間とは思わん！。何を訳の分からんことを。っ！・・・・・・。ま、待っ・・・
志乃,なるほどねぇ。こんなに気遣ってくれる上司がいて良かったわね、早苗ちゃん？
早苗,ぐぅ～、こいつはわらしにセクハラをしたんら！わるいやつなんら！
志乃,・・・こう言ってるみたいだけど？。あらあら。その点署長さんは気が長いわよねえ。面倒見もいいし、人間が出来てるって言うのかしら。ホントどっかの誰かに爪の垢でも煎じて飲ませたいくらいよ
早苗,・・・うっさいやつららさけのめないら
瑞樹,災難ねえ
あい,いい気味だ
楓,おさけ
P,はいはい、ってか飲みすぎじゃありませんか？これ最後ですからね
楓,やー
P,ほらわがまま言わない
礼,・・・すっかり現実逃避してるわね
礼子,まあいいんじゃないあっちも収まり付きそうだし
亜里沙,はあ・・・なんかもう疲れた
礼,大丈夫？まあ手錠の方も志乃さんから頼めば何とかなりそうだし、取りあえず一件落着でお開きにはできそうね
亜里沙,・・・東郷さんは？
礼子,そっちはPにでも頼むしかないわよ。酒の席での事だし、謝り通せば何とかなるでしょ・・・多分
礼,Ｐ君お願いできる？
P,土下座には自信がある。任せておけ
楓,はずかしくないの？
Ｐ,この度は本当に申し訳ございませんでした
あい,・・・
Ｐ,・・・元はと言えば私の浅はかさが悪いんです。この頭めっ頭めっ！
あい,ちょ、いきなり何をやり始めた！？や、やめるんだいいからいったん頭を上げて！
礼,なかなか姑息な手を使うわね
礼子,早苗が悪いしここは仕方ないでしょ。解決すれば良しよ
あい,・・・まあ何だ。酒の席での事だしとやかく言いたくはないがな
Ｐ,はい・・・
あい,アイドルとしてどうなのかと言う話だろう？君だってスカウトしてきた身としての責任というものがだな・・・
Ｐ,・・・返す言葉もございません
あい,私だったから良かった様なものの、本当に男を引っ張て来ていたらスキャンダルどころではすまなかったんだぞ！
Ｐ,私としましてもこのような事が二度と起きぬよう最善を尽くすとともに、当人に対しても一層厳しく自覚を促していく所存でおります
亜里沙,・・・何か取ってつけたみたいな謝罪に聞こえる
礼子,まああれが正しいとは言わないけどね。あんまり情を込めても失敗するもんよ？こういうのは
志乃,そういうのって自分の意見を主張してるように聞こえちゃうのよねぇ。難しいもんだわ
礼,もう戻ったの？で、手錠の件は・・・
志乃,とりあえず何とかなったわ。犯人は今説教受けてる真っ最中よ
楓,もういっそそのまま逮捕されたらいいのに
亜里沙,そういうものなのかなぁ・・・
瑞樹,ま、まあまあここは抑えて・・・
礼,いつの間にか来てるし・・・
志乃,瑞樹ちゃんも酔い醒めちゃってフォローに回ってるみたいねえ
楓,それで諸悪の根源は？
早苗,だ、だって家にあるの忘れてたし、一個くらいならいいかなって・・・。それは服役・・・
礼,・・・不思議と見てていい気分だわ
亜里沙,不思議じゃなくない？
早苗,いやぁ～怒られた怒られた
P,反省しろや、なあ
早苗,い、いやしてるってばホントもうしません
瑞樹,怪しいもんね全く
礼子,アンタは言われる立場でしょうが。亜里沙
亜里沙,瑞樹ちゃんこっち来なさい。お説教よ
瑞樹,うぇ～ぃ
礼,またやりそうねこいつら
楓,そうだね
あい,しかしひどい目にあった・・・会の方は、流石に終わってるか？
木場,はーい
あい,・・・やあ
木場,お、なんだあい君じゃないか。随分遅かったね。道中何かあったのかい？
あい,よくもぬけぬけと・・・ま、まあいい。それより他の子達は？
木場,もう寝てしまったよ
あい,そうか・・・事情が事情とはいえ、彼女達には悪い事をしたな
木場,君が来るまで起きてると息巻いてたんだがね。若い娘にあまり夜更かしはさせられん
あい,貴女は若くないからな。まあどの道今日は泊まっていく予定だったし、埋め合わせに朝食くらいは作らせてもらうよ
木場,意外と可愛い復讐をするな。ではやわらかくて健康に良さそうなのを頼むよ
あい,ついでに老眼鏡でもくれてやる
木場,ほう、何故私の欲しいものが分かるんだ？
あい,・・・おやすみ
早苗,今回の事で学んだのは、何事もやりすぎてはいけないという事。節度を持って行動するのが大事なんだね
瑞樹,みんなも私たちを反面教師として、同じような間違いを犯さないよう、日々の自分の行動を省みていこう
P,無駄口叩いてないで早く書こうか、反省文1万字
亜里沙,先生もずっと見ててあげるから、ごまかしたりしちゃめっよ
瑞樹,ひいぃもうダメ、足がしびれてきた
早苗,うう・・・酒なんか飲まなきゃよかった
礼子,ついでに将来の夢が警察官とアナウンサーの子でも連れてきたら少しは反省するかしら
瑞樹,ちょ、ちょっとやめてよね！
早苗,そんなことしたら小児誘拐で捕まるんだからね！
志乃,必死になっちゃって、羞恥心くらいは残ってるのねえ
亜里沙,2人とも安心して。こんな悪影響しかもたらさないもの頼まれたって見せないから
瑞樹,こ、心に刺さる・・・もう飲み会はこりごりよ
早苗,さ、酒だ！酒が全部悪いんだ！
礼,分かったからさっさと書きなさいよ。手が止まってるわよ
楓,書き終わったら私達で内容を確認しますから。不合格ならやり直しですよ
瑞樹,ひぇぇ、ここは地獄なの？
早苗,も、もうダメだ。おしまいだぁ・・・
