モバＰ,以降Ｐ表記…いやズルいねこれ！
雫,んー、どうですかー。似合いますかー？
Ｐ,似合うと言うか似合ってしまっているというか
雫,もーっ♪
Ｐ,指で角作って頭突きするのやめぃ
雫,もー？
Ｐ,だからと言って掴まなくても力強い強い！１０００万パワー！？
雫,もーもーっ
Ｐ,近い近い圧迫感が凄い柔い弾力が凄まじい
雫,牛さんですから人間の言葉はわかりませんー♪
Ｐ,ほんとにこの娘芳乃と同い年なの！？。誕生日おめでとう仁美。プレゼントはこれで良かったのか？
仁美,おおっ！半分冗談で言ったのに本当に！？ありがとうプロデューサー！
Ｐ,流石に戦国時代にタイムスリップ
仁美,十分十分！いやいや感謝いたします。ようやく夢にまで見た本格時代劇のお仕事が…くぅぅ
Ｐ,んでもってコッチは飴細工で作った兜な。武者頑駄無モチーフだけど
仁美,なんて無駄に精密なディティール！？うわぁ…こ、これ被ればいいの？飾ればいいの？
Ｐ,食べてくれよ。蟻が来るぞ？
仁美,ほんとに凄い…グスッ、こんな嬉しい誕生日は生まれて初めてかもしれないよ…
Ｐ,そんな大袈裟な
仁美,事務所に来た頃信長？ああ、あの中二病の
Ｐ,だって自称魔王とか…
仁美,謙信公の事はアル中とかバッサリだったし
Ｐ,お前だってあやめに忍者？え？黒装束？背中に刀？え？
仁美,中々時代劇のお仕事出来なかったり仕事かと思えばスクール水着着せられたり…いつ謀反起こそうかと思ってたよ…
Ｐ,本格的な時代劇の仕事は流石に難しいんだよ。いいじゃんかシン〇ンジャーにはゲストで出れたんだし
仁美,怪人役だったけどね！
Ｐ,スンマセン
仁美,ま、それも全部水に流してあげるよ。ようやくこうしてちゃんとした時代劇のお仕事取ってきてくれたんだし。……うん？
Ｐ,どうした？
仁美,…気のせいかなぁ。この台本、タイトルの上にコメディ、って書いてあるんだけど
Ｐ,ニンッ！
仁美,あっコラ逃げるなぁ！煙玉とは卑怯だぞぉー！出合え出合えぇ！クセ者が逃げたぞー！
Ｐ,誕生日おめでと輝子。まぁまぁつまらないものですが
輝子,わ、わざわざありがとうな……ひ、昼間あれだけ盛大なパーティーしてもらったのに…ぼっちのハートはもう限界です
Ｐ,輝子が喜びそうなものといったらやっぱりキノコしか思いつかなくてなぁ…すまん
輝子,き、気にしないでくれ……それが私の唯一にして無二の個性だから
Ｐ,ヒャッハーモードがあるだろうがよ。まぁそれはさておき。まずは原木。シイタケな
輝子,おお…これは良いものだ…
Ｐ,あとホンシメジ
輝子,ブナシメジじゃなくてホンシメジ！流石だ親友わァかってるじゃあないかぁ！！
Ｐ,マツタケ
輝子,イェァ！キタぜぇコレぇーっ！！
Ｐ,白トリュフ
輝子,あ、あの、高価すぎませんか。え、普通？あ、はい…
Ｐ,チョコのトリュフ
輝子,あむあむ…あ、あま～っ
Ｐ,食べると１機増える緑色のキノコ
輝子,な、何これ…私、知らない
Ｐ,食べるとデカくなるキノコ
輝子,こ、これも知らない、ぞ…
Ｐ,チョコのトリュフ
輝子,あまあまー…
Ｐ,きなこ
輝子,ひ、一文字違いだ…惜しい、な…
Ｐ,幸子
輝子,持って帰っていいですか
幸子,ちょ！オチのためにわざわざボクを呼んだんですか！？
千枝,千枝、これでまた少し大人に近づきました
Ｐ,おめでとう。でも年齢を重ねる事が大人になるって訳じゃないぞ？
千枝,そうなんですか？
Ｐ,２０歳３０歳になってもまだまだ子供っぽい人はいるし、逆に若いのに凄くしっかりしてる子もいるし
千枝,プロデューサーさんは、大人ですか？
Ｐ,子供には見えないよなぁ
千枝,大人になるって、難しいんですね
Ｐ,千枝はまだまだ子供のままでいいと思うぞ？嫌でも大きくなるんだからゆっくり成長していけばいい
千枝,はーい。あ、でも最近結構成長してきたんですけど
Ｐ,そっかそっか。でも何で胸元を引っ張ってみせるのかな？
千枝,１６歳になったらうど…肇さんを追い越しませますか？
Ｐ,どうだろうなぁ
千枝,５年、待ってくれますか？
Ｐ,それは橘ありすナントカさんの持ちネタだから
千枝,待たせて損はさせませんよ？
Ｐ,何の事かワカラナイナー
千枝,５年経てば合法的に結婚もできる幼な妻が
Ｐ,分からないなー！
千枝,千枝、変なこと言いましたか？
Ｐ,何て純粋無垢な瞳
千枝,あ、でも５年待たなくてもバレなければ…
Ｐ,誕生日おめでとう！これ千枝の欲しがってた寒ブリな！
千枝,第３者の目が無ければ合法か違法かは当事者の裁量だと思うんです
Ｐ,よーし美味しいブリ大根作ってやるからなー！
ありす,ハッ！今私のポジションが脅かされる気配が
晴,どんな気配だよ
Ｐ,出来たぞ！晶葉の誕生日プレゼントだ！
晶葉,祝ってくれる事に関しては心から感謝するが…助手よ。最近のそれ止めてもらえないか？
Ｐ,最近のそれ？
晶葉,出来たぞ！は私の持ちネタだろう！？
Ｐ,ネタって言っちゃったよ
晶葉,日曜大工感覚でヘンタコ発明品を作るな！それは私の仕事だ！
Ｐ,晶葉の仕事は学業とアイドル活動ではないのか
晶葉,私が発明する！それが原因で事件が起こる！ドタバタする！そういう流れじゃないのか？そうだろう！？
Ｐ,事件になるって自覚してるなら控えて欲しいんだけど
晶葉,フラリとラボに来て後ろで何かゴソゴソやってるな、と思ったら廃材でヘンテコなモノを作りおってからに
Ｐ,ヘンテコとは失礼な！
晶葉,時子が縮むビームライフルだの猫が乗ると加速するルンバだのメカ飛鳥だのはヘンテコ以外に何と表現するんだ！
Ｐ,ルンバはなぜかみくに怒られたな。ルンバは猫の乗り物じゃねえええよ！！！！
晶葉,メカ飛鳥も何だアレ。オーバーテクノロジーってレベルじゃないぞ
Ｐ,本人と区別がつくようにエクステ部分はＬＥＤライトにしたし胸も増量したんだけどなぁ。何故か怒られたけど
晶葉,とにかくだ、私のアイデンティティがクライシスする。以後控えてくれ。自重してくれ
Ｐ,善処します
晶葉,博士より優れた助手など存在しない！
Ｐ,ジャギかよ。あ、それじゃあこのプレゼントはどうしようか…。コレも晶葉のラボにあった部品で作ったんだけど
晶葉,…。……。明日から自重するように
Ｐ,ウィ。誕生日おめでとうございます
トレーナー,………はい？
Ｐ,あれ、誕生日今日ですよね
トレーナー,…。…
Ｐ,何故突然頬を！？
トレーナー,えっ、えっ？も、もしかして私の誕生日プレゼントなんですか？
Ｐ,だって今日でしょ？
トレーナー,今日ですけど！
Ｐ,良かった間違ってなかった。はい
トレーナー,いやいやいやいや！ど、どうしてわざわざ私なんかに！？
Ｐ,なんかとはなんですか。普段貴女にどれだけウチの娘たちがお世話になっていると
トレーナー,そ、それが私のお仕事ですから
Ｐ,日頃の感謝の意も込めて。はいどうぞ
トレーナー,いやいやいやいや！受け取れません！プロデューサーさん只でさえあの人数のアイドルを１人１人お祝いしているじゃあないですか！
Ｐ,あぁもう面倒臭い良いから受け取れ
トレーナー,わわっ
Ｐ,誕生日なんだから素直に祝われなさいな
トレーナー,あ、ありがとうございます
Ｐ,どういたしまして
トレーナー,…えへへ。嬉しいです、本当にありがとうございます。正直私って姉妹の中でもいまいちパッとしないし誕生日もスルーされるとばっかり
Ｐ,そんな卑下せんでも
トレーナー,だって、２８にもなってあんなタンクトップを堂々と着る度胸も無いですし次女のような死滅したファッションセンスも末の妹のような若さも無いですし…
Ｐ,それ本人たちには絶対言わないように。特に姉２人
トレーナー,本当に嬉しいです。ありがとうございます。しばらく棚に飾っておきますね
Ｐ,生モノだからお早めにお願いします
トレーナー,えへへ♪
智絵里,わあ……っ♪
Ｐ,リクエスト通りウサギカフェ来たけど、これで良かったのか？
智絵里,はいっ♪前からずっと、一度来てみたいなぁって思ってて……嬉しいです…わぁ、モコモコ…♪
Ｐ,近場なんだし別にここなら１人でも他の娘とでも来れたと思うんだけど
ウサギ,それは野暮やで
Ｐ,そっか、すまん
智絵里,みんなもこもこしてる…見てくださいプロデューサーさん。こんなに集まってきました♪
Ｐ,ウサギって人懐っこい奴は生存本能どこやったんだってくらい懐くからなぁ…あ、オヤツ上げられるみたいだな。やる？
智絵里,やりますっ！
Ｐ,仕事場でも中々聞けない智絵里の大声
智絵里,わっ、わっ！待って、ちゃんと順番。みんなにあげるから…
Ｐ,あっという間に智絵里がウサギまみれに
ウサギ,微笑ましいわ
Ｐ,ほんとにな
智絵里,ひゃんっ！こ、この子ぺろぺろしてきます…あ、待ってちゃんと上げるから。よ、よじ登って…
Ｐ,ウサギと遊んでると言うかウサギに遊ばれてると言うか
智絵里,うぅ…オヤツ全部取られちゃいました…
Ｐ,ハハッ、人気者だな。同族とでも思われたのかな
智絵里,う、うさちえりはあの時のイベント限定ですぴょん！
Ｐ,またウサ耳智絵里見てみたいけどあんまりやるとウサミンが滅茶苦茶焦り出すからなぁ…
智絵里,…プロデューサーは、また見たいんですか？
Ｐ,見たい
智絵里,……ぴょんっ♪
Ｐ,…
智絵里,…。…な、何か言ってください…
Ｐ,今の撮りたいからもう一回
智絵里,も、もう無理ですっ！
Ｐ,今の撮りたいからそろそろ退いて？
ウサギ,聞こえへんでー
Ｐ,と言う訳で誕生日おめでとうございます
楓,これはこれはご丁寧にどうも
Ｐ,ご希望通り良い感じのホテルで夜景を見ながらディナーですが、ご満足でしょうか
楓,これから夕食なんでぃなー、食前酒は程々にしておきます
Ｐ,ご満悦のようだ
楓,なるほどなるほど…ここがＰさんが色んな娘を連れ込んでいるホテルなんですね
Ｐ,人聞きが悪いなんてモンじゃねぇぞ。ここの支配人さんとは仕事の関係で付き合いがあるんで色々と融通が利くってだけの理由ですよ
楓,すみませーん。この人以前は誰と一緒にここに来ました？
ウェイター,一ノ瀬志希さんですな
Ｐ,個人情報ゥ！
楓,あ、お酒おかわりください
Ｐ,程々にするんじゃなかったんですか
楓,今夜は心置きなく飲めますから
Ｐ,……部屋なんて取ってませんからね？
楓,！？
Ｐ,驚愕するか飲むかどっちかにしなさい
楓,…
Ｐ,飲むんかい
楓,しふく…
Ｐ,料理来る前に出来上がらないでくださいよ？
楓,うふ、大丈夫ですよ。私そこまで弱くはありませんから。あ、おかわりおねがいしまーす
ウェイター,めんどいんでボトルごとどうぞ
楓,ひゃっほー♪
Ｐ,見たこともないペースで飲んでるでごぜーますよ！？
楓,まぁまぁお酒どうぞ
Ｐ,俺は下戸だと何度言えば
楓,あなたと一緒に飲むお酒が、私の誕生日プレゼントですよ？
Ｐ,色んな意味で卑怯だろチクショウ
肇,Ｐさん、お茶が入りましたよ
Ｐ,ん、ありがと。ふぃー…うん、程よくぬるい
肇,ふふ、お疲れ様です
Ｐ,いやいや。それにしても誕生日祝いがこんな事で良かったのか？
肇,はいっ。一度こうしてゆっくりＰさんを家でおもてなししたいと思っていたので
Ｐ,肇の帰郷に同行して畑仕事とかちょっと手伝っただけなんだけど…それでいいの？
肇,はいっ。それがいいんです
Ｐ,まぁ、肇がめっちゃニコニコしてるから良いんだけどさ。…それにしてもやっぱり良いところだよなぁ、ここは。老後はこういうところでスローライフ送れたら幸せだろうなぁ
肇,Ｐさんが望むならきっと叶うと思いますよ？
Ｐ,ハハッ、だといいけどな。縁側でのんびりお茶を啜る…これで膝の上に猫でも乗せたらもう言う事無いよな
肇,にゃんっ
Ｐ,やめてください、お爺さんに目撃されたら窯で焼かれてしまいます
肇,すぅ…
Ｐ,寝たフリすんなぁ！
肇,あ、夕食はうどんで大丈夫ですか？
Ｐ,大丈夫だから膝から降りなさい
肇,…聞こえませんにゃ
Ｐ,くっ…！お誕生日様だから無下に出来ない…
肇,…
Ｐ,膝に顎を擦り付けるのやめい。くすぐったい
肇,聞こえませんにゃ
Ｐ,…顔真っ赤だぞ？恥ずかしいなら無理せんでも
肇,聞こえませーんにゃっ
Ｐ,紗南ァ！ハッピーバースデー！！
紗南,テンション高っ！どしたのＰさん！？
Ｐ,プレゼントだぞ紗南ァ！ほら受け取れ紗南ァ！
紗南,そんな森久保ォ！。えへへ…Ｐさんからのプレゼント何だろ？ペルソナかな？マリオテニスかな？。チェェエィッ！！
Ｐ,角で殴るのは痛い！
紗南,クソゲー押し付けたいだけじゃんか！今年度KOTY優勝候補筆頭じゃんか！
Ｐ,うぅ…すまなんだ、よもやゼステ〇リア以下のゲームが生み出されるとは思わなかったんだ…
紗南,うん、まぁ気持ちは痛いほどわかるけどさ。…買っちゃったんだ？あたし新システム見た時点で危険を察知したからスルーしたよ
Ｐ,うぐぅ…おおぅ…おおおぅ……
紗南,大人のガチ慟哭はやめてよ心苦しいよ！
Ｐ,と言うのは冗談としてこっちが本当のプレゼントな
紗南,切り替えのキレがエグすぎてついていけないよ！。まったくもう…からかわないで最初から素直にプレゼント渡せないの？
Ｐ,普通に渡してもつまらないかなって
紗南,あのねＰさん。王道ってのは需要があるからこそ王道なんだよ？
Ｐ,まぁまぁ、ゲームどうぞ
紗南,うん？何だかいっぱい入ってる…えぇー、あんまり沢山貰っても積みゲーになっちゃいそうだなぁ
ローグギャラクシーファンタシースターユニバース四八,仮
紗南,歴代受賞作品じゃんか！！
Ｐ,角で脇腹は痛い！。誕生日おめでとう李衣菜。はいこれプレゼント。ロックマンクラシックスコレクション
李衣菜,わーい♪…ってロック違いじゃないですか！
Ｐ,ロックマンの名前はロックンロール由来だから間違っては無いぞ
李衣菜,…貰いますけども。ありがとうございます
Ｐ,本当はライブのチケットにしようかと思ったんだけどさ
李衣菜,そっちの方が嬉しいですよ！
Ｐ,お前この前聞いたらえ？スタンド能力？
李衣菜,だ、だってロックバンドがジョジョのスタンドの名前を付けてるなんて知らなかったから！
Ｐ,逆ゥ！
李衣菜,うぅ…ライブのチケット…
Ｐ,まぁ、ちゃんと用意してあるんですけどね
李衣菜,意地悪しないで最初から素直に下さいよー！
Ｐ,え、それだとつまらない…
李衣菜,私っ！今日っ！お誕生日様っ！。まったくもう！まったくもうこのドＳデューサー！ある意味ロック！
Ｐ,お前にとってのロックの定義って何なの
李衣菜,あっ、これチケット２枚あるじゃないですか！
Ｐ,ああ、だから夏樹でも誘って２人で
李衣菜,じゃあじゃあ週末のオフに行きましょうよ！プロデューサーさんもお休みでしたよね！
Ｐ,え、いや夏樹と
李衣菜,うわぁ楽しみだなぁ…あ、お弁当作っていきます？ハンバーグ好きですよね？
Ｐ,だから夏樹と…ってピクニック？
李衣菜,みくちゃんに自慢してこよーっと！あ、待ち合わせ時間は後で連絡しますねー！
Ｐ,聞く耳ィ！。…ま、いいか。喜んでるみたいだし。…とまぁ、大まかにこんな感じでしょうか
ちひろ,一見ちゃんとお祝いしてる風に見えて思い切りからかってますけどその実しっかりお祝いしてますね
Ｐ,なんか難しい日本語だな。そりゃちゃんと祝いますよ。誕生日ってのは１年で一番幸せであるべき日ですよ？
ちひろ,だったら終始普通に祝福してあげましょうよ
Ｐ,え、それだとつまらない…
ちひろ,愉悦は自重してください
Ｐ,ご希望通り話しましたけど、くれぐれも本人たちには内緒ですよ？絶対言わないでくださいね？フリじゃねぇからな
ちひろ,はいはい。私にだってそれくらいの分別はありますよーだ
Ｐ,え、あったの？
ちひろ,ぶつぞ
Ｐ,ヒィッ
ちひろ,なんだかんだでみんなの事を大切にしているんですよねぇ…
Ｐ,それがプロデューサーの使命ではないのか
ちひろ,それじゃあ是非１１月２８日もよろしくお願いしますね♪
Ｐ,ハッハッ、もちろんですとも
ちひろ,あら？ちゃんと覚えてくれてたんじゃないですか。言っておいて何ですけど、ちょっと意外
Ｐ,井上敏樹監督の誕生日でしょう？
ちひろ,課金ぱんち！
Ｐ,痛い何で！？
アッキー,終わりだ
優,そう言えばアッキーの誕生日っていつだっけ？
アッキー,優達が幸せならば、それでいいだろう
