橘ありす,今日のレッスンは悪くなかったですね……
ありす,私は少し席を外します。もしも話したくなったら、話してください
フレデリカ,……
ありす,それでは
フレデリカ,あ……。……。……ま、待って！！！
ありす,え？
フレデリカ,……今日の撮影の後にね？スタッフさんと話してたの
ありす,……はい
フレデリカ,その時に、ちょっと……
ありす,ちょっと……？
フレデリカ,口論になっちゃってー……
ありす,す、スタッフさんとですか！？
フレデリカ,もしかしたらあの番組にはもう呼んでもらえないかもなーって……
ありす,それで凹んでたんですね……。それで、口論の内容は？
フレデリカ,え！？そ、それは……
ありす,……
フレデリカ,……。えっと……、そ、そう！フレちゃん、朝はパン派なんだけど、そのスタッフさんは“ご飯以外ありえない！”って！ひどいよね！
ありす,……
フレデリカ,……
ありす,……は？。そ、そんなくだらないことで……！？
フレデリカ,く、くだらなくないよー！就活問題だよー！
ありす,それを言うなら死活問題です！近年の就職活動については話してません！！！
フレデリカ,ナイスツッコミ！座布団7枚！
ありす,司会変更前最終回の笑点か！！！。もう……！心配して損しましたよ！
フレデリカ,怒らないでー！モンドセレクション金賞あげるからー！
ありす,欲しがった記憶が全くない！！！
フレデリカ,ノーベル賞もつけちゃうよ！
ありす,そんなオマケにしていい賞じゃないですよ！？。まったくもう！私はちょっと出かけます！失礼しました！
フレデリカ,……。さすがにねー……。はぁ……
ありす,まったく！心配しただけ無駄でした！。まあ、あまり深刻な事態じゃなくてよかったとは思いますが……。……あれ
速水奏,あら、ありすちゃん、こんにちは
ありす,奏さん、こんにちは。き、聞いてくださいよ！さっきフレデリカさんが
奏,ずいぶんいきなり捲し立てるのね……。って、え？フレデリカと会ったの？
ありす,はい？普通に部屋にいましたが……
奏,そう……。あの娘もなかなか、間が悪いというか……
ありす,え？
奏,ごめんなさい、こっちの話。フレデリカ、凹んでたでしょう？
ありす,な、なんで知ってるんですか……！？
奏,だって私、午前中はフレデリカと同じバラエティの収録だったもの
ありす,あ、そうだったんですか
奏,ええ
ありす,じゃあ、フレデリカさんのくだらない口論についても知ってるんですよね？
奏,くだらない……？
ありす,はい！ご飯がどうとかパンがどうとか！心配して損しました！
奏,え？……ああ……なるほど……
ありす,呆れて部屋を出てきたところですよ……！
奏,……
ありす,奏さん？
奏,ありすちゃん
ありす,は、はいっ
奏,冷静に……冷静になってみて？
ありす,え？
奏,あなたの知ってるフレデリカは、そんなことで怒る人？
ありす,私の……知ってる……？
奏,フレデリカが“Aが好き”って言って、ありすちゃんが“Bが好き”って言ったとして、フレデリカはそこに食ってかかると思う？
ありす,それは……
奏,思わないでしょう？
ありす,はい……
奏,結論から言わせてもらうと、その話はウソよ
ありす,え……！？じ、じゃあフレデリカさんが凹んでることも……！？
奏,いいえ、そこは本当。スタッフさんと口論ってところもね
ありす,ってことは、口論の内容がウソってことですか？
奏,ええ、そうなるわ
ありす,……
奏,怒ってる？
ありす,……少し
奏,ウソをつかれたのだから当然ね。でも……
ありす,……
奏,まあ、口止めされてるわけではないし、フレデリカには悪いけど話させてもらおうかしら……
ありす,……お願いします
奏,ええ。なるべくかいつまんで話すけど……。収録してたバラエティ、聞いたことある？
ありす,えっと、割と最近始まったやつですよね？
奏,そう、でも、あの番組、いわゆる“レギュラー出演者”がいないの
ありす,……？
奏,それがコンセプト……と言ってしまえばそれで終わりそうなんだけど、実際に行ってみてわかったわ
ありす,わかった？
奏,オブラートには包ませてもらうと……、あの番組ね、ディレクターがあまり“良くない”の
ありす,……
奏,“牛耳る”とか“私物化”みたいな言葉を思い浮かべてもらえればいいわ。だから、気に入らない出演者はもう出さないの。時には事務所ごと切り捨てたりしてね
ありす,だから毎回、様々な出演者がとっかえひっかえだったんですね……
奏,ええ。ま、それ以前に性格があまり……ね。でも、自画自賛にはなるけど、私とフレデリカは完璧に収録をこなしたのよ？
ありす,ではどうして……
奏,収録後に、別のスタッフさんと3人で話をしていたの。そこに、そのディレクターが来ちゃって
ありす,……
奏,ハーフなんて今どき何のウリにもならないとかテレビならまだしも実際に話すとイライラするキャラ設定だなとか、好き勝手言ってきたの。……私もいくつか言われたわ
ありす,ひどい……
奏,勘違いしないで。私もフレデリカも、そんなことでは怒らないわ。特にフレデリカはなんにも気にせずに会話を続けててね……
ありす,……
奏,そこで、まあ次も呼んでやるからありがたく思えって言われたの。内心はもちろんお断りだけど、“お仕事だもの、しょうがない”……って思ってたら、“ウチの事務所から他にも誰か出せないか”って
ありす,……
奏,それで、向こうの要望が、今の年齢層が高いからガキがいい。なるべく収録で好き勝手言わなそうなだったのよ
ありす,それって……
奏,私もフレデリカも、ありすちゃんが浮かんだけど、“こんな奴に会わせられない”って思って、何も言わなかったわ。でも、もう1人のスタッフが“橘ありすちゃんとかどうですか”なんて言い出してね
ありす,……っ！
奏,ありすちゃん、ここからは、ちょっとありすちゃんが耳を塞ぎたくなるような言葉が出てくるかもしれないけど……
ありす,……大丈夫です。聞かせてください
奏,……わかったわ。それを聞いたディレクターは……、今度はありすちゃんについて、いろいろ言い始めてね
ありす,……
奏,やれガキのくせに理屈っぽくてとか、やれあの名前が云々とか……
ありす,……
奏,私は気分が悪くなって、フレデリカを連れて戻ろうと思ったの。……結果的には、あと少し、早く決断するべきだったんだけど。……フレデリカの顔を見たら、……今までに見たことのないような表情で。すぐに手を引こうと思ったその時だった。って
ありす,……！
奏,まあ、この先を詳しく伝える必要はなさそうね
ありす,それが……フレデリカさんの言ってた“口論”……
奏,ええ。……結果的に、あの番組にウチの事務所からアイドルが行くことはもうないでしょうね
ありす,それであんなに……
奏,もちろん、自分を馬鹿にされた悔しさがあって、他のアイドルの仕事を減らしたかもしれないという罪悪感があって……。でも、一番はやっぱり、ありすちゃんを馬鹿にされたことでしょう
ありす,……
奏,あの娘はね、自分のためには怒らないと思うの。でも、誰かのために怒ることができる娘なのよ
ありす,……
奏,……バカよね
ありす,……本当に……バカなんですから……。……お話、ありがとうございました
奏,構わないわ。むしろ、辛い言葉を聞かせちゃってごめんなさいね
ありす,それこそ構いません。ありがとうございました
奏,これから、どうするの？
ありす,……部屋に戻ります
奏,あら、忘れ物？
ありす,……そういうことにしておいてください
奏,……フレデリカは、あなたのそういうところが大好きなのよ
ありす,よく聞こえませんね
フレデリカ,……
ありす,……こんにちは
フレデリカ,わわっ！？あ、ありすちゃん！？わ、忘れ物かな！？
ありす,奏さんから全て聞きました
フレデリカ,！！！。そ、そう……なんだ……
ありす,あなたは大馬鹿者です！！！
フレデリカ,！
ありす,……目を閉じてください
フレデリカ,え……？
ありす,早く
フレデリカ,は、はい。ありすちゃん、怒ってる……。ウソついちゃったからかな……？。怖い……。……え？？？
ありす,……目を閉じてと言ったはずですが
フレデリカ,い、今……、ほっぺに……
ありす,……
フレデリカ,か、顔、赤いよー……？
ありす,……だから閉じてと言ったんです
フレデリカ,……
ありす,……
フレデリカ,ほっぺへのキスは……確か……
ありす,“感謝・親愛”
フレデリカ,……！
ありす,まあ、調べた知識ですが。私のせいで凹んでるようで癪だっただけです
フレデリカ,あ……
ありす,？
フレデリカ,ありすちゃぁぁぁぁぁーん！！！！！
ありす,うわ！ちょっと！こ、こうなる予感はしてましたけど！！！
フレデリカ,これからもよろしくねぇぇぇぇ！！！
ありす,はあ……、まぁ、飽きない限りは、ですよ
フレデリカ,うわああああああん！！！
ありす,うるさい！！！！！
奏,まあ、ハッピーエンド……かしら
緒方智絵里,あれ？奏さん！入らないんですか？
奏,貴方はダメ。本当に今はダメ
智絵里,？
