モバマスより早坂美玲と小日向美穂,たぬき
周子,周りの壁に貼ってあったけど。てかシールなんだ。こういうのって普通お札じゃない？
美玲,か、返せッ！ウチのだッ！
周子,はい高い高ーい
美玲,ああっこのっ、ずるいぞッ！
Ｐ,…………えーっと。知り合い？
まゆ,では、ないんですけど……。早坂は、確か……
Ｐ,早坂さんだったかな。とにかく、ちょっと話をしてみるってわけにはいかないか？
美玲,…………ふん、わかったよッ。オマエら、そいつに誑かされてるみたいだからな。目を覚ましてやるッ
まゆ,どっちかっていうと、まゆの方が誑し込まれちゃったんですけど……///
Ｐ,人聞きの悪いこと言わない
まゆ,ひゃんっ♡
美玲,……
アーニャ,チャーイ……お茶、ぬるかったら言ってください。すぐに冷やし直しますから
美玲,…………
芳乃,おせんべいをどうぞー
美玲,………………
うえきちゃん,…………
美玲,……………………
ひまわり星人,…………………………
美玲,どーゆーことだこれはーッ！！
Ｐ,わぁ！？な、何が！？
美玲,何がもナマハゲもあるかッ！！なんで同じとこに――。化け狸とッ！
美穂,ぽこ！？
美玲,化け狐とッ！
紗枝,こんこ～ん♪
美玲,化け兎とッ！
智絵里,・ｘ・
美玲,あとなんだ、雪女か！？
アーニャ,ニェット、少し違いますね？アーニャ、ドゥフ……精霊の、孫です
美玲,あとあと……なんか、この、なんなんだこいつらは！！
ひまわり星人,ﾆｮﾛﾆｮﾛﾆｮﾛﾆｮﾛﾆｮﾛ
うえきちゃん,ｼﾊﾟｼﾊﾟｼﾊﾟｼﾊﾟｼﾊﾟｼﾊﾟ
美玲,どんな人外魔境だよ！恐山か何かかここは！？
Ｐ,東京の普通のアイドルプロダクションです……
美玲,ンなワケあるかぁーッ！！
Ｐ,ふぇぇ……
ちひろ,思わぬところで常識的ツッコミを喰らっちゃいましたね……
美玲,大体オマエらは何なんだ！？なんでこんなとこにいてヘーキなんだよッ！？
Ｐ,慣れ……ッスかね……
ちひろ,一応凡人のつもりなんですけどね私達
芳乃,ふむー。驚かれるのも、無理からぬことでしょうー
楓,問題はあなたが何者で、どうしてここに来たのか。ということですね
美玲,はぁ、はぁ……そんなの決まってるだろッ。ウチは……コイツらみたいな妖怪を、祓いに来たんだッ！！
Ｐ,祓う！？
紗枝,それはまた、思い切りのええことどすなぁ
まゆ,……じゃあ、やっぱり……あなたが早坂家の当代なんですねぇ
美玲,当代？……ふん、家のことなんか知らないモン。ウチは自分で決めてここに来たんだッ
美穂,ちょちょちょ、ちょっと待って！は、祓うってそんなっ！私達は悪いことなんて――
美玲,うっさい、てい！
美穂,ぽこーっ！？
Ｐ,ああっ美穂の変化が解けた！？
周子,おでこにシール貼っただけで！？
美穂,ぽっぽこ、ぽこ～っ！
Ｐ,おおよしよし。今おでこのシール剥がして……あ、これ毛ぇちょっと抜けるな
美穂,ぽん！？
まゆ,……両親に言われたことがあります。早坂の者には気を付けろって。早坂家は退魔の家系。目を付けられれば祓いに来る、と……
周子,蘭子ちゃん大喜び案件やん！
Ｐ,この場にいなくて良かったのやら悪かったのやら……
楓,宮城の早坂といえば、源氏に起源を持つ退魔師ですね。代々、仙術や妖術を巧みに操るといいます
芳乃,宮城と山形にはー、蔵王山を修験の場とする山伏の血族が多くあると聞き及んでおりまするー。それらが分派し、降魔の術を究めし家が生まれるもまた、自然のなりゆきかとー
楓,刈田嶺には蔵王権現様が祀られていました。元はきっとそれを御本尊とする流派でしょう
ちひろ,……わかります？
Ｐ,ぜんぜんわからん
周子,京の晴明公みたいなもんかいな
紗枝,蔵王権現像いうたら、今は奈良にありましたなぁ
智絵里,奈良にも凄い人がいるって聞いたことがあります……こわい
楓,それなりに長い家筋でしょうけど、こんなにお洒落で可愛い女の子がそうだというのは意外ですね
美玲,おしゃれ……。って違う！なんだよ、やけに詳しいな。どこのどいつだッ？
楓,あ、申し遅れましたね。私は高垣楓といいます
芳乃,わたくし依田は芳乃でしてー
美玲,ヨリタ……ひょっとして鹿児島の依田か？なんか聞いたことあるぞ
芳乃,大したことはありませぬー。ただの巫でしてー
美玲,……タカガキは知らない。なんだオマエッ
楓,それはそうでしょう。私はただの一般人なので♪
周子,しっかし、見た目全然そんな感じに思えないんやけど
Ｐ,ともかく……美穂、じっとしてろよ
美穂,くーん……
Ｐ,剥がれた！
美穂,ぷはっ！ま、まさかシールにこんな力があるなんて……
芳乃,ほー……よく見れば、確かに相応の妖力が込められておりまするー
楓,あ、ひょっとして封印シール
Ｐ,なんで嬉しそうなんですか
美玲,どうだッ。ウチなりのアレンジだ！。お札バサバサとか数珠ジャラジャラとかホラ貝ぶおおおおとか、今どきダサすぎてやってらんないからなッ
芳乃,
周子,芳乃ちゃんに流れ弾が！？
美穂,すごいショック受けてる！？
芳乃,法螺貝は、なういのではないのでして……？
美穂,そ、そんなことないよ！すっごくイケてるよ！
周子,ナウいも化石レベルの死語やけどね
芳乃,
美穂,しゅ、周子ちゃん～！
周子,あ、ごめんつい……
美玲,――さて、もういいだろ。話は終わりだ！オマエらみんな祓ってやるから、そこになおれッ！！
Ｐ,そっかー……え！？今から！？
美玲,当たり前だッ！佐久間の娘が宮城を出たっていうから、どこで何をしてるのかと思えば……。まさかこんな伏魔殿で群れてたなんてなッ。どうせロクでもないこと企んでたに決まってるんだ！
まゆ,…………
美穂,そんな、まゆちゃんは悪いことなんて……！
美玲,問答無用ッ！まとめて片付けてやるッ！！
楓,……そうですか
Ｐ,まずい！みんな伏せっ――――
美玲,な！？のわぁぁぁああああーーーーーーッッ！！？
うえきちゃん,ｼｭﾙｼｭﾙｼｭﾙｼｭﾙｼｭﾙｼｭﾙ
ひまわり星人,ｳﾆｮｳﾆｮｳﾆｮｳﾆｮｳﾆｮｳﾆｮ
まゆ,あら、触手……
ちひろ,あ、ごめんなさい。手持ち無沙汰だったんで、ついついお水あげすぎちゃいました
Ｐ,やったぜちひろさん有能！
美玲,んなッ、このッ、離せよッ！なんなんだコイツらッ！？
Ｐ,花屋さんから買ったから多分花
美玲,そんなワケな、あっちょっ、やめッ！くっくすぐった！ひゃひッ！？どどどどこ触ってんだぁッ！！。はぁっ……はぁっ……はぁっ……
Ｐ,退魔師も変な花には相性が悪かったようだな
ちひろ,思いっきり不意打ちでしたしね
うえきちゃん,♡
ひまわり星人,♪
智絵里,；・ｘ・
まゆ,美玲ちゃん……あなたの言いたいことはわかります。でもまゆは……
美玲,う……うるさい近寄るなッ！今日は不覚を取ったけど、次は絶対負けないぞ！。オマエら全員祓うまで諦めないからなッ！首洗って待ってろーーーッ！！
美穂,……行っちゃった
Ｐ,あ、戻ってきた
美玲,この辺にしばらく泊まれるとこ無いか？
Ｐ,そこノープランなの！！？
美玲,うるさいッ
まゆ,驚きの体当たりっぷりですねぇ……
Ｐ,お前が言うな
まゆ,うふ♡
Ｐ,えぇ～、でも飛び込みでこの辺だろ？しかも連泊？。……駄目だ全然無いぞ。どこも今日から埋まりまくりだ
美玲,どっか無いのかよッ
Ｐ,なぜ俺がホテルの検索を……お、あったあった。一拍のお値段こんなんですが
美玲,はぁ！？こっこっ、こんなに高いのか！？ウチ払えないぞ！。帰りの新幹線代もあるし、動物園行きたいし、原宿にだって行くつもりだしッ！
Ｐ,思ったより観光気分だった
美玲,せっかくの夏休みだからなッ。……じゃない！じゃあウチどうすればいいんだ！？野宿かッ！？
Ｐ,うーん……あ、そうだ。あのさ、この子寮に泊めてやってくんない？
美穂,！？
紗枝,あらぁ
智絵里,ふぇっ
美玲,……なッ！？りょ、寮ってコイツらが……！？
Ｐ,うん。この子らが集まって暮らしてるとこ。芳乃、いいか？
芳乃,よろしきかとー
美穂,で、でもプロデューサーさん、危ないんじゃ……！
Ｐ,芳乃がいるから大丈夫だ。それに、これまでの会話でわかったけど――。悪い子じゃない。少なくとも、寝首を掻くようなことはしないだろう
美穂,それは……そうかもしれませんけど……
Ｐ,突き放して放っておくわけにもいかない。お互い敵同士のまんまってのも嫌じゃないか
美穂,……ですね。わかりましたっ。ねえ美玲ちゃん、もし良かったらうちに来ない？
美玲,な……う、ウチに敵のアジトまで来いっていうのか！？
美穂,私達は敵じゃないよっ。寮のみんなも良い子ばっかりだし、ね、まゆちゃん？
まゆ,……ええ、そうですねぇ。まゆが保証します。この子が何を考えてるのかは、そばにいないとわからない……
周子,ま、ええんちゃう？女の子一人を夏の東京にほっぽり出すわけにもいかんでしょ。どっかから襲撃されるよか、近くで見てるのが得策かねぇ
小梅,私も……賛成……。きっとその方がいいから……あなたも、そう思うでしょ……？
あの子,ｺｸｺｸ
美玲,う……うるさい！その手には乗らないからな！祓うぞ、封じるぞ、ひっかくぞッ！！。あ……
Ｐ,……腹減ってんの？
美玲,減ってないッ！ずっと探してたから何も食べてないなんてことないぞッ！
ちひろ,語るに落ちまくりですね
紗枝,せや、今日のお夕飯は何やったやろか？
智絵里,えっと確か夏キャベツを使った冷しゃぶと、カレーコロッケ……ですよね、まゆちゃん
まゆ,新鮮な夏野菜がたくさん買えましたからねぇ♪
美玲,ううっ
芳乃,美玲さんー……。お役目を持つ者として、あるいは譲れぬ一線もあるやもしれませぬがー。せめて夕餉の時は、互いに心穏やかでありたいものですー
楓,ディナータイムは、敵味方無しでなー……ですね。ふふっ
美玲,………………わかったよ。オマエらが何企んでるのか、この目で見てやるッ。
こずえ,おかえりー……
イヴ,お外、暑くありませんでしたか～？
ブリッツェン,ブモフー
菜帆,冷たい麦茶がありますよ～♪
美玲,
みく,そのコが電話で言ってたお客さん？
響子,いらっしゃい！今からご飯作りますからねっ
小梅,入って……大丈夫、みんな友達だから……
美玲,ウ……ウチは……。ウチは負けないッ！ゼッタイ負けないんだからなーーーーーッ！！
一同,いただきまーすっ！
響子,はいっ、召し上がれ！
まゆ,たくさん食べてくださいねぇ♡
美穂,うん、おいしいっ！……でも
美玲,…………
みく,……すみっこでめっちゃ威嚇してるにゃ
美穂,やっぱりまだ警戒してるのかなぁ……
由愛,……
美玲,わ。な、なんだオマエ！近付くなッ
由愛,あの……これ、カレーコロッケです。カレー味で……新鮮なコーンとか、チーズも入ってるんです。おいしいですから……ね？
美玲,ごくり……。そ、そんなに言うなら……食べてやんないこともない。！！！。はむっ、はふはふッ、んふっ、もぐもぐもぐ……ごっくん！
周子,おー、ええ食べっぷり
美玲,なんだこれウマッ……あ、いやそのッ
まゆ,うふ。それ、まゆが揚げたんです♪
由愛,おなかすいてたんですよね。あの、まだたくさんあるから……。良かったら……座って一緒に食べませんか？
美玲,あ……えと……。……う、ウン
輝子,フヒ……どうぞお隣へ……
小梅,……♪
狙い通り,狙い通りだモン
美玲,……
Ｐ,……
美玲,…………
Ｐ,後頭部にハチャメチャに視線を感じる……
楓,ふふ。懐かれてしまいましたね
美玲,なついてないッ。一番よくわかんないのはコイツだ。その……なんだっけ、プロデューサー？で、つまり、群れのアタマってことっぽい。エラいヤツな筈なのに、全然ふつーのオッサンじゃないか。一体何がどうなって、コイツのとこにあんだけのヤツらが集まったんだ……
莉嘉,いたっ！ねえねえ、美玲ちゃんだよね！？
美玲,！？
莉嘉,わーっかわいいー！みんなが言ってた通りだーっ！
美玲,な、お、オマエ……！？
莉嘉,この髪ってメッシュ！？ちょーカッコいいじゃん！あ、アタシのこれって地毛なんだー☆いいっしょー！。あっそうだ、ねえねえ凄いシール使えるってホント！？見せて見せてっどんななのっ！？
美玲,わわわっ、急になんだよッ！ウチの法具に勝手に触んなってば！
美嘉,こーら、莉嘉。美玲ちゃん困ってるでしょ
美玲,！！
美嘉,わっ、とと……いやいや、別に何かしようってんじゃないってば
美玲,オマエら、混ざりモノだな。どっから来た？外国か？
美嘉,ん～～～。そういう話がしたいんじゃなくて……。それ、ガルモンでしょ？
美玲,へっ
美嘉,今人気上昇中って感じのパンクブランドだよね。似合ってんじゃん★
美玲,え、あ、え
莉嘉,原宿にショップあるよね？アタシも気になってたんだー！
美玲,あ……そ、そうなんだッ。地元にお店がなくて、だから通販に頼るしかなくて……
美嘉,でも現物見ないとわかりにくいこともあるもんねー。サイズ感とか、シルエットとかさ
美玲,そうッ！ウチもそれで何回か失敗して……！
莉嘉,わかるー！なんか思ってたのと違ーう！ってなるよね！
美嘉,それに、パンクってアクが強くて難しいじゃん？なのにばっちりキマってるし！凄いじゃん！
美玲,キマっ……あ……ほ、ホントか？へへへ……
莉嘉,ねえねえいつまでこっちいられるの？今度アタシと原宿回ろーよー！
美玲,う、ウン。しばらくはいるから……はっ
Ｐ,……
楓,……
美玲,な、なに見てんだよッ！ニヤニヤすんなッ！！。ふう。今日もあっついな……
？？,……
美玲,？
？？,…………
美玲,な、なんか後頭部に視線が……。誰だ！？こそこそしてないで出てこいよなッ
蘭子,！
美玲,えっとオマエは確か……
蘭子,クックックッ……我が名を知りたいと申すか。ならば答えよう――我は神崎蘭子！この地に堕天せし悪姫にして、闇を統べる魔界の王なるぞっ！
美玲,……。いやオマエ人間だろ
蘭子,ぴぇっ。こ……こほんっ。聞けば汝は、闇に潜む魔物を祓う異能者のようだが……
美玲,異能？ああ、言いようによってはまあ……
蘭子,……！
美玲,って近ッ！なんだよいきなり！？
蘭子,……！！。その、その目、その目はっ。もしや封じられし禁断の混沌の魔眼カオス・アイ
美玲,！？なんで目のことを……じゃない！これはそのカオスなんとか？なんかじゃないぞ！
蘭子,ひとみのひみつ！！！
美玲,わぁ近い近いってば！だいたい、ウチのは遊びじゃないんだッ。ホンキの使命なんだぞ！
蘭子,うまれもつしめい！！！！
美玲,ガンガン来るなぁッ！わ、わ、倒れ……っ
輝子,ふ、二人とも……ソファーに倒れ込んで、どうしたんだ……？
小梅,一緒に、遊んでたの……？
美玲,遊んでないッ
蘭子,えへへ……退魔の血筋、かぁっこいぃ～……
小梅,えっと……そろそろご飯だから、呼びに来たんだけど……
美玲,ん……。きょ……今日のメニューは、何だッ？。……
美穂,んむにゃ……えへぇぇ……ぷろでゅーさーしゃぁん……♡
美玲,……。……メッシュじゃないモン
美穂,くー……くー……すきぃ……♡
美玲,く、苦しい……ッ
みく,――それじゃ美玲チャン、お留守番よろしくにゃ！
美玲,それはいいけど……なんで他に誰もいないんだよッ
みく,今日はみんなお仕事なの。アイドルだから仕方ないのにゃ
美玲,だからって、なんでウチが留守番なんて！
みく,良い子にしてたら、おみやげにダッツ買ってきてあげるね。何味がいーい？
美玲,ストロベリー！
みく,ラジャーにゃ！いってきま～す♪
美玲,はっ……し、しまった、ダッツに釣られちゃったぞ……。ふん、良い子になんてしてるワケないだろ。ウチは敵なんだぞッ。今のうちに寮中を調べてやる。何か悪だくみの証拠があるハズだ……。雑誌……マンガ……お料理のレシピ本……。映画のＤＶＤと……お、なんだコレ。アルバムか？。この日付……寮ができた日からか。へー……。ん……ウチの写真？いつ撮ったんだこんなものッ。……ふん。別に、こんくらいならいいけど……。って、アルバムなんか見てる場合かッ。もっと何か無いか、他にそれっぽいもの……。これ、ＣＤ？アイツらの曲か？。……ちょっと聴いてみるか。敵を知るにはこういうとこから入らないとな。えーっとＣＤプレイヤーは……。あったあった。まずこれだな。こ、この声ショーコか！？どうなってるんだ一体！？。……他にも聴いてみよ。……♪
みく,ただいまにゃー。美玲チャーン？
芳乃,遅くなってしまいましてー。約束のおみやげをー……おやー？
美玲,すぅ……すぅ……
みく,ヘッドホン付けたまま寝てるにゃ
芳乃,しーでーを聴いておられたのでしょうかー
こずえ,すー……すー……
みく,それでこずえチャンはいつの間に帰ってきてたの……？
こずえ,……んー……さっきー……
みく,鍵、みく達が持ってたんだけど
こずえ,じゃあいまー……
みく,じゃあて
芳乃,ふふー。このまま、夕餉まで眠らせておいてあげましょうー
美玲,すー……
ライラ,パピコさんを買ってきましたですよー
Ｐ,ライラ、おまいだったのか……冷凍庫にいつもアイスを補充していてくれたのは……
ライラ,日本の夏はアイスの夏でございますですねー
美玲,わ、ガイジンだ
ライラ,おー。ミレイさんのお話は聞いておりますですよー。わたくしライラと申しますです。ドバイから参りましたですねー
フレデリカ,そしてアタシはパリジェンヌ！フランス語わかんないけど♪
アーニャ,生まれは北海道ですけど、ロシアにもよく行っていました♪
美玲,二人は普通の人間か……。オマエんとこ、色んなヤツいすぎだろ
Ｐ,それな
ライラ,パピコさん、半分どうぞでございます
美玲,あ、ウン……さんきゅ
フレデリカ,それじゃアタシ達は二人で分け合おっか～
アーニャ,ダー♪
ライラ,ちゅーちゅー
美玲,ちゅーちゅー
フレデリカ,ちゅーちゅー
アーニャ,ちゅーちゅー
Ｐ,シュール
美玲,……ドバイって、どの辺なんだ？
ライラ,海の向こう、大陸を横切って、ずっと遠くでございますねー。ちょうどここに地球儀がありますです。くるくるー
美玲,うわッ！こんなに遠くなのか！？
ライラ,わたくしはメイドさんと二人で日本に来たのでございます
美玲,二人って……親、いないのかよ
ライラ,ドバイにおりますです。お父様にはナイショですけど、お母様とはたまにメイドさんが連絡してるでございますよ
美玲,ナイショ！？それって家出じゃないかッ！
ライラ,そういうことになりますですねー
アーニャ,アー……ライラは、大きなツェーリ……目的が、ありますか？
ライラ,それを見つける途中でございます。毎日とっても楽しいですねー
美玲,…………。ひょっとして……実家のこと、キライなのか？
Ｐ,……
ライラ,キライ……でございますか？
美玲,だって、ナイショで家出したわけだろ。何かイヤなことでもあったのか？
フレデリカ,……
美玲,もしそうならウチ、話くらいは聞いてやれるかも……
ライラ,ありがとうございますです。ですが、キライというわけではありませんですね。ほんの少し、見ている場所が違っただけでございます。わかりあうには、時間が必要ですから……。今はちょっとだけ離れようと決めたましたです。いつかは、ちゃんとお話しするつもりでございますねー
美玲,あ……そ、そうか。そうだよな。家がキライなヤツなんて、いるわけ……
フレデリカ,美玲ちゃんの髪ふわふわ～♪
美玲,わッぷ！？な、何すんだよいきなりッ！？
アーニャ,ほんとです。まるでサモエドの仔犬みたいですね♪
フレデリカ,なんのフレちゃんも負けてないよ！触って！触ってみ！ホレ！
美玲,なんだこのッ……わ、すごいサラサラ……！
ライラ,ライラさんもー
美玲,左右から金髪がーッ！？。く、悔しいけどなんかキモチ良かったぞ……
フレデリカ,楽しかったー？
美玲,ん……ちょっとなッ
フレデリカ,そかそか。それはセシボーン♪
アーニャ,ミレイ……。わたし達は、ミレイとは少し違うかもしれないです。ですが、こうして一緒に楽しい気持ちには……なれますね？
美玲,…………ん
Ｐ,……実家か。そこに何かありそうな……ん？美玲のリュックが動いて……
デビキャ,ﾓｿﾞｯ
Ｐ,
デビキャ,……
Ｐ,あの。美玲のリュックからぬいぐるみがひとりでに這い出てきたんだけど
デビキャ,小さき者よ……バリトンボイス
Ｐ,しかも喋ったんだけど！？！？！？
デビキャ,此の世には、汝の知らぬ理がある。蒙を啓かねば見えぬ道もあると知れバリトンボイス
Ｐ,しかもなんか説教されたんだけど……！！！！
ライラ,おー。ぬいぐるみさんとお喋りできるでございますですか？
フレデリカ,ワオ！これってファンタジーものだっけ？
美玲,あッ……！
デビキャ,心焉ここ
Ｐ,さっきからこのいい声で謎の格言を繰り返すぬいぐるみは何なの
美玲,ウチの相棒。祓い事の時に一緒なんだ。デビキャのぬいぐるみに入ってるけど、中身は違うぞッ
フレデリカ,おー、かーわいいー♡おいでおいでー
デビキャ,蛙よ、大海を知れ……バリトンボイス
美玲,勝手に動くなッ。仕事はまだ先だッ！
デビキャ,籠鳥檻猿――ままならぬものよなバリトンボイス
美玲,うっさい！
P,いい声で喋るぬいぐるみがリュックに詰め込まれた……
美玲,……わかってるよッ。けどウチだって、楽しい気持ちにくらい……
小梅,準備、できた……？
美玲,ん。ウチはいけるぞッ
輝子,り、リア充の巣窟……万全の装備を、整えなくては……
美玲,って、なんでこんないい天気なのに雨ガッパなんだよ！
輝子,リア充オーラに、やられてしまわないかと……
美玲,やられるか！
美穂,あれ？三人とも、今日はお出かけ？
小梅,うん……莉嘉ちゃんと美嘉ちゃんと、原宿に行くんだ……
響子,美嘉ちゃんが一緒なら大丈夫ですねっ
芳乃,原宿にゆけばー……なういふぁっしょんがわかるのでしょうかー……？
周子,あ、アレ結構引きずってんのね……
小梅,それじゃ、行ってきまぁす……
莉嘉,ほらここっ！ガルモンの直営ショップ！
美玲,おぉお……！！。こ、これ、見てきていいのか！？ウチしばらく戻ってこないぞッ！？
美嘉,いーよいーよ、アタシもパンク系は研究したかったし★
小梅,私も、こういう感じのは好きだから……♪
輝子,パンク……そっちも、い、いいな……ダムドとか……あ、違う？そうですか……
美玲,これッ！これ実物見たかったんだ！やっぱりウチのイメージ通りだッ！
莉嘉,わーっすごい！ツメついてる！ライオンみたいでかっこいー！
小梅,こういう合わせ方……どうかな……
美嘉,血糊っぽい柄を効果的に使いすぎでしょ……！
輝子,サイズなんざしゃらくせェエーーーーーッ！！これぞパーーーーーーンクッッ！！！
美嘉,自由すぎる！！
美玲,――へへ、大収穫だッ。ここまで来た甲斐があったな♪
莉嘉,アタシも結構買っちゃった☆今月のおこづかいはー……？
美嘉,お皿洗いとお洗濯たくさんすればママも考えるんじゃない？
莉嘉,んんっ！が、がんばるーっ！
輝子,いい感じのパーカーと……巡り会えました……
小梅,ふぇへへ……この帽子、血みどろっぽくて、気に入っちゃった……♡
美嘉,けど、美玲ちゃんもしっかりしてるよね
美玲,え……？
