志,どうだい？奉太郎？
奉太郎,える……俺は、自分がわからないっ！。お前が他の男の腕で果てる、想像しただけで、苦しい、激しい動悸がするんだ！。でもな、今の俺は、そうする事でしか勃てないんだよ！勃起しないんだ！。最低な男だよ……
える,っ！
奉太郎,っ……え、える？
える,貴方がそういう姿勢でどうするんですか。私だって嫌です。奉太郎さん以外の男の人に抱かれるなんて。それでも、貴方の為だからするんです。貴方はどっしり構えていればいいんですよ。そうでないと、私が了承した意味がありません。長い目で見ましょう。たった一度、私が身を切るだけで、問題は解決するんです
奉太郎,える…お前
える,それに私、これが終わった時、奉太郎さんがどう回復するのか、真に気になります。いい夢を見れるようになると良いですね
奉太郎,えるうううううう！！
える,よしよし
里志,概要を説明するよ
奉太郎,ああ
里志,まず、ホテルを二部屋予約する。両隣になるようにね。片方は僕と千反田さんの、もう片方は君が入るんだ
奉太郎,俺も部屋に入るのか
里志,その方が興奮するのさ。隣の部屋で情事が行われているという状況にね
奉太郎,そういうものか
里志,それできみにはある機械を渡す
奉太郎,なんだ？
里志,無線機みたいなものさ。君に渡した子機から、僕と千反田さんの部屋に設置する本機に電話がかけられるようになっている。ちなみに僕がとらずとも、自動で受信するんだ。僕たちの部屋で何が行われているか、聞きたくなったらかけるといい
奉太郎,…一体なぜこんなものを
里志,当日になったらわかるよ。ただし、一回の電話で通じる時間は三分に設定してある
奉太郎,制限時間をつけるのか？
里志,うん。といっても、かけたければ何回かけてもいいからね
奉太郎,……
里志,先に聞いて置きたいんだけど、行為に関して、これだけは守って欲しいってのはあるかな
奉太郎,……そうだな。ゴムを付けてくれればそれでいい
里志,本当にそれだけ？
奉太郎,何が言いたい
里志,普通なら、キスは辞めてくれとか、アナルプレイは駄目だとか、いろいろあるんだけどね
奉太郎,…さすがにアナルは…
里志,ふふ。了解。どうせ開発してないんだろ？
奉太郎,余計なお世話だ。そんなこと、えるにはさせられない
里志,大事にしてるね。それとホテルのお金は僕が払うよ
奉太郎,いいのか？
里志,これぐらいさせてもらわないとね。君達ばかりに身を切らせるわけにもいかない
奉太郎,わかった。よろしく頼む
里志,お安い御用さ
える,奉太郎さん、時間までまだあるので、少し散歩しませんか？
奉太郎,ああ、いいぞ
える,…
奉太郎,…
える,奉太郎さん。覚えていますか？私達が付き合い始めたころ
奉太郎,忘れるわけないさ。お前が俺に氷菓
える,ふふ、あの時私、上がっちゃって……告白なんて初めてだったから
奉太郎,俺から告白しようと思ったのに、先を越されるとはな
える,恋は先手必勝ですよ
奉太郎,尻に敷かれないようにしないとな
える,奉太郎さん。これが終わったら……旅行に行きませんか
奉太郎,いいな。二人で？
える,ええ。前に行った、温泉旅館へ
奉太郎,ああ、行こう
える,約束ですよ
奉太郎,…
える,…
里志,そう硬くならずにね。それじゃあ奉太郎、いってくるよ。手はず通りにね。行こうか、千反田さん
える,ええ……あの、奉太郎さん
奉太郎,……どうした？える
える,あの……キスしてもらえませんか
奉太郎,ああ
える,…んっ、ちゅっ、はぁ……ん…
奉太郎,んっ、…これで……いいだろうか……
える,はい。有難うございます。あの…
里志,千反田さん。そろそろ
える,あ……すいません福部さん。奉太郎さん……私……頑張りますから
奉太郎,あ……待っ
太郎,これから…えるが…里志に抱かれる……
奉太郎,……なんてことをしてしまったんだ俺は……こんなときになって後悔するなんて。…
える,ん、ちゅ、はむっ……はぁ…。里……んっ…はぁ、ちゅ
奉太郎,……ああ……えるぅっ
える,はぁっ！だっ…んんっ、ちゅっ、やっ。あっ、だっ…んんっっ！ちゅっ、はぁ…ん…
里志,んっ…ちゅっ、ぷはっ…綺麗だよ千反田さん
える,ぁ…んっ。ぁ………っ……あっ
里志,ちゅっ、じゅっ……んっ
える,っ………っあっ
奉太郎,があああっっ！！えるぅぅ
える,んっ………はぁ……ぁ…っ。はぁっ……っ…ぉ…ああッ。あ……っ……あんっ！！。いやっ…も、あっ！もっと…やさしくッッ、うんあッ！！。えっ。どうして……はぁ…はぁ…こんなものを？
里志,僕は…が好きでね
える,これ……
奉太郎,･･････！！お、おい。なんなんだよ一体！なにを持ってきたんだ！！。はぁ、はぁ･･････。こんなにエネルギーがいるものなのか。こいつはたしかに、制限時間があってよかった。永遠と聞かせ続けられたら、おれは本当に壊れてしまう。いや…まて…。ええい、悩んでも始まらん。どうせする事もない。えるにばかりこんな事させているんだ、俺は受け止めなければならない
える,んぐっ、んじゅっ…ん
里志,ぷはっ、んぐっ
える,んっ、んんっ。ごくっ。んっ。んぐっ、んんっ、や…んぐっ
里志,んっ、ーーー
える,ぷはっ…はぁ…はあぁ。もうお腹いっぱいですよぉ…
里志,まだ半分位残ってるよ。全部飲んでもらうからね。ほらっ、んぐっ
える,はぁっ…まだ飲ませるんですか、やっ…んんっんぐっ…んんっ。がっ、んっ！げほっ！げほっ
里志,ちゅっ、はぁ…気道に入っちゃったかな。ごめんね
える,はぁ、はぁ……もういいでしょぅ……里志さん。やぁ…んっ……おなかたぷたぷですぅ……やぁ…っ
里志,お腹触らせてご覧
える,……くすぐったい
里志,ここに僕が流し込んだ……が入ってるんだね
える,ぁん……
里志,かわいいよ
える,そんなこといわないで……
奉太郎,ああああああああああああああああ！！
里志,ちゅ…ズズっ…じゅっ
える,んふぅ…ふっ…んっ、んっ。んっ…んむ…んあああっ！あむぅっ。んん。はぁ…はあぁ…あむっ…んっ、んっ
里志,じゅるっ、ずずっっ、ぷはぁ
える,ぶっ、じゅっ、んんっ、んじゅ
里志,じゅるるるるるる
える,んっ。はぁ……あああっ！！あはぁっ……
里志,大分潤ってきたね。いい具合だよ
える,あっ、あっ、あんっ。はぁ…あふ……もう駄目…はぁ、はぁ
里志,それじゃあそろそろ
える,はぁ…んぅ…え？……きゃっ
里志,いいよね？える
える,！！お、おっきい……
里志,興奮させてくれるねぇ。その言葉って本当に僕の大好物さ
える,あ……ちょっとまっ
奉太郎,里志いいいいいいいいい！！。える………。ああ……がああああああ！里志いいいいいいいいい！！。……ああああああああ！。はぁ･･･････はぁ。はぁっ･･･あああ！！。ああ！！･･･はぁ･･････はぁ、あああ！。･････････ふぅ･･･ふぅ･･･。…俺は聞き届けなければならない。刻みつけなければ
える,あっ、あっ、あっ、んっ
里志,はぁっ…はぁ、気持ち良いよえる…
える,だっ、あっ、めぇっ！ああっ！あっ！。おっ、あっ、んあっ、ああああああっっ！！
里志,はぁっ、はぁっっっ！
奉太郎,ああ･･････
える,あんっ！！あっ、すごっ、いっ、っ
里志,お気に召されたようでっ、光栄っ、だよっ！ふっ
奉太郎,ヴぇ…おえっ…はぁ…はぁ…。もうたくさんだ……もう聞きたくない……。狂ってる……狂ってる。…………っ。………。……ふぅーっ。…お前にまで気を使わせるとはな。なぁ伊原。省エネ主義も考えもんだなぁおい。……。……。えるを……取り戻す。……いくぞ。える！！……。…って……あれ？。…二人がいない？。いや、違う。部屋はここであっているはずだ。なにせ、この部屋には鍵がかかっていない。･･･ッ！！。やはりここで･･･。･･･ぁ･･･はぁ･･･。･･････ぅ･･･ぁ･･･。･･････まってくれ。･･････お願いだ。ぁ･･あぁ････里志････お前。ははは･･････。･･････ああ。狂っている。なんでなんだ。なんでなんだあああああああああああああああああああああああああああ！！！
える,わあ･･･前来た時と変わっていませんね
奉太郎,そう･･･だな
仲良し姉妹,ごっゆっくり～♪
える,ありがとうございます
奉太郎,ああ、世話になる
仲良し姉妹,にしし♪
える,どうしました？奉太郎さん
奉太郎,い、いや別に
える,･･････。ねえ奉太郎さん？
奉太郎,･･･なんだ？
える,･･･少し散歩しませんか？。私、あれから考えたことがあるんです
奉太郎,･･････
える,お付き合いするというものがなんなのか。男女の交際の上での性行為の役割。愛を確かめ合うもの、お互いのぬくもりを感じ合うためのもの、自らの空虚感を埋め合わせるためのもの。はたして、私たちのそれは、どんな意味合いを持っていたのでしょうか
奉太郎,俺たちのは、その、あ、愛を確かめ合うものじゃ、ないのか？
える,本当にそうだったのでしょうか。本当に愛を確かめ合うだけのものであったなら。私たちにとって、性行為は、必ずしも必要なものではありません
奉太郎,･･････
える,なぜなら、そんなことをしなくても、愛を確かめ合うことはできるのですから。それでも、私たちがセックスにこだわった訳、あんなことまでして、セックスをもう一度したいと願った理由はなんなのでしょうか
奉太郎,･･････それは･･････
える,あの行為を私たちが承諾したのは、一時の気の迷いだったのでしょうか
奉太郎,そんなことは･･････
える,私は思うのです･･････奉太郎さん･･････あなたは･･････
奉太郎,その先は言うな！！！！
える,っ･･･
奉太郎,うう･･････
える,奉太郎さん･･･あの･･･
奉太郎,お前が言おうとしていることはわかってるんだ！そのとおりなんだよ！！。俺は･･･ただお前が･･･お前の痴態が･･････見たかっただけなんだ･･･。お前を言いように利用しただけなんだ･･････。許してくれ･･･。うう･･････える････うぁ･･･
NTRに主眼をおいたssって少ないから、俺が書けばきっと誰かが,俺の方がうまく書ける！！
