谷村東吉,４５
谷村,おっしゃる通りです。今の私は、サラ金に借金を抱えているんです
喪黒,なるほど……。私の仕事柄、あなたを放っておくわけにはいきませんねぇ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
谷村,ココロのスキマ、お埋めします！？
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
谷村,は、はあ……
喪黒,あなたのような人を救うのが、私の仕事なんです。食事が終わった後、相談に乗りましょうか？
BAR,魔の巣
喪黒,そうですか……。谷村さんは、典型的なパチンコ依存症のようですなぁ
谷村,はい。パチンコにのめり込んだせいで、私は多くのものを失いました
喪黒,金銭だけでなく……。家庭も、仕事もすっかり失ったのでしょうねぇ
谷村,その通りです。パチンコで生活費を使い込んだせいで、妻は息子を連れて家を出て行きましたし……
喪黒,ほう……。谷村さん。あなたの借金の総額は、どれくらいになるんですか？
谷村,600万円は超えていますよ
喪黒,600万円を超える借金……！さすがにそれは、あなた自身も危機感を覚えるはずでしょう？
谷村,もちろん、何とかしたいと思ってますよ！でも、私にはどうにもなりません
喪黒,借金を返す当てがないし、おまけにパチンコをやめたくてもやめられないから……というわけでしょうなぁ
谷村,そうです……。まさに、今の私は八方ふさがりの状態なんです！
喪黒,ねぇ、谷村さん。あなたはパチンコの負けを、パチンコの勝ちで取り返そうとしたでしょう？
谷村,ええ。私も典型的なギャンブル依存症の人間ですから、そういう心理状態になりましたよ
喪黒,でも……。パチンコの負けが重なり続けた結果、今のあなたは借金まみれになったのですよねぇ
谷村,はい。見ての通りですよ……。弁解の余地は、一切ありません
喪黒,大丈夫です。ある方法を使えば、あなたの借金は何とかなりますよ
谷村,えっ！？
喪黒,谷村さん、あなたにぴったりの所へ案内しますよ。交通費も私が負担しますから
谷村,ずいぶん遠くまで行っていますね
喪黒,次のバス停を降りたすぐ近くに、とってもいい場所があるんですよ。着きましたよ、谷村さん
谷村,ここはパチンコ屋じゃないですか……。一体、こんなところで何をしようって言うんですか？
喪黒,谷村さん。この店で、好きなだけパチンコをやってください
谷村,何ですって！？
喪黒,パチンコ異世界は特殊な店なんです。つまり、このパチンコ屋はいくらでも大出血サービスをしてくれますよ
谷村,ええっ！？
喪黒,いや、それどころか……。パチンコ異世界では勝ちがあっても負けることは一切ありません
谷村,そ、その話がもしも本当ならば……
喪黒,あなたはお金を稼ぎたい放題稼ぎ、気がついたら借金を完済しているというわけです
谷村,ゴクッ……
喪黒,さあ、パチンコ異世界に入りましょう。谷村さん
谷村,あれ？この店はお客さんが少ないですね……
喪黒,ここは開店して間もないですし、高速道路の近くにありますから……
谷村,なるほど。それで、一般人に店の存在があまり知られていないんですね
喪黒,谷村さん。お好きな台を打ってみてください
谷村,ど、どうも……
喪黒,じゃあ、私は控室でゆっくり休みますよ。用があったら呼んでください
谷村,よーーーし！！この台で、思う存分稼いでやる！！。いいぞ……！調子が出てきた……！
パチンコ台の中を勢いよく動き回る数多くの銀玉。スロットに表示される,７７７
谷村,やった！！とうとうやったぞ！！。喪黒さん！！
喪黒,これはこれは……。谷村さん
谷村,喪黒さん……！パチンコ異世界で、私は27万円稼ぎましたよ……！！
喪黒,ね？だから言ったでしょう。パチンコ異世界は勝ちがあっても負けがない、夢のパチンコホールなのだと……
谷村,いやぁ、まさかこんな店があるとは……。久しぶりに気持ちのいい思いをしましたよ！
喪黒,ギャンブルで勝つというのは、脳内麻薬を大量に分泌するものなんですよ
谷村,ねぇ、喪黒さん。これからも、この店に通い続けていいですか？
喪黒,もちろん……と言いたいところですが、あなたには約束していただきたいことがあります
谷村,約束！？
喪黒,そうです。谷村さんがパチンコ異世界に通うのは、今の借金を返済するためだけにしておいてください
谷村,わ、分かりました……。喪黒さん……
テロップ,1か月後――
谷村,今日で私の借金は、返済完了ですよね？
女性社員,はい
谷村,借金を返し終わったなら、新しい仕事を探すしかないが……。この年で再び正社員になるのは、難しそうだな……
バイトリーダー,谷村さーーん！！モタモタしないでくださいよーー！！
谷村,す、すみません！！
部長,おお！谷村じゃないか！
社員,谷村係長、こんなところで働いていたんですね……
谷村,あの、ご注文は……
一同,ざまあみろ！！
谷村,くそっ……！！あの店に通いさえすれば、俺はお前らよりも稼げるんだぞ……！！。そうだ……！俺にはパチンコ異世界があるんだ！。この店に通い続ければ、勝ち続けて気持ち良くなれるし……。俺はいくらでも金を稼げるんだ……！
喪黒,谷村東吉さん……。あなた約束を破りましたね
谷村,も、喪黒さん……！！
喪黒,私はあなたに言ったはずですよ。借金を完済した後は、パチンコ異世界には2度と通ってはいけない……と
谷村,そ、それがどうしたと言うんだ！！パチンコは俺の人生の全てなんだーーっ！！
喪黒,ほう……、それがあなたの答えですか。約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
谷村,ギャアアアアアアアアア！！！。た、助けてくれーーーーっ！！！
通行人たち,ウワアアアアアアアアアアアア！！！
喪黒,現在の日本では……、成人人口の3.6％に当たる約320万人が、ギャンブル依存症の疑いがあると言われています
