そのにじゅうさん,ケイトの場合
雪美,じゃぁ…一緒に…待ってていい…?
輝子,もちろんですよー…ﾌﾌｯ
雪美,クリスマス…
輝子,ﾌﾋ…?
雪美,輝子がくれた…キノコ…。ちょっと…怖かった……
輝子,ご…ごめん…ﾌﾋ
雪美,うぅん…。怖かった…けど…ちょっと……可愛かった。輝子…今年も……プレゼント…くれる?
輝子,も…もちろん…ﾌﾋ。つ…次は…ぬいぐるみとかに…する…
雪美,うん…。今年は…輝子にも…プレゼントあげる…ね?
輝子,う…うん…ありがと…ﾌﾋ
雪美,よいこで…待ってて……ね
輝子,うん…ﾌﾌ
そのにじゅうなな,大石泉の場合
泉,…。輝子?居るかしら?
輝子,い…いますよー…ﾌﾋ
泉,少しデスクを借りたいのだけれど、いいかしら?
輝子,もちろんいいですよー
泉,じゃあちょっとパソコン使うから電源のコンセントお願いできる?
輝子,ま…まかせて…ﾌﾋ
泉,ちょっと足とか当たっちゃうかもしれないけど…ごめんね?
輝子,い…いや、好きでここに居るだけだから…気にしなくても…ﾀﾞｲｼﾞｮﾌﾞ…ﾌﾋ
泉,わかったわ、気にはするけどね。…。…。…。…。…。…ふぁ。…ﾑﾆｭ。…ﾌﾆｭ
輝子,…。…。…ｵﾔｽﾐﾅｻｲ
泉,…んっ
そのにじゅうはち,東郷あいの場合
あい,輝子くん
輝子,な…なに?
あい,最近大変なのはわかるのだが…
輝子,う…うん…攫われたりした…ﾌﾋ
あい,なぜ私が膝枕を?。おい、Pくん。なんだ、居ないのか
???,…
あい,…ん?。誰だ?
輝子,…ﾌﾋ
あい,なんだ、輝子くんじゃないか。なにか用事かな?
輝子,う…うん…
あい,なんだ、早く言ってくれ、叶えられる限りなら聞くよ?
輝子,うん…ちょ…ちょっとだけでいいんですけど…。…い…言わなきゃ…ダメ…?
あい,出来るならね
輝子,な…なら…内緒で…ﾌﾋ
あい,そうか、なら無理には聞かないよ
そのにじゅうきゅう,クラリスの場合
クラリス,…たしか…プロデューサーさんの机の下…。…の隣ですね。輝子さん、いますか?
輝子,えっ…だ…誰?
クラリス,そんなこと気にしなくてもいいんですよ。Ｐ様から最近大変そうだと聞きまして。決して、こちらを覗いてはいけません。本音を話すためにはそれが必要です
輝子,う…うん…
クラリス,疑似的な懺悔室のようなものです、未熟者の私ですが。こんな私でも人一人の相談に乗ることはできます
輝子,じゃ…じゃあ…ﾁｮｯﾄﾀﾞｹ…ｵﾈｶﾞｲｼﾏｽ
クラリス,はい♪
輝子,じ…実は最近…攫われるんです…
クラリス,それは物騒ですね…
輝子,でっ…でも、そんなにイヤとかではなくて…。トモダチだし…抵抗しちゃったりしたら嫌われないかなって…
クラリス,…すこしお時間をください。すこし良いですか?
輝子,ﾎﾞｯﾁﾉｺｰ♪ﾎｼｼｮｳｺｰ♪…えっ…なに?
クラリス,輝子さん、あなたは事務所の皆さんが好きですか?
輝子,うん…
クラリス,私も事務所の皆さんが好きです。個性的な人たちが多くて、とても楽しいです。そんな中でみんなで仲良くできているというのは…。奇跡のようなものだと思いませんか?
輝子,そ…そうだね…ﾌﾋ
クラリス,輝子さん、あなたもその中の一人で。攫われたり、という悩みは私にはどうしようもありません。ですが、攫う人もいれば守ってくれる人も居たりするように。あなたは攫われる人としてそのままで良いのです。輝子さん、あなたの心構え一つで、攫われるという事象も楽しいものに変わったり…するかもしれません。受け入れることです
輝子,う…うん…ﾌﾋ
クラリス,すこしだけ…そちらへ行ってもよいですか?
輝子,う…うん…ｲｲｹﾄﾞ
クラリス,では。ふふっ…
輝子,ん…
クラリス,こんなに可愛らしいんですから、皆さんが攫いたくなる気持ちもわかりますね。あなたはそのままでいいんです
輝子,は…はい…ﾌﾋ
番外そのろく,諸星きらりの企み
きらり,にょわ！。きらりんぱわー☆。ふぅー☆ここの木は質がいいにぃ!!。きらりんハウスに輝子ちゃんの部屋を増築するにぃ！。次は一週間くらいはぴはぴすぅー☆。んん?なんかみくちゃんみたいな声が聞こえるにぃ?。…きにしないきにしないにぃ～♪。にょわー♪
そのさんじゅう,八神マキノの場合
マキノ,輝子さん、すこしいいかしら?
輝子,う…うん…なに?…ﾌﾋ
マキノ,少々、あなたを観察したいのだけれど…いいかしら?
輝子,い…いいですけど…なんで?
マキノ,同意を得て観察させてもらうからには説明は必要よね。インフォームド・コンセントというものね。かわいらしさ、というものを学ぶためよ。アイドルをやるからには私には努力をする義務があるわ
輝子,うん…ﾌﾋ
マキノ,私にはいわゆる可愛らしさというものが欠けているように思えるのよ。そのために最初はこずえさんを観察していたのだけれど。すこし目を離すと居なくなっちゃうのよ。居なくなる度に探していたのでは観察、分析が捗らないの
輝子,な…なるほど?
マキノ,それでプロデューサーに聞いてみたらあなたを勧められたのよ。あなたなら大抵ここに居るから観察しやすいだろうって
輝子,私は動かされない限りここに居続ける自信がありますよー…
マキノ,…
輝子,ﾐﾂﾒﾗﾚﾃﾊｽﾞｶｼｲﾎｼｼｮｳｺｰ…
マキノ,…
輝子,…。…♪。…ﾌﾋ
マキノ,…
輝子,…
マキノ,…。…
輝子,Zzz…。…ﾍｯｸﾁ!
マキノ,…毛布を掛けておきましょう。…すこし可愛らしさというものがわかったわ。…ふふっ
輝子,Zzz…
番外そのなな,安部菜々の憂鬱
菜々,するわけない
そのさんじゅういち,野々村そらの場合
そら,輝子～♪
輝子,…！
そら,じたばたしないのー☆
輝子,…！。…！
そら,輝子なんで無言なの～?。そんな輝子もかわいーよー☆
輝子,…
そら,あれ?じたばたしないの?
輝子,…
そら,ほらほらー☆れっつはぐー☆
輝子,…
そのさんじゅうに,伊集院惠の場合
惠,あなたは…旅って好きかしら?
輝子,広いところに行くのは…あんまり好きじゃない…ﾊｽﾞｶｼｲ
惠,旅は良いものよ、いろんな物を見ることが出来るし。人として…いえ人間としてかもしれないわね。成長できるものなの
輝子,…ｿｳﾅﾉ?
惠,今年の秋にね、お休みをもらってまた旅行に行こうと思うの
輝子,…?うん…ﾌﾋ
惠,Ｐさんがね、その旅にあなたも連れて行ってあげて欲しいって
輝子,うん……えっ?
惠,いつも机の下に居て、たまには遠出に連れて行ってやれ…ってね
輝子,…
惠,実は私、二人で旅に行くのは初めてなの。少し楽しみだわ。…よろしくね?
輝子,…
そのさんじゅうさん,水本ゆかり＆椎名法子＆中野有香の場合
法子,たっだいまー！
有香,お疲れ様です
ゆかり,すぅ…
法子,ありゃ?
有香,ゆかりさん寝ちゃってますね…
法子,ちょっと観察してみよっかっ♪
ゆかり,むにゃ…
有香,変化…ありませんね
法子,そうだね～。ちょっとつついてみよっ…
有香,法子ちゃん…あんまりやりすぎると起こしちゃいます
ゆかり,…ん
法子,おっ…?
有香,なんか手を動かして…なにかを探してるのでしょうか…?
法子,ねぇ…有香ちゃん
有香,ん?なんですか?
法子,ずっと気になってたんだけどね…
有香,えっ?
輝子,…ﾌﾋ
法子,さっきからプロデューサーの机の下で輝子ちゃんが寝てるの
有香,あっ…ホントだ…
法子,私ねっ…面白いこと考えたのっ！
有香,うん…?
法子,輝子ちゃんをね?。よい…しょっと
有香,…?仮眠室にでも運んであげるんですか?
法子,ううん…わっ…とと。よい…しょ
有香,ゆかりちゃんの横に?
法子,ゆかりちゃんなんか抱きしめるものが欲しいのかな～って。ほら、見てっ
ゆかり,ん…んん
輝子,…んー
法子,ほらっ…なんか微笑ましい感じにっ…！
有香,た…たしかに?
ゆかり,…き…き
法・有,…き?
ゆかり,…きのこが
法子,ど…どんな夢見てるんだろうね?
有香,そ…そうですね?
ゆかり,…みゅぅ
輝子,…ﾌﾌ
ちひろ,もれなく！あなたも良い夢?が見れるかも！。輝子ちゃん抱き枕！[ﾋﾟｰ]MCで絶賛発売中です!!
そのさんじゅうよん,南条光の場合
輝子,キノコの怪人…?
南条,そうなんだっ！。ヒーローたるもの、どんな怪人が出てきても倒せる知識を持っていなくちゃならないんだ！
輝子,そ…そうだね…ﾌﾋ
南条,そこで！キノコの弱点を聞きたいんだ！
輝子,ﾌﾋ…なるほどね
南条,輝子ならわかるはずっ…！と思ってな！
輝子,ﾌﾋ…。き…きのこなら乾燥すれば…弱る?かもしれない…ﾌﾋ
南条,なるほどっ！まずは炎だな！
輝子,でも乾燥させると…味に深みがでるキノコもあるよ…ﾌﾋ
南条,なんと!?。乾燥させても強敵になる可能性があるのか…！。キノコ…恐ろしい敵になりそうだなっ！
そのさんじゅうご,小室千奈美の場合
輝子,千奈美さん
千奈美,なにかしら?。私がここに居るのが不思議?ふふっ
輝子,うん…
千奈美,ちょっと落ち込みに来たのよ、前のライブ…負けちゃったの。自信はあったの…でも負けちゃった。Pさんが次がある、なんていって励ますものだから…。その場で落ち込む姿は見せたくなかったのよ
輝子,親友は優しいから仕方がない…ﾌﾋ
千奈美,そうね…。ここなら落ち込むのにはちょうどいいと思ってね、おまけに愚痴を聞いてくれる輝子が居るもの。ついでに、Pさんが帰ってきたら驚かしてやるのよ、ふふっ…。だいたいPさんはねぇ――――
そのさんじゅうろく,赤城みりあの場合
みりあ,…。輝子お姉ちゃん！
輝子,ど…どうしたの?
みりあ,着せ替えごっこしようよ！
輝子,…!?
みりあ,みりあね！前の輝子お姉ちゃんのライブの時の衣装がとっても可愛くてね！。とっ…ても感動したの！。あの衣装着てる輝子お姉ちゃんを見てね?一緒に着せ替えごっこしたいな～って思ったの！。えへへっ♪
輝子,
みりあ,だめ…?
輝子,…ｿﾝﾅｶｵｻﾚﾀﾗ…ｺﾄﾜﾚﾅｲ…ﾌﾋｨ
みりあ,やったー！。じゃあじゃあ！この動物園の時の私の衣装からいってみよーよっ☆
輝子,もうなんでもしちゃいますよー…ﾌﾌ
みりあ,わぁ～！輝子お姉ちゃんやっぱり可愛いよ！。すっごく似合ってるよ！
輝子,…
みりあ,輝子お姉ちゃんホントに可愛いー！。あれ?なんの音だろ?
輝子,…ｲﾔﾅﾖｶﾝ…ﾌﾋ
???,お持ち帰りするにぃ―♪
輝子,
???,にょわ！
輝子,
???,れっごー☆
みりあ,い…いってらっしゃい
