モバＰ,以降Ｐ表記です。脱いでもいいですか？
芳乃,おまたせしましたー
Ｐ,しかし芳乃遅いな。まさか道中事故か何かに…！って、絶対ありえないか
芳乃,そなたー？
Ｐ,卯月を肉弾戦で圧倒するぐらいだもんな…もしかして迷子？
芳乃,そーなーたー
Ｐ,うぉっ
芳乃,先ほどからー、ここにおりましてー
Ｐ,…
芳乃,おりましてー
Ｐ,…ああ、芳乃か！
芳乃,そなたの芳乃ですー
Ｐ,…これまた随分珍しい恰好だなぁ
芳乃,どうでしょうー、似合いましてー？
Ｐ,似合う似合う。いやぁ、ショートパンツ姿の芳乃なんてもう永久に見れないんじゃないか？
芳乃,大袈裟ですー
Ｐ,残念なのは生足じゃない事か…いやでもニーソ芳乃もまた新境地か…うーむ…
芳乃,少し落ち着かないのですー、足がすーすーとしますのでー
Ｐ,そりゃ普段ずっと着物だもんな。…しかしレアだわ。撮っていい？
芳乃,聞きながらシャッターが切られてますー
Ｐ,よし、この画像永久保存しよ。まるで晴の私服みたいだな
芳乃,お借りしましたのでー
Ｐ,本当に晴のかよ
芳乃,大きめのお召し物なのでー、わたくしでも丁度良かったのですー
Ｐ,活動的なスタイルの芳乃か…これは売れ…いや待てこれを世間に晒して良いものか…
芳乃,そなたー？
Ｐ,取りあえず服装に合わせてポニテにしてやろう
芳乃,あややー
Ｐ,到着してから言うのも何だけど、こんなところで良かったのか？
芳乃,はいー
Ｐ,近場のショッピングモールで良いなんて安上がりな娘だね。トライドロンで１０分の近場だぞ
芳乃,良いのですー。そなたとならばー
Ｐ,ま、いっか。ＧＷだし何かイベントやってるかもしれないしな
志希,んっふっふ～、お客さんお目が高いねぇ。今なら３４６アイドルの握手会開催中だよ～？
Ｐ,あ、普段よく見かけるのでノーサンキューです
志希,え、ひどくない？
芳乃,志希にゃん殿ですー
志希,お～芳にゃん。随分珍しい恰好だね～♪持って帰っていい？
芳乃,わぷぷ
Ｐ,うちの娘はやらん！
芳乃,ほほぉー。ではー、早速参りましょー
志希,まいりましょ～♪
Ｐ,お前は握手会やってるんだろうが
志希,や～ん！遊びたい～
Ｐ,それじゃこのハスハスよろしく
アッキー,任せておけ
志希,にゃ～ん！アタシもプロデューサーで遊びたい～！
アッキー,ファンの為に働くのがアイドルの使命ではないのか
芳乃,ご武運をー
Ｐ,本当にエンカウント高ぇな…ファミコンのＲＰＧ並じゃね？
芳乃,さてさてー、どこに参りましょうー？
Ｐ,ノープランなの？
芳乃,わたくしはー、ただそなたと一緒にお出かけがしたくてー。そなたは楽しくありませんかー？
Ｐ,何をバカな事を。芳乃と一緒にいて楽しくない訳があるか
芳乃,それは何よりですー
Ｐ,あ、そうだ。折角芳乃が昨日今日と珍しい恰好してるんだし
芳乃,ほー？。ここはー？
Ｐ,見ての通りだよ
芳乃,お召し物がいっぱいですー
Ｐ,すいませーん、試着室借りますー
愛海,宜しければお連れ様の着替えお手伝いしましょうか？うひひひ…
Ｐ,すいませーん、折檻室借りますー
清良,はいどうぞー
愛海,！？！？
芳乃,お洋服を買うのでー？
Ｐ,そりゃ服屋だからな。ここで野菜は買えないだろ
芳乃,ではではー、わたくしが見立てて差し上げますのでー
Ｐ,ところがどっこい。着せ替えられるのはお前さんだよ芳乃さんや
芳乃,ほー？
Ｐ,では、まず新鮮な芳乃を試着室に入れます
芳乃,ほほー？
Ｐ,次に、着せてみたい服を適当にチョイスして渡します
芳乃,あわわー
Ｐ,カーテンを閉めます。そしてしばらく待ちます。はい、カーテンオープン！
芳乃,ブレザー
Ｐ,…。うん、いいんじゃない？似合ってる似合ってる
芳乃,何故ー、撮る前に拝んだのですー？
Ｐ,ささ、次はこれいってみようか
芳乃,あやー
Ｐ,もういいかー？
芳乃,まだ脱いでもいませんのでー
Ｐ,まだかー？
芳乃,お待ちくださいー
Ｐ,カーテン式の試着室だから足元に脱いだ服が落ちるのが丸見えですわ…
芳乃,できましたー
Ｐ,開けるぞー
芳乃,スク水
Ｐ,渡しておいて何だけどさ、なんでこんな服置いてあるんだよ
芳乃,似合いましてー？
Ｐ,似合っているというか似合ってしまっているというか。よーし、どんどん行くぞ芳乃！心が躍るな！
芳乃,参りましょうー、華麗にー、激しくー
Ｐ,まずは定番、渋谷系！
芳乃,制服
Ｐ,普通の代名詞、体操着！
芳乃,ブルマ
Ｐ,アイデンティティがクライシス、猫耳！
芳乃,猫
Ｐ,続けてアニマルシリーズ、インベーターウサミン！
芳乃,バニー
Ｐ,何故かあったから着せてみた、某遊園地のマスコット！
芳乃,着ぐるみ
Ｐ,君の中の中学二年生が目覚めだす、ゴスロリ系！
芳乃,ぶりゅんひるで
Ｐ,いやぁ、凄ぇ楽しかった！
芳乃,それはそれはー、何よりですー
Ｐ,ああ、でも芳乃は疲れちゃったか？悪かったな着せ替え人形にしちまって
芳乃,わたくしも楽しかったのでー。お洋服はー、買わなくても良かったのでー？
Ｐ,使い道が無いですわ。仕事ではちゃんと衣装があるし
芳乃,お家でウサギさんはー、駄目なのでしてー？
Ｐ,あのですね、埼玉県民が金剛石並みの理性があると言っても限度というものがだね
芳乃,Ｐ殿ー？
Ｐ,唐突に名前で呼ぶなぁ。入籍したくなるだろ。結局映画も観ちゃったな
芳乃,手に汗握る、素晴らしい作品でしたー
Ｐ,確かに面白かったな…特にクライマックスのデーモン・クラリスとマジカルレイコのガチバトルは熱かったな
芳乃,あの居飛車穴熊が勝敗の決め手になるとはー。…ほー
Ｐ,ん、ちょっとお腹すいたな。その辺で何か軽く食べようか。何食べたい？
芳乃,歌舞伎揚げを所望いたしますー
Ｐ,ねぇよ
紗枝,１枚７０円どすー
Ｐ,あったよ
芳乃,１６枚くださいましー
紗枝,毎度おおきにー
Ｐ,…何してんの？
紗枝,ご覧の通りどす
Ｐ,分かんないから聞いたんだけど。まぁいいや。俺も１枚貰おうかな
紗枝,醤油と味噌とメキシカンチョリソー、どれにしましょ？
Ｐ,って聞きながらやたらスパイシーなモノを差し出してるのは何で？
紗枝,んふっ
芳乃,はふはふ、サクサクですー
Ｐ,ここでちょっとお茶していくか。しょっぱいもの食べて喉乾いたし
芳乃,はいー。そなたーそなたー、かっぷる割引、というものが行われているようですー
Ｐ,ああ、本当だ。流石に芳乃と俺じゃあ兄妹にしか見えないだろ
芳乃,親子ではないのでー？
Ｐ,流石に芳乃ぐらいの娘がいる年齢じゃないぞ！。けど残念だったな。１０％オフになるみたいだったけど
芳乃,２６
Ｐ,おまっ
芳乃,１６５cm
Ｐ,いきなり等身伸ばすな！エグゼイドかお前は
芳乃,85-60-85
Ｐ,見えるかもしれないけど戻りなさいな。その和服美人にはもっとゆっくり成長していきなさい
芳乃,むむー。ならば、逆転の発想でしてー
Ｐ,あばばっ
芳乃,これならばー？
Ｐ,１６
未央,どったのしぶりん。いきなり立ち止まって
凛,あ、ゴメン…向こうのほうで私が付き合っても合法的な若さのプロデューサーがいたような気がしてさ
未央,あー、日差し強いもんねぇ。どっかで帽子でも買う？
凛,ううん平気、それより早く卯月を見つけないと
未央,それもそうだね。おーいしまむー！ビスコあげるから出ておいでー！
芳乃,ごちそうさまでしたー
Ｐ,美味かったです。んで芳乃さんや、そろそろ元に戻してくれない？
菜々,またのご来店をお待ちしてますねー♪まぁ、ナナは一日限りの店員ですけど。…ところで芳乃ちゃん、ナナの事もプロデューサーさんみたいに若返らせるなんて事は…
芳乃,その願いはわたくしの力を超えておりますのでー
菜々,え？
Ｐ,１２
晴,どうかしたのか橘。いきなり立ち止まって
ありす,あ、すいません…向こうのほうで丁度私とお似合いぐらいの年齢になったプロデューサーがいたような気がして
晴,あー、うん…今日って日差し強いもんなぁ。ジュースでも買ってくるか？
ありす,いえ、大丈夫です。それより早く文香さんを見つけないと
晴,そうだな。おーい文香ーっ！キュータマ買ってやるから出てこいよーっ！
Ｐ,おっさん
芳乃,ダンディ…坂野でして？
Ｐ,あんな目に痛い黄色スーツ着てねぇわい。んで、次はどうする？
芳乃,のんびりとー、歩きながら考えましょー
Ｐ,…それもそうだな。折角の連休なんだし。おっ見てみ芳乃。もうすぐイベント広場でスプリングマンＶＳかな子の試合があるみたいだぞ
芳乃,おおー。そなたー
Ｐ,うん？
芳乃,そなたは今、楽しいですかー？
Ｐ,お陰様で
芳乃,それは何よりですー。やはり、そなたには笑っていてほしいのでしてー
Ｐ,何だよ藪から棒に。普段から笑ってるだろ？
芳乃,そのようなー、草加雅人のような笑みは嫌なのですー
Ｐ,草加じゃないよジュウオウバードだよ
芳乃,違いがわかりませんー
Ｐ,ふわぁぁ…。うん、今日からまた出勤だ………事務所だけピンポイントで爆発しねぇかなぁ
芳乃,むにゅぅう…。あさでふふぇー…？
Ｐ,おはよ。ほれ、顔洗っといで
芳乃,今日はー、どこにあそびにまいりましょー…？
Ｐ,目ぇ擦るなって。ＧＷはもう終わったよ。今日からまた仕事だよ仕事
芳乃,…ほー？
Ｐ,あかん、めっちゃ寝ぼけてるわこの娘ったら。先に顔洗うからなー
芳乃,…。……。ほー…？
カレンダー,平日やで
芳乃,………。むむぅー
Ｐ,ふぃ～、サッパリした。おーい、芳乃も洗ってきなさいー
芳乃,はいー。そなたーそなたー、今日はどこに参りましょうー？
Ｐ,いや、だから今日からもうお仕事ですよ。もう散々遊びつくしただろ？
芳乃,ほー？
Ｐ,あちこち行ったじゃないか。スイーツバイキングに磯釣りにヘルヘイムの森に及川牧場に雀荘に千葉のネズミーランドに…。またガッツリ働かないとですよ
芳乃,そなた、そなた
Ｐ,うん？そのカレンダーが一体どうし…
カレンダー,ＧＷ初日やで
Ｐ,
芳乃,ですー
Ｐ,…。…
芳乃,どこに行きましょうー？
Ｐ,寝る
芳乃,あー、だめですーお布団に戻ってはだめですー
アッキー,終わりだ
こずえ,いんががくるうからー…だめだよぉ…
茄子,気持ちはわかりますけど自重しないと駄目ですよ。めっ
芳乃,ごめんなさいですー
