モバP(以下P表記),お疲れ様でーす。……誰かいるか？
保奈美,Pさん？なにが言いたいのかしら？。とりあえず二人とも正座しなさい。なるほどね……龍角散のど飴が美味しいか否か。確かに龍角散が美味しいと思うのはマイノリティだと思うけれど
杏,ほら！やっぱり龍角散は美味しい飴じゃないんだよ！だから杏の勝ちで―――
保奈美,まぁ、私は美味しいと思うわ。慣れると匂いが癖になるし、意外と甘味を感じるからのど飴の中でも一番好きかも
杏,ほらね。やっぱり保奈美は味覚も身体もアラサーなんだよほんとに
保奈美,杏ちゃん？私あなたより一つ年下なんですけど？
杏,保奈美。実年齢が身体と一致してるとは限らないんだよ？
保奈美,うっ………
モバP,ぐうの音も出ない正論と裏付けがそこにあったのだった
保奈美,で、でも劇団の同年代で龍角散毎日舐めてる子いたし！龍角散が美味しく感じるからってアラサー扱いは酷いと思うわ！
杏,そもそものど飴なんていっぱいあるのにさ、龍角散が一番美味しいってそれ女子としてどうなの？
保奈美,だ、だってほんとに美味しいんだもの！！
杏,じゃあ龍角散の次に美味しいのど飴は？
保奈美,のど黒飴
杏,……ごめん。思ってたよりひどくてフォローできない
保奈美,わああぁぁああん！Pさああぁぁあん！
P,はいはい、よしよし。大丈夫ですって。別にのど飴の好みごときで女子力なんて変わりませんて
保奈美,うぅ……
P,俺も龍角散が一番好きですよ。お揃いですね
保奈美,………
P,あ、のど飴要ります？龍角散ですけど
保奈美,貰う……
P,はい、あーん
保奈美,あーん
P,さっき保奈美さんも言いましたけど、仄かに甘いんですよねぇ。意識してなかったけど、これが感じられると美味しく感じるようになるのかな
保奈美,……んふふ
P,ん、美味しいですね
保奈美,ええ。美味しいわね
杏,………なにこの甘ったるい空間。龍角散が美味しくなったらどうしてくれる。……そろそろいいかな。噛み砕いちゃお
P,おいおい、口ん中切るなよ
杏,早く口の中を洗い流したいんだよぅ。あー、でも臭い取れないな……
保奈美,慣れないと一時間は気になるわよね。他の飴を舐めてもほんのり漢方の匂いが混ざっちゃうし
杏,でも放置が一番しんどいよ……口直しになるもの何かない？
P,あるぞ。ちょっと待ってろ。ほら、好きなの選べ
杏,初めからそれ聞けよッ！！
P,いやだって、喉辛そうだったし……
杏,確認しなかった杏も悪いけどさ……でもそれらがあったのにまず龍角散ってのは納得いかないよ
P,だってこいつら効かないんだもの……
杏,じゃあなんで買ってきたの？
P,この事務所、子供も多いからなぁ。流石に小学生に龍角散はキツイだろうし
杏,その発想をどうして未成年に置き換えてくれなかったのか……
P,だって保奈美さんは喜んでくれるし
杏,……薄々気付いてたけど、さっきの勝負出来レースだったんじゃないの。タイミング良すぎだったし
P,さて、なんのことやら。それで保奈美さん。そろそろ離れて貰ってもいいですか？
保奈美,あと一時間延長で
P,そういうお店じゃないですから
杏,しかし、こんなにあると迷っちゃうね
P,俺だったら龍角散一択だけどな
杏,黙っててよ頭PaP
P,なぁ、それはハッチャケてるって意味か？それとも涼しいって意味か？
保奈美,私だったらかりんのど飴かしら
杏,ほんといちいち選択がおばさん臭いよね
保奈美,離してPさん！やっぱりこの子は一回教育しないと駄目だわ！
P,どうどう。保奈美さん、気持ちはわかるけど。結局選んだのはフルーツのど飴か。無難だな
杏,シンプルイズザベストって奴だよ。それにこれなら適当に掴んで味を楽しむ事もできるし
保奈美,確かに、幾つか違う種類が同じ袋に入ってると、なんかお得感あるわよね
杏,そうそう。口に放り込む度に味が変わると飽きないしさ。飴ってのは効能だけで選ぶものじゃないよ、舐めてて楽しいかってのも選択肢に入れないとね
保奈美,言われてるわよ、Pさん
P,そう言われると耳が痛いな。でも、あんまり好きじゃないんだよなぁそれ
杏,えー？どして？
P,それってさ。固いくせに粘度が高くて気泡の含有率は低いんだよ
保奈美,それっていい事なんじゃないの？
P,ええ。それ自体は悪いことじゃないし、寧ろ美味しい要素です。実際昔はよく舐めてましたよ。ただ……
杏,ただ？
P,舐めてると、凄く平ぺったくなるまで残っちゃうんだよ。噛み砕けないんだ。んで、歯に挟まったり口の中切ったりして、最近舐めなくなった
杏,……舐め方が悪いんじゃないの？
P,否定はしない。噛み砕いてフィニッシュが俺の舐め方の基本だしな
保奈美,でもそういう人多いわよね。確かに、無闇に噛もうとすると歯にくっついたりして、せっかちな人には向いてないかも
P,一番飴らしくて美味しいんですけどね
杏,ふーん……うん、美味しい
保奈美,じゃあ、Pさんはこの中だったら何を選ぶ？
P,この中だったら、e-maですかね。のど飴というよりお菓子感覚で食べます
杏,あぁ、わかる気がする。これ、美味しいんだけど飴って感じしないんだよね
保奈美,中身が粉末だものね。飴独特の余韻っていうか、そういうのがもう別物だと何か違う感じするわ
杏,杏はあまり噛まずに舐めきる派だけど、これだけは絶対噛んで終わっちゃうなぁ。終わりかけだとザラザラしてて鬱陶しくなるんだよね
P,俺なんかまだ舐め始めたばっかの時でも噛み砕こうとしちゃうんだよな。本能的に飴という認識をしていないというか
保奈美,でも噛まない方が喉に良いんじゃないの？
P,保奈美さん、もしかしてトローチと一緒にしてません？トローチは殺菌成分と抗生物質で出来てるので噛まずにゆっくり溶かすのが効果的ですが、e-maはアレただの砂糖と澱粉を味付けしただけの粉に過ぎませんよ
保奈美,え、そうなの？やだ……ちょっと恥ずかしいわね
P,まぁ、そんなこと言ったら一般ののど飴なんてほとんどがただの砂糖の塊ですから。こいつらメントールとか除けば薬効成分関係なしで、ただ喉を潤すためだけの存在ですよ
杏,そうなんだよねぇ。だからただの砂糖の練り物にのど飴って付けて売る事もできるよ。そもそもここに置いてあるのも全部括りとしては医薬品じゃないからね、似たようなものだよ
保奈美,なにかしら……どことなく現実を見せつけられた気分だわ
P,強いて言うなら、はちみつきんかんのど飴とかは成分的に効果はあるかもしれませんね
保奈美,蜂蜜が喉にいいのよね。保湿成分、豊富なビタミン、そして殺菌作用があるんだったかしら
P,はい。ローヤルゼリーは一種の万能薬ですからね、喉が荒れた時はこれが一番適しているかもしれません
保奈美,それでもe-maの方が好きなんでしょ。どうして？
P,体質的な問題かもしれませんが、舐めてると汗が出てくるんですよ。蜂蜜は体を温める効果もあるから、そのせいかも
杏,あれ？蜂蜜って温冷平性じゃなかった？
P,うーん、その通りなんだが、蜂蜜に含まれる糖質自体は体を温める効果もあるんだ。それが蜂蜜の様々な成分やキンカンの豊富なビタミンCなんかと合わさってさらに効果的になってるのかもな。さっきも言ったけど、体質的な問題だな。多分
保奈美,そうなの。てっきりキンカンの方が苦手だからだと思ってたわ
P,キンカンは子供の頃よく爺ちゃん家でもぎって食べてましたね。皮が美味いんですよ、皮が
保奈美,皮って、苦くなかったの？
P,爺ちゃんのは結構甘かったですね。その代わり中身はかなり酸っぱ渋かったので、皮だけ囓ってあとは木の根元に捨ててましたよ。家庭菜園でしたから、味にしろ扱いにしろ色々雑でした
杏,へぇー。……そういえばなんでレモンじゃなくてキンカンなんだっけ？
P,皮にビタミンPが多く含まれてるからだな。他の柑橘類にも含まれてはいるが、大体皮が厚くて硬いし、キンカン程食べ易くないから……なんじゃないか？
保奈美,急に自信なくなったわね
P,言っててレモンでも問題なさそうな気がしまして……
杏,詳しい話はメーカーに聞いた方がいいってことだね
保奈美,じゃあかりんのど飴はどうなの？成分も蜂蜜に劣らず凄いんでしょ？
P,そうですね。かりんはポリフェノールや咳止めの薬用成分が含まれているので、蜂蜜よりも喉に優しいかもしれません。他にも感染症予防とか、豊富なビタミンCやクエン酸から疲労回復にもなりますよ
杏,まるで風邪予防の為の存在ってくらいいいのが揃ってるよね。結構身近な植物なのに
P,その割にはあんまり売買してたり調理したりする話聞かないんだよな……時代か
保奈美,大抵、落ちてた果実をサッカーボールにしてたってぐらいよね。かりんの話題って
杏,甘そうないい匂いするんだよねぇ。食べた事ないけど
P,そのまま食べるとうぇってなるぞ。砂糖や蜂蜜で漬けると風味が良くなる
保奈美,じゃあ結構かりんのど飴舐めるの？
P,実は味が苦手で……
保奈美,(´・ω・)
杏,ここにきて味覚の違いが出たね
P,VC3000はたまに舐めたくなりますね
杏,んー、杏はアレあんま好きじゃないんだよね
保奈美,舌が切れちゃうからかしら？
杏,そーなんだよ。アスコルビン酸、つまりビタミンCって酸性だからね。杏の舌は強くないからすぐ荒れちゃってさ
P,荒れたところに、飴の気泡でできた鋭い部分が引っかかると痛いんだよな
保奈美,それでも舐めたくなっちゃうの？
P,酸っぱいのが欲しくなる時があるんですよ。普段はそうでもないんですが、時折すごく
杏,杏にはわかんない衝動だね
P,いずれ分かるようになるさ。お前は女だしな
保奈美,セクハラよPさん
杏,慰謝料として新しい飴を要求する
P,はいはい。どれがいい？
杏,VC3000
P,嫌いなんじゃなかったか？
杏,なんとなくだよ。なんとなく
保奈美,………
P,保奈美さんもですか
杏,うーん……酸っぱい
P,それがウリの一つだからな。なにせ一粒で一日のビタミンCの推奨摂取量をオーバーするわけだし
保奈美,弱い人はすぐにお腹下しそうね……でも唾液がいっぱいでてくるから潤すにはもってこいかも
P,ですね。あと、さっきは省略しましたけどハーブやメントールを含んだ素材も入っているのでこれも予防に適してます
保奈美,スーッとするやつでしょ？咳止めと鎮痛作用があるんだったかしら？
杏,そうそう。大体はハーブエキスなんかの形で入ってるよね。まぁ舐めてても気にならないし、気休め程度ぐらいだと思うよ
P,基本は唾液による喉の保湿が目的だしな。e-maには入ってないし
保奈美,じゃあ、これは？キシリクリスタル。これ真ん中のやつはスーッてするじゃない
P,んー、真ん中の層はキシリトールなんですよね。歯に良い甘味料ってのは有名だと思いますが、喉に良いってのはどうなんだろ……
杏,キシリトールは冷たく感じるってだけで、あるとしたら清涼感を与えることぐらいなんじゃない？
保奈美,そうなの……結構買う人見るから、喉に良いのだと思ってたわ
P,安くて美味しいですからね。のど飴としてよりお菓子として買う人も多いんじゃないでしょうか
杏,杏は個人的に好きじゃないなぁ。三段層って発想は面白いけど、食感がねぇ
P,子供たちには人気なんだけどな。剥がして並べてべーって見せてくるよ
杏,なんか邪な想像になっちゃうんだけど
P,紳士はそんなのに反応しない。断じてだ
保奈美,結局のど飴談義になっちゃったわね
杏,まぁたまにはこういうのもいいよ。今度いろんな飴持ってきてよねプロデューサー
P,たかる気か。まぁ楽しかったし、珍しい飴とか地方限定の飴とか並べてみるのも面白いかもな
千川ちひろ,それもいいですけど、お仕事として入れる事も検討してくださいね
P,うおっ！ちひろさん、いつの間に！
ちひろ,ついさっきですよ。それより、最近レポーターのお仕事が増えてまして。来週までにささっと企画をまとめてもらってもいいですか？はいこれ参考資料です
P,うへぇ
杏,え～、こういうのは仕事じゃないから楽しいのに
ちひろ,まぁそうかもしれないけど、こういうネタは復興運動とかに使えるからオファーが多いのよ。ね？お願い、杏ちゃん
杏,うーん………
保奈美,今度遠征したときに色々買ってくるわ。そのとき見せ合いっこ、食べ合いっこしましょ？
杏,……そだね。なるべく高級な飴食べさせてよねプロデューサー
P,しゃーない、任せろ。報道陣にかけあってみる
ちひろ,お願いしますね。あ、杏ちゃん。そういえばきらりちゃんが下で待ってたわよ。事務室にいたら伝えてくれって
杏,え、ほんと？……あー、メール来てる。それじゃ杏帰るね。お疲れ様
Pち保,お疲れ様
ちひろ,それじゃ、私もあがらせていただきますね。書類置きに来ただけなので
P,はい、お疲れ様です
ちひろ,Pさんも保奈美さんも。お疲れ様でした
保奈美,また明日、ちひろさん。……どうしてちひろさんまでさん付けなんでしょうね
P,深く考えたら負けですよ。……さて。俺も適当に切り上げますかね。保奈美さんはどうします？
保奈美,待つわ。丁度暇つぶしになるものが机の上に置いてあるし
P,あんまり舐めすぎてお腹壊さないでくださいね
保奈美,もうっ、平気よ。子供じゃないんだから
P,そうですね
保奈美,……これはこれでなんか複雑な気分だわ
P,どうしろと言うんですか……
保奈美,子供扱いして欲しい時と、して欲しくない時があるのよ。女の子にはね
P,それ川島さんにも言われた事あるんですけど、どういう反応すればよかったんですかね？
保奈美,それを私にいう時点で悪意しか感じないんだけど？
P,ごめんなさい謝りますからやめて保奈美さんの蹴りはご褒美だけど痛い！
保奈美,もう、Pさんはデリカシーがなさ過ぎなのよ
P,気をつけます
保奈美,いっつも返事だけはいいんだから。瑞樹さんだって怒ると怖いのよ？変な受け答えしなかった？
P,川島さんなら子供役でもウケが取れそうですねっていいました
保奈美,若いと言ってるのか馬鹿にしてるのかよくわからない反応ね……
P,前者で捉えてくれたようで、今度飲み会に連れて行ってくれるそうです。楓さんと柊さんも一緒で
保奈美,気付いてPさん。それただの罰ゲームよ
P,女性の心模様は難解ですね
保奈美,発言がどうとかは置いといて、とりあえずその括りの中に私が含まれてる気がしてならないのが心配ね
P,………うーん？
保奈美,あら、どういう意味？
P,あ、いや……変な意味じゃないんですが……なんというか
保奈美,はっきりしないわね。何か含みでもあるの？
P,そういう訳では……ただ……
保奈美,ただ？
P,ただ、保奈美さんの考えてる事なら大体わかるというか……でもわからない時もあるので、どう答えようか……
保奈美,………ふーん。じゃあ当ててみて。今私はどっちの気分？
P,それは……
保奈美,わかんない？
P,なんとなくわかりますけど
保奈美,そう。それなら、今して欲しい事もわかるわよね？
P,………
保奈美,……ふふっ
P,………。龍角散でいいですか？
保奈美,うん♪
