モバＰ,以降Ｐ表記でしゅ！…です
Ｐ,別に嫌ってないよ。好きでもないけど。んでもって蘭子、懐潜ろうとするのやめて。俺今スーツなんだし
卯月,蘭子ちゃんなんか目覚めちゃってますね！
Ｐ,はてさて、今度はどんな手でいくか
凛,まだ諦めてないんだね
Ｐ,仕方ないだろ、また被害が出たんだから。生着替え熱湯コマーシャルのコーナーで大惨事になったらしくてな
周子,人選良いのやら悪いのやら
卯月,何だか年齢がバレそうなコーナーですね！
凛,でも寒がらせても駄目だったんだし……あ、じゃあ今度はもっと直接的な手段でいくのはどう？
Ｐ,直接的？
凛,うん、プロデューサー、ちょっと両手を後ろにやってみて？
Ｐ,ん、こうか？
凛,うん、そう
Ｐ,ちょっ
蘭子,公僕の封印器具か！わっ、手錠です！
凛,どう、流石に両手が使えなかったら脱いだりできないよね
卯月,でも手錠なんて簡単にブチグチャッて出来ませんか！
周子,あのね？みんながみんな卯月ちゃんみたいにパワフルじゃないんよ
Ｐ,なるほど…一理あるな。よし、これでいこう
周子,いっちゃうんかい
Ｐ,じゃあ凛、これ外して？
凛,え？
Ｐ,え？
愛梨,おはようございます～。わぁ、事務所の中暖かいですね
周子,入ってきた瞬間からもう脱ぎ始めとるよ
Ｐ,いかん！止めろ！
蘭子,その衣は解かせぬ！異境の者の魔眼に捕らわれん！ここで脱いじゃ駄目です！埼玉県民が見てます！
卯月,自分で脱ぐより脱がせるほうが男の人は喜ぶそうですよ！
愛梨,えっ、えっ？な、なんで私いきなり捕まえられてるんですかっ！？特に卯月ちゃん力強い！
凛,はい、ちょっと捕縛するよ
愛梨,ひゃっ！えっ、手が動かせないよ？
周子,後ろ手に手錠かけられてるアイドルってのもどうなんよ
Ｐ,今更だけど絵面的に完全アウトだよな、これ
周子,手錠かけられてるプロデューサーも見た感じアウトだね
愛梨,外してください～これじゃあ動けませんよ～
凛,駄目だよ。外したら脱ぐんだから。ねぇプロデューサー？
Ｐ,いや、俺の手錠は外してくれよ
愛梨,うぅ～…！酷いです～どうしてこんな意地悪するんですか～？
卯月,愛梨ちゃんだって毎回健全な男子の理性に意地悪かましてます！
愛梨,そんなことしてないよ～！
蘭子,同胞よ、初代の封印に綻びが見え始めたぞプロデューサー、愛梨ちゃんが暴れるたびに服がはだけてきてますけど…
周子,両手塞がれとる状態で脱げかけ状態で実にけしからん格好になっちゃったやん
愛梨,外してください～意地悪しないでくださいよぉ～…
Ｐ,飛ぶな跳ねるな！何かめっちゃユサユサしてどんどんはだけてきてるんだけど！
卯月,両手塞いでも意地でも脱ごうとする露出狂の鏡ですね！
凛,しょうがないなぁ…じゃあ両足も封じようか
卯月,なら騒がないように口にガムテープしましょう！
愛梨,もがもがっ！もふっ！もふっふ！？
周子,わぁ、物凄い光景になっちゃったんだけど
蘭子,ドナドナか！今にも出荷されそうな姿になっちゃいました！
Ｐ,おーいそこのサイコ娘達。流石にやりすぎだ。犯罪臭しかしねぇ
愛梨,ふもっふ！
Ｐ,大失敗だったな…
周子,あのヘレンさんが真顔で何やってるんですか
卯月,事務所に来たらアイドルが手足と口拘束されて半裸になってたらビックリしますよね！
蘭子,言霊を封ずる術式は狂魔の仕業ぞ口を塞いだのは卯月ちゃんだよね？
Ｐ,俺、危うく社会的に抹殺されるとこだったぞ…元凶のクンスカ渋谷はどこいったよ
周子,あー、凛ちゃんなら勝手に手錠持ってったって早苗さんにお説教されとるよ
卯月,しかも２個ともブッ壊しちゃってますしね！
蘭子,封印を解き放ったのは修羅の仕業よ手錠引き千切ったの卯月ちゃんだよね？
Ｐ,しかし手を塞ぐのも駄目か…どうすりゃいいんだ？
卯月,諦めて脱ぎたいだけ脱がせましょうか！
周子,あかんて。愛梨ちゃんがＴＳＵＴＡＹＡの暖簾の先のコーナー専属女優になっちゃうやん
蘭子,暖簾の先のコーナー？
Ｐ,蘭子はまだ知らなくていい世界だよ
周子,あ、シューコちゃん良い事思いついた
卯月,愛梨ちゃんのデビュー作ですか！？
Ｐ,卯月、ステイ
卯月,しまむっ
蘭子,卯月ちゃんはどうして首ねっこ捕まれるとおとなしくなるんだろ…
周子,逆転の発想だよプロデューサー。服を脱がせないんじゃなくて、脱げない服を着せればいいんよ
Ｐ,脱げない服？
周子,前のロケで丁度良さげな衣装があったの思い出したんよ。持ってくるからちょっと待っててねー
Ｐ,周子のアイディアかぁ…不安しかないわ
卯月,しまー
蘭子,ククク…牙をもがれた哀れな魔獣よ大人しい卯月ちゃんなんて物凄く珍しいです！
周子,お待たー
Ｐ,おかえり。八つ橋貰ってるぞ
蘭子,ヒンナヒンナ
Ｐ,それ事務所で流行ってるの？
卯月,しまむー
周子,丁度そこで愛梨ちゃんにバッタリ会ったからさ。衣装渡してきたよ。これでもう問題解決やね
Ｐ,どんな衣装なんだか…それによく愛梨もホイホイ受け取ったな
周子,プロデューサーの趣味だよーって言ったらホイホイ受け取ったよ
Ｐ,あいつ本当に悪い男に引っかからないだろうな
蘭子,破壊の神よ、その牙を今こそ解放せん卯月ちゃんはい、あーんして
卯月,しまー…あむあむ
Ｐ,そろそろ手が疲れてきたから卯月離したいんだけど
周子,あ、来たよ
愛梨,潜水服
Ｐ,そりゃ脱げないだろうけどさぁ！
蘭子,水魔の化身か！無駄に本格的です！
周子,どうよ。これなら愛梨ちゃんも脱いだりできないっしょ。周子ちゃんグッドアイディア
Ｐ,見た目的に完全アウトだよ。アイドルなのにビジュアル完全アウトだよ
周子,えー？でもほら、お顔はちゃんと見えるよ？あ、曇っちゃってる
Ｐ,愛梨要素皆無じゃねぇか。これ愛梨じゃなくてただのダイバーだよ
蘭子,始まりの地に降り立つことも叶わぬではないか！お仕事以前に事務所にも入ってこれないです！
卯月,まむー
周子,ありゃりゃ。良い考えだと思ったんだけどなぁ
Ｐ,この愛梨にどんな仕事させりゃいいんだよ…
蘭子,纏いし水魔の鎧の内はさながら美波の如く姿に！わわっ、汗だくでベトベトで凄くはしたない事になっちゃってます！
Ｐ,お前の中で美波と淫魔って同義語なの？
うづき,ｼﾏｰ
周子,プロデューサープロデューサー、卯月ちゃん掴みっぱなしで縮んできとる
Ｐ,どうすりゃいいんだこのカオス！。またも失敗だったな
卯月,汗だくヌチョヌチョの愛梨ちゃん凄かったです！
蘭子,言霊に守護の障壁をもうちょっとオブラードに包もうよ…
Ｐ,あれ、あの狐娘はどこいった？
卯月,愛梨ちゃんのいかがわしい体液でドロドロになった潜水服をフレちゃんにバレる前に洗って返してくるそうです！
Ｐ,あれフレの私物かい。しかも無断で持ってきたのか
蘭子,我が片割よ。我に良き策があるプロデューサーさん、私良いこと思いつきました！
卯月,麻縄で縛り上げるんですね！亀甲ですか？菱縄ですか！？
蘭子,団鬼六の世界か！違うよぉ！
Ｐ,今度はどうするんよ
蘭子,クックックッ…何も力で制するが全てでは無いわ今までがちょっと強引すぎたんだと思います！
卯月,何を言うんですか！この世は力こそが全て！力こそパワーですよ！
Ｐ,何だよその世紀末思想
蘭子,我に任せよ！いざ儀式の贄を求めて行かん！
Ｐ,おー、いってらっしゃーい
卯月,では私も特に理由はありませんが未央ちゃんあたりを狩りに！
Ｐ,卯月ステイ
卯月,まむっ
Ｐ,どうしてこう、うちの事務所はアイドルもアシスタントもどこかちょっぴりアレなんだろうなぁ…まともなのは俺だけか
卯月,しまー
蘭子,降臨、満を持して！戻りましたっ！
Ｐ,おー、おかえりー
うづき,ｼﾏｰ
Ｐ,うん？何を持ってきたんだ
蘭子,刮目せよ！始まりの灰被りの命運は我が手中ぞ！これで愛梨ちゃん問題も解決ですよ！
うづき,ｼﾏﾑｰ
Ｐ,え、これって…
愛梨,おはようございます～。今日も良い天気ですね～
Ｐ,おはよう愛梨。って既に衣服に手をかけとるし！
蘭子,そうはさせぬ！
愛梨,ひゃっ！
蘭子,封印完了。その魔獣の呪縛を解く事は叶わぬと知れ！はい、これでもう大丈夫です！簡単に外せません
愛梨,いきなりビックリしたぁ…あ、これってウサコちゃん？わぁカワイイ♪
Ｐ,良い考えってウサコかい。どっから持ってきたんよ
蘭子,天帝より拝借した！かの獣の魔力に抗う事は叶うまい亜里沙さんから借りました！あんな可愛いウサコちゃんを手から外す事なんて出来ませんよね！
Ｐ,なるほど。手錠とかで無理やり手を塞ぐんじゃなくてファンシーでキュートなウサコを装着させることで愛梨に抵抗感を与えることなく手の自由を奪う訳か
うづき,ﾏｰﾑｰ
愛梨,可愛いけど、暑くて脱ぎたいんでちょっと一旦外しますね？
Ｐ,あっさり外そうとしてるぞ
愛梨,…あれ、手が抜けないウサ
蘭子,念のためきつーく絞っておきました！
Ｐ,結局力技じゃねぇか
愛梨,取れないウサ！ウサコが取れないウサ！…あ、あれれ？
Ｐ,おい、何か様子がおかしいぞ
愛梨,ウサ…ウサ？何だか口が勝手に…私はウサコ…違います愛梨ウサ！あれ、でもウサコは愛梨で…？……ウサ？
蘭子,あ、愛梨ちゃん…？
Ｐ,すぐに外せ蘭子！何か侵食され始めとる！
愛梨,ウサウサウサウサウサウサウサウサウサウサウサ脱ぎたいウサウサウサウサウサウサウサウサウサウサ
うづき,ｼﾏﾏｰ
亜里沙,
こずえ,ふわぁ…？こんなところで…おひるね…ふんじゃうよぉ…
亜里沙,
こずえ,だめだこりゃあ…
Ｐ,またまた失敗だったな…
卯月,もう脱ぎたいだけ脱がせてあげましょう！きっとそっちのほうが売れます！
Ｐ,普通のアイドルとして売れて欲しいという親心があるでごぜーますよ。あれ、ブルュンヒルデは？
卯月,ウサコちゃん返しに行きました！何かウサウサ言ってましたけど！
Ｐ,侵食されてるじゃねぇか
卯月,次はどんな手段でいきますか？晶葉ちゃんに脱げなくなる光線銃を作ってもらいますか？志希ちゃんに何もわからなくなるクスリでも作ってもらいますか！？
Ｐ,うん、出来れば人道的な手段がいいんだけど
卯月,プロデューサーさんが脱ぐのは俺の前だけにしろよ
Ｐ,イタすぎるわ。パワハラセクハラってレベルじゃねぇぞ。うーん、このままでは現場のスタッフさん達が賢者だらけになってしまう…
卯月,芳乃ちゃんに頼みますか！
Ｐ,何でもかんでも芳乃頼りってのもアレだろ。ドラ〇もんじゃあるまいし。それに芳乃は今日本最後の秘境、ＫＡＷＡＧＯＥでツアーロケ中だし
卯月,超ロング麩菓子お土産に頼みたかったです！
Ｐ,はてさて、何か良いオチは無いだろうか…
卯月,メタい事言い始めました！
愛梨,おはようございます～。今日はちょっと冷えますね～
Ｐ,何の策も思いつかないままおはよう愛梨。うぉ既に１枚キャストオフしとる
愛梨,キャストオフ？なんですかそれ
卯月,冷えても脱ぐならどうすりゃいいんでしょう！つま先から首元までグルグル巻きにすればいいんでしょうか！
Ｐ,やだよ、そんなエビフライみたいなアイドルに需要湧かないよ
愛梨,何のお話ですか？２人だけで盛り上がっててずるいですよ～
Ｐ,ただの世間話だよ。だから一旦手を止めよう、それ以上はいけない
卯月,あ、今日はパステルグリーンなんですね！あざとくいやらしいです！
Ｐ,卯月ステイ！
卯月,まむっ
愛梨,わっ、卯月ちゃんがあっという間に大人しくなっちゃいました
Ｐ,だから脱ぐなってのアップルパイ娘
愛梨,ときっ
Ｐ,おまえにも効くんかい。お前さんね、ほんとにその露出癖どうにかせんとそのうち本当に襲われちゃうぞ？
愛梨,露出癖なんてありませんよぉ！
Ｐ,そう言いながら何やってるんだねチミィ
愛梨,あれ？暑くてつい…。あ、でも露出癖なんかじゃないですよっ！
卯月,まー
Ｐ,俺みたいな紳士ならともかく普通の男なんて一皮剥いたら狼なんだからな？スタッフさんとか色々苦しんでるんだぞ。特にお前さんのそのアップルなパイとかに
愛梨,えっ、スタッフさんにご迷惑をおかけしてたんですか？そんな…全然気が付かなかったです
Ｐ,まぁ、意識的にやってたんだとしたら鬼畜の所業だよな
愛梨,じゃあ、今度何かお詫びをしてきますね？
Ｐ,脱ぎながらそのセリフだと１８禁な感じのお詫びしか思い浮かばないんだけど
うづき,ｼﾏﾏｰ
Ｐ,どうしたもんかな…普段から下着の代わりに水着…いかん、逆にエロい
愛梨,なんだかすいません～
Ｐ,すまないと思ってくれているならそれ以上脱がないでくださいあと１枚で大分アウトなんですけど
愛梨,え？
Ｐ,躊躇なく手をかけるなぁ！
うづき,ﾏｰﾑｰ
愛梨,暑いから大丈夫ですよ
Ｐ,何か三村みたいな事言ってるけどストップ！それを脱いだら終わりだぞ！！俺の社会的立場が！。せいやっ！
愛梨,とときっ
Ｐ,ふぅ、取り敢えずフルオープン姿は止められたけどこんな所誰かに見られたら大惨事だな
常務,騒々しいぞ。一体何をしている
Ｐ,あ
愛梨,ときー
うづき,ｼﾏｰ？
常務,…。これは、どういう状況なのか説明してもらおうか
Ｐ,……片手にマスコット摘まんだまま下着姿のアイドルを踏ん捕まえてるところですね
常務,成程、見ての通りという訳だな
Ｐ,あ、はい
常務,少し話でもしようか。私の部屋に来たまえ
Ｐ,あ、はい
うづき,ｼﾏﾑﾑｰ
あいり,ﾄｷｰ
常務,十時と島村は置いてきなさい
Ｐ,アッガイ
ちひろ,それで、結局どうなったんですか？
Ｐ,あぁ、風邪治ったんですね？
ちひろ,こずえちゃんに枕元で延々となおれー…なおれよー…なおりゃー
Ｐ,愛梨の事ですか？それとも俺の事ですか？
ちひろ,プロデューサーさんのことは別にどうでもいいですよ
Ｐ,やっぱ俺の事嫌いだろ…。俺はお説教１７時間食らった上に３か月間オヤツ抜きになりましたよ。泣きたい
ちひろ,厳しいのか甘いのか分からない人ですね、あの人も
Ｐ,まぁ俺の事はさておき、一応あれからいろいろ試してみたんですよ。でもどうにも上手くいかなくて。晶葉に作ってもらった性癖反転銃を使ったら逆に延々と着込み続けて塊魂みたいになっちゃったし、志希の怪しいクスリ使ったら自分で脱がなくなったけど逆に誰彼構わず脱がせてもらおうとするようになっちゃうし…
ちひろ,意外と強敵ですね、愛梨ちゃん
Ｐ,まぁ、愛梨は脱いでこその愛梨ということなのかもしれませんね。無理強い良くない。腕白でも良い、逞しく育ってくれれば
ちひろ,いやいや、それだとスタッフさん達がピンチなままでしょ
Ｐ,大丈夫ですよ。上のほうに頼み込んで毎回うちの事務所の娘をゲストに呼んでもらうように話をつけましたから
ちひろ,あ、なるほど。その娘に愛梨ちゃんのフォローをお願いする訳ですね？流石仕事が有能なだけが取り柄！
Ｐ,ちなみに初回は念のために美波と文香と雫と礼子さんに頼みました。これだけの人員なら完璧でしょ
ちひろ,前言撤回。あんた何て人選してんだ
Ｐ,大丈夫ですってば。今日の収録もただのローション運動会ですし。水着姿でちよっとヌルヌルしてあれこれするだけですよ
ちひろ,スタッフさん全滅するんじゃないですか！？
愛梨,お疲れ様でした～。いっぱい動いたから暑いです～
礼子,はいはい、流石に水着は脱いだら駄目よ
愛梨,ときっ
雫,わぁ、叱られた家猫みたいになっちゃいましたー
美波,……えいっ
文香,ふみっ
卯月,終わりです！
未央,わっ、本当に効いた。いいなぁ、コレ便利だね
凛,しぶー
