ノザキーコング,以下、ノザキ
ホリー,お前らが不安でな……ちょっと無理して来ちまったんだ……いてて！！
ノザキー,！む、無理はしないでください！！
ホリー,あ、ああ……これ以上ついていくのは無理かもしれねえ……おい蜂！！てめえは大人しくの俺のペットになれ！！早く帰るぞ！！
プリンスB,はーーい！！
ノザキー,まさかあんなにあっさりと……
ミコシバミ,なんで敵に飼われるのにあいつは嬉しそうなんだよ……
ノザキー,そろそろアニマルフレンドの力も必要になってくる頃だな……
ミコシバミ,アニマルフレンド？
ノザキー,ああ、冒険の手助けをしてくれる動物だ
ミコシバミ,……おい、あそこにある箱って……
ノザキー,噂をすれば……あれはアニマルコンテナ、あの中にアニマルフレンドがいる
ミコシバミ,うし、早速壊そうぜ
サクラ,の、野崎くん！！ファンです！！///
ノザキー,アニマルフレンド、パラスのサクラだ
ミコシバミ,動物じゃねえ……。なあ、お前はどんな能力持ってんだよ？泳げるとか飛べるとか
サクラ,私、物知りだよ！！
ノザキー,なるほど……ゲームの攻略のヒントをくれるんだな
サクラ,ノザキくんは身長は190センチ！！家族構成はお父さん、お母さん、弟くん、妹さん！！選択教科は美術で選択体育は柔道！！誕生日は6月6日でA型！！中学の時はバスケ部で今は帰宅部！！好きな食べ物はお米で好きなタイプは根性のある子！！現在マンションで一人暮らし中！！！！
ミコシバミ,なんの役にも立たねえじゃねえか！！
ノザキー,なんという情報力……そんな話をしたことないのに……！！！
ミコシバミ,お前も感動してんじゃねえよ！！！怖がれよ！！！
サクラ,えへへ〜///
ノザキー,とうとう来た！！……キングユヅーキの船！！
サクラ,ノザキくんのネクタイ〜///
ミコシバミ,お前はいつまでノザキーのネクタイにしがみついてんだよ
キングユヅーキ,以下、ユヅーキ
ノザキー,出たなキングユヅーキ！！ペンは返してもらうぞ！！
ユヅーキ,えーやだー。これ使ってワカいじめてーもん
ミコシバミ,うおっ！？
ユヅーキ,あ、避けられた
ノザキー,まさかペンを投げてくるとは……こいつをどうやって倒すべきか……
ミコシバミ,こいつは多分二週目から攻略できそうだな。いや、もしくはメインヒロイン全員トゥルーエンドで攻略可能か？
サクラ,なんの話してるの！？。あっ！！キングユヅーキの弱点思い出した！！
ノザキー,何！？教えてくれ！！
サクラ,キングユヅーキは頭の王冠を取れば人魚のように大人しくなるよ！！
ミコシバミ,やっと役にたったなお前
ノザキー,とりあえずまずはやつに近づいて……
ユヅーキ,ほーれほーれ
ミコシバミ,あぶねえ！！
サクラ,きゃっ！？
ノザキー,……キングユヅーキ！！ワカがいるぞ！！
ユヅーキ,えっ、どこどこ！？
ノザキー,今だっ！！。取ったぞ！！
サクラ,ノザキくん凄い！！
ユヅーキ,……
ミコシバミ,マジで大人しくなってんな……
ノザキー,さあ……盗んだペンを返してもらうぞ
ユヅーキ,……
サクラ,ええっ！！？
ノザキー,サクラ……キングユヅーキはなんと言っているんだ？
サクラ,お前らが投げたペン拾わないで全部避けたから全部海に落ちたって……
ノザキー・ミコシバミ,
若松,うわああっ！？
野崎,堀先輩、若松起きましたよ
堀,そうか、良かった
若松,あれ……俺、今まで寝てたんですか？
野崎,すまない、俺がうっかりローレライのBGMを流してしまってな……揺すって起こそうとしても起きなかったから心配した
若松,そんなことが……
堀,それより野崎、作業終わったしゲームしねえか？
野崎,ゲームですか？
堀,これ持ってきたんだけどよ
野崎,……スーパードンキーコングですか、面白そうですね
若松,やめてください！！俺が溺れます！！
堀,は、はぁ！？
野崎,どうした若松！？
