―千早の部屋,夕方
美希,もうミキ、これ以上食べられないの～
響,自分もだぞ～
千早,そうね、とっても美味しかったわ。ありがとう春香、我那覇さん、高槻さん
やよい,そんなー。私は家でいつもしていることをしただけですよー
響,自分もいつもしていることだから、そんな大したことしてないぞ
千早,ううん、そんなことない。真も、肉じゃがとても美味しかったわ
真,へへぃ。あんなので良ければまた作ってあげるよ
美希,あーダメだよ、真くん！そういうの節操が無いって言うんだよ！
千早,ふふっ。それに真は、美希と、そして水瀬さんと一緒に、私をこんな素敵な催しに参加させてくれてありがとう
伊織,ふん、何言ってるのよ。当たり前じゃない、そんなこと。むしろ、あんたの家に押し掛けた私たちがお礼を言う方よ
美希,ミキも千早さんが楽しんでくれて嬉しいの！
春香,ふふっ、そうだね美希。私も千早ちゃんが楽しんでくれて嬉しいなー
千早,春香はその……今日もそうだけど……日頃からいろいろ私のサポートしてくれて本当にありがとう
春香,ふぇ！？///いや、そんな真面目な顔して見つめられたら私……照れちゃうよ、千早ちゃん///
美希,ヒューヒューなの、お二人さん！
春香,ちょっと美希！からかわないでよ！///。――あっ！ほ、ほら貴音さんたちが着いたんじゃないかな！？私ちょっと行ってくるね！……って、きゃっ！。いたたたた……
千早,春香！大丈夫？
春香,うん……平気だよ千早ちゃん
千早,もう……ほら、私も一緒に行くわ
春香,う、うん
やよい,春香さん……また、何もないところで転んじゃいました
伊織,……あんたが囃し立てるからよ
美希,違うの。あれは春香の特技だよ。あはっ☆
響,それが否定できないのが、春香の残念なところさ～
真,いや、逆に春香の良さとも言える
響,さて、それじゃ貴音たちのために、第2弾の準備に取り掛か――
貴音,ひびき！
響,うがぁ～！ビックリした！
貴音,！？。……あぁ、そんな……響、あんまりです
響,えっ！？ちょ、貴音！？そんな、膝から崩れ落ちてどうしたんだよ！？
雪歩,ご、ごめんなさい。遅くなりました！
亜美,あー！ひびきんがお姫ちん泣かしてるー！
真美,ふむふむ……これが、修羅場ってやつですな
あずさ,あらあら～うふふ。ほんとね
響,うがぁ～！誤解だってば！いきなり貴音がしがみ付いてきて崩れ落ちたんだよ！
律子,ちょっと貴音！あんたいきなり人ん家に上がり込んで何やってんのよ……
伊織,一気に騒がしくなったわね……
春香,あははっ、そうだね
律子,ごめんなさい千早。私から後で、ご近所さんに謝罪しとくから
千早,ううん、そんな……たぶん大丈夫よ
亜美,んっふっふ～律っちゃん！それならこのせくちーな亜美が一緒についてってあげようか～
真美,んっふっふ～それなら真美だって、このボン・キュッ・ボンでどんな兄ちゃんも姉ちゃんもイチコロだよ！
美希,ミキも一緒に行くー！
律子,やかましい
貴音,ひびき……約束したではありませんか……私たちが到着するまで、鍋は絶対に……残しておくと
響,なんだ、そんなことか
貴音,なんだとはあんまりではありませんか！！
響,だから、なんくるないってば～。貴音たちの分は第2弾としてちゃんと残ってるから。今から準備しようと思ってたところ
貴音,誠ですか！
伊織,……親の仇を見るような目から一変、地獄で仏様に出会ったような顔をしているわ
真,あははっ。確かに響の言う通り、食べ物が絡んでいる時の貴音をなだめるのは大変そうだ
やよい,響さん。貴音さんもお腹空いてるみたいですから、次のお鍋の準備しちゃいましょう！
響,うん、そーだね。……いいか、貴音。ちゃんとそこで大人しく待っているんだぞ？
貴音,はい
伊織,主従関係が確立してる！？
雪歩,ごめんね、真ちゃん。遅くなっちゃって
真,ううん、お疲れ雪歩。お腹空いてるでしょ？
雪歩,うん、鍋パーティすっごい楽しみにしてたから今日はご飯控えめにしてたんだ
真,あははっ。次の鍋が出来上がるまで少し時間がかかるみたいだから、その間ボクが作った肉じゃが食べてみる？
雪歩,！？
貴音,！？
雪歩,えっ、嘘！？この肉じゃが、ま、真ちゃんが作ったの！？
貴音,これは誠、美味なる匂いが致します！
真,うわわ～！二人とも落ち着いて！……まさか、こんなに反応するなんて
亜美,えーなになに？これ、まこちんが作ったの？
真,うん、そうだよ。へへ～ん、凄いだろ！？
真美,まこちん、もっと上手にウソ付かないとダメだよ
真,ウソじゃないよ！
美希,ホントだよ。あれはミキとデコちゃんが、真くんの手料理が食べた～いって話をしたら作ってくれたの！
律子,へえ～意外にやるわね、真
あずさ,これならいつお嫁さんに行っても大丈夫ね、真ちゃん
真,本当ですか！？いや～嬉しいな～
雪歩,あの、千早ちゃん！
千早,何かしら？萩原さん
雪歩,タッパーとかないかな！？ちゃんと洗って返すから……ううん、新しいの買ってあげるから私に譲ってくれない！？
千早,え！？えぇ……タッパーならひとつだけ持っているけれど
雪歩,ほんと！？ありがとう千早ちゃん！
春香,あははっ……あれ？そういえばプロデューサーさんは？
律子,そうそう、プロデューサーなら……。……って言って事務所に戻っちゃったわよ
美希,えー！ハニーと一緒にイチャイチャしたかったのにー！
律子,だから、それがまずいって言ってるのよ！ったく
春香,でも、プロデューサーさん……ご飯とかまだ食べてなかったんじゃ
律子,うーん……どうかしら？
真,せめて、顔だけでも見せてくれたら差し入れとかできたのになー
春香,それなら私、電話してみます！
真,……とは言ったものの、差し入れするって言っても、鍋は無理だし……ん？
雪歩,真ちゃんの手料理！四条さんに全部食べられちゃう前に回収しなくちゃ！
真,さすが、雪歩！手際が良いね！
雪歩,えっ
真,プロデューサーの差し入れ用にボクの肉じゃが、タッパーに詰めてるんだよね？
雪歩,えっ！いやこれはその……。真ちゃんの……純粋な笑顔が眩しいよー。……うん。プロデューサー、きっとお腹空かしていると思うから……
春香,プロデューサーさん、10分くらいでこっちに戻って来れるって！
真,オッケー。それじゃこれはプロデューサー用に、っと
美希,うぅ……せめて、差し入れと一緒に渡すハニーへのラブレターを書くの
律子,事務所には小鳥さんもまだ残っているみたいだから、小鳥さんの分も出来れば用意してあげて
美希,ちょっと待ってなの！こんな時間にハニーと小鳥が事務所で二人きりなの！？
律子,はぁ？大丈夫でしょ。あのプロデューサーが小鳥さんに何かするわけな――
美希,ハニーが危ないの！！
律子,……なるほど
響,ふふふっ。ここでドロ2を切って自分、ウノだぞ！
亜美,んっふっふ～それじゃ亜美もドロ2出しちゃうよー
真美,あま～い！真美もドロ2を出してターンエンド！
やよい,うう～そんな……あっ、私もありましたドロ2！
千早,……ごめんなさい、我那覇さん
響,うがぁ～！そんな～！えーと合わせて、にー、しー……１０枚もドローしなきゃいけないのか、自分！？
真美,ひびきん、ドロ2を出すときはちゃんとカウンターのことも考えておかなきゃダメっしょ☆
亜美,詰めがあまあまですな～
響,うぅ……
貴音,まっふぁふでふ、ふぃふぃふぃ。まふぁふぁは――
響,もぐもぐしながら喋るんじゃないぞ、貴音！何言ってるか全然わからないし！次は貴音も一緒にやるんだからね！
貴音,んっ……申し訳ありません。私もその余興を楽しみたいのですが。しかし、私はこれからこのとまとかれ～鍋というものを食さねばなりません
響,貴音……まだ食べるつもりなのか
真,それじぁ、ボクが食器をどんどん洗っていくから伊織はこの布巾で食器を拭いてって
伊織,わかったわ
真,……
伊織,……
真,……きゃ～手が滑っちゃった！私ってドジだから……てへぺろ☆とかダメだからな
伊織,よかったわね～。今、私がお皿を持っていなければその憎ったらしい舌、引っこ抜くところだったわよ
真,へへぃ。それは勘弁してほしいかも
あずさ,次、あずさ歌いまぁ～す！……お～も～いでをあり～がと～
美希,……あずさ、さっきからずっと、そればっか歌ってるの
雪歩,あずささんって、お酒飲むとこんな感じになるんだね
春香,うーん、前にもあずささんが酔っ払ってるところ見たことあるけど、こんな感じじゃなかったような……
律子,……実は今日ね、あずささんの友人から結婚報告があったみたいのよ
春香,あはは……なるほど
律子,はぁ～あずささん、明日はグラビアの撮影なんですからほどほどにして下さい
あずさ,大丈夫ですよ、律子さ～ん。心配性なんですから～。ほら～律子さんも一緒に飲みませんか～？
律子,いやだから、私はまだ未成年だって言ってるじゃないですかーもう
伊織,――ったく、あずさはあれと方向音痴がなければ完璧なのに
真,あははっ。あの律子がたじたじじゃないかー
伊織,……
真,ん？どうしたの伊織？
伊織,べ、別になんでもないわよ！///ほら、早く次のお皿渡しなさいよ！
真,おっと、ごめんごめん……はい
伊織,ふん！///
真,……
伊織,……
真,あのさ、その……伊織
伊織,何よ
真,ボクの手料理……どうだった？
伊織,ふぇ！？
真,いやその！///ほら、ごたごたしてて、伊織にちゃんと感想聞けなかったから……どうだったかなーって少し気になってさ
伊織,あ、あーあの肉じゃがね！うん、そ、そうね～まぁまぁだったかしら///
真,へへぃ……そっか。だよね。やっぱり、伊織ん家のコックさんみたいに美味しく作るのは難しいよなー
伊織,えっ
真,ほらあの時、伊織お嬢様のお口に合いますよう精一杯務めさせて頂きますって言ったじゃん？。だからさー、それから、やよいや響に何度か料理を教わったんだけど……
伊織,待って！ちがっ――
真,くっそー！やっぱりボクのお嫁さんスキルはまだまだかぁー！これからもっと修行していかな――
伊織,……
真,ん？何、伊織。ボクの服なんか掴んで。まさか、ボクの服で手を拭くつも――
伊織,……うそよ
真,え？
伊織,ほんとは……すごく美味しかったわよ！
真,！？
伊織,さっきはその、少し驚いて適当なこと口走っちゃっただけで、別にあんたの手料理を貶したわけじゃないんだから！。だから！その、なんていうか……変に落ちこまな――いぃふぁふぁふぁ！
真,……
伊織,……えっ？。なんであんた今……私のほっぺ引っ張ったの？
真,いやだって、なんかやたら素直だから本物かなーって思って
伊織,わ、私だって！素直な時くらいあるわよ！……何よ、人が真剣に話しているって言う――
真,へへぃ。ありがとう、伊織
伊織,っっっっ///
響,おーい、まことー！いおりー！洗い物は一旦それくらいにして二人も一緒にウノやろうよー
真,よーし、響！先にどちらかが3回負けた方は罰ゲームってのはどう？
響,受けて立つぞ！
真,よし！ほら伊織、ボクたちも行こう！
伊織,えぇ、先に行ってて。私は後、これだけ拭いちゃうから
真,オーケー。それじゃボクは先に行ってるね
伊織,……。全く……ほんと単純なんだから。……ほんと、単純なんだから
美希,デコちゃん、頭さすってどーしたの？痛いの？
伊織,！？。べ、別に！頭にゴミが付いていたから取ってただけよ！///
美希,ふーん……そんなことよりデコちゃん。ミキに内緒で真くんとあいびきしてたでしょ？
伊織,んなっ！///してないわよ！真と一緒に洗い物してただけでしょ！？///
美希,そなの？ミキ、てっきりデコちゃんが真くんに手料理ごちそうしてあげる約束でもしているのかなと思ったの
伊織,な、なんでそんな具体的な妄想をしているのよ！？それに前にも言ったけど私は料理なんてやらないって――
美希,デコちゃんの嘘つき
伊織,はぁ！？。何なのよ、急に
美希,え～だって、デコちゃん。この間、事務所近くの本屋さんで、お料理本コーナーの前をうろうろして――
伊織,！？
美希,いたのミキ目撃しちゃったの――って、むぐっ！？むむむー！！
伊織,なんで、あんたがあそこにいたのよ！？まさか……あんた私の後をつけていたでしょ！？
美希,むぐぐー！……ぷはぁ！デコちゃんひどい！いきなりミキのお口塞ぐなんて、窒息したらどーすんの！？
伊織,大きな声出すんじゃないわよ！あんたが窒息しようがそんなこと、どうだっていいわよ！。――そうよ、今はそんなことどうだっていいのよ！あんた、このこと誰にも言ってないわよね！？
美希,もう！……デコちゃんがお料理本を何冊か買ってたことなんて誰にも言ってないよ。そんなことより、あんな本買ってどーするの？
伊織,ちちちち違うわよ！誰が自分のために買った本だって言ったかしら！
美希,うん、とりあえずデコちゃん、少し落ち着いてなの
真,いおりー、まだ食器拭いてるの？
伊織,ちょ、ちょうど今終わったところよ！……とりあえず、この話は誰にもしちゃダメだからね！
美希,あっデコちゃん、まだ話は終わって……もう！
あずさ,友美だけは……ずっと一緒にいてくれると思ってたのにー！
律子,あずささん！？ちょちょっとストップストップ！
雪歩,わぁ///あずささん、大胆です///
あずさ,律子さんの胸の中……あったかぁ～い
律子,っ///あ、頭でぐりぐりしないでください！
春香,みきー！お水まだー？
美希,今、持っていくからもう少し待ってなの。……もう！あずさも飲みすぎなの！
伊織,ごめんなさい、遅くなったわ
響,よし！伊織も参戦することだし、気を取り直してババ抜きでも――
真,おっと！逃がさないよ響……あと残り2回だから
響,……うぅ
真美,ひびきんはカードの切り方が素直すぎるんだよ～
貴音,響……その、とまとかれ～鍋、食べ終わりました
響,うんそうか、よかったなー貴音……美味しかったかー？
貴音,もちろん、響が私の為に作ってくれた料理が美味しくないわけがありません。感謝を示すため、この鍋料理も最後の一滴まで食すことが私の務めです
響,……つまり、締めにラーメンが食べたいと？
貴音,その……出来れば
響,うぅ～///あーもう！わかったぞ！作ればいいんでしょ！今から準備するから少し待ってて
貴音,はい！
真,あっこら！響！
伊織,響のピンチを救った……のかしら？にひひっ。まぁ、貴音も響の扱いがこなれてるってことね。まぁ真、私が響の代役を務めれば問題ないでしょ？
真,おっ、伊織……強く出たなー。1回負けのビハインドだけどいいのかい？
伊織,にひひっ。そんなもん……勝てばいいんでしょ？
亜美,あっ、いおりんのあの目……
やよい,うぅ？どーしたの亜美？
真美,うむ。こりゃ、勝負あったね。さらばだ、まこちん。君はいいやつだったよ
千早,ふふっ。本当に今夜は楽しい夜だわ
